Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №245	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №2409					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2700	0	20	48	48	45	40	50	40	50	45	60	45	52	50	45	55	50	25	40	35	15	30	35	30	35	40	40	25	30	30	30	30	30	40	45	25	10	30	30	20	20	30	45	25	35	30	25	25	20	35	20	15	15	25	65	15	15	10	10	30	20	20	35	20	45	15	20	40	25	10	20	40	35	28	15	55	10	23	5	1	0	0	60	40	20	45	25	20	25	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2441	0	19	46	41	40	35	48	38	36	39	53	45	47	42	42	49	50	24	40	35	14	30	35	26	27	38	36	21	27	28	25	27	30	34	42	22	10	24	26	19	20	28	38	24	29	25	25	23	20	31	20	15	12	25	50	15	15	10	10	26	20	14	34	20	40	15	18	32	18	9	15	40	31	22	12	50	10	19	0	0	0	0	56	40	19	41	25	20	22	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2551	112	16	78	27	19	27	21	22	53	32	37	37	28	31	41	13	41	19	46	29	21	33	18	19	34	35	19	34	15	15	36	21	11	17	14	22	21	33	17	26	24	13	16	15	25	18	27	44	40	31	10	21	16	33	21	10	9	18	21	23	11	30	16	32	21	5	9	38	42	22	19	44	31	5	5	37	14	14	5	6	78	112	8	6	5	14	13	4	21	19	240					
14	Число погашенных неиспользованных открепительных удостоверений	259	0	1	2	7	5	5	2	2	14	6	7	0	5	8	3	6	0	1	0	0	1	0	0	4	8	2	4	4	3	2	5	3	0	6	3	3	0	6	4	1	0	2	7	1	6	5	0	2	0	4	0	0	3	0	15	0	0	0	0	4	0	6	1	0	5	0	2	8	7	1	5	0	4	6	3	5	0	4	5	1	0	0	4	0	1	4	0	0	3	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	211	0	2	3	7	3	3	2	2	6	8	1	3	2	2	6	7	12	3	2	3	3	3	0	2	4	2	3	1	3	4	1	0	2	0	1	3	0	3	2	1	6	2	2	1	1	0	5	1	6	0	1	0	3	0	3	0	1	2	0	0	2	2	3	2	1	3	1	1	3	0	2	4	2	3	1	7	1	1	0	0	0	0	6	6	0	2	1	1	3	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	1.Политическая партия «Аграрная партия России»	2024	0	3	48	34	29	31	34	45	21	31	26	29	23	35	20	29	39	22	31	24	21	29	24	23	21	29	23	10	23	11	19	20	25	13	24	30	13	19	24	35	22	20	25	11	16	22	17	28	14	11	16	8	19	20	46	5	16	18	20	31	39	40	27	22	31	22	20	35	32	28	25	25	43	20	14	24	21	20	1	2	7	5	34	32	6	12	20	8	14	17	3					
		1.95%	0.00%	0.63%	3.10%	2.23%	2.25%	2.48%	2.68%	3.53%	1.33%	2.17%	1.64%	1.62%	1.35%	2.14%	1.28%	1.91%	2.44%	2.19%	2.21%	1.68%	1.76%	2.35%	1.58%	2.06%	1.60%	2.29%	1.97%	1.18%	1.90%	1.46%	2.28%	1.51%	2.10%	1.19%	1.72%	2.29%	1.98%	1.61%	2.22%	3.11%	1.86%	1.72%	1.85%	1.19%	1.36%	1.72%	1.70%	2.34%	1.50%	0.96%	2.63%	1.07%	2.29%	2.43%	2.08%	1.07%	2.13%	2.20%	2.53%	2.11%	2.72%	3.17%	2.36%	1.90%	2.03%	2.04%	1.75%	2.74%	2.42%	2.52%	2.80%	2.08%	3.14%	2.14%	1.62%	1.64%	1.65%	1.76%	0.74%	0.67%	2.02%	1.13%	2.22%	2.33%	0.47%	0.87%	1.65%	0.55%	2.25%	1.54%	0.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5176	8	53	101	100	61	67	73	73	94	95	152	128	124	160	139	135	136	58	80	74	41	57	63	51	53	52	50	45	72	19	32	57	48	59	70	44	27	40	33	64	60	42	46	22	47	55	27	67	34	45	28	34	49	45	57	17	23	40	44	68	81	99	58	57	74	67	64	57	76	55	36	70	59	23	16	94	51	54	4	1	8	9	51	74	3	55	43	12	31	42	14					
		4.98%	7.14%	11.04%	6.52%	6.56%	4.73%	5.36%	5.75%	5.73%	5.95%	6.66%	9.57%	7.16%	7.29%	9.80%	8.92%	8.89%	8.51%	5.77%	5.71%	5.17%	3.44%	4.63%	4.14%	4.56%	4.04%	4.11%	4.29%	5.29%	5.94%	2.53%	3.85%	4.30%	4.03%	5.39%	5.03%	3.35%	4.11%	3.39%	3.06%	5.68%	5.07%	3.60%	3.40%	2.37%	3.99%	4.29%	2.70%	5.61%	3.65%	3.94%	4.60%	4.53%	5.91%	5.47%	2.57%	3.64%	3.06%	4.89%	5.56%	4.62%	5.65%	7.86%	5.08%	4.91%	4.86%	6.21%	5.58%	4.46%	5.75%	4.95%	4.03%	5.83%	4.31%	2.47%	1.85%	6.43%	4.00%	4.74%	2.96%	0.33%	2.31%	2.03%	3.33%	5.39%	0.24%	3.99%	3.54%	0.82%	4.98%	3.79%	3.58%					
20	3.Политическая партия «Демократическая партия России»	141	1	0	0	0	1	1	2	0	4	2	4	3	1	5	3	2	0	1	1	2	1	1	3	1	1	1	2	0	0	0	0	1	1	0	1	1	0	0	0	5	4	2	1	0	1	1	1	1	2	1	0	2	5	3	5	0	0	1	2	2	2	0	0	4	7	0	2	1	5	0	2	0	6	2	1	2	0	1	0	1	1	2	4	1	4	1	1	1	0	4	0					
		0.14%	0.89%	0.00%	0.00%	0.00%	0.08%	0.08%	0.16%	0.00%	0.25%	0.14%	0.25%	0.17%	0.06%	0.31%	0.19%	0.13%	0.00%	0.10%	0.07%	0.14%	0.08%	0.08%	0.20%	0.09%	0.08%	0.08%	0.17%	0.00%	0.00%	0.00%	0.00%	0.08%	0.08%	0.00%	0.07%	0.08%	0.00%	0.00%	0.00%	0.44%	0.34%	0.17%	0.07%	0.00%	0.08%	0.08%	0.10%	0.08%	0.21%	0.09%	0.00%	0.27%	0.60%	0.36%	0.23%	0.00%	0.00%	0.12%	0.25%	0.14%	0.14%	0.00%	0.00%	0.34%	0.46%	0.00%	0.17%	0.08%	0.38%	0.00%	0.22%	0.00%	0.44%	0.21%	0.12%	0.14%	0.00%	0.09%	0.00%	0.33%	0.29%	0.45%	0.26%	0.07%	0.31%	0.07%	0.08%	0.07%	0.00%	0.36%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7740	7	29	126	159	129	97	118	138	107	90	102	134	130	113	106	101	113	81	109	136	73	101	101	90	90	105	97	81	92	47	55	82	80	92	104	100	71	66	91	59	64	97	111	56	90	116	84	84	56	94	38	66	64	89	155	17	62	53	64	108	123	140	74	112	120	74	89	102	124	70	98	91	84	52	55	84	94	70	6	19	15	32	132	91	17	100	115	38	45	84	20					
		7.45%	6.25%	6.04%	8.13%	10.43%	10.00%	7.77%	9.29%	10.83%	6.77%	6.31%	6.42%	7.50%	7.64%	6.92%	6.80%	6.65%	7.07%	8.06%	7.78%	9.50%	6.13%	8.20%	6.64%	8.05%	6.85%	8.29%	8.33%	9.53%	7.58%	6.26%	6.61%	6.18%	6.72%	8.41%	7.47%	7.62%	10.81%	5.59%	8.43%	5.24%	5.41%	8.32%	8.22%	6.03%	7.65%	9.06%	8.40%	7.03%	6.01%	8.22%	6.24%	8.79%	7.72%	10.81%	6.99%	3.64%	8.26%	6.48%	8.08%	7.34%	8.58%	11.11%	6.48%	9.66%	7.87%	6.86%	7.77%	7.98%	9.38%	6.31%	10.96%	7.58%	6.13%	5.57%	6.37%	5.74%	7.38%	6.15%	4.44%	6.33%	4.32%	7.22%	8.62%	6.62%	1.33%	7.27%	9.47%	2.59%	7.23%	7.59%	5.12%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2740	1	26	55	45	43	42	55	28	54	54	35	64	85	45	53	49	47	21	84	29	35	30	17	28	21	26	22	25	38	21	15	29	34	22	39	18	14	24	56	24	33	47	78	10	41	41	40	26	30	49	23	26	21	23	35	3	10	16	26	41	26	23	33	23	27	19	29	29	39	24	23	30	35	24	20	63	9	16	0	0	8	9	18	15	9	15	20	4	25	47	6					
		2.64%	0.89%	5.42%	3.55%	2.95%	3.33%	3.36%	4.33%	2.20%	3.42%	3.78%	2.20%	3.58%	4.99%	2.76%	3.40%	3.23%	2.94%	2.09%	5.99%	2.03%	2.94%	2.44%	1.12%	2.50%	1.60%	2.05%	1.89%	2.94%	3.13%	2.80%	1.80%	2.19%	2.86%	2.01%	2.80%	1.37%	2.13%	2.03%	5.19%	2.13%	2.79%	4.03%	5.77%	1.08%	3.48%	3.20%	4.00%	2.18%	3.22%	4.29%	3.78%	3.46%	2.53%	2.79%	1.58%	0.64%	1.33%	1.96%	3.28%	2.79%	1.81%	1.83%	2.89%	1.98%	1.77%	1.76%	2.53%	2.27%	2.95%	2.16%	2.57%	2.50%	2.55%	2.57%	2.32%	4.31%	0.71%	1.40%	0.00%	0.00%	2.31%	2.03%	1.18%	1.09%	0.71%	1.09%	1.65%	0.27%	4.02%	4.25%	1.53%					
23	6.Политическая партия «Партия социальной справедливости»	348	0	1	7	10	5	3	3	9	15	9	11	5	8	4	6	3	7	2	8	6	5	2	4	1	2	4	5	4	4	3	0	3	8	4	5	4	1	4	2	3	1	0	8	4	3	3	1	3	4	4	2	5	1	1	3	0	4	4	0	0	5	2	4	1	1	2	5	5	2	2	6	3	7	3	4	9	3	1	0	1	1	0	12	12	1	2	2	6	1	3	1					
		0.34%	0.00%	0.21%	0.45%	0.66%	0.39%	0.24%	0.24%	0.71%	0.95%	0.63%	0.69%	0.28%	0.47%	0.24%	0.39%	0.20%	0.44%	0.20%	0.57%	0.42%	0.42%	0.16%	0.26%	0.09%	0.15%	0.32%	0.43%	0.47%	0.33%	0.40%	0.00%	0.23%	0.67%	0.37%	0.36%	0.30%	0.15%	0.34%	0.19%	0.27%	0.08%	0.00%	0.59%	0.43%	0.25%	0.23%	0.10%	0.25%	0.43%	0.35%	0.33%	0.67%	0.12%	0.12%	0.14%	0.00%	0.53%	0.49%	0.00%	0.00%	0.35%	0.16%	0.35%	0.09%	0.07%	0.19%	0.44%	0.39%	0.15%	0.18%	0.67%	0.25%	0.51%	0.32%	0.46%	0.62%	0.24%	0.09%	0.00%	0.33%	0.29%	0.00%	0.78%	0.87%	0.08%	0.15%	0.16%	0.41%	0.16%	0.27%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	10664	8	39	155	191	143	94	112	123	159	152	143	176	173	159	157	157	174	104	148	163	115	122	196	126	105	111	102	97	128	66	69	127	130	108	133	125	57	162	106	109	120	124	117	95	115	110	81	113	97	141	70	79	99	76	288	72	89	101	83	152	144	114	120	121	145	100	107	171	107	113	97	132	140	74	80	153	130	106	9	12	36	45	174	154	200	139	118	187	57	95	38					
		10.27%	7.14%	8.13%	10.00%	12.52%	11.09%	7.53%	8.82%	9.65%	10.06%	10.65%	9.01%	9.85%	10.16%	9.74%	10.08%	10.34%	10.88%	10.35%	10.56%	11.39%	9.66%	9.90%	12.89%	11.27%	7.99%	8.77%	8.76%	11.41%	10.55%	8.79%	8.29%	9.57%	10.92%	9.87%	9.55%	9.53%	8.68%	13.73%	9.82%	9.68%	10.14%	10.63%	8.66%	10.24%	9.77%	8.59%	8.10%	9.46%	10.41%	12.34%	11.49%	10.52%	11.94%	9.23%	12.99%	15.42%	11.85%	12.35%	10.48%	10.33%	10.04%	9.05%	10.51%	10.43%	9.51%	9.27%	9.34%	13.38%	8.09%	10.18%	10.85%	10.99%	10.22%	7.93%	9.27%	10.46%	10.20%	9.31%	6.67%	4.00%	10.37%	10.16%	11.37%	11.21%	15.70%	10.10%	9.71%	12.76%	9.16%	8.58%	9.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	9100	3	30	181	127	126	151	127	137	140	143	155	166	109	117	126	136	131	87	144	91	120	83	102	107	120	131	102	72	87	92	65	113	89	88	108	111	43	58	125	105	77	98	119	58	115	122	92	108	85	110	51	76	61	69	146	16	51	75	91	182	162	176	141	130	186	126	137	110	169	143	117	99	138	50	44	121	72	84	9	15	22	31	146	147	9	87	76	18	71	99	15					
		8.76%	2.68%	6.25%	11.68%	8.33%	9.77%	12.09%	10.00%	10.75%	8.86%	10.02%	9.76%	9.29%	6.40%	7.16%	8.09%	8.95%	8.19%	8.66%	10.28%	6.36%	10.08%	6.74%	6.71%	9.57%	9.14%	10.35%	8.76%	8.47%	7.17%	12.25%	7.81%	8.52%	7.48%	8.04%	7.75%	8.46%	6.54%	4.92%	11.58%	9.33%	6.50%	8.40%	8.81%	6.25%	9.77%	9.52%	9.20%	9.04%	9.12%	9.62%	8.37%	10.12%	7.36%	8.38%	6.59%	3.43%	6.79%	9.17%	11.49%	12.37%	11.30%	13.97%	12.35%	11.21%	12.20%	11.68%	11.95%	8.61%	12.78%	12.88%	13.09%	8.24%	10.07%	5.36%	5.10%	8.27%	5.65%	7.37%	6.67%	5.00%	6.34%	6.99%	9.54%	10.70%	0.71%	6.32%	6.26%	1.23%	11.41%	8.94%	3.84%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	768	1	0	13	15	6	10	14	7	14	8	5	11	23	5	12	25	15	10	10	4	5	12	6	7	9	9	8	7	8	4	6	13	7	6	12	9	5	7	6	14	12	6	5	3	5	12	11	13	6	6	6	8	6	6	14	3	4	4	4	15	11	9	9	15	10	8	14	14	12	9	13	6	11	5	4	6	6	7	1	5	3	3	11	9	11	7	13	4	5	8	2					
		0.74%	0.89%	0.00%	0.84%	0.98%	0.47%	0.80%	1.10%	0.55%	0.89%	0.56%	0.31%	0.62%	1.35%	0.31%	0.77%	1.65%	0.94%	0.99%	0.71%	0.28%	0.42%	0.97%	0.39%	0.63%	0.69%	0.71%	0.69%	0.82%	0.66%	0.53%	0.72%	0.98%	0.59%	0.55%	0.86%	0.69%	0.76%	0.59%	0.56%	1.24%	1.01%	0.51%	0.37%	0.32%	0.42%	0.94%	1.10%	1.09%	0.64%	0.52%	0.99%	1.07%	0.72%	0.73%	0.63%	0.64%	0.53%	0.49%	0.51%	1.02%	0.77%	0.71%	0.79%	1.29%	0.66%	0.74%	1.22%	1.10%	0.91%	0.81%	1.45%	0.50%	0.80%	0.54%	0.46%	0.41%	0.47%	0.61%	0.74%	1.67%	0.86%	0.68%	0.72%	0.66%	0.86%	0.51%	1.07%	0.27%	0.80%	0.72%	0.51%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	61006	80	265	773	759	664	675	677	640	895	794	875	957	872	883	827	763	846	543	751	855	733	741	973	656	854	754	718	481	725	473	542	818	722	666	856	819	408	748	603	671	740	697	795	653	714	738	603	700	577	629	348	431	477	470	1415	329	467	477	425	821	797	599	642	638	864	615	623	719	703	615	445	706	813	657	609	810	854	755	104	236	236	288	891	788	1000	907	785	1159	342	667	278					
		58.75%	71.43%	55.21%	49.87%	49.77%	51.47%	54.04%	53.31%	50.24%	56.61%	55.64%	55.10%	53.55%	51.23%	54.07%	53.08%	50.23%	52.91%	54.03%	53.60%	59.75%	61.54%	60.15%	63.97%	58.68%	65.04%	59.56%	61.63%	56.59%	59.77%	62.98%	65.14%	61.64%	60.67%	60.88%	61.45%	62.42%	62.10%	63.39%	55.89%	59.59%	62.50%	59.78%	58.85%	70.37%	60.66%	57.61%	60.30%	58.58%	61.91%	55.03%	57.14%	57.39%	57.54%	57.11%	63.85%	70.45%	62.18%	58.31%	53.66%	55.81%	55.58%	47.54%	56.22%	55.00%	56.69%	56.99%	54.36%	56.26%	53.18%	55.41%	49.78%	58.78%	59.34%	70.42%	70.57%	55.37%	67.03%	66.29%	77.04%	78.67%	68.01%	65.01%	58.20%	57.35%	78.49%	65.92%	64.61%	79.06%	54.98%	60.25%	71.10%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3031	3	30	73	67	72	67	45	52	65	38	64	104	101	92	92	100	81	63	26	34	38	43	15	19	27	36	22	15	25	11	21	42	33	22	27	34	9	43	22	22	38	27	30	12	20	36	28	36	21	41	19	10	17	16	28	3	12	21	21	37	33	36	24	29	43	34	40	23	38	43	21	28	24	9	6	77	20	8	1	4	7	12	40	32	4	40	13	9	25	29	11					
		2.92%	2.68%	6.25%	4.71%	4.39%	5.58%	5.36%	3.54%	4.08%	4.11%	2.66%	4.03%	5.82%	5.93%	5.63%	5.91%	6.58%	5.07%	6.27%	1.86%	2.38%	3.19%	3.49%	0.99%	1.70%	2.06%	2.84%	1.89%	1.76%	2.06%	1.46%	2.52%	3.17%	2.77%	2.01%	1.94%	2.59%	1.37%	3.64%	2.04%	1.95%	3.21%	2.32%	2.22%	1.29%	1.70%	2.81%	2.80%	3.01%	2.25%	3.59%	3.12%	1.33%	2.05%	1.94%	1.26%	0.64%	1.60%	2.57%	2.65%	2.52%	2.30%	2.86%	2.10%	2.50%	2.82%	3.15%	3.49%	1.80%	2.87%	3.87%	2.35%	2.33%	1.75%	0.96%	0.70%	5.26%	1.57%	0.70%	0.74%	1.33%	2.02%	2.71%	2.61%	2.33%	0.31%	2.91%	1.07%	0.61%	4.02%	2.62%	2.81%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
