Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Бутырский район																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598									
		3.83%	7.13%	3.10%	3.83%	3.91%	3.87%	3.75%	4.15%	2.90%	3.45%	3.78%	3.48%	2.59%	3.19%	5.88%	2.72%	3.27%	5.44%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	3	1	0	4	2	3	1	8	3	3	2	1	2	7	2	7	3									
		0.37%	0.59%	0.16%	0.00%	0.52%	0.25%	0.37%	0.12%	0.97%	0.30%	0.35%	0.22%	0.11%	0.18%	0.65%	0.23%	0.76%	0.44%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1494	87	58	86	72	102	95	89	74	81	95	114	93	97	123	69	91	68									
		10.69%	17.23%	8.99%	17.34%	9.38%	12.72%	11.86%	10.87%	8.95%	7.98%	11.23%	12.40%	10.47%	8.84%	11.48%	7.83%	9.92%	10.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2143	64	64	53	92	118	107	139	114	184	129	141	193	182	183	142	139	99									
		15.33%	12.67%	9.92%	10.69%	11.98%	14.71%	13.36%	16.97%	13.78%	18.13%	15.25%	15.34%	21.73%	16.59%	17.09%	16.12%	15.16%	14.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	1	3	2	6	6	3	7	7	5	3	4	8	8	2	13	7	4									
		0.64%	0.20%	0.47%	0.40%	0.78%	0.75%	0.37%	0.85%	0.85%	0.49%	0.35%	0.44%	0.90%	0.73%	0.19%	1.48%	0.76%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	862	53	38	42	41	61	34	28	52	64	39	61	47	80	64	77	50	31									
		6.17%	10.50%	5.89%	8.47%	5.34%	7.61%	4.24%	3.42%	6.29%	6.31%	4.61%	6.64%	5.29%	7.29%	5.98%	8.74%	5.45%	4.56%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
