Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Некрасовка																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №3412	УИК №3413	УИК №3414	УИК №3418	УИК №3419	УИК №3420	УИК №3706									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	2	4	2	2	1	2	0	2	2	2	0	8	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	226	14	23	18	25	17	13	16	16	8	13	11	16	29	7									
		2.00%	3.15%	2.24%	2.99%	2.06%	2.87%	1.93%	1.40%	1.25%	0.82%	1.48%	1.47%	2.32%	3.64%	3.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	8	22	7	21	15	15	23	15	10	18	14	16	11	1									
		1.74%	1.80%	2.14%	1.16%	1.73%	2.53%	2.22%	2.02%	1.17%	1.02%	2.05%	1.87%	2.32%	1.38%	0.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	253	12	23	17	25	15	21	36	16	9	13	19	14	25	8									
		2.24%	2.70%	2.24%	2.83%	2.06%	2.53%	3.11%	3.16%	1.25%	0.92%	1.48%	2.54%	2.03%	3.14%	3.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5687	184	444	255	610	274	393	616	824	532	506	389	259	315	86									
		50.39%	41.44%	43.27%	42.43%	50.16%	46.21%	58.22%	54.04%	64.43%	54.45%	57.57%	52.07%	37.54%	39.52%	38.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	148	7	20	11	11	9	7	16	14	3	15	0	11	20	4									
		1.31%	1.58%	1.95%	1.83%	0.90%	1.52%	1.04%	1.40%	1.09%	0.31%	1.71%	0.00%	1.59%	2.51%	1.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	2	1	3	3	1	1	4	5	2	4	7	1	2	0									
		0.32%	0.45%	0.10%	0.50%	0.25%	0.17%	0.15%	0.35%	0.39%	0.20%	0.46%	0.94%	0.14%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1970	75	182	109	240	112	87	188	158	230	182	119	118	129	41									
		17.45%	16.89%	17.74%	18.14%	19.74%	18.89%	12.89%	16.49%	12.35%	23.54%	20.71%	15.93%	17.10%	16.19%	18.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	158	5	14	11	17	11	11	9	20	7	6	8	19	18	2									
		1.40%	1.13%	1.36%	1.83%	1.40%	1.85%	1.63%	0.79%	1.56%	0.72%	0.68%	1.07%	2.75%	2.26%	0.90%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	189	6	18	11	19	13	5	14	25	10	4	9	25	28	2									
		1.67%	1.35%	1.75%	1.83%	1.56%	2.19%	0.74%	1.23%	1.95%	1.02%	0.46%	1.20%	3.62%	3.51%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	4	4	4	1	1	4	3	1	0	0	5	4	5	0									
		0.32%	0.90%	0.39%	0.67%	0.08%	0.17%	0.59%	0.26%	0.08%	0.00%	0.00%	0.67%	0.58%	0.63%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	384	23	33	15	31	23	13	31	38	20	15	21	57	55	9									
		3.40%	5.18%	3.22%	2.50%	2.55%	3.88%	1.93%	2.72%	2.97%	2.05%	1.71%	2.81%	8.26%	6.90%	4.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1206	58	138	71	128	68	60	108	90	89	86	91	96	93	30									
		10.68%	13.06%	13.45%	11.81%	10.53%	11.47%	8.89%	9.47%	7.04%	9.11%	9.78%	12.18%	13.91%	11.67%	13.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	53	8	7	2	3	1	4	3	4	5	0	6	3	4	3									
		0.47%	1.80%	0.68%	0.33%	0.25%	0.17%	0.59%	0.26%	0.31%	0.51%	0.00%	0.80%	0.43%	0.50%	1.35%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	554	30	77	55	58	29	33	52	36	40	0	39	43	45	17									
		4.91%	6.76%	7.50%	9.15%	4.77%	4.89%	4.89%	4.56%	2.81%	4.09%	0.00%	5.22%	6.23%	5.65%	7.62%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
