Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662	УИК №4663									
		3.03%	1.65%	2.67%	1.93%	3.61%	2.18%	3.05%	5.01%	3.58%	3.44%	2.46%	5.51%	3.56%	1.75%	2.62%	3.61%	4.09%	1.53%	3.07%	3.03%	2.70%	1.58%	2.32%	1.95%	3.35%	4.08%	4.12%	2.59%	2.96%	0.56%	2.95%	3.02%	2.34%	2.65%	2.50%	3.95%	3.74%	4.56%	2.37%	2.32%	3.70%	3.88%	3.46%	3.76%	2.71%	3.39%	3.17%	1.51%	4.17%	2.97%	1.33%	4.65%	5.05%	2.16%	4.87%	3.33%	2.12%	2.80%	5.39%	2.94%	2.39%	4.38%	2.81%	5.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	860	12	8	11	10	22	18	7	23	21	16	6	5	9	11	15	14	9	8	6	27	18	21	10	10	13	21	21	19	7	9	17	3	32	20	13	16	11	14	11	18	12	8	19	17	17	10	18	15	18	6	20	15	10	10	5	10	15	5	19	14	13	15	7									
		2.05%	1.80%	1.78%	1.63%	1.64%	2.82%	1.96%	0.97%	2.49%	2.49%	3.03%	2.36%	1.62%	1.75%	2.06%	2.08%	2.20%	1.15%	1.64%	1.52%	3.04%	2.58%	2.56%	1.50%	2.58%	2.95%	3.09%	2.59%	2.96%	0.79%	1.90%	2.23%	0.70%	2.92%	1.99%	1.77%	2.06%	3.13%	4.14%	1.42%	3.03%	1.86%	1.73%	2.75%	1.92%	2.40%	1.51%	1.82%	1.84%	1.98%	1.14%	2.58%	2.05%	1.96%	1.57%	1.28%	1.77%	1.99%	1.23%	2.07%	1.46%	2.99%	1.14%	2.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	996	32	9	12	12	23	27	14	26	15	5	7	12	3	12	24	15	7	13	8	28	10	23	8	12	14	24	20	25	9	13	24	9	17	26	18	24	13	2	0	17	20	10	18	26	30	22	25	11	23	6	25	12	12	17	11	6	16	9	20	33	11	12	9									
		2.37%	4.80%	2.00%	1.78%	1.97%	2.94%	2.94%	1.95%	2.82%	1.78%	0.95%	2.76%	3.88%	0.58%	2.24%	3.33%	2.36%	0.90%	2.66%	2.02%	3.15%	1.43%	2.80%	1.20%	3.09%	3.17%	3.53%	2.47%	3.90%	1.01%	2.74%	3.15%	2.10%	1.55%	2.59%	2.45%	3.09%	3.70%	0.59%	0.00%	2.86%	3.11%	2.16%	2.60%	2.94%	4.23%	3.32%	2.52%	1.35%	2.53%	1.14%	3.23%	1.64%	2.36%	2.67%	2.82%	1.06%	2.13%	2.21%	2.18%	3.43%	2.53%	0.91%	2.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22228	296	239	333	285	351	504	330	470	521	348	91	143	323	256	300	280	496	197	197	404	374	429	416	177	179	316	423	329	762	218	342	279	638	526	354	469	150	168	466	246	366	182	328	539	286	355	711	385	451	305	365	331	286	295	207	341	409	189	562	487	208	833	182									
		52.89%	44.38%	53.11%	49.33%	46.72%	44.94%	54.90%	45.90%	50.92%	61.80%	65.91%	35.83%	46.28%	62.84%	47.85%	41.67%	44.03%	63.43%	40.29%	49.75%	45.50%	53.58%	52.32%	62.37%	45.62%	40.59%	46.47%	52.22%	51.33%	85.91%	45.99%	44.88%	65.19%	58.26%	52.50%	48.16%	60.44%	42.74%	49.70%	60.05%	41.41%	56.83%	39.31%	47.47%	60.97%	40.34%	53.63%	71.75%	47.24%	49.61%	57.77%	47.16%	45.16%	56.19%	46.31%	53.08%	60.35%	54.46%	46.32%	61.29%	50.68%	47.93%	63.35%	54.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	578	5	6	10	13	13	13	8	21	7	4	4	5	1	5	17	13	4	9	8	12	14	6	6	11	7	11	9	10	1	8	12	5	13	23	8	11	4	6	4	9	3	8	12	7	9	10	3	7	11	7	12	4	8	24	9	12	12	13	12	27	3	1	8									
		1.38%	0.75%	1.33%	1.48%	2.13%	1.66%	1.42%	1.11%	2.28%	0.83%	0.76%	1.57%	1.62%	0.19%	0.93%	2.36%	2.04%	0.51%	1.84%	2.02%	1.35%	2.01%	0.73%	0.90%	2.84%	1.59%	1.62%	1.11%	1.56%	0.11%	1.69%	1.57%	1.17%	1.19%	2.30%	1.09%	1.42%	1.14%	1.78%	0.52%	1.52%	0.47%	1.73%	1.74%	0.79%	1.27%	1.51%	0.30%	0.86%	1.21%	1.33%	1.55%	0.55%	1.57%	3.77%	2.31%	2.12%	1.60%	3.19%	1.31%	2.81%	0.69%	0.08%	2.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	85	3	0	1	2	0	0	2	1	3	5	1	0	1	0	0	2	0	0	0	3	0	1	0	4	1	0	0	0	1	0	4	1	2	12	0	2	0	1	0	1	0	1	1	1	2	1	10	2	5	0	2	0	0	2	0	1	1	1	0	1	0	0	0									
		0.20%	0.45%	0.00%	0.15%	0.33%	0.00%	0.00%	0.28%	0.11%	0.36%	0.95%	0.39%	0.00%	0.19%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.34%	0.00%	0.12%	0.00%	1.03%	0.23%	0.00%	0.00%	0.00%	0.11%	0.00%	0.52%	0.23%	0.18%	1.20%	0.00%	0.26%	0.00%	0.30%	0.00%	0.17%	0.00%	0.22%	0.14%	0.11%	0.28%	0.15%	1.01%	0.25%	0.55%	0.00%	0.26%	0.00%	0.00%	0.31%	0.00%	0.18%	0.13%	0.25%	0.00%	0.10%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5868	105	60	115	103	124	122	109	103	97	36	34	43	65	81	130	116	91	84	62	139	101	148	98	68	90	99	148	91	28	82	113	55	120	150	132	79	48	63	86	103	85	95	114	69	134	104	54	137	114	83	122	97	74	82	37	59	79	51	93	140	71	208	45									
		13.96%	15.74%	13.33%	17.04%	16.89%	15.88%	13.29%	15.16%	11.16%	11.51%	6.82%	13.39%	13.92%	12.65%	15.14%	18.06%	18.24%	11.64%	17.18%	15.66%	15.65%	14.47%	18.05%	14.69%	17.53%	20.41%	14.56%	18.27%	14.20%	3.16%	17.30%	14.83%	12.85%	10.96%	14.97%	17.96%	10.18%	13.68%	18.64%	11.08%	17.34%	13.20%	20.52%	16.50%	7.81%	18.90%	15.71%	5.45%	16.81%	12.54%	15.72%	15.76%	13.23%	14.54%	12.87%	9.49%	10.44%	10.52%	12.50%	10.14%	14.57%	16.36%	15.82%	13.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	568	23	3	16	13	14	10	12	19	2	10	5	4	3	8	15	8	8	5	4	17	7	11	7	7	5	9	5	6	3	5	17	5	12	17	3	9	7	4	14	9	1	13	13	9	10	5	2	14	14	2	9	19	7	11	2	7	6	3	12	16	7	16	9									
		1.35%	3.45%	0.67%	2.37%	2.13%	1.79%	1.09%	1.67%	2.06%	0.24%	1.89%	1.97%	1.29%	0.58%	1.50%	2.08%	1.26%	1.02%	1.02%	1.01%	1.91%	1.00%	1.34%	1.05%	1.80%	1.13%	1.32%	0.62%	0.94%	0.34%	1.05%	2.23%	1.17%	1.10%	1.70%	0.41%	1.16%	1.99%	1.18%	1.80%	1.52%	0.16%	2.81%	1.88%	1.02%	1.41%	0.76%	0.20%	1.72%	1.54%	0.38%	1.16%	2.59%	1.38%	1.73%	0.51%	1.24%	0.80%	0.74%	1.31%	1.66%	1.61%	1.22%	2.67%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	943	11	8	19	22	29	24	29	20	37	3	8	5	12	18	10	9	11	16	11	23	8	13	11	7	3	17	10	12	4	9	8	9	15	21	12	12	5	7	12	17	13	17	17	16	15	11	7	25	26	10	27	18	17	20	8	16	30	20	22	33	10	11	17									
		2.24%	1.65%	1.78%	2.81%	3.61%	3.71%	2.61%	4.03%	2.17%	4.39%	0.57%	3.15%	1.62%	2.33%	3.36%	1.39%	1.42%	1.41%	3.27%	2.78%	2.59%	1.15%	1.59%	1.65%	1.80%	0.68%	2.50%	1.23%	1.87%	0.45%	1.90%	1.05%	2.10%	1.37%	2.10%	1.63%	1.55%	1.42%	2.07%	1.55%	2.86%	2.02%	3.67%	2.46%	1.81%	2.12%	1.66%	0.71%	3.07%	2.86%	1.89%	3.49%	2.46%	3.34%	3.14%	2.05%	2.83%	3.99%	4.90%	2.40%	3.43%	2.30%	0.84%	5.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	69	0	0	0	2	1	1	3	0	2	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	6	2	1	6	0	1	1	2	0	1	1	1	4	0	10	0	2	1	3	1	0	1	0	0	1	1	1	1	0	2	0									
		0.16%	0.00%	0.00%	0.00%	0.33%	0.13%	0.11%	0.42%	0.00%	0.24%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.11%	0.14%	0.12%	0.15%	0.26%	0.00%	0.15%	0.00%	0.16%	0.11%	0.00%	0.00%	0.00%	0.55%	0.20%	0.14%	0.77%	0.00%	0.30%	0.13%	0.34%	0.00%	0.22%	0.14%	0.11%	0.56%	0.00%	1.01%	0.00%	0.22%	0.19%	0.39%	0.14%	0.00%	0.16%	0.00%	0.00%	0.13%	0.25%	0.11%	0.10%	0.00%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1160	23	2	20	23	26	29	23	25	13	19	6	9	15	16	27	37	15	21	8	23	13	16	12	8	10	13	18	8	5	19	17	5	19	14	19	15	8	10	12	27	11	17	20	36	23	21	21	28	15	16	30	28	10	18	16	15	35	16	21	57	17	30	11									
		2.76%	3.45%	0.44%	2.96%	3.77%	3.33%	3.16%	3.20%	2.71%	1.54%	3.60%	2.36%	2.91%	2.92%	2.99%	3.75%	5.82%	1.92%	4.29%	2.02%	2.59%	1.86%	1.95%	1.80%	2.06%	2.27%	1.91%	2.22%	1.25%	0.56%	4.01%	2.23%	1.17%	1.74%	1.40%	2.59%	1.93%	2.28%	2.96%	1.55%	4.55%	1.71%	3.67%	2.89%	4.07%	3.24%	3.17%	2.12%	3.44%	1.65%	3.03%	3.88%	3.82%	1.96%	2.83%	4.10%	2.65%	4.66%	3.92%	2.29%	5.93%	3.92%	2.28%	3.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4662	103	81	83	69	102	92	99	125	62	41	52	48	40	68	86	77	78	79	46	111	81	80	48	38	61	86	80	73	42	68	79	29	109	82	85	72	50	32	100	77	67	59	80	111	89	61	69	113	132	63	78	104	60	84	50	60	86	54	78	77	54	100	19									
		11.09%	15.44%	18.00%	12.30%	11.31%	13.06%	10.02%	13.77%	13.54%	7.35%	7.77%	20.47%	15.53%	7.78%	12.71%	11.94%	12.11%	9.97%	16.16%	11.62%	12.50%	11.60%	9.76%	7.20%	9.79%	13.83%	12.65%	9.88%	11.39%	4.74%	14.35%	10.37%	6.78%	9.95%	8.18%	11.56%	9.28%	14.25%	9.47%	12.89%	12.96%	10.40%	12.74%	11.58%	12.56%	12.55%	9.21%	6.96%	13.87%	14.52%	11.93%	10.08%	14.19%	11.79%	13.19%	12.82%	10.62%	11.45%	13.24%	8.51%	8.01%	12.44%	7.60%	5.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	306	4	1	5	4	5	11	2	4	5	4	1	1	1	4	6	3	4	2	4	11	6	5	5	3	2	6	6	2	4	2	3	2	4	16	7	3	7	2	8	7	2	5	2	4	9	2	4	3	18	4	2	14	2	7	4	2	3	2	8	14	1	9	3									
		0.73%	0.60%	0.22%	0.74%	0.66%	0.64%	1.20%	0.28%	0.43%	0.59%	0.76%	0.39%	0.32%	0.19%	0.75%	0.83%	0.47%	0.51%	0.41%	1.01%	1.24%	0.86%	0.61%	0.75%	0.77%	0.45%	0.88%	0.74%	0.31%	0.45%	0.42%	0.39%	0.47%	0.37%	1.60%	0.95%	0.39%	1.99%	0.59%	1.03%	1.18%	0.31%	1.08%	0.29%	0.45%	1.27%	0.30%	0.40%	0.37%	1.98%	0.76%	0.26%	1.91%	0.39%	1.10%	1.03%	0.35%	0.40%	0.49%	0.87%	1.46%	0.23%	0.68%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1705	29	11	18	19	40	32	33	34	22	21	16	17	24	29	52	19	42	26	18	49	32	33	13	18	28	28	44	24	10	20	85	6	42	45	44	22	22	11	32	25	32	21	27	16	39	29	38	31	44	13	27	42	10	27	21	14	25	18	29	30	14	17	6									
		4.06%	4.35%	2.44%	2.67%	3.11%	5.12%	3.49%	4.59%	3.68%	2.61%	3.98%	6.30%	5.50%	4.67%	5.42%	7.22%	2.99%	5.37%	5.32%	4.55%	5.52%	4.58%	4.02%	1.95%	4.64%	6.35%	4.12%	5.43%	3.74%	1.13%	4.22%	11.15%	1.40%	3.84%	4.49%	5.99%	2.84%	6.27%	3.25%	4.12%	4.21%	4.97%	4.54%	3.91%	1.81%	5.50%	4.38%	3.83%	3.80%	4.84%	2.46%	3.49%	5.73%	1.96%	4.24%	5.38%	2.48%	3.33%	4.41%	3.16%	3.12%	3.23%	1.29%	1.78%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
