Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №941	УИК №2194					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	1.Политическая партия «Аграрная партия России»	1343	15	20	20	18	22	18	13	12	12	13	19	23	24	23	26	25	15	14	36	20	31	28	22	18	42	15	29	28	28	27	23	9	10	36	36	17	39	27	24	36	22	13	18	26	8	36	18	26	24	15	11	12	15	21	19	24	29	36	21	23	2	8	3					
		2.26%	1.99%	2.21%	2.19%	2.13%	2.62%	3.15%	1.95%	1.88%	1.39%	1.37%	3.10%	1.99%	2.40%	2.76%	1.86%	2.13%	1.27%	1.63%	2.74%	2.80%	2.22%	1.89%	1.73%	1.77%	5.22%	2.23%	2.78%	3.19%	4.20%	3.45%	3.75%	2.34%	2.18%	2.72%	2.90%	1.40%	2.86%	2.34%	2.28%	2.66%	1.91%	1.38%	1.79%	2.87%	0.90%	2.36%	1.31%	1.64%	1.97%	2.40%	1.43%	1.68%	2.41%	1.74%	2.14%	3.50%	2.41%	2.79%	2.13%	2.03%	1.68%	3.81%	2.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	676	10	7	10	13	8	4	3	7	14	12	2	12	14	6	8	8	14	5	21	8	20	26	17	15	11	6	22	9	4	6	7	1	5	13	16	10	13	10	24	22	9	12	12	7	10	16	11	22	5	10	5	2	3	16	7	9	23	18	16	15	3	1	1					
		1.14%	1.33%	0.77%	1.10%	1.54%	0.95%	0.70%	0.45%	1.10%	1.62%	1.27%	0.33%	1.04%	1.40%	0.72%	0.57%	0.68%	1.19%	0.58%	1.60%	1.12%	1.43%	1.76%	1.34%	1.47%	1.37%	0.89%	2.11%	1.03%	0.60%	0.77%	1.14%	0.26%	1.09%	0.98%	1.29%	0.82%	0.95%	0.87%	2.28%	1.63%	0.78%	1.28%	1.20%	0.77%	1.13%	1.05%	0.80%	1.38%	0.41%	1.60%	0.65%	0.28%	0.48%	1.32%	0.79%	1.31%	1.91%	1.39%	1.63%	1.33%	2.52%	0.48%	0.80%					
20	3.Политическая партия «Демократическая партия России»	58	0	1	2	1	1	0	0	1	1	2	0	0	3	0	0	1	0	0	2	1	1	1	2	1	1	0	0	1	1	0	0	0	0	2	1	2	1	0	2	2	1	0	0	3	2	1	2	1	1	0	0	0	1	4	0	2	0	5	0	0	0	1	0					
		0.10%	0.00%	0.11%	0.22%	0.12%	0.12%	0.00%	0.00%	0.16%	0.12%	0.21%	0.00%	0.00%	0.30%	0.00%	0.00%	0.09%	0.00%	0.00%	0.15%	0.14%	0.07%	0.07%	0.16%	0.10%	0.12%	0.00%	0.00%	0.11%	0.15%	0.00%	0.00%	0.00%	0.00%	0.15%	0.08%	0.16%	0.07%	0.00%	0.19%	0.15%	0.09%	0.00%	0.00%	0.33%	0.23%	0.07%	0.15%	0.06%	0.08%	0.00%	0.00%	0.00%	0.16%	0.33%	0.00%	0.29%	0.00%	0.39%	0.00%	0.00%	0.00%	0.48%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7988	110	129	136	120	107	94	76	113	111	118	82	163	132	100	192	164	137	99	198	106	188	184	168	174	119	92	143	122	99	125	109	39	47	188	197	170	146	160	125	181	162	133	167	115	115	198	165	98	124	61	84	83	79	195	113	114	182	164	126	158	23	45	21					
		13.42%	14.65%	14.25%	14.91%	14.18%	12.75%	16.46%	11.38%	17.74%	12.85%	12.46%	13.40%	14.11%	13.19%	11.99%	13.74%	14.01%	11.61%	11.50%	15.07%	14.83%	13.45%	12.42%	13.20%	17.09%	14.78%	13.69%	13.72%	13.91%	14.84%	15.96%	17.75%	10.13%	10.24%	14.20%	15.86%	14.01%	10.70%	13.84%	11.87%	13.40%	14.10%	14.16%	16.63%	12.68%	12.97%	13.00%	12.02%	6.16%	10.20%	9.74%	10.94%	11.62%	12.70%	16.14%	12.71%	16.64%	15.14%	12.69%	12.80%	13.97%	19.33%	21.43%	16.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	735	5	6	5	11	13	3	7	3	21	11	7	9	5	3	23	13	9	2	19	21	22	24	22	16	5	16	13	5	13	4	7	4	10	13	17	13	25	19	22	29	10	24	14	7	24	6	7	12	4	8	3	10	7	16	12	7	12	28	16	10	2	0	1					
		1.23%	0.67%	0.66%	0.55%	1.30%	1.55%	0.53%	1.05%	0.47%	2.43%	1.16%	1.14%	0.78%	0.50%	0.36%	1.65%	1.11%	0.76%	0.23%	1.45%	2.94%	1.57%	1.62%	1.73%	1.57%	0.62%	2.38%	1.25%	0.57%	1.95%	0.51%	1.14%	1.04%	2.18%	0.98%	1.37%	1.07%	1.83%	1.64%	2.09%	2.15%	0.87%	2.56%	1.39%	0.77%	2.71%	0.39%	0.51%	0.75%	0.33%	1.28%	0.39%	1.40%	1.13%	1.32%	1.35%	1.02%	0.99%	2.17%	1.63%	0.88%	1.68%	0.00%	0.80%					
23	6.Политическая партия «Партия социальной справедливости»	143	2	5	3	4	3	2	0	2	0	2	0	2	5	1	4	3	1	0	2	2	3	4	2	1	4	2	5	1	2	0	1	0	1	1	2	5	4	2	4	7	5	2	4	2	4	4	1	4	4	2	1	0	0	2	1	2	3	5	1	2	0	0	0					
		0.24%	0.27%	0.55%	0.33%	0.47%	0.36%	0.35%	0.00%	0.31%	0.00%	0.21%	0.00%	0.17%	0.50%	0.12%	0.29%	0.26%	0.08%	0.00%	0.15%	0.28%	0.21%	0.27%	0.16%	0.10%	0.50%	0.30%	0.48%	0.11%	0.30%	0.00%	0.16%	0.00%	0.22%	0.08%	0.16%	0.41%	0.29%	0.17%	0.38%	0.52%	0.44%	0.21%	0.40%	0.22%	0.45%	0.26%	0.07%	0.25%	0.33%	0.32%	0.13%	0.00%	0.00%	0.17%	0.11%	0.29%	0.25%	0.39%	0.10%	0.18%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5972	65	84	76	79	75	48	52	67	94	101	61	133	97	89	127	123	143	105	117	71	116	133	130	85	68	62	95	81	48	62	45	38	42	111	101	103	131	105	115	123	114	141	101	85	88	174	139	274	145	74	79	75	61	133	86	64	150	158	102	94	9	10	15					
		10.03%	8.66%	9.28%	8.33%	9.34%	8.94%	8.41%	7.78%	10.52%	10.88%	10.67%	9.97%	11.52%	9.69%	10.67%	9.09%	10.50%	12.12%	12.20%	8.90%	9.93%	8.30%	8.98%	10.21%	8.35%	8.45%	9.23%	9.12%	9.24%	7.20%	7.92%	7.33%	9.87%	9.15%	8.38%	8.13%	8.49%	9.60%	9.08%	10.92%	9.10%	9.92%	15.02%	10.06%	9.37%	9.92%	11.42%	10.12%	17.23%	11.92%	11.82%	10.29%	10.50%	9.81%	11.01%	9.67%	9.34%	12.48%	12.23%	10.37%	8.31%	7.56%	4.76%	12.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7920	120	136	142	143	106	66	91	82	109	114	83	136	132	90	172	119	120	93	165	96	206	268	184	182	104	97	160	102	87	82	63	48	45	228	199	177	204	206	112	208	170	82	138	136	91	195	172	129	126	113	131	122	99	156	106	97	139	152	91	128	13	35	22					
		13.31%	15.98%	15.03%	15.57%	16.90%	12.63%	11.56%	13.62%	12.87%	12.62%	12.04%	13.56%	11.77%	13.19%	10.79%	12.31%	10.16%	10.17%	10.80%	12.56%	13.43%	14.74%	18.10%	14.45%	17.88%	12.92%	14.43%	15.36%	11.63%	13.04%	10.47%	10.26%	12.47%	9.80%	17.22%	16.02%	14.59%	14.95%	17.82%	10.64%	15.40%	14.80%	8.73%	13.75%	14.99%	10.26%	12.80%	12.53%	8.11%	10.36%	18.05%	17.06%	17.09%	15.92%	12.91%	11.92%	14.16%	11.56%	11.76%	9.25%	11.32%	10.92%	16.67%	17.60%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	384	5	7	3	7	6	3	6	0	10	7	2	4	5	5	11	4	3	5	11	3	2	12	7	10	7	5	7	5	3	8	7	4	3	5	18	11	11	10	5	12	4	2	5	3	4	6	8	9	4	3	4	2	9	11	5	6	9	8	8	8	0	1	6					
		0.65%	0.67%	0.77%	0.33%	0.83%	0.72%	0.53%	0.90%	0.00%	1.16%	0.74%	0.33%	0.35%	0.50%	0.60%	0.79%	0.34%	0.25%	0.58%	0.84%	0.42%	0.14%	0.81%	0.55%	0.98%	0.87%	0.74%	0.67%	0.57%	0.45%	1.02%	1.14%	1.04%	0.65%	0.38%	1.45%	0.91%	0.81%	0.87%	0.47%	0.89%	0.35%	0.21%	0.50%	0.33%	0.45%	0.39%	0.58%	0.57%	0.33%	0.48%	0.52%	0.28%	1.45%	0.91%	0.56%	0.88%	0.75%	0.62%	0.81%	0.71%	0.00%	0.48%	4.80%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	32826	392	492	493	431	470	325	403	340	462	557	342	644	566	502	814	686	717	514	701	364	769	749	689	504	424	350	536	506	359	446	337	233	286	703	613	674	747	572	600	699	611	511	520	507	511	854	819	986	761	321	430	394	334	601	522	341	633	694	573	668	62	108	54					
		55.15%	52.20%	54.36%	54.06%	50.95%	56.02%	56.92%	60.33%	53.38%	53.47%	58.82%	55.88%	55.76%	56.54%	60.19%	58.27%	58.58%	60.76%	59.70%	53.35%	50.91%	55.01%	50.57%	54.12%	49.51%	52.67%	52.08%	51.44%	57.70%	53.82%	56.96%	54.89%	60.52%	62.31%	53.10%	49.36%	55.56%	54.73%	49.48%	56.98%	51.74%	53.18%	54.42%	51.79%	55.90%	57.61%	56.07%	59.65%	62.01%	62.58%	51.28%	55.99%	55.18%	53.70%	49.75%	58.72%	49.78%	52.66%	53.72%	58.23%	59.06%	52.10%	51.43%	43.20%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	887	20	10	14	14	15	3	9	6	16	5	7	15	11	7	6	17	12	12	24	20	26	37	17	3	16	20	21	12	16	10	8	6	4	13	29	16	26	17	11	20	22	11	19	9	15	21	11	16	15	15	12	9	7	38	12	12	12	19	20	18	0	1	2					
		1.49%	2.66%	1.10%	1.54%	1.65%	1.79%	0.53%	1.35%	0.94%	1.85%	0.53%	1.14%	1.30%	1.10%	0.84%	0.43%	1.45%	1.02%	1.39%	1.83%	2.80%	1.86%	2.50%	1.34%	0.29%	1.99%	2.98%	2.02%	1.37%	2.40%	1.28%	1.30%	1.56%	0.87%	0.98%	2.33%	1.32%	1.90%	1.47%	1.04%	1.48%	1.91%	1.17%	1.89%	0.99%	1.69%	1.38%	0.80%	1.01%	1.23%	2.40%	1.56%	1.26%	1.13%	3.15%	1.35%	1.75%	0.99%	1.47%	2.03%	1.59%	0.00%	0.48%	1.60%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
