Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Клинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	2552	71	46	26	82	68	53	31	48	17	11	61	27	60	47	52	95	63	35	47	43	27	41	53	42	72	80	62	57	71	53	41	42	35	47	50	28	13	50	7	2	26	30	14	35	13	22	3	7	24	20	19	3	14	6	7	9	28	3	40	5	9	5	3	15	9	7	9	38	31	23	24	6	20	35	80	54					
		3.91%	5.70%	4.14%	2.77%	4.98%	5.22%	6.08%	3.04%	4.09%	3.57%	3.23%	7.10%	4.19%	5.34%	2.88%	4.55%	6.41%	4.58%	5.14%	4.20%	5.04%	3.46%	5.16%	5.87%	4.39%	4.66%	6.23%	4.91%	5.02%	4.53%	4.77%	4.31%	3.54%	4.39%	3.95%	3.00%	1.62%	2.12%	3.64%	2.87%	1.36%	4.66%	3.26%	5.19%	2.70%	2.67%	2.83%	2.00%	2.37%	3.58%	3.80%	2.62%	1.80%	4.05%	2.48%	2.83%	2.68%	2.17%	1.64%	3.84%	2.70%	3.30%	1.59%	0.86%	1.90%	3.00%	2.83%	2.74%	3.07%	3.00%	1.73%	2.09%	2.01%	1.72%	5.79%	5.60%	3.60%					
19	. Малышкин Олег Александрович	1068	29	16	16	25	20	10	20	29	9	6	7	10	12	33	30	30	19	8	27	20	5	14	12	9	26	20	20	16	15	23	7	16	16	21	17	21	10	23	1	2	12	11	2	20	6	21	2	14	10	10	11	2	4	11	6	11	22	8	18	4	6	6	8	15	3	4	5	19	22	28	7	5	4	16	21	24					
		1.63%	2.33%	1.44%	1.71%	1.52%	1.53%	1.15%	1.96%	2.47%	1.89%	1.76%	0.81%	1.55%	1.07%	2.02%	2.62%	2.03%	1.38%	1.17%	2.41%	2.34%	0.64%	1.76%	1.33%	0.94%	1.68%	1.56%	1.58%	1.41%	0.96%	2.07%	0.74%	1.35%	2.01%	1.76%	1.02%	1.21%	1.63%	1.67%	0.41%	1.36%	2.15%	1.19%	0.74%	1.54%	1.23%	2.70%	1.33%	4.75%	1.49%	1.90%	1.52%	1.20%	1.16%	4.55%	2.43%	3.27%	1.71%	4.37%	1.73%	2.16%	2.20%	1.91%	2.29%	1.90%	1.00%	1.62%	1.52%	1.53%	2.13%	2.11%	0.61%	1.67%	0.34%	2.64%	1.47%	1.60%					
20	. Миронов Сергей Михайлович	342	5	6	5	8	7	4	4	5	6	0	6	4	4	6	9	6	11	4	7	1	9	0	9	5	10	5	6	10	16	4	1	6	8	10	7	9	1	11	1	1	7	2	3	7	1	5	0	1	3	2	4	1	3	1	2	2	2	2	6	0	4	2	0	5	0	1	0	4	5	4	4	2	1	4	9	6					
		0.52%	0.40%	0.54%	0.53%	0.49%	0.54%	0.46%	0.39%	0.43%	1.26%	0.00%	0.70%	0.62%	0.36%	0.37%	0.79%	0.41%	0.80%	0.59%	0.62%	0.12%	1.15%	0.00%	1.00%	0.52%	0.65%	0.39%	0.48%	0.88%	1.02%	0.36%	0.11%	0.51%	1.00%	0.84%	0.42%	0.52%	0.16%	0.80%	0.41%	0.68%	1.25%	0.22%	1.11%	0.54%	0.21%	0.64%	0.00%	0.34%	0.45%	0.38%	0.55%	0.60%	0.87%	0.41%	0.81%	0.60%	0.16%	1.09%	0.58%	0.00%	1.47%	0.64%	0.00%	0.63%	0.00%	0.40%	0.00%	0.32%	0.48%	0.30%	0.35%	0.67%	0.09%	0.66%	0.63%	0.40%					
21	. Путин Владимир Владимирович	48906	908	833	738	1176	923	618	819	884	342	251	613	478	826	996	802	1030	979	513	730	641	608	553	646	649	1102	879	911	778	1102	763	668	905	575	872	1348	1386	473	996	171	127	437	749	195	1084	396	604	134	224	524	413	580	121	255	182	190	263	1069	143	809	157	203	253	296	639	228	190	278	974	841	1102	966	239	1008	431	993	1124					
		74.84%	72.87%	75.05%	78.68%	71.40%	70.84%	70.95%	80.37%	75.23%	71.85%	73.61%	71.36%	74.22%	73.49%	61.03%	70.10%	69.55%	71.20%	75.33%	65.18%	75.15%	77.95%	69.65%	71.54%	67.89%	71.33%	68.40%	72.19%	68.49%	70.28%	68.74%	70.24%	76.31%	72.06%	73.28%	80.86%	80.02%	77.04%	72.49%	70.08%	86.39%	78.32%	81.32%	72.22%	83.71%	81.48%	77.73%	89.33%	75.93%	78.21%	78.52%	79.89%	72.46%	73.70%	75.21%	76.92%	78.27%	82.93%	78.14%	77.71%	84.86%	74.36%	80.57%	84.57%	80.89%	76.00%	76.92%	84.76%	78.68%	81.26%	82.86%	83.93%	79.93%	86.52%	71.24%	69.54%	74.88%					
22	. Хакамада Ирина Муцуовна	1915	29	26	24	85	53	50	31	37	12	16	33	32	33	55	45	53	42	25	53	28	36	37	36	28	58	64	47	34	64	42	29	40	18	53	15	42	20	46	10	4	8	15	13	21	4	10	4	7	7	4	17	5	4	4	6	6	10	0	15	3	7	9	9	14	4	5	3	33	11	16	19	5	8	25	44	55					
		2.93%	2.33%	2.34%	2.56%	5.16%	4.07%	5.74%	3.04%	3.15%	2.52%	4.69%	3.84%	4.97%	2.94%	3.37%	3.93%	3.58%	3.05%	3.67%	4.73%	3.28%	4.62%	4.66%	3.99%	2.93%	3.75%	4.98%	3.72%	2.99%	4.08%	3.78%	3.05%	3.37%	2.26%	4.45%	0.90%	2.42%	3.26%	3.35%	4.10%	2.72%	1.43%	1.63%	4.81%	1.62%	0.82%	1.29%	2.67%	2.37%	1.04%	0.76%	2.34%	2.99%	1.16%	1.65%	2.43%	1.79%	0.78%	0.00%	1.44%	1.62%	2.56%	2.87%	2.57%	1.77%	1.33%	2.02%	0.91%	2.67%	1.06%	1.20%	1.65%	1.67%	0.69%	4.13%	3.08%	3.66%					
23	. Харитонов Николай Михайлович	7393	146	142	82	191	170	90	74	126	82	46	100	63	142	283	130	192	188	62	198	87	62	108	112	180	209	159	161	168	211	179	157	124	94	120	165	136	76	168	48	8	45	80	36	84	43	93	4	27	75	60	56	28	40	24	31	34	109	21	101	10	39	28	23	77	44	28	27	96	85	111	100	30	77	56	185	147					
		11.31%	11.72%	12.79%	8.74%	11.60%	13.05%	10.33%	7.26%	10.72%	17.23%	13.49%	11.64%	9.78%	12.63%	17.34%	11.36%	12.96%	13.67%	9.10%	17.68%	10.20%	7.95%	13.60%	12.40%	18.83%	13.53%	12.37%	12.76%	14.79%	13.46%	16.13%	16.51%	10.46%	11.78%	10.08%	9.90%	7.85%	12.38%	12.23%	19.67%	5.44%	8.06%	8.69%	13.33%	6.49%	8.85%	11.97%	2.67%	9.15%	11.19%	11.41%	7.71%	16.77%	11.56%	9.92%	12.55%	10.12%	8.46%	11.48%	9.70%	5.41%	14.29%	8.92%	6.57%	9.75%	14.67%	11.34%	8.23%	7.75%	8.21%	8.35%	8.69%	10.03%	6.61%	9.26%	12.96%	9.79%					
																																																																																			
24	Против всех	2753	47	34	37	67	60	46	29	39	6	10	36	30	44	197	71	68	64	30	52	30	27	36	26	38	54	70	51	62	80	43	37	50	48	56	55	98	20	67	2	2	15	26	6	39	17	20	2	14	24	15	26	2	18	14	5	10	45	3	33	4	3	8	9	23	10	10	6	64	35	33	28	9	47	37	90	84					
		4.21%	3.77%	3.06%	3.94%	4.07%	4.60%	5.28%	2.85%	3.32%	1.26%	2.93%	4.19%	4.66%	3.91%	12.07%	6.21%	4.59%	4.65%	4.41%	4.64%	3.52%	3.46%	4.53%	2.88%	3.97%	3.50%	5.45%	4.04%	5.46%	5.10%	3.87%	3.89%	4.22%	6.02%	4.71%	3.30%	5.66%	3.26%	4.88%	0.82%	1.36%	2.69%	2.82%	2.22%	3.01%	3.50%	2.57%	1.33%	4.75%	3.58%	2.85%	3.58%	1.20%	5.20%	5.79%	2.02%	2.98%	3.49%	1.64%	3.17%	2.16%	1.10%	2.55%	2.57%	2.91%	3.33%	4.05%	1.83%	5.17%	3.38%	2.48%	2.43%	3.01%	4.03%	6.12%	6.30%	5.60%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
