Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Пестовская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417					
		0.30%	0.0%	0.0%	0.57%	0.0%	0.32%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.46%	0.68%	0.0%	0.4%	0.0%	0.0%	0.0%	0.58%	0.26%	0.17%	0.55%	0.66%	0.55%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1063	26	26	28	33	14	26	23	34	29	33	15	20	15	16	10	58	5	68	87	97	138	67	113	61	21					
		9.71%	7.49%	13.40%	16.18%	10.89%	4.48%	18.57%	12.5%	8.29%	14.5%	12.40%	5.43%	4.65%	10.34%	10.52%	4.0%	17.57%	1.62%	9.45%	10.12%	8.60%	12.41%	9.22%	9.38%	11.19%	8.97%					
																																
41	Против всех	316	4	4	3	8	14	0	5	6	3	9	6	14	3	2	4	6	5	24	25	23	41	16	63	13	15					
		2.88%	1.15%	2.06%	1.73%	2.64%	4.48%	0.0%	2.71%	1.46%	1.5%	3.38%	2.17%	3.25%	2.06%	1.31%	1.6%	1.81%	1.62%	3.33%	2.91%	2.04%	3.68%	2.20%	5.23%	2.38%	6.41%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
