Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Лужская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №8322									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1143	5	5	10	10	10	20	1	25	25	15	7	15	2	25	30	15	35	25	10	20	25	10	10	16	40	25	10	15	10	25	35	30	2	6	25	30	15	20	12	15	40	55	30	15	30	5	15	11	10	10	30	50	20	30	40	31	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	895	2	3	4	7	10	11	1	14	10	9	4	10	1	22	15	13	25	15	4	17	19	5	5	11	35	22	2	14	6	25	35	20	1	0	20	30	15	13	6	15	40	55	25	5	30	3	11	11	3	10	30	50	20	30	40	16	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	919	5	6	11	4	11	10	35	97	17	7	5	20	6	59	18	13	15	15	17	9	9	8	3	21	12	34	2	9	22	14	3	10	10	13	11	34	21	12	3	3	4	52	36	9	6	11	5	59	18	2	2	21	1	1	10	10	15	23									
14	Число погашенных неиспользованных открепительных удостоверений	248	3	2	6	3	0	9	0	11	15	6	3	5	1	3	15	2	10	10	6	3	6	5	5	5	5	3	8	1	4	0	0	10	1	6	5	0	0	7	6	0	0	0	5	10	0	2	4	0	7	0	0	0	0	0	0	15	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	113	0	0	0	2	1	4	0	9	1	3	0	1	1	4	1	4	5	3	4	1	10	0	0	0	22	6	1	2	0	6	4	5	0	1	1	3	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	375	1	2	3	3	4	10	2	15	7	6	1	8	3	17	14	15	13	12	9	16	11	5	0	5	17	22	3	3	5	7	4	9	1	0	2	8	5	6	4	3	8	5	16	6	2	0	4	9	1	5	0	5	0	2	10	3	3	15									
		1.35%	0.70%	1.01%	1.17%	1.22%	1.47%	2.06%	0.96%	1.57%	1.28%	1.57%	0.69%	1.80%	3.37%	2.62%	2.47%	2.74%	1.33%	1.88%	0.97%	2.24%	1.55%	1.45%	0.00%	1.05%	1.21%	1.84%	1.01%	0.70%	0.83%	0.98%	1.25%	0.77%	0.50%	0.00%	0.45%	1.02%	0.79%	1.10%	2.30%	0.92%	1.41%	1.14%	1.62%	1.80%	0.47%	0.00%	0.99%	2.33%	0.92%	2.05%	0.00%	1.27%	0.00%	0.80%	1.59%	0.46%	0.63%	4.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	841	4	7	4	4	0	6	3	24	11	8	0	6	0	24	19	18	34	17	18	15	24	12	3	15	150	21	9	15	8	17	8	23	4	3	8	26	10	9	2	10	21	16	23	12	9	5	26	17	3	15	3	12	12	5	30	16	9	8									
		3.03%	2.82%	3.52%	1.56%	1.63%	0.00%	1.23%	1.44%	2.52%	2.01%	2.10%	0.00%	1.35%	0.00%	3.70%	3.36%	3.28%	3.47%	2.66%	1.93%	2.10%	3.39%	3.49%	1.13%	3.16%	10.70%	1.75%	3.03%	3.48%	1.33%	2.38%	2.50%	1.96%	2.00%	2.05%	1.79%	3.30%	1.58%	1.65%	1.15%	3.06%	3.70%	3.64%	2.34%	3.60%	2.10%	3.14%	6.48%	4.39%	2.75%	6.15%	1.36%	3.04%	5.29%	2.00%	4.78%	2.47%	1.89%	2.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	504	5	8	10	3	9	17	5	9	13	12	2	8	2	16	11	15	15	14	10	17	13	14	6	9	24	14	8	6	2	16	15	21	7	1	4	9	11	11	6	3	5	7	18	4	3	3	6	3	1	4	6	12	1	2	3	14	6	5									
		1.81%	3.52%	4.02%	3.91%	1.22%	3.31%	3.50%	2.39%	0.94%	2.38%	3.15%	1.38%	1.80%	2.25%	2.47%	1.94%	2.74%	1.53%	2.19%	1.07%	2.38%	1.83%	4.07%	2.26%	1.90%	1.71%	1.17%	2.69%	1.39%	0.33%	2.24%	4.69%	1.79%	3.50%	0.68%	0.90%	1.14%	1.74%	2.02%	3.45%	0.92%	0.88%	1.59%	1.83%	1.20%	0.70%	1.89%	1.50%	0.78%	0.92%	1.64%	2.71%	3.04%	0.44%	0.80%	0.48%	2.16%	1.26%	1.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14466	66	82	112	111	122	217	143	506	245	171	62	215	42	260	230	237	577	245	577	299	271	133	133	195	739	656	118	212	348	407	169	714	103	90	289	366	384	314	118	200	289	253	536	165	272	92	211	211	54	149	117	193	139	161	325	401	292	128									
		52.07%	46.48%	41.21%	43.75%	45.31%	44.85%	44.65%	68.42%	53.10%	44.87%	44.88%	42.76%	48.31%	47.19%	40.06%	40.64%	43.25%	58.88%	38.28%	61.91%	41.82%	38.22%	38.66%	50.00%	41.14%	52.71%	54.80%	39.73%	49.19%	58.00%	57.08%	52.81%	60.97%	51.50%	61.64%	64.80%	46.45%	60.57%	57.72%	67.82%	61.16%	50.88%	57.63%	54.42%	49.55%	63.55%	57.86%	52.62%	54.52%	49.54%	61.07%	52.94%	48.86%	61.23%	64.40%	51.83%	61.98%	61.34%	42.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	197	2	1	2	2	1	3	1	5	9	2	1	3	0	6	3	3	11	7	3	6	9	3	2	3	7	12	5	7	4	5	0	5	1	0	1	3	3	5	2	1	2	4	7	7	3	0	0	3	1	1	1	1	3	0	2	2	2	9									
		0.71%	1.41%	0.50%	0.78%	0.82%	0.37%	0.62%	0.48%	0.52%	1.65%	0.52%	0.69%	0.67%	0.00%	0.92%	0.53%	0.55%	1.12%	1.09%	0.32%	0.84%	1.27%	0.87%	0.75%	0.63%	0.50%	1.00%	1.68%	1.62%	0.67%	0.70%	0.00%	0.43%	0.50%	0.00%	0.22%	0.38%	0.47%	0.92%	1.15%	0.31%	0.35%	0.91%	0.71%	2.10%	0.70%	0.00%	0.00%	0.78%	0.92%	0.41%	0.45%	0.25%	1.32%	0.00%	0.32%	0.31%	0.42%	2.97%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	0	2	0	0	1	2	0	2	2	1	0	1	0	2	1	0	0	1	1	0	0	0	0	0	4	6	0	1	2	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	2	2									
		0.16%	0.00%	1.01%	0.00%	0.00%	0.37%	0.41%	0.00%	0.21%	0.37%	0.26%	0.00%	0.22%	0.00%	0.31%	0.18%	0.00%	0.00%	0.16%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.50%	0.00%	0.23%	0.33%	0.14%	0.31%	0.09%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.57%	0.00%	0.18%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.25%	0.00%	0.40%	0.16%	0.15%	0.42%	0.66%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4107	13	35	37	51	45	83	15	188	105	54	30	69	22	101	85	84	99	88	101	99	125	58	46	115	274	194	44	83	107	104	35	120	32	19	62	126	70	81	19	35	55	50	123	60	63	23	29	71	23	24	46	56	26	38	93	83	68	23									
		14.78%	9.15%	17.59%	14.45%	20.82%	16.54%	17.08%	7.18%	19.73%	19.23%	14.17%	20.69%	15.51%	24.72%	15.56%	15.02%	15.33%	10.10%	13.75%	10.84%	13.85%	17.63%	16.86%	17.29%	24.26%	19.54%	16.21%	14.81%	19.26%	17.83%	14.59%	10.94%	10.25%	16.00%	13.01%	13.90%	15.99%	11.04%	14.89%	10.92%	10.70%	9.68%	11.39%	12.49%	18.02%	14.72%	14.47%	7.23%	18.35%	21.10%	9.84%	20.81%	14.18%	11.45%	15.20%	14.83%	12.83%	14.29%	7.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	186	0	2	2	4	5	5	2	12	7	4	1	3	1	7	1	0	2	9	4	8	4	3	2	9	6	5	1	3	2	3	1	2	0	2	3	5	0	5	2	1	3	2	7	0	1	1	2	0	1	0	2	5	1	3	3	1	4	12									
		0.67%	0.00%	1.01%	0.78%	1.63%	1.84%	1.03%	0.96%	1.26%	1.28%	1.05%	0.69%	0.67%	1.12%	1.08%	0.18%	0.00%	0.20%	1.41%	0.43%	1.12%	0.56%	0.87%	0.75%	1.90%	0.43%	0.42%	0.34%	0.70%	0.33%	0.42%	0.31%	0.17%	0.00%	1.37%	0.67%	0.63%	0.00%	0.92%	1.15%	0.31%	0.53%	0.46%	0.71%	0.00%	0.23%	0.63%	0.50%	0.00%	0.92%	0.00%	0.90%	1.27%	0.44%	1.20%	0.48%	0.15%	0.84%	3.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	483	3	3	5	5	5	14	1	13	11	13	3	11	0	22	13	17	21	18	12	10	21	9	4	9	13	20	7	6	9	13	8	14	9	3	4	8	14	15	0	5	6	1	24	2	8	0	4	7	2	0	4	7	0	2	7	7	5	6									
		1.74%	2.11%	1.51%	1.95%	2.04%	1.84%	2.88%	0.48%	1.36%	2.01%	3.41%	2.07%	2.47%	0.00%	3.39%	2.30%	3.10%	2.14%	2.81%	1.29%	1.40%	2.96%	2.62%	1.50%	1.90%	0.93%	1.67%	2.36%	1.39%	1.50%	1.82%	2.50%	1.20%	4.50%	2.05%	0.90%	1.02%	2.21%	2.76%	0.00%	1.53%	1.06%	0.23%	2.44%	0.60%	1.87%	0.00%	0.99%	1.81%	1.83%	0.00%	1.81%	1.77%	0.00%	0.80%	1.12%	1.08%	1.05%	1.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	7	3	0	1	0	2	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.21%	0.00%	0.52%	0.00%	0.22%	0.00%	0.00%	0.00%	0.18%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.25%	0.00%	0.23%	0.00%	0.28%	0.00%	0.09%	0.00%	0.00%	0.00%	0.13%	0.00%	0.18%	0.57%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	484	1	3	9	5	12	7	3	17	8	10	3	5	0	14	5	15	20	15	9	20	17	8	3	7	32	14	2	4	5	14	1	8	1	1	5	12	4	8	10	0	2	3	20	6	4	2	0	10	3	1	2	6	3	0	8	5	7	65									
		1.74%	0.70%	1.51%	3.52%	2.04%	4.41%	1.44%	1.44%	1.78%	1.47%	2.62%	2.07%	1.12%	0.00%	2.16%	0.88%	2.74%	2.04%	2.34%	0.97%	2.80%	2.40%	2.33%	1.13%	1.48%	2.28%	1.17%	0.67%	0.93%	0.83%	1.96%	0.31%	0.68%	0.50%	0.68%	1.12%	1.52%	0.63%	1.47%	5.75%	0.00%	0.35%	0.68%	2.03%	1.80%	0.93%	1.26%	0.00%	2.58%	2.75%	0.41%	0.90%	1.52%	1.32%	0.00%	1.28%	0.77%	1.47%	21.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3535	19	39	38	25	43	67	15	90	83	43	12	56	12	111	99	85	119	111	108	130	127	57	38	57	39	133	57	45	54	58	58	152	27	15	32	145	86	49	0	45	122	61	126	52	45	16	100	36	11	21	20	66	36	23	88	66	46	21									
		12.72%	13.38%	19.60%	14.84%	10.20%	15.81%	13.79%	7.18%	9.44%	15.20%	11.29%	8.28%	12.58%	13.48%	17.10%	17.49%	15.51%	12.14%	17.34%	11.59%	18.18%	17.91%	16.57%	14.29%	12.03%	2.78%	11.11%	19.19%	10.44%	9.00%	8.13%	18.13%	12.98%	13.50%	10.27%	7.17%	18.40%	13.56%	9.01%	0.00%	13.76%	21.48%	13.90%	12.79%	15.62%	10.51%	10.06%	24.94%	9.30%	10.09%	8.61%	9.05%	16.71%	15.86%	9.20%	14.04%	10.20%	9.66%	6.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	1	0	0	3	0	3	0	6	0	0	1	4	0	2	3	2	2	4	1	3	5	0	2	4	1	4	0	4	0	3	1	1	0	0	2	3	1	1	3	1	2	0	2	0	1	0	1	0	0	0	0	5	0	2	2	1	2	0									
		0.32%	0.70%	0.00%	0.00%	1.22%	0.00%	0.62%	0.00%	0.63%	0.00%	0.00%	0.69%	0.90%	0.00%	0.31%	0.53%	0.36%	0.20%	0.63%	0.11%	0.42%	0.71%	0.00%	0.75%	0.84%	0.07%	0.33%	0.00%	0.93%	0.00%	0.42%	0.31%	0.09%	0.00%	0.00%	0.45%	0.38%	0.16%	0.18%	1.72%	0.31%	0.35%	0.00%	0.20%	0.00%	0.23%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.80%	0.32%	0.15%	0.42%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1628	15	9	29	23	15	39	10	37	32	42	22	36	5	49	54	41	43	76	60	74	62	29	25	39	54	57	30	30	29	37	12	61	4	10	24	36	26	27	0	9	34	21	49	10	11	10	5	13	6	17	13	20	3	7	37	36	15	9									
		5.86%	10.56%	4.52%	11.33%	9.39%	5.51%	8.02%	4.78%	3.88%	5.86%	11.02%	15.17%	8.09%	5.62%	7.55%	9.54%	7.48%	4.39%	11.88%	6.44%	10.35%	8.74%	8.43%	9.40%	8.23%	3.85%	4.76%	10.10%	6.96%	4.83%	5.19%	3.75%	5.21%	2.00%	6.85%	5.38%	4.57%	4.10%	4.96%	0.00%	2.75%	5.99%	4.78%	4.97%	3.00%	2.57%	6.29%	1.25%	3.36%	5.50%	6.97%	5.88%	5.06%	1.32%	2.80%	5.90%	5.56%	3.15%	2.97%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
