Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Гаврилов-Ямская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  364	УИК  365	УИК  366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
		2.49%	2.14%	2.70%	1.91%	1.95%	2.28%	3.48%	3.19%	2.76%	2.26%	1.10%	2.09%	1.64%	2.99%	1.31%	4.73%	3.21%	5.51%	3.78%	1.61%	1.15%	3.48%	2.61%	3.78%	1.97%	3.58%	1.81%	0.98%	1.69%	2.67%					
37	"20. ""Политическая партия ""Единая Россия"""	5264	585	322	520	359	66	327	256	700	138	201	102	89	153	221	138	83	45	184	87	119	61	62	53	54	87	33	94	68	57					
		40.00%	38.01%	39.60%	36.80%	43.94%	37.71%	39.35%	43.09%	42.09%	44.66%	44.56%	35.54%	48.90%	41.68%	41.38%	43.53%	38.07%	35.43%	38.73%	35.08%	45.76%	35.46%	40.52%	40.15%	35.52%	34.66%	29.99%	46.30%	38.41%	30.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	4	2	2	0	0	3	0	1	0	0	0	0	0	1	1	1	0	2	1	1	1	0	0	0	4	0	1	1	0					
		0.19%	0.25%	0.24%	0.14%	0.0%	0.0%	0.36%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.31%	0.45%	0.0%	0.42%	0.40%	0.38%	0.58%	0.0%	0.0%	0.0%	1.59%	0.0%	0.49%	0.56%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	1	1	6	1	2	3	1	4	0	0	0	0	2	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0					
		0.21%	0.06%	0.12%	0.42%	0.12%	1.14%	0.36%	0.16%	0.24%	0.0%	0.0%	0.0%	0.0%	0.54%	0.18%	0.31%	0.0%	0.0%	0.21%	0.40%	0.0%	0.0%	0.65%	0.75%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1032	142	58	149	59	26	75	35	108	16	28	26	9	21	29	35	7	11	45	19	17	12	18	18	11	13	6	17	9	13					
		7.84%	9.22%	7.13%	10.54%	7.22%	14.85%	9.02%	5.89%	6.49%	5.17%	6.20%	9.05%	4.94%	5.72%	5.43%	11.04%	3.21%	8.66%	9.47%	7.66%	6.53%	6.97%	11.76%	13.63%	7.23%	5.17%	5.45%	8.37%	5.08%	6.95%					
																																				
41	Против всех	540	62	34	73	17	1	44	23	89	15	15	12	10	9	25	9	6	4	22	0	10	4	5	5	9	5	4	9	7	12					
		4.10%	4.02%	4.18%	5.16%	2.08%	0.57%	5.29%	3.87%	5.35%	4.85%	3.32%	4.18%	5.49%	2.45%	4.68%	2.83%	2.75%	3.14%	4.63%	0.0%	3.84%	2.32%	3.26%	3.78%	5.92%	1.99%	3.63%	4.43%	3.95%	6.41%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
