Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тюкалинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1756	УИК №1757	УИК №1758	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	154	4	11	9	9	10	11	14	2	7	0	2	5	6	2	2	1	0	8	0	0	4	0	7	0	5	1	1	4	0	5	4	1	4	0	0	1	4	4	0	0	1	2	1	0	2									
		1.61%	0.86%	2.33%	2.02%	1.78%	1.86%	2.53%	3.74%	0.57%	2.62%	0.00%	1.25%	2.18%	6.38%	1.92%	1.19%	1.85%	0.00%	2.86%	0.00%	0.00%	1.20%	0.00%	2.03%	0.00%	2.24%	1.01%	1.30%	1.28%	0.00%	1.54%	1.85%	1.45%	1.40%	0.00%	0.00%	0.22%	1.19%	1.15%	0.00%	0.00%	1.37%	1.28%	2.27%	0.00%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4284	170	198	165	206	227	175	132	130	100	29	73	103	41	54	89	26	27	144	54	31	187	20	194	30	105	57	37	127	22	166	104	49	124	37	44	217	145	126	20	115	41	62	26	33	22									
		44.76%	36.48%	41.86%	36.99%	40.79%	42.12%	40.23%	35.29%	36.93%	37.45%	40.28%	45.63%	44.98%	43.62%	51.92%	52.98%	48.15%	64.29%	51.43%	81.82%	51.67%	56.33%	41.67%	56.23%	50.00%	47.09%	57.58%	48.05%	40.71%	52.38%	51.23%	48.15%	71.01%	43.51%	62.71%	44.90%	48.44%	43.15%	36.31%	41.67%	52.99%	56.16%	39.74%	59.09%	53.23%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	1	0	5	3	1	2	2	4	0	0	1	2	0	0	3	0	1	2	0	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0									
		0.39%	0.21%	0.00%	1.12%	0.59%	0.19%	0.46%	0.53%	1.14%	0.00%	0.00%	0.63%	0.87%	0.00%	0.00%	1.79%	0.00%	2.38%	0.71%	0.00%	0.00%	0.30%	0.00%	0.29%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	1	0	1	2	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	2	0	2	0	0	1	1	2	0	1	0	0	3	0	0	0	1	2	0	1	0	0	0	0	0									
		0.27%	0.21%	0.00%	0.22%	0.40%	0.00%	0.00%	0.00%	0.28%	0.37%	1.39%	0.00%	0.44%	0.00%	0.96%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.60%	0.00%	0.58%	0.00%	0.00%	1.01%	1.30%	0.64%	0.00%	0.31%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.30%	0.58%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1668	94	98	107	87	92	74	66	110	49	15	26	38	17	25	29	9	4	40	2	8	36	4	42	20	29	20	14	61	7	43	18	12	34	9	16	103	37	65	6	46	14	23	7	11	1									
		17.43%	20.17%	20.72%	23.99%	17.23%	17.07%	17.01%	17.65%	31.25%	18.35%	20.83%	16.25%	16.59%	18.09%	24.04%	17.26%	16.67%	9.52%	14.29%	3.03%	13.33%	10.84%	8.33%	12.17%	33.33%	13.00%	20.20%	18.18%	19.55%	16.67%	13.27%	8.33%	17.39%	11.93%	15.25%	16.33%	22.99%	11.01%	18.73%	12.50%	21.20%	19.18%	14.74%	15.91%	17.74%	1.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	4	1	1	0	1	3	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	3	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0									
		0.27%	0.86%	0.21%	0.22%	0.00%	0.19%	0.69%	0.00%	0.00%	0.75%	2.78%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.45%	0.00%	0.00%	0.32%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.30%	0.29%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	109	7	9	6	4	6	5	1	5	0	0	17	7	0	0	2	0	0	3	0	0	0	0	7	0	3	2	0	1	0	2	3	0	2	0	3	4	1	2	1	2	0	4	0	0	0									
		1.14%	1.50%	1.90%	1.35%	0.79%	1.11%	1.15%	0.27%	1.42%	0.00%	0.00%	10.63%	3.06%	0.00%	0.00%	1.19%	0.00%	0.00%	1.07%	0.00%	0.00%	0.00%	0.00%	2.03%	0.00%	1.35%	2.02%	0.00%	0.32%	0.00%	0.62%	1.39%	0.00%	0.70%	0.00%	3.06%	0.89%	0.30%	0.58%	2.08%	0.92%	0.00%	2.56%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	0	2	2	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0									
		0.19%	0.00%	0.00%	0.00%	0.40%	0.37%	0.23%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	1.06%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	2.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	3	8	0	6	1	5	3	0	2	1	0	0	1	1	2	1	0	1	0	0	0	0	7	0	2	0	0	1	0	2	0	0	0	0	0	0	4	2	0	3	0	0	0	0	0									
		0.59%	0.64%	1.69%	0.00%	1.19%	0.19%	1.15%	0.80%	0.00%	0.75%	1.39%	0.00%	0.00%	1.06%	0.96%	1.19%	1.85%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	2.03%	0.00%	0.90%	0.00%	0.00%	0.32%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.58%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2195	123	89	90	134	152	107	112	69	72	17	25	57	19	10	18	10	9	50	10	7	76	14	59	6	47	12	20	74	10	57	53	6	85	9	27	86	105	105	17	28	14	45	6	13	41									
		22.93%	26.39%	18.82%	20.18%	26.53%	28.20%	24.60%	29.95%	19.60%	26.97%	23.61%	15.63%	24.89%	20.21%	9.62%	10.71%	18.52%	21.43%	17.86%	15.15%	11.67%	22.89%	29.17%	17.10%	10.00%	21.08%	12.12%	25.97%	23.72%	23.81%	17.59%	24.54%	8.70%	29.82%	15.25%	27.55%	19.20%	31.25%	30.26%	35.42%	12.90%	19.18%	28.85%	13.64%	20.97%	62.12%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	0	1	2	1	0	3	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	0	1	3	2	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0									
		0.25%	0.00%	0.21%	0.45%	0.20%	0.00%	0.69%	0.00%	0.00%	0.75%	0.00%	0.63%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.29%	5.00%	0.90%	0.00%	0.00%	0.32%	0.00%	0.62%	0.00%	0.00%	0.35%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	185	14	16	13	16	12	10	7	4	5	3	5	5	0	2	2	0	1	3	0	0	5	1	1	0	5	2	0	4	1	4	10	1	2	1	3	4	7	2	0	7	1	5	0	1	0									
		1.93%	3.00%	3.38%	2.91%	3.17%	2.23%	2.30%	1.87%	1.14%	1.87%	4.17%	3.13%	2.18%	0.00%	1.92%	1.19%	0.00%	2.38%	1.07%	0.00%	0.00%	1.51%	2.08%	0.29%	0.00%	2.24%	2.02%	0.00%	1.28%	2.38%	1.23%	4.63%	1.45%	0.70%	1.69%	3.06%	0.89%	2.08%	0.58%	0.00%	3.23%	1.37%	3.21%	0.00%	1.61%	0.00%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
