Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Клетнянская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502					
		0.14%	0.16%	0.33%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.87%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	4	1	5	1	3	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	2	1	2	0	2	0					
		0.30%	0.32%	0.16%	0.55%	0.11%	0.25%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.60%	0.0%	0.55%	0.0%	0.21%	0.0%	0.0%	0.0%	0.50%	1.01%	0.0%	0.0%	0.0%	0.0%	1.04%	1.05%	1.43%	0.0%	0.58%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2629	291	163	217	206	231	88	51	40	99	16	30	81	69	18	50	25	122	123	19	54	46	66	13	29	35	93	123	54	46	21	65	45					
		28.37%	23.99%	27.48%	23.97%	24.55%	19.84%	26.58%	24.51%	25.0%	67.80%	23.52%	60.0%	35.21%	41.81%	20.68%	27.62%	31.64%	26.69%	49.59%	12.92%	41.53%	23.23%	33.33%	14.28%	29.29%	24.82%	50.0%	64.39%	56.84%	33.09%	51.21%	19.17%	30.82%					
																																							
41	Против всех	316	40	29	36	33	57	8	6	9	1	1	2	2	4	1	5	3	21	5	4	1	9	1	1	5	3	4	0	3	3	0	14	5					
		3.41%	3.29%	4.89%	3.97%	3.93%	4.89%	2.41%	2.88%	5.62%	0.68%	1.47%	4.0%	0.86%	2.42%	1.14%	2.76%	3.79%	4.59%	2.01%	2.72%	0.76%	4.54%	0.50%	1.09%	5.05%	2.12%	2.15%	0.0%	3.15%	2.15%	0.0%	4.12%	3.42%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
