Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Тюмень, Восточная"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2135	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1028	1	12	24	10	12	16	20	12	16	16	22	15	18	16	16	24	16	18	23	21	22	27	22	17	20	18	29	15	8	7	15	7	11	13	17	22	13	18	22	17	17	15	11	13	13	13	26	20	18	14	17	9	13	34	11	22	18	8	30	18	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1511	100	23	22	18	21	27	29	16	15	19	18	14	13	33	10	27	14	20	34	68	23	29	30	50	29	16	35	6	13	21	15	21	19	11	28	23	17	29	31	17	17	16	12	15	19	12	42	19	4	37	7	5	35	33	14	8	20	17	26	51	55	31	12									
14	Число погашенных неиспользованных открепительных удостоверений	1107	34	23	11	25	23	19	15	23	19	19	13	20	17	19	19	11	19	17	12	14	13	8	13	18	15	17	6	20	27	28	20	28	24	22	18	13	22	17	13	18	18	20	24	22	22	22	9	15	17	21	18	26	22	1	24	13	17	27	5	17	15	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	102	0	6	4	0	1	0	1	2	1	2	0	0	4	0	1	1	0	4	1	4	1	6	2	0	5	7	1	1	0	1	2	0	2	0	0	2	1	0	5	1	0	0	3	0	0	0	0	0	1	1	2	2	0	9	5	1	0	1	6	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	293	1	21	10	3	3	17	9	4	1	0	4	1	0	6	14	1	9	0	0	2	5	1	1	3	5	1	4	5	2	1	1	7	1	10	0	0	3	6	3	5	2	5	7	5	0	7	1	6	4	1	29	2	5	5	4	4	6	10	8	8	3	1	0									
		0.29%	0.35%	1.23%	0.55%	0.20%	0.25%	1.00%	0.53%	0.26%	0.05%	0.00%	0.23%	0.06%	0.00%	0.35%	0.83%	0.05%	0.58%	0.00%	0.00%	0.12%	0.27%	0.05%	0.05%	0.16%	0.27%	0.06%	0.22%	0.33%	0.14%	0.08%	0.06%	0.49%	0.07%	0.64%	0.00%	0.00%	0.15%	0.31%	0.15%	0.28%	0.13%	0.34%	0.48%	0.37%	0.00%	0.48%	0.07%	0.40%	0.27%	0.06%	2.31%	0.13%	0.36%	0.28%	0.23%	0.21%	0.38%	0.96%	0.38%	0.51%	0.18%	0.29%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	652	1	18	14	4	4	29	9	7	1	3	4	0	0	6	10	1	4	0	0	8	3	2	3	4	12	20	15	9	2	0	5	11	1	12	1	1	3	273	2	4	4	10	2	7	0	5	8	9	6	2	19	5	4	4	12	5	7	8	7	6	15	1	0									
		0.66%	0.35%	1.06%	0.78%	0.27%	0.33%	1.71%	0.53%	0.46%	0.05%	0.15%	0.23%	0.00%	0.00%	0.35%	0.60%	0.05%	0.26%	0.00%	0.00%	0.49%	0.16%	0.10%	0.16%	0.22%	0.65%	1.12%	0.84%	0.59%	0.14%	0.00%	0.30%	0.77%	0.07%	0.77%	0.07%	0.08%	0.15%	14.05%	0.10%	0.22%	0.26%	0.67%	0.14%	0.52%	0.00%	0.34%	0.55%	0.60%	0.40%	0.13%	1.52%	0.33%	0.28%	0.23%	0.68%	0.26%	0.44%	0.77%	0.33%	0.38%	0.92%	0.29%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	269	1	16	14	3	2	10	13	6	0	1	1	1	0	6	3	0	2	0	0	2	0	1	2	2	15	1	7	3	3	0	1	0	0	11	1	1	7	5	5	5	9	6	5	3	0	6	10	0	3	2	22	2	1	9	9	6	5	10	5	3	0	1	1									
		0.27%	0.35%	0.94%	0.78%	0.20%	0.16%	0.59%	0.76%	0.40%	0.00%	0.05%	0.06%	0.06%	0.00%	0.35%	0.18%	0.00%	0.13%	0.00%	0.00%	0.12%	0.00%	0.05%	0.11%	0.11%	0.81%	0.06%	0.39%	0.20%	0.21%	0.00%	0.06%	0.00%	0.00%	0.70%	0.07%	0.08%	0.36%	0.26%	0.25%	0.28%	0.59%	0.40%	0.34%	0.22%	0.00%	0.41%	0.69%	0.00%	0.20%	0.13%	1.76%	0.13%	0.07%	0.51%	0.51%	0.31%	0.32%	0.96%	0.24%	0.19%	0.00%	0.29%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	45759	160	836	782	729	580	830	834	743	763	740	870	606	656	845	831	773	762	762	669	796	420	707	676	893	908	873	876	754	701	506	812	699	711	744	503	469	978	974	1012	875	749	731	715	657	556	719	715	735	735	771	598	745	689	871	867	952	775	641	1023	769	796	169	123									
		46.03%	55.94%	49.03%	43.40%	49.42%	47.82%	49.05%	49.00%	49.11%	38.30%	37.35%	49.26%	38.50%	38.36%	49.56%	49.46%	38.42%	49.03%	39.02%	39.38%	49.14%	22.79%	34.95%	36.94%	49.04%	49.05%	49.04%	48.99%	49.06%	49.09%	38.36%	49.39%	49.09%	47.31%	47.48%	33.51%	36.05%	49.82%	50.13%	49.95%	48.91%	49.02%	49.06%	49.14%	49.07%	38.53%	49.05%	49.04%	49.07%	49.23%	48.92%	47.73%	49.01%	48.97%	49.29%	49.01%	49.28%	49.02%	61.40%	48.90%	49.17%	49.04%	48.42%	49.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	268	1	9	36	3	5	17	6	5	0	0	4	1	0	4	1	0	0	0	0	12	0	2	2	3	3	2	2	12	2	1	0	0	1	4	0	1	6	7	4	4	4	0	3	8	0	4	3	4	2	2	21	6	2	7	5	5	3	14	8	5	0	1	1									
		0.27%	0.35%	0.53%	1.99%	0.20%	0.41%	1.00%	0.35%	0.33%	0.00%	0.00%	0.23%	0.06%	0.00%	0.23%	0.06%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.10%	0.11%	0.16%	0.16%	0.11%	0.11%	0.78%	0.14%	0.08%	0.00%	0.00%	0.07%	0.26%	0.00%	0.08%	0.31%	0.36%	0.20%	0.22%	0.26%	0.00%	0.21%	0.60%	0.00%	0.27%	0.21%	0.27%	0.13%	0.13%	1.68%	0.39%	0.14%	0.40%	0.28%	0.26%	0.19%	1.34%	0.38%	0.32%	0.00%	0.29%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	164	2	1	17	3	0	1	2	1	0	0	5	0	0	3	2	1	0	0	0	2	0	1	1	4	2	2	4	2	3	0	8	0	1	4	1	1	1	8	3	4	2	0	2	2	0	0	2	0	3	2	24	4	3	6	2	6	3	1	4	4	2	1	1									
		0.16%	0.70%	0.06%	0.94%	0.20%	0.00%	0.06%	0.12%	0.07%	0.00%	0.00%	0.28%	0.00%	0.00%	0.18%	0.12%	0.05%	0.00%	0.00%	0.00%	0.12%	0.00%	0.05%	0.05%	0.22%	0.11%	0.11%	0.22%	0.13%	0.21%	0.00%	0.49%	0.00%	0.07%	0.26%	0.07%	0.08%	0.05%	0.41%	0.15%	0.22%	0.13%	0.00%	0.14%	0.15%	0.00%	0.00%	0.14%	0.00%	0.20%	0.13%	1.92%	0.26%	0.21%	0.34%	0.11%	0.31%	0.19%	0.10%	0.19%	0.26%	0.12%	0.29%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	18206	48	307	428	281	216	299	306	284	340	351	331	269	292	319	314	345	292	310	290	304	357	292	304	342	348	334	336	289	268	225	307	267	325	297	242	233	350	363	366	323	287	280	273	252	247	275	274	282	282	285	214	286	264	324	332	362	297	194	394	293	305	65	45									
		18.31%	16.78%	18.01%	23.75%	19.05%	17.81%	17.67%	17.98%	18.77%	17.07%	17.72%	18.74%	17.09%	17.08%	18.71%	18.69%	17.15%	18.79%	15.87%	17.07%	18.77%	19.37%	14.43%	16.61%	18.78%	18.80%	18.76%	18.79%	18.80%	18.77%	17.06%	18.67%	18.75%	21.62%	18.95%	16.12%	17.91%	17.83%	18.68%	18.07%	18.05%	18.78%	18.79%	18.76%	18.82%	17.12%	18.76%	18.79%	18.83%	18.89%	18.08%	17.08%	18.82%	18.76%	18.34%	18.77%	18.74%	18.79%	18.58%	18.83%	18.73%	18.79%	18.62%	18.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	223	1	7	6	1	3	8	5	9	1	2	7	0	0	1	13	0	3	0	0	5	5	2	2	5	1	12	2	1	3	0	10	5	0	2	1	1	3	2	2	6	2	0	2	2	0	3	2	4	3	2	11	3	7	5	2	5	2	7	11	3	8	1	1									
		0.22%	0.35%	0.41%	0.33%	0.07%	0.25%	0.47%	0.29%	0.59%	0.05%	0.10%	0.40%	0.00%	0.00%	0.06%	0.77%	0.00%	0.19%	0.00%	0.00%	0.31%	0.27%	0.10%	0.11%	0.27%	0.05%	0.67%	0.11%	0.07%	0.21%	0.00%	0.61%	0.35%	0.00%	0.13%	0.07%	0.08%	0.15%	0.10%	0.10%	0.34%	0.13%	0.00%	0.14%	0.15%	0.00%	0.20%	0.14%	0.27%	0.20%	0.13%	0.88%	0.20%	0.50%	0.28%	0.11%	0.26%	0.13%	0.67%	0.53%	0.19%	0.49%	0.29%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	248	1	10	23	3	6	10	4	2	0	0	3	1	1	5	4	1	3	0	0	7	2	1	1	4	4	1	3	1	4	1	3	4	0	9	1	0	2	3	3	3	4	12	3	3	0	5	4	3	1	1	35	3	5	6	4	6	1	10	3	3	0	1	1									
		0.25%	0.35%	0.59%	1.28%	0.20%	0.49%	0.59%	0.24%	0.13%	0.00%	0.00%	0.17%	0.06%	0.06%	0.29%	0.24%	0.05%	0.19%	0.00%	0.00%	0.43%	0.11%	0.05%	0.05%	0.22%	0.22%	0.06%	0.17%	0.07%	0.28%	0.08%	0.18%	0.28%	0.00%	0.57%	0.07%	0.00%	0.10%	0.15%	0.15%	0.17%	0.26%	0.81%	0.21%	0.22%	0.00%	0.34%	0.27%	0.20%	0.07%	0.06%	2.79%	0.20%	0.36%	0.34%	0.23%	0.31%	0.06%	0.96%	0.14%	0.19%	0.00%	0.29%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	121	1	1	2	4	2	4	4	0	2	0	5	0	0	3	3	0	0	0	0	2	0	2	2	3	3	3	1	1	4	0	2	1	1	0	1	0	2	7	1	4	2	0	3	3	0	0	0	2	1	2	2	4	5	7	5	3	1	0	2	2	5	1	0									
		0.12%	0.35%	0.06%	0.11%	0.27%	0.16%	0.24%	0.24%	0.00%	0.10%	0.00%	0.28%	0.00%	0.00%	0.18%	0.18%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.11%	0.16%	0.16%	0.17%	0.06%	0.07%	0.28%	0.00%	0.12%	0.07%	0.07%	0.00%	0.07%	0.00%	0.10%	0.36%	0.05%	0.22%	0.13%	0.00%	0.21%	0.22%	0.00%	0.00%	0.00%	0.13%	0.07%	0.13%	0.16%	0.26%	0.36%	0.40%	0.28%	0.16%	0.06%	0.00%	0.10%	0.13%	0.31%	0.29%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	379	2	13	27	4	4	16	7	10	2	1	7	1	0	8	4	1	4	0	0	9	4	1	1	10	2	2	6	5	6	0	5	5	0	8	1	0	27	4	10	5	9	6	10	1	1	8	7	5	11	6	32	5	3	7	3	4	4	12	8	4	10	1	0									
		0.38%	0.70%	0.76%	1.50%	0.27%	0.33%	0.95%	0.41%	0.66%	0.10%	0.05%	0.40%	0.06%	0.00%	0.47%	0.24%	0.05%	0.26%	0.00%	0.00%	0.56%	0.22%	0.05%	0.05%	0.55%	0.11%	0.11%	0.34%	0.33%	0.42%	0.00%	0.30%	0.35%	0.00%	0.51%	0.07%	0.00%	1.38%	0.21%	0.49%	0.28%	0.59%	0.40%	0.69%	0.07%	0.07%	0.55%	0.48%	0.33%	0.74%	0.38%	2.55%	0.33%	0.21%	0.40%	0.17%	0.21%	0.25%	1.15%	0.38%	0.26%	0.62%	0.29%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	16191	37	239	198	220	176	201	248	221	420	417	257	330	361	249	243	423	227	411	358	236	635	598	489	266	270	260	261	224	208	278	238	208	212	231	401	313	287	5	306	276	223	217	212	195	305	214	213	219	219	243	121	222	205	252	258	281	231	64	305	228	237	54	35									
		16.29%	12.94%	14.02%	10.99%	14.92%	14.51%	11.88%	14.57%	14.61%	21.08%	21.05%	14.55%	20.97%	21.11%	14.60%	14.46%	21.02%	14.61%	21.04%	21.07%	14.57%	34.45%	29.56%	26.72%	14.61%	14.59%	14.61%	14.60%	14.57%	14.57%	21.08%	14.48%	14.61%	14.11%	14.74%	26.72%	24.06%	14.62%	0.26%	15.10%	15.43%	14.59%	14.56%	14.57%	14.56%	21.14%	14.60%	14.61%	14.62%	14.67%	15.42%	9.66%	14.61%	14.57%	14.26%	14.58%	14.54%	14.61%	6.13%	14.58%	14.58%	14.60%	15.47%	14.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	194	1	5	2	4	5	8	4	3	0	1	7	1	1	9	5	1	7	0	0	4	0	1	1	9	1	2	3	1	8	0	8	4	0	0	1	0	1	4	8	7	2	0	1	1	0	0	1	6	5	2	7	6	2	3	4	4	9	4	7	2	0	1	0									
		0.20%	0.35%	0.29%	0.11%	0.27%	0.41%	0.47%	0.24%	0.20%	0.00%	0.05%	0.40%	0.06%	0.06%	0.53%	0.30%	0.05%	0.45%	0.00%	0.00%	0.25%	0.00%	0.05%	0.05%	0.49%	0.05%	0.11%	0.17%	0.07%	0.56%	0.00%	0.49%	0.28%	0.00%	0.00%	0.07%	0.00%	0.05%	0.21%	0.39%	0.39%	0.13%	0.00%	0.07%	0.07%	0.00%	0.00%	0.07%	0.40%	0.33%	0.13%	0.56%	0.39%	0.14%	0.17%	0.23%	0.21%	0.57%	0.38%	0.33%	0.13%	0.00%	0.29%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15687	29	222	228	211	193	227	238	211	442	463	246	358	391	239	233	455	217	460	365	226	412	412	345	255	259	249	250	215	200	295	228	199	235	220	347	281	271	263	279	251	214	208	203	187	324	205	203	209	210	237	104	212	197	241	247	270	221	59	294	218	226	47	31									
		15.78%	10.14%	13.02%	12.65%	14.31%	15.91%	13.42%	13.98%	13.95%	22.19%	23.37%	13.93%	22.74%	22.87%	14.02%	13.87%	22.61%	13.96%	23.55%	21.48%	13.95%	22.35%	20.37%	18.85%	14.00%	13.99%	13.99%	13.98%	13.99%	14.01%	22.37%	13.87%	13.97%	15.64%	14.04%	23.12%	21.60%	13.81%	13.54%	13.77%	14.03%	14.01%	13.96%	13.95%	13.97%	22.45%	13.98%	13.92%	13.95%	14.07%	15.04%	8.30%	13.95%	14.00%	13.64%	13.96%	13.98%	13.98%	5.65%	14.05%	13.94%	13.92%	13.47%	12.45%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
