Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Дагогнинская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	0	1	0	4	2	0	0	1	1	10	3									
		0.11%	0.00%	0.06%	0.00%	0.17%	0.08%	0.00%	0.00%	0.09%	0.07%	0.39%	0.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	0	1	2	0	0	3	1	10	1									
		0.09%	0.00%	0.00%	0.00%	0.04%	0.08%	0.00%	0.00%	0.28%	0.07%	0.39%	0.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	31	0	3	0	0	3	0	0	4	0	15	6									
		0.15%	0.00%	0.19%	0.00%	0.00%	0.12%	0.00%	0.00%	0.38%	0.00%	0.58%	0.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1006	115	51	118	217	130	24	101	72	51	54	73									
		4.86%	6.22%	3.21%	6.83%	9.26%	5.20%	1.46%	4.57%	6.76%	3.66%	2.11%	4.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	577	12	160	5	50	84	67	60	79	20	10	30									
		2.79%	0.65%	10.08%	0.29%	2.13%	3.36%	4.08%	2.71%	7.42%	1.43%	0.39%	1.67%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	194	0	54	14	8	1	49	40	2	7	13	6									
		0.94%	0.00%	3.40%	0.81%	0.34%	0.04%	2.98%	1.81%	0.19%	0.50%	0.51%	0.33%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
