Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Пушкинская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286					
18	. Глазьев Сергей Юрьевич	4793	13	121	110	110	92	109	96	119	89	103	112	86	70	111	83	139	109	79	66	55	65	109	132	95	52	61	27	29	24	37	68	15	38	15	25	40	32	78	74	67	50	35	22	55	113	75	70	84	64	91	91	63	50	47	57	82	81	43	36	19	19	52	13	14	4	15	17	61	82	108	29	49	49	4	82	12					
		6.69%	6.50%	9.08%	7.63%	9.32%	11.07%	7.71%	7.60%	8.37%	7.71%	8.23%	8.26%	7.73%	8.84%	7.98%	6.97%	8.52%	7.53%	5.86%	5.91%	5.39%	6.27%	8.13%	8.78%	6.68%	4.70%	10.10%	8.13%	4.32%	5.96%	7.51%	4.37%	6.36%	6.10%	3.50%	6.10%	6.98%	7.42%	7.75%	5.49%	6.94%	5.26%	1.87%	7.17%	6.59%	8.32%	6.61%	6.09%	7.11%	6.59%	7.70%	6.66%	9.10%	5.41%	5.77%	6.22%	5.67%	6.07%	8.81%	5.22%	3.13%	4.29%	7.49%	4.61%	4.70%	3.03%	3.59%	5.04%	6.79%	7.69%	6.72%	4.87%	4.58%	6.46%	1.29%	8.78%	0.98%					
19	. Малышкин Олег Александрович	1071	4	18	22	20	17	13	22	16	18	17	14	15	6	17	26	17	26	29	15	12	17	19	17	17	20	12	5	12	7	5	35	4	8	9	4	7	13	12	17	7	18	18	2	11	24	19	12	11	16	13	20	5	14	15	17	28	13	5	11	12	6	14	8	4	2	1	7	15	15	22	11	33	24	5	18	11					
		1.49%	2.00%	1.35%	1.53%	1.69%	2.05%	0.92%	1.74%	1.13%	1.56%	1.36%	1.03%	1.35%	0.76%	1.22%	2.18%	1.04%	1.80%	2.15%	1.34%	1.18%	1.64%	1.42%	1.13%	1.19%	1.81%	1.99%	1.51%	1.79%	1.74%	1.01%	2.25%	1.69%	1.28%	2.10%	0.98%	1.22%	3.02%	1.19%	1.26%	0.73%	1.89%	0.96%	0.65%	1.32%	1.77%	1.67%	1.04%	0.93%	1.65%	1.10%	1.46%	0.72%	1.51%	1.84%	1.85%	1.94%	0.97%	1.02%	1.59%	1.98%	1.35%	2.02%	2.84%	1.34%	1.52%	0.24%	2.08%	1.67%	1.41%	1.37%	1.85%	3.09%	3.16%	1.62%	1.93%	0.90%					
20	. Миронов Сергей Михайлович	375	1	5	11	4	5	14	10	7	9	11	8	11	0	9	5	7	9	12	6	4	3	3	5	10	3	1	1	3	1	4	11	2	6	1	4	1	0	4	9	6	9	12	0	6	6	4	4	6	3	2	6	3	7	3	0	12	8	5	8	2	3	4	4	3	0	3	4	1	6	3	1	4	3	0	1	3					
		0.52%	0.50%	0.38%	0.76%	0.34%	0.60%	0.99%	0.79%	0.49%	0.78%	0.88%	0.59%	0.99%	0.00%	0.65%	0.42%	0.43%	0.62%	0.89%	0.54%	0.39%	0.29%	0.22%	0.33%	0.70%	0.27%	0.17%	0.30%	0.45%	0.25%	0.81%	0.71%	0.85%	0.96%	0.23%	0.98%	0.17%	0.00%	0.40%	0.67%	0.62%	0.95%	0.64%	0.00%	0.72%	0.44%	0.35%	0.35%	0.51%	0.31%	0.17%	0.44%	0.43%	0.76%	0.37%	0.00%	0.83%	0.60%	1.02%	1.16%	0.33%	0.68%	0.58%	1.42%	1.01%	0.00%	0.72%	1.19%	0.11%	0.56%	0.19%	0.17%	0.37%	0.40%	0.00%	0.11%	0.25%					
21	. Путин Владимир Владимирович	49211	143	880	930	751	517	941	809	923	722	815	868	731	499	908	850	1046	943	929	747	710	725	926	949	929	764	364	228	486	300	327	1104	149	462	312	292	424	305	703	894	683	690	1622	224	592	874	762	747	784	668	739	966	450	679	605	625	1032	953	319	485	424	321	438	205	220	113	320	247	644	675	1127	435	754	539	250	607	1088					
		68.67%	71.50%	66.07%	64.49%	63.64%	62.21%	66.55%	64.05%	64.91%	62.51%	65.15%	64.01%	65.74%	63.01%	65.28%	71.43%	64.13%	65.12%	68.92%	66.88%	69.61%	69.98%	69.10%	63.10%	65.28%	69.02%	60.26%	68.67%	72.43%	74.44%	66.33%	70.91%	63.14%	74.16%	72.73%	71.22%	74.00%	70.77%	69.81%	66.37%	70.78%	72.56%	86.88%	72.96%	70.98%	64.36%	67.14%	64.96%	66.38%	68.80%	62.52%	70.72%	65.03%	73.41%	74.23%	68.16%	71.42%	71.39%	65.37%	70.29%	69.85%	72.46%	63.11%	72.70%	73.83%	85.61%	76.56%	73.29%	71.71%	63.26%	70.13%	72.99%	70.53%	71.01%	80.91%	64.99%	89.11%					
22	. Хакамада Ирина Муцуовна	3512	9	69	107	76	46	98	89	86	59	56	73	73	58	75	59	88	80	73	63	54	51	61	112	71	60	36	21	36	12	25	56	17	29	19	22	19	9	63	97	69	42	41	6	41	67	48	77	45	48	67	55	17	25	25	34	48	56	32	53	17	7	23	9	4	1	16	10	42	66	67	16	28	26	4	49	24					
		4.90%	4.50%	5.18%	7.42%	6.44%	5.54%	6.93%	7.05%	6.05%	5.11%	4.48%	5.38%	6.56%	7.32%	5.39%	4.96%	5.40%	5.52%	5.42%	5.64%	5.29%	4.92%	4.55%	7.45%	4.99%	5.42%	5.96%	6.33%	5.37%	2.98%	5.07%	3.60%	7.20%	4.65%	4.43%	5.37%	3.32%	2.09%	6.26%	7.20%	7.15%	4.42%	2.20%	1.95%	4.92%	4.93%	4.23%	6.70%	3.81%	4.94%	5.67%	4.03%	2.46%	2.70%	3.07%	3.71%	3.32%	4.19%	6.56%	7.68%	2.80%	1.58%	3.31%	3.19%	1.34%	0.76%	3.83%	2.97%	4.68%	6.19%	4.17%	2.68%	2.62%	3.43%	1.29%	5.25%	1.97%					
23	. Харитонов Николай Михайлович	7956	23	146	171	154	74	151	165	177	166	160	195	135	100	172	86	208	172	141	147	122	107	130	180	194	130	87	32	71	47	64	160	36	57	48	43	59	36	94	161	85	77	47	33	79	171	149	145	147	119	175	141	96	92	79	127	121	109	50	47	92	50	117	29	44	11	41	41	86	123	171	81	128	81	34	107	30					
		11.10%	11.50%	10.96%	11.86%	13.05%	8.90%	10.68%	13.06%	12.45%	14.37%	12.79%	14.38%	12.14%	12.63%	12.37%	7.23%	12.75%	11.88%	10.46%	13.16%	11.96%	10.33%	9.70%	11.97%	13.63%	11.74%	14.40%	9.64%	10.58%	11.66%	12.98%	10.28%	15.25%	9.15%	11.19%	10.49%	10.30%	8.35%	9.33%	11.95%	8.81%	8.10%	2.52%	10.75%	9.47%	12.59%	13.13%	12.61%	12.45%	12.26%	14.81%	10.32%	13.87%	9.95%	9.69%	13.85%	8.37%	8.16%	10.25%	6.81%	15.16%	11.29%	16.86%	10.28%	14.77%	8.33%	9.81%	12.17%	9.58%	11.53%	10.64%	13.59%	11.97%	10.67%	11.00%	11.46%	2.46%					
																																																																																			
24	Против всех	4132	7	73	74	53	66	82	67	85	82	80	81	53	58	85	66	107	93	81	65	58	58	77	101	93	63	40	16	29	12	29	111	11	23	21	19	23	29	44	84	37	59	74	19	44	85	68	82	94	48	87	81	53	49	37	54	100	92	31	50	28	27	37	10	8	1	21	11	44	84	89	18	61	34	10	59	47					
		5.77%	3.50%	5.48%	5.13%	4.49%	7.94%	5.80%	5.30%	5.98%	7.10%	6.39%	5.97%	4.77%	7.32%	6.11%	5.55%	6.56%	6.42%	6.01%	5.82%	5.69%	5.60%	5.75%	6.72%	6.54%	5.69%	6.62%	4.82%	4.32%	2.98%	5.88%	7.13%	4.66%	3.69%	4.90%	4.63%	4.01%	6.73%	4.37%	6.24%	3.83%	6.20%	3.96%	6.19%	5.28%	6.26%	5.99%	7.13%	7.96%	4.94%	7.36%	5.93%	7.66%	5.30%	4.54%	5.89%	6.92%	6.89%	6.35%	7.25%	4.61%	6.09%	5.33%	3.55%	2.68%	0.76%	5.02%	3.26%	4.90%	7.87%	5.54%	3.02%	5.71%	4.48%	3.24%	6.32%	3.85%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
