Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Шиловская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135					
19	. Малышкин Олег Александрович	458	12	0	11	8	2	3	5	1	8	1	15	2	2	4	4	9	1	7	12	7	4	0	19	7	2	13	12	3	0	2	0	5	3	0	11	0	3	4	4	1	3	3	1	4	1	1	0	26	19	23	27	17	13	15	14	4	24	8	42	6					
		1.98%	3.09%	0.00%	4.93%	3.70%	1.12%	3.75%	2.13%	0.92%	1.89%	0.54%	2.44%	0.94%	2.86%	0.90%	2.13%	2.80%	0.82%	2.49%	3.59%	2.31%	4.88%	0.00%	2.84%	5.07%	0.80%	3.52%	3.00%	2.01%	0.00%	3.77%	0.00%	1.36%	1.58%	0.00%	2.66%	0.00%	1.05%	1.03%	1.76%	0.70%	3.37%	0.77%	0.73%	1.20%	0.42%	1.52%	0.00%	1.68%	1.46%	1.81%	2.10%	1.58%	1.60%	2.64%	1.97%	1.69%	2.03%	2.57%	3.21%	1.32%					
20	. Миронов Сергей Михайлович	166	6	1	1	2	3	0	0	1	0	1	5	0	3	3	5	5	3	20	3	2	1	0	3	1	2	2	2	1	0	1	2	3	2	0	3	0	1	1	2	0	2	3	1	4	2	2	0	8	4	6	10	3	4	4	2	0	7	0	9	4					
		0.72%	1.55%	1.72%	0.45%	0.93%	1.68%	0.00%	0.00%	0.92%	0.00%	0.54%	0.81%	0.00%	4.29%	0.67%	2.66%	1.55%	2.46%	7.12%	0.90%	0.66%	1.22%	0.00%	0.45%	0.72%	0.80%	0.54%	0.50%	0.67%	0.00%	1.89%	0.87%	0.81%	1.05%	0.00%	0.73%	0.00%	0.35%	0.26%	0.88%	0.00%	2.25%	0.77%	0.73%	1.20%	0.85%	3.03%	0.00%	0.52%	0.31%	0.47%	0.78%	0.28%	0.49%	0.70%	0.28%	0.00%	0.59%	0.00%	0.69%	0.88%					
21	. Путин Владимир Владимирович	17148	258	46	153	152	117	61	196	91	351	158	470	156	61	373	139	263	93	184	221	248	70	52	490	89	185	241	280	119	71	25	201	296	138	90	327	87	246	330	138	106	46	225	97	242	192	49	82	1196	998	937	885	749	561	358	502	191	912	230	955	369					
		74.13%	66.49%	79.31%	68.61%	70.37%	65.36%	76.25%	83.40%	83.49%	82.78%	85.41%	76.30%	73.58%	87.14%	83.63%	73.94%	81.68%	76.23%	65.48%	66.17%	81.85%	85.37%	88.14%	73.13%	64.49%	74.00%	65.31%	70.00%	79.87%	86.59%	47.17%	87.77%	80.22%	72.63%	70.87%	79.18%	80.56%	86.01%	85.05%	60.79%	74.65%	51.69%	57.69%	70.80%	72.67%	81.36%	74.24%	84.54%	77.36%	76.59%	73.72%	68.98%	69.80%	68.92%	62.92%	70.70%	80.59%	77.16%	73.95%	72.96%	81.10%					
22	. Хакамада Ирина Муцуовна	370	9	0	9	4	6	3	4	0	12	1	7	2	0	14	1	0	0	7	0	2	0	0	15	2	1	7	11	2	1	1	2	4	1	0	3	0	1	3	1	1	0	9	2	4	2	1	2	30	34	20	26	23	13	10	7	7	12	4	24	3					
		1.60%	2.32%	0.00%	4.04%	1.85%	3.35%	3.75%	1.70%	0.00%	2.83%	0.54%	1.14%	0.94%	0.00%	3.14%	0.53%	0.00%	0.00%	2.49%	0.00%	0.66%	0.00%	0.00%	2.24%	1.45%	0.40%	1.90%	2.75%	1.34%	1.22%	1.89%	0.87%	1.08%	0.53%	0.00%	0.73%	0.00%	0.35%	0.77%	0.44%	0.70%	0.00%	2.31%	1.46%	1.20%	0.85%	1.52%	2.06%	1.94%	2.61%	1.57%	2.03%	2.14%	1.60%	1.76%	0.99%	2.95%	1.02%	1.29%	1.83%	0.66%					
23	. Харитонов Николай Михайлович	3405	73	6	31	28	41	9	23	13	12	19	67	43	2	42	29	29	17	49	63	28	3	6	98	35	47	66	60	11	7	17	15	48	26	28	37	19	20	34	72	28	31	123	20	61	28	9	6	194	150	155	241	202	157	131	125	19	159	41	193	59					
		14.72%	18.81%	10.34%	13.90%	12.96%	22.91%	11.25%	9.79%	11.93%	2.83%	10.27%	10.88%	20.28%	2.86%	9.42%	15.43%	9.01%	13.93%	17.44%	18.86%	9.24%	3.66%	10.17%	14.63%	25.36%	18.80%	17.89%	15.00%	7.38%	8.54%	32.08%	6.55%	13.01%	13.68%	22.05%	8.96%	17.59%	6.99%	8.76%	31.72%	19.72%	34.83%	31.54%	14.60%	18.32%	11.86%	13.64%	6.19%	12.55%	11.51%	12.20%	18.78%	18.83%	19.29%	23.02%	17.61%	8.02%	13.45%	13.18%	14.74%	12.97%					
																																																																			
24	Против всех	558	5	1	2	5	0	0	2	2	16	3	15	3	1	4	4	4	3	3	11	9	2	1	18	1	3	15	10	2	2	3	2	2	3	4	10	2	4	8	5	2	1	12	2	4	0	2	3	41	34	54	30	31	27	14	28	8	20	13	35	7					
		2.41%	1.29%	1.72%	0.90%	2.31%	0.00%	0.00%	0.85%	1.83%	3.77%	1.62%	2.44%	1.42%	1.43%	0.90%	2.13%	1.24%	2.46%	1.07%	3.29%	2.97%	2.44%	1.69%	2.69%	0.72%	1.20%	4.07%	2.50%	1.34%	2.44%	5.66%	0.87%	0.54%	1.58%	3.15%	2.42%	1.85%	1.40%	2.06%	2.20%	1.41%	1.12%	3.08%	1.46%	1.20%	0.00%	3.03%	3.09%	2.65%	2.61%	4.25%	2.34%	2.89%	3.32%	2.46%	3.94%	3.38%	1.69%	4.18%	2.67%	1.54%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
