Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Седельниковская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090					
12	Число выданных открепительных удостоверений	157	3	10	4	16	0	5	2	6	3	10	1	0	10	3	3	2	0	0	0	12	3	5	5	1	17	11	6	8	11	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	1	1	1	3	1	2	2	3	0	2	2	2	6	1	0	0	0	0	0	3	5	1	2	1	13	10	2	4	4	4	1					
14	Число неиспользованных открепительных удостоверений	243	2	0	5	1	3	30	8	2	0	1	5	6	0	1	5	13	4	5	4	0	5	0	5	4	18	35	30	27	13	8	3					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	176	2	1	11	6	0	14	11	4	0	6	1	3	7	6	1	7	1	1	0	1	1	1	6	1	11	22	12	11	16	4	8					
		2.34%	2.11%	0.43%	6.08%	1.60%	0.00%	1.82%	5.24%	2.03%	0.00%	2.70%	0.82%	2.31%	3.37%	7.06%	0.62%	1.81%	1.11%	0.94%	0.00%	0.41%	0.63%	1.20%	2.88%	1.30%	2.11%	2.81%	2.45%	2.10%	3.85%	2.45%	9.64%					
19	. Малышкин Олег Александрович	417	9	10	3	15	1	45	16	18	5	10	3	12	14	6	8	24	4	5	5	13	14	8	23	2	26	48	24	17	20	2	7					
		5.53%	9.47%	4.33%	1.66%	4.01%	1.72%	5.84%	7.62%	9.14%	8.20%	4.50%	2.46%	9.23%	6.73%	7.06%	4.97%	6.20%	4.44%	4.72%	5.32%	5.31%	8.81%	9.64%	11.06%	2.60%	4.98%	6.13%	4.91%	3.24%	4.81%	1.23%	8.43%					
20	. Миронов Сергей Михайлович	56	1	6	1	9	0	4	6	1	0	5	0	0	1	1	0	3	0	0	0	0	2	0	3	0	2	3	3	4	1	0	0					
		0.74%	1.05%	2.60%	0.55%	2.41%	0.00%	0.52%	2.86%	0.51%	0.00%	2.25%	0.00%	0.00%	0.48%	1.18%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	1.26%	0.00%	1.44%	0.00%	0.38%	0.38%	0.61%	0.76%	0.24%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5091	63	132	113	291	52	490	133	133	48	154	100	100	135	60	121	269	76	78	67	190	113	62	130	58	372	476	316	354	290	66	49					
		67.56%	66.32%	57.14%	62.43%	77.81%	89.66%	63.55%	63.33%	67.51%	78.69%	69.37%	81.97%	76.92%	64.90%	70.59%	75.16%	69.51%	84.44%	73.58%	71.28%	77.55%	71.07%	74.70%	62.50%	75.32%	71.26%	60.79%	64.62%	67.56%	69.71%	40.49%	59.04%					
22	. Хакамада Ирина Муцуовна	132	0	2	2	4	0	10	3	2	3	6	1	2	5	2	8	4	0	2	0	0	5	0	2	4	7	16	9	17	11	5	0					
		1.75%	0.00%	0.87%	1.10%	1.07%	0.00%	1.30%	1.43%	1.02%	4.92%	2.70%	0.82%	1.54%	2.40%	2.35%	4.97%	1.03%	0.00%	1.89%	0.00%	0.00%	3.14%	0.00%	0.96%	5.19%	1.34%	2.04%	1.84%	3.24%	2.64%	3.07%	0.00%					
23	. Харитонов Николай Михайлович	1470	13	72	46	36	3	180	35	27	5	37	15	12	39	6	19	75	9	20	20	37	21	9	38	12	90	198	120	107	68	82	19					
		19.51%	13.68%	31.17%	25.41%	9.63%	5.17%	23.35%	16.67%	13.71%	8.20%	16.67%	12.30%	9.23%	18.75%	7.06%	11.80%	19.38%	10.00%	18.87%	21.28%	15.10%	13.21%	10.84%	18.27%	15.58%	17.24%	25.29%	24.54%	20.42%	16.35%	50.31%	22.89%					
																																						
24	Против всех	147	6	2	5	9	2	21	3	9	0	4	2	1	5	3	4	2	0	0	2	4	1	2	6	0	7	20	5	11	7	4	0					
		1.95%	6.32%	0.87%	2.76%	2.41%	3.45%	2.72%	1.43%	4.57%	0.00%	1.80%	1.64%	0.77%	2.40%	3.53%	2.48%	0.52%	0.00%	0.00%	2.13%	1.63%	0.63%	2.41%	2.88%	0.00%	1.34%	2.55%	1.02%	2.10%	1.68%	2.45%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
