Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Заветинская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	11	5	4	12	3	2	4	4	2	17	14									
		1.56%	1.62%	0.77%	0.57%	2.38%	0.65%	0.66%	1.06%	1.59%	0.55%	4.91%	3.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	20	35	29	14	11	10	9	16	24	13	15									
		3.92%	2.94%	5.38%	4.13%	2.77%	2.37%	3.32%	2.38%	6.35%	6.58%	3.76%	4.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	25	13	12	7	4	6	6	4	7	6	7									
		1.94%	3.67%	1.99%	1.71%	1.39%	0.86%	1.99%	1.59%	1.59%	1.92%	1.73%	1.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2658	322	282	323	278	336	146	268	135	216	170	182									
		53.15%	47.28%	43.32%	46.01%	55.05%	72.41%	48.50%	70.90%	53.57%	59.18%	49.13%	51.12%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	5	3	2	1	3	0	2	0	1	1	1									
		0.38%	0.73%	0.46%	0.28%	0.20%	0.65%	0.00%	0.53%	0.00%	0.27%	0.29%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	3	2	0	0	0	0	0	4	1	4	1									
		0.30%	0.44%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.27%	1.16%	0.28%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	718	127	116	128	71	47	43	27	26	40	36	57									
		14.36%	18.65%	17.82%	18.23%	14.06%	10.13%	14.29%	7.14%	10.32%	10.96%	10.40%	16.01%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	1	1	2	0	2	1	0	3	3	1									
		0.28%	0.00%	0.15%	0.14%	0.40%	0.00%	0.66%	0.26%	0.00%	0.82%	0.87%	0.28%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	3	1	3	2	0	2	1	0	1	0	0									
		0.26%	0.44%	0.15%	0.43%	0.40%	0.00%	0.66%	0.26%	0.00%	0.27%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	2	0	2	1	1	3	0	3	1	1	0									
		0.28%	0.29%	0.00%	0.28%	0.20%	0.22%	0.99%	0.00%	1.19%	0.27%	0.29%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	5	4	9	4	3	13	1	1	0	4	0									
		0.88%	0.73%	0.61%	1.28%	0.79%	0.65%	4.32%	0.26%	0.40%	0.00%	1.16%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	785	118	125	134	80	51	51	36	41	44	51	54									
		15.70%	17.33%	19.20%	19.09%	15.84%	10.99%	16.94%	9.52%	16.27%	12.05%	14.74%	15.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	1	2	2	3	0	2	1	1	2	2	2									
		0.36%	0.15%	0.31%	0.28%	0.59%	0.00%	0.66%	0.26%	0.40%	0.55%	0.58%	0.56%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	212	27	40	40	22	5	13	15	8	14	14	14									
		4.24%	3.96%	6.14%	5.70%	4.36%	1.08%	4.32%	3.97%	3.17%	3.84%	4.05%	3.93%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
