Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																						
Дата голосования: 02.12.2007																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028					
14	Число погашенных неиспользованных открепительных удостоверений	416	5	4	8	3	0	4	2	4	2	3	10	3	8	3	6	4	2	9	3	13	14	7	8	9	10	9	8	6	2	4	3	3	2	2	3	2	7	7	3	7	18	11	2	3	1	2	4	3	3	2	5	2	3	2	5	4	4	2	2	2	4	2	3	3	8	3	5	5	4	3	6	2	2	0	2	6	0	0	3	8	3	2	5	5	3	2	9	5	3	4	3	3	3	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	4	1	4	4	2	2	1	0	1	0	6	5	4	4	0	3	1	2	1	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	6	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																						
18	1.Политическая партия «Аграрная партия России»	937	37	14	8	12	6	29	15	17	25	6	8	16	52	28	8	20	14	19	16	14	5	8	17	10	2	8	8	31	0	11	3	2	1	3	3	1	11	14	3	4	18	33	0	8	19	2	4	0	6	4	2	13	4	1	7	1	8	5	2	28	8	7	34	2	8	5	18	4	10	28	17	1	5	0	2	29	9	0	1	11	4	0	5	10	9	0	8	13	0	10	1	2	2	0	0					
		2.85%	3.14%	2.93%	1.33%	2.46%	1.44%	2.78%	2.26%	4.01%	2.17%	1.31%	2.23%	2.19%	4.78%	2.08%	2.61%	3.31%	1.95%	2.86%	2.15%	1.81%	0.92%	1.52%	1.94%	1.89%	0.57%	2.36%	1.61%	4.05%	0.00%	6.71%	2.31%	1.43%	0.98%	3.30%	3.16%	1.35%	1.77%	2.69%	1.60%	1.25%	1.72%	4.76%	0.00%	3.19%	4.76%	1.82%	3.31%	0.00%	5.88%	7.02%	0.73%	10.92%	4.82%	2.17%	1.94%	0.69%	3.98%	8.77%	3.03%	8.64%	5.63%	8.75%	16.67%	1.46%	2.70%	6.17%	10.47%	2.70%	3.05%	5.07%	2.99%	1.19%	7.14%	0.00%	2.70%	10.86%	5.66%	0.00%	0.87%	1.77%	1.63%	0.00%	3.27%	5.85%	10.59%	0.00%	1.46%	6.44%	0.00%	7.04%	0.98%	0.86%	0.74%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	117	4	1	3	5	4	0	0	0	5	2	1	4	6	8	0	4	5	6	1	3	0	0	3	1	0	1	3	1	0	0	0	0	1	0	0	1	0	0	2	0	5	1	0	0	4	0	0	0	0	1	4	0	0	0	0	0	0	0	1	2	0	0	1	1	1	0	0	0	2	6	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	3	1	1					
		0.36%	0.34%	0.21%	0.50%	1.03%	0.96%	0.00%	0.00%	0.00%	0.43%	0.44%	0.28%	0.55%	0.55%	0.60%	0.00%	0.66%	0.70%	0.90%	0.13%	0.39%	0.00%	0.00%	0.34%	0.19%	0.00%	0.29%	0.60%	0.13%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	1.35%	0.00%	0.00%	1.06%	0.00%	0.48%	0.14%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	1.75%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.62%	0.00%	0.00%	0.49%	0.73%	0.34%	0.00%	0.00%	0.00%	0.61%	1.09%	0.00%	0.00%	0.00%	0.88%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.99%	0.00%	0.00%	0.00%	0.00%	1.11%	0.71%	0.64%					
20	3.Политическая партия «Демократическая партия России»	47	1	0	0	2	2	2	2	0	0	0	0	3	1	2	0	1	0	1	2	3	0	2	0	2	2	0	1	0	0	0	0	0	0	0	0	1	2	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.14%	0.08%	0.00%	0.00%	0.41%	0.48%	0.19%	0.30%	0.00%	0.00%	0.00%	0.00%	0.41%	0.09%	0.15%	0.00%	0.17%	0.00%	0.15%	0.27%	0.39%	0.00%	0.38%	0.00%	0.38%	0.57%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.32%	0.77%	0.53%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.16%	0.00%	0.61%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.64%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2756	74	45	33	51	23	135	79	46	108	21	27	57	148	117	32	56	78	54	89	76	47	78	119	66	33	45	65	33	2	17	6	4	6	10	0	7	50	80	4	23	80	52	14	13	37	10	7	0	4	4	19	19	6	3	22	21	17	7	0	14	5	2	18	3	24	1	4	10	15	49	52	1	0	8	1	1	10	1	4	15	14	3	10	17	4	4	47	6	0	3	3	16	2	5	5					
		8.37%	6.28%	9.41%	5.49%	10.47%	5.53%	12.96%	11.90%	10.85%	9.38%	4.59%	7.52%	7.81%	13.59%	8.71%	10.46%	9.26%	10.85%	8.12%	11.96%	9.84%	8.66%	14.80%	13.57%	12.48%	9.35%	13.27%	13.05%	4.31%	3.64%	10.37%	4.62%	2.86%	5.88%	10.99%	0.00%	9.46%	8.05%	15.36%	2.13%	7.17%	7.66%	7.49%	6.39%	5.18%	9.27%	9.09%	5.79%	0.00%	3.92%	7.02%	6.91%	15.97%	7.23%	6.52%	6.11%	14.58%	8.46%	12.28%	0.00%	4.32%	3.52%	2.50%	8.82%	2.19%	8.11%	1.23%	2.33%	6.76%	4.57%	8.88%	9.17%	1.19%	0.00%	7.02%	1.35%	0.37%	6.29%	1.08%	3.48%	2.41%	5.71%	5.45%	6.54%	9.94%	4.71%	5.56%	8.58%	2.97%	0.00%	2.11%	2.94%	6.90%	0.74%	3.57%	3.18%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	233	4	6	3	3	9	8	2	5	6	7	7	8	17	27	10	15	27	10	7	9	10	1	2	0	0	1	0	2	0	0	0	0	0	0	0	2	1	1	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0					
		0.71%	0.34%	1.26%	0.50%	0.62%	2.16%	0.77%	0.30%	1.18%	0.52%	1.53%	1.95%	1.10%	1.56%	2.01%	3.27%	2.48%	3.76%	1.50%	0.94%	1.17%	1.84%	0.19%	0.23%	0.00%	0.00%	0.29%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.70%	0.16%	0.19%	1.06%	0.00%	0.38%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	62	4	1	0	1	1	0	1	0	8	1	0	1	4	4	1	0	0	0	3	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	1	0	1					
		0.19%	0.34%	0.21%	0.00%	0.21%	0.24%	0.00%	0.15%	0.00%	0.69%	0.22%	0.00%	0.14%	0.37%	0.30%	0.33%	0.00%	0.00%	0.00%	0.40%	0.39%	0.00%	0.19%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.53%	0.00%	0.19%	0.14%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.88%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	1.72%	0.37%	0.00%	0.64%					
24	7.Политическая партия «Либерально-демократическая партия России»	3380	169	52	64	55	65	86	66	48	122	52	83	85	99	184	34	84	69	79	100	103	64	44	75	59	32	29	27	52	3	12	8	20	12	3	6	7	37	34	5	32	126	75	18	12	43	10	23	0	1	4	14	5	15	8	30	9	19	5	11	36	15	3	12	15	30	15	11	18	35	69	63	2	5	8	9	23	11	5	10	54	47	3	14	16	5	7	64	9	7	9	9	22	9	9	13					
		10.27%	14.33%	10.88%	10.65%	11.29%	15.63%	8.25%	9.94%	11.32%	10.59%	11.35%	23.12%	11.64%	9.09%	13.70%	11.11%	13.88%	9.60%	11.88%	13.44%	13.34%	11.79%	8.35%	8.55%	11.15%	9.07%	8.55%	5.42%	6.80%	5.45%	7.32%	6.15%	14.29%	11.76%	3.30%	6.32%	9.46%	5.96%	6.53%	2.66%	9.97%	12.07%	10.81%	8.22%	4.78%	10.78%	9.09%	19.01%	0.00%	0.98%	7.02%	5.09%	4.20%	18.07%	17.39%	8.33%	6.25%	9.45%	8.77%	16.67%	11.11%	10.56%	3.75%	5.88%	10.95%	10.14%	18.52%	6.40%	12.16%	10.67%	12.50%	11.11%	2.38%	7.14%	7.02%	12.16%	8.61%	6.92%	5.38%	8.70%	8.68%	19.18%	5.45%	9.15%	9.36%	5.88%	9.72%	11.68%	4.46%	6.67%	6.34%	8.82%	9.48%	3.32%	6.43%	8.28%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1723	66	25	19	24	29	92	53	28	84	17	17	67	94	86	24	44	72	34	45	55	32	30	53	28	20	9	25	27	0	9	6	1	1	2	1	0	40	20	6	12	48	34	6	17	37	2	5	1	0	3	20	2	2	5	7	4	1	0	1	12	3	0	4	11	10	2	2	2	19	25	22	4	0	4	2	2	6	0	0	17	5	3	3	4	4	6	31	3	4	1	1	11	3	1	4					
		5.24%	5.60%	5.23%	3.16%	4.93%	6.97%	8.83%	7.98%	6.60%	7.29%	3.71%	4.74%	9.18%	8.63%	6.40%	7.84%	7.27%	10.01%	5.11%	6.05%	7.12%	5.89%	5.69%	6.04%	5.29%	5.67%	2.65%	5.02%	3.53%	0.00%	5.49%	4.62%	0.71%	0.98%	2.20%	1.05%	0.00%	6.44%	3.84%	3.19%	3.74%	4.60%	4.90%	2.74%	6.77%	9.27%	1.82%	4.13%	1.12%	0.00%	5.26%	7.27%	1.68%	2.41%	10.87%	1.94%	2.78%	0.50%	0.00%	1.52%	3.70%	2.11%	0.00%	1.96%	8.03%	3.38%	2.47%	1.16%	1.35%	5.79%	4.53%	3.88%	4.76%	0.00%	3.51%	2.70%	0.75%	3.77%	0.00%	0.00%	2.73%	2.04%	5.45%	1.96%	2.34%	4.71%	8.33%	5.66%	1.49%	3.81%	0.70%	0.98%	4.74%	1.11%	0.71%	2.55%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	207	10	4	2	3	1	11	5	3	6	2	4	8	9	10	0	2	1	2	5	3	5	3	2	0	1	1	6	7	1	1	0	0	1	0	0	0	14	12	2	3	6	1	1	3	3	0	1	1	1	1	0	0	0	0	1	1	0	0	0	2	2	0	0	1	1	0	1	2	2	2	0	0	0	1	1	1	2	0	0	1	2	0	1	2	2	0	5	0	0	0	0	2	0	2	2					
		0.63%	0.85%	0.84%	0.33%	0.62%	0.24%	1.06%	0.75%	0.71%	0.52%	0.44%	1.11%	1.10%	0.83%	0.74%	0.00%	0.33%	0.14%	0.30%	0.67%	0.39%	0.92%	0.57%	0.23%	0.00%	0.28%	0.29%	1.20%	0.92%	1.82%	0.61%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	2.25%	2.30%	1.06%	0.93%	0.57%	0.14%	0.46%	1.20%	0.75%	0.00%	0.83%	1.12%	0.98%	1.75%	0.00%	0.00%	0.00%	0.00%	0.28%	0.69%	0.00%	0.00%	0.00%	0.62%	1.41%	0.00%	0.00%	0.73%	0.34%	0.00%	0.58%	1.35%	0.61%	0.36%	0.00%	0.00%	0.00%	0.88%	1.35%	0.37%	1.26%	0.00%	0.00%	0.16%	0.82%	0.00%	0.65%	1.17%	2.35%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	1.43%	1.27%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	22841	787	317	466	323	274	645	429	269	762	333	207	467	638	856	196	366	440	449	464	493	369	350	592	353	258	235	352	593	49	110	107	112	78	73	85	54	454	351	152	241	723	485	179	196	244	82	77	87	88	39	212	80	56	29	285	104	154	40	49	224	107	66	129	103	217	52	131	106	239	356	401	76	60	87	57	196	119	87	98	516	173	46	118	117	57	53	377	169	84	117	83	173	243	119	127					
		69.40%	66.75%	66.32%	77.54%	66.32%	65.87%	61.90%	64.61%	63.44%	66.15%	72.71%	57.66%	63.97%	58.59%	63.74%	64.05%	60.50%	61.20%	67.52%	62.37%	63.86%	67.96%	66.41%	67.50%	66.73%	73.09%	69.32%	70.68%	77.52%	89.09%	67.07%	82.31%	80.00%	76.47%	80.22%	89.47%	72.97%	73.11%	67.37%	80.85%	75.08%	69.25%	69.88%	81.74%	78.09%	61.15%	74.55%	63.64%	97.75%	86.27%	68.42%	77.09%	67.23%	67.47%	63.04%	79.17%	72.22%	76.62%	70.18%	74.24%	69.14%	75.35%	82.50%	63.24%	75.18%	73.31%	64.20%	76.16%	71.62%	72.87%	64.49%	70.72%	90.48%	85.71%	76.32%	77.03%	73.41%	74.84%	93.55%	85.22%	82.96%	70.61%	83.64%	77.12%	68.42%	67.06%	73.61%	68.80%	83.66%	80.00%	82.39%	81.37%	74.57%	89.67%	85.00%	80.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	191	14	5	1	3	2	17	5	6	14	1	0	7	7	11	0	2	9	2	3	3	4	6	2	2	2	3	2	3	0	1	0	0	1	0	0	1	0	0	2	0	8	6	0	1	3	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	2	1	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	10	2	1	1	0	0	1					
		0.58%	1.19%	1.05%	0.17%	0.62%	0.48%	1.63%	0.75%	1.42%	1.22%	0.22%	0.00%	0.96%	0.64%	0.82%	0.00%	0.33%	1.25%	0.30%	0.40%	0.39%	0.74%	1.14%	0.23%	0.38%	0.57%	0.88%	0.40%	0.39%	0.00%	0.61%	0.00%	0.00%	0.98%	0.00%	0.00%	1.35%	0.00%	0.00%	1.06%	0.00%	0.77%	0.86%	0.00%	0.40%	0.75%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.69%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.49%	0.00%	0.68%	1.23%	0.00%	0.00%	0.30%	0.36%	0.18%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.18%	0.00%	9.52%	1.41%	0.98%	0.43%	0.00%	0.00%	0.64%					
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
