Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Королевская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1208	13	19	25	14	21	19	16	21	28	11	11	16	16	21	13	30	17	15	18	13	12	13	20	13	27	9	9	11	13	13	6	18	20	10	19	34	23	15	16	16	14	19	29	24	13	10	23	4	19	19	21	12	20	14	16	16	3	11	12	18	14	42	24	5	8	22	19	30	19	10	8	16					
14	Число неиспользованных открепительных удостоверений	1834	27	27	24	27	32	26	31	29	21	26	25	29	33	25	28	25	37	18	31	20	23	30	33	23	32	14	24	26	18	24	32	16	34	31	31	20	35	16	30	18	29	30	25	20	36	21	20	34	26	37	30	34	17	26	6	0	0	18	20	36	33	25	9	34	44	39	26	10	10	30	31	27					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	1	0	2	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	5303	52	78	98	77	47	85	62	101	111	42	90	83	78	46	62	94	70	93	107	92	111	73	75	101	84	86	80	87	110	86	94	26	70	62	70	98	64	74	44	71	103	96	70	135	109	103	100	114	115	79	85	96	101	54	6	16	5	67	89	50	67	25	18	70	35	51	23	7	10	74	95	101					
		7.17%	6.82%	8.12%	8.60%	6.72%	5.99%	7.39%	6.16%	8.31%	8.77%	8.82%	9.84%	8.89%	7.86%	6.30%	7.83%	8.13%	7.74%	6.81%	7.51%	6.44%	9.72%	5.70%	7.52%	8.65%	7.03%	7.11%	7.58%	7.92%	9.70%	6.42%	6.20%	4.37%	6.05%	5.90%	6.46%	6.38%	5.54%	5.59%	4.95%	5.39%	7.15%	7.87%	8.07%	8.87%	8.21%	7.56%	6.22%	8.25%	7.39%	7.79%	5.55%	7.14%	7.13%	8.60%	3.55%	5.41%	4.55%	7.82%	9.31%	7.59%	8.27%	6.13%	7.76%	5.33%	4.13%	5.08%	5.52%	4.86%	7.87%	7.90%	7.91%	6.92%					
19	. Малышкин Олег Александрович	993	6	10	14	22	6	23	18	9	21	7	16	13	11	9	6	22	19	13	22	12	19	19	13	11	17	13	11	7	6	17	23	7	14	12	15	23	10	9	19	19	22	20	10	15	17	23	24	21	20	7	21	12	16	7	1	4	2	12	11	11	9	5	7	32	19	18	2	1	1	26	15	19					
		1.34%	0.79%	1.04%	1.23%	1.92%	0.77%	2.00%	1.79%	0.74%	1.66%	1.47%	1.75%	1.39%	1.11%	1.23%	0.76%	1.90%	2.10%	0.95%	1.54%	0.84%	1.66%	1.48%	1.30%	0.94%	1.42%	1.08%	1.04%	0.64%	0.53%	1.27%	1.52%	1.18%	1.21%	1.14%	1.39%	1.50%	0.87%	0.68%	2.14%	1.44%	1.53%	1.64%	1.15%	0.99%	1.28%	1.69%	1.49%	1.52%	1.29%	0.69%	1.37%	0.89%	1.13%	1.11%	0.59%	1.35%	1.82%	1.40%	1.15%	1.67%	1.11%	1.23%	3.02%	2.44%	2.24%	1.79%	0.48%	0.69%	0.79%	2.77%	1.25%	1.30%					
20	. Миронов Сергей Михайлович	555	7	7	4	7	5	5	4	9	3	3	6	9	12	6	11	12	8	8	9	15	11	9	12	5	3	7	5	8	13	7	4	11	4	11	7	14	9	22	3	15	14	6	8	5	9	16	8	16	11	9	13	17	6	7	3	1	3	4	8	7	7	3	2	5	2	8	1	0	0	11	7	8					
		0.75%	0.92%	0.73%	0.35%	0.61%	0.64%	0.43%	0.40%	0.74%	0.24%	0.63%	0.66%	0.96%	1.21%	0.82%	1.39%	1.04%	0.88%	0.59%	0.63%	1.05%	0.96%	0.70%	1.20%	0.43%	0.25%	0.58%	0.47%	0.73%	1.15%	0.52%	0.26%	1.85%	0.35%	1.05%	0.65%	0.91%	0.78%	1.66%	0.34%	1.14%	0.97%	0.49%	0.92%	0.33%	0.68%	1.17%	0.50%	1.16%	0.71%	0.89%	0.85%	1.26%	0.42%	1.11%	1.78%	0.34%	2.73%	0.47%	0.84%	1.06%	0.86%	0.74%	0.86%	0.38%	0.24%	0.80%	0.24%	0.00%	0.00%	1.17%	0.58%	0.55%					
21	. Путин Владимир Владимирович	48561	494	605	737	739	535	717	684	736	809	316	542	559	640	491	542	738	612	898	909	934	683	850	623	773	802	801	686	693	624	897	1020	404	795	730	722	1015	832	922	605	944	899	776	525	955	847	878	1047	887	978	640	971	834	976	400	125	213	80	596	620	445	543	266	148	926	637	737	309	111	84	606	828	1016					
		65.66%	64.83%	62.96%	64.71%	64.54%	68.24%	62.35%	67.99%	60.58%	63.90%	66.39%	59.23%	59.85%	64.52%	67.26%	68.43%	63.84%	67.70%	65.74%	63.79%	65.36%	59.81%	66.41%	62.42%	66.18%	67.11%	66.25%	64.96%	63.06%	55.03%	66.99%	67.33%	67.90%	68.71%	69.52%	66.67%	66.12%	71.97%	69.64%	68.05%	71.68%	62.43%	63.61%	60.55%	62.75%	63.83%	64.42%	65.07%	64.23%	62.85%	63.12%	63.42%	62.05%	68.88%	63.69%	73.96%	71.96%	72.73%	69.54%	64.85%	67.53%	67.04%	65.20%	63.79%	70.47%	75.12%	73.41%	74.10%	77.08%	66.14%	64.67%	68.94%	69.59%					
22	. Хакамада Ирина Муцуовна	5069	58	77	78	83	55	110	58	108	108	31	74	84	64	42	46	88	49	113	98	101	67	92	81	66	73	70	69	71	109	83	82	39	69	72	80	108	68	84	46	75	90	70	93	156	86	79	122	84	115	115	142	130	75	64	4	16	3	53	84	40	48	35	15	50	25	36	25	8	4	53	66	54					
		6.85%	7.61%	8.01%	6.85%	7.25%	7.02%	9.57%	5.77%	8.89%	8.53%	6.51%	8.09%	8.99%	6.45%	5.75%	5.81%	7.61%	5.42%	8.27%	6.88%	7.07%	5.87%	7.19%	8.12%	5.65%	6.11%	5.79%	6.53%	6.46%	9.61%	6.20%	5.41%	6.55%	5.96%	6.86%	7.39%	7.04%	5.88%	6.34%	5.17%	5.69%	6.25%	5.74%	10.73%	10.25%	6.48%	5.80%	7.58%	6.08%	7.39%	11.34%	9.27%	9.67%	5.29%	10.19%	2.37%	5.41%	2.73%	6.18%	8.79%	6.07%	5.93%	8.58%	6.47%	3.81%	2.95%	3.59%	6.00%	5.56%	3.15%	5.66%	5.50%	3.70%					
23	. Харитонов Николай Михайлович	8110	77	125	132	147	72	111	116	157	111	47	121	120	122	92	83	113	86	156	178	169	152	150	128	128	140	142	134	162	159	152	172	52	118	110	105	168	112	111	114	96	206	150	86	118	151	159	189	152	162	82	148	135	131	50	21	21	14	85	87	74	70	48	33	170	80	98	37	9	19	98	127	160					
		10.97%	10.10%	13.01%	11.59%	12.84%	9.18%	9.65%	11.53%	12.92%	8.77%	9.87%	13.22%	12.85%	12.30%	12.60%	10.48%	9.78%	9.51%	11.42%	12.49%	11.83%	13.31%	11.72%	12.83%	10.96%	11.72%	11.75%	12.69%	14.74%	14.02%	11.35%	11.35%	8.74%	10.20%	10.48%	9.70%	10.94%	9.69%	8.38%	12.82%	7.29%	14.31%	12.30%	9.92%	7.75%	11.38%	11.67%	11.75%	11.01%	10.41%	8.09%	9.67%	10.04%	9.24%	7.96%	12.43%	7.09%	12.73%	9.92%	9.10%	11.23%	8.64%	11.76%	14.22%	12.94%	9.43%	9.76%	8.87%	6.25%	14.96%	10.46%	10.57%	10.96%					
																																																																															
24	Против всех	4791	61	54	64	62	59	95	56	91	97	24	62	64	55	38	38	77	47	80	90	92	93	78	59	79	66	78	65	69	105	87	101	47	78	47	75	93	40	95	40	94	93	92	69	130	101	94	110	102	140	80	136	108	103	42	6	21	2	34	50	31	64	22	8	46	35	47	18	8	8	64	54	78					
		6.48%	8.01%	5.62%	5.62%	5.41%	7.53%	8.26%	5.57%	7.49%	7.66%	5.04%	6.78%	6.85%	5.54%	5.21%	4.80%	6.66%	5.20%	5.86%	6.32%	6.44%	8.14%	6.09%	5.91%	6.76%	5.52%	6.45%	6.16%	6.28%	9.26%	6.50%	6.67%	7.90%	6.74%	4.48%	6.93%	6.06%	3.46%	7.18%	4.50%	7.14%	6.46%	7.54%	7.96%	8.54%	7.61%	6.90%	6.84%	7.39%	9.00%	7.89%	8.88%	8.04%	7.27%	6.69%	3.55%	7.09%	1.82%	3.97%	5.23%	4.70%	7.90%	5.39%	3.45%	3.50%	4.13%	4.68%	4.32%	5.56%	6.30%	6.83%	4.50%	5.34%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
