Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
"Наименование Избирательной комиссии:    Волгоград, Красноармейская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2950	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	65	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	95	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1271	8	0	2	15	9	15	10	16	20	17	27	14	15	25	20	24	26	27	27	35	28	27	23	30	52	34	25	16	2	5	29	27	23	22	25	18	17	26	12	11	22	11	8	16	20	25	27	62	16	25	11	17	22	18	20	18	23	18	25	17	14	17	9	6	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1041	16	6	5	6	5	6	6	8	13	5	6	13	13	6	12	13	7	12	9	19	9	8	13	8	12	4	15	15	5	3	13	11	13	5	9	6	16	14	14	11	7	7	18	10	9	4	11	21	10	10	10	8	11	7	15	13	17	4	9	8	5	14	12	7	240	5	8	124	27					
14	Число погашенных неиспользованных открепительных удостоверений	1679	37	45	43	30	36	30	35	29	25	28	18	31	30	20	25	21	19	18	18	10	17	18	22	15	13	11	20	29	43	40	16	18	22	23	20	27	28	19	33	34	23	34	37	29	25	20	18	33	29	20	34	28	23	27	25	27	22	27	20	28	31	28	36	39	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	1.Политическая партия «Аграрная партия России»	1856	3	0	18	26	37	33	80	35	15	23	32	37	13	43	26	32	42	42	28	30	48	59	33	33	51	43	37	30	1	7	45	44	22	28	24	52	34	31	14	27	26	18	12	24	34	33	24	36	32	28	32	32	25	31	28	14	19	26	22	18	18	29	4	15	8	1	1	4	4					
		2.64%	1.66%	0.00%	3.01%	2.59%	4.07%	3.05%	20.83%	3.09%	1.55%	2.45%	3.15%	3.27%	1.15%	3.41%	1.91%	2.36%	2.93%	3.21%	2.05%	2.23%	3.42%	3.83%	2.59%	2.62%	3.59%	2.89%	2.31%	2.68%	0.61%	1.73%	3.73%	3.48%	2.06%	2.60%	2.36%	4.24%	3.12%	2.44%	1.62%	3.31%	2.05%	2.15%	1.75%	2.86%	2.48%	2.43%	1.86%	2.24%	2.68%	2.25%	2.88%	2.66%	1.97%	2.31%	2.21%	1.33%	1.80%	2.24%	2.39%	1.59%	1.75%	2.58%	1.14%	2.12%	2.49%	0.40%	1.04%	2.76%	0.89%					
19	2.Всероссийская политическая партия «Гражданская Сила»	637	0	0	1	8	4	3	3	10	6	7	13	5	5	9	15	16	19	11	17	17	14	17	18	10	10	26	39	12	1	1	13	11	6	11	7	11	9	4	6	11	14	5	10	8	16	11	12	6	20	7	6	11	14	14	11	10	4	8	3	10	5	9	1	7	1	1	0	1	6					
		0.91%	0.00%	0.00%	0.17%	0.80%	0.44%	0.28%	0.78%	0.88%	0.62%	0.75%	1.28%	0.44%	0.44%	0.71%	1.10%	1.18%	1.32%	0.84%	1.24%	1.26%	0.99%	1.10%	1.41%	0.79%	0.70%	1.75%	2.44%	1.07%	0.61%	0.25%	1.08%	0.87%	0.56%	1.02%	0.69%	0.90%	0.83%	0.31%	0.69%	1.35%	1.10%	0.60%	1.46%	0.95%	1.17%	0.81%	0.93%	0.37%	1.68%	0.56%	0.54%	0.92%	1.11%	1.04%	0.87%	0.95%	0.38%	0.69%	0.33%	0.89%	0.49%	0.80%	0.29%	0.99%	0.31%	0.40%	0.00%	0.69%	1.34%					
20	3.Политическая партия «Демократическая партия России»	73	1	0	0	1	0	0	0	1	1	2	0	2	2	0	2	2	2	0	0	1	2	3	2	0	3	1	1	1	1	0	0	2	2	0	2	4	4	0	1	0	2	0	0	1	1	2	0	0	0	2	1	1	1	0	1	4	0	1	1	2	2	0	0	1	0	1	0	0	3					
		0.10%	0.55%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.09%	0.10%	0.21%	0.00%	0.18%	0.18%	0.00%	0.15%	0.15%	0.14%	0.00%	0.00%	0.07%	0.14%	0.19%	0.16%	0.00%	0.21%	0.07%	0.06%	0.09%	0.61%	0.00%	0.00%	0.16%	0.19%	0.00%	0.20%	0.33%	0.37%	0.00%	0.12%	0.00%	0.16%	0.00%	0.00%	0.12%	0.07%	0.15%	0.00%	0.00%	0.00%	0.16%	0.09%	0.08%	0.08%	0.00%	0.08%	0.38%	0.00%	0.09%	0.11%	0.18%	0.19%	0.00%	0.00%	0.14%	0.00%	0.40%	0.00%	0.00%	0.67%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10552	26	20	99	159	176	151	30	203	176	153	227	225	235	205	178	211	224	240	221	207	198	299	216	213	158	172	165	176	23	38	220	206	152	141	140	195	151	215	153	129	254	115	93	118	141	192	185	190	163	161	158	156	160	248	164	145	136	184	128	132	184	177	38	79	42	47	7	15	14					
		15.02%	14.36%	21.28%	16.56%	15.84%	19.38%	13.94%	7.81%	17.90%	18.22%	16.31%	22.32%	19.88%	20.80%	16.26%	13.07%	15.55%	15.61%	18.32%	16.18%	15.37%	14.09%	19.40%	16.94%	16.93%	11.12%	11.57%	10.32%	15.70%	14.11%	9.38%	18.23%	16.27%	14.26%	13.08%	13.78%	15.89%	13.87%	16.89%	17.71%	15.81%	20.03%	13.74%	13.60%	14.08%	10.28%	14.15%	14.35%	11.80%	13.66%	12.93%	14.20%	12.99%	12.64%	18.45%	12.94%	13.80%	12.89%	15.83%	13.91%	11.69%	17.86%	15.73%	10.86%	11.17%	13.08%	18.73%	7.29%	10.34%	3.12%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	331	0	0	2	4	0	6	2	7	5	8	6	5	4	3	14	4	6	5	10	4	5	7	5	5	10	4	10	9	0	0	6	13	5	2	3	15	8	5	0	7	15	3	3	4	7	2	7	11	7	1	2	8	5	4	3	1	2	5	0	7	4	4	2	3	2	1	0	0	4					
		0.47%	0.00%	0.00%	0.33%	0.40%	0.00%	0.55%	0.52%	0.62%	0.52%	0.85%	0.59%	0.44%	0.35%	0.24%	1.03%	0.29%	0.42%	0.38%	0.73%	0.30%	0.36%	0.45%	0.39%	0.40%	0.70%	0.27%	0.63%	0.80%	0.00%	0.00%	0.50%	1.03%	0.47%	0.19%	0.30%	1.22%	0.73%	0.39%	0.00%	0.86%	1.18%	0.36%	0.44%	0.48%	0.51%	0.15%	0.54%	0.68%	0.59%	0.08%	0.18%	0.67%	0.39%	0.30%	0.24%	0.10%	0.19%	0.43%	0.00%	0.62%	0.39%	0.36%	0.57%	0.42%	0.62%	0.40%	0.00%	0.00%	0.89%					
23	6.Политическая партия «Партия социальной справедливости»	135	0	1	2	0	1	3	1	1	2	2	2	2	2	1	1	6	6	4	3	4	2	2	2	1	1	3	5	1	0	0	5	3	1	2	1	3	1	2	0	1	0	3	1	1	5	2	2	7	3	1	2	3	2	3	3	1	0	1	4	1	2	3	0	2	0	0	1	1	1					
		0.19%	0.00%	1.06%	0.33%	0.00%	0.11%	0.28%	0.26%	0.09%	0.21%	0.21%	0.20%	0.18%	0.18%	0.08%	0.07%	0.44%	0.42%	0.31%	0.22%	0.30%	0.14%	0.13%	0.16%	0.08%	0.07%	0.20%	0.31%	0.09%	0.00%	0.00%	0.41%	0.24%	0.09%	0.19%	0.10%	0.24%	0.09%	0.16%	0.00%	0.12%	0.00%	0.36%	0.15%	0.12%	0.36%	0.15%	0.16%	0.43%	0.25%	0.08%	0.18%	0.25%	0.16%	0.22%	0.24%	0.10%	0.00%	0.09%	0.43%	0.09%	0.19%	0.27%	0.00%	0.28%	0.00%	0.00%	1.04%	0.69%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	8483	9	1	44	74	87	124	58	103	78	106	107	102	118	171	201	179	236	160	153	162	206	199	160	190	179	235	238	134	17	37	150	158	138	141	147	154	133	116	72	78	118	91	104	88	193	202	148	241	131	173	137	126	163	151	169	119	92	126	125	129	103	96	35	87	37	26	13	25	80					
		12.07%	4.97%	1.06%	7.36%	7.37%	9.58%	11.45%	15.10%	9.08%	8.07%	11.30%	10.52%	9.01%	10.44%	13.56%	14.76%	13.19%	16.45%	12.21%	11.20%	12.03%	14.66%	12.91%	12.55%	15.10%	12.60%	15.81%	14.88%	11.95%	10.43%	9.14%	12.43%	12.48%	12.95%	13.08%	14.47%	12.55%	12.21%	9.11%	8.33%	9.56%	9.31%	10.87%	15.20%	10.50%	14.07%	14.89%	11.48%	14.97%	10.98%	13.90%	12.31%	10.49%	12.88%	11.24%	13.34%	11.32%	8.72%	10.84%	13.59%	11.43%	10.00%	8.53%	10.00%	12.31%	11.53%	10.36%	13.54%	17.24%	17.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7575	4	2	41	139	96	84	19	91	77	87	99	71	125	102	118	111	109	131	189	177	132	170	142	130	159	164	163	100	7	35	160	127	121	103	143	133	165	150	115	123	207	102	45	73	174	175	175	178	128	136	144	133	127	148	139	92	162	139	120	136	133	153	16	50	32	12	7	15	10					
		10.78%	2.21%	2.13%	6.86%	13.84%	10.57%	7.76%	4.95%	8.02%	7.97%	9.28%	9.73%	6.27%	11.06%	8.09%	8.66%	8.18%	7.60%	10.00%	13.84%	13.14%	9.40%	11.03%	11.14%	10.33%	11.19%	11.04%	10.19%	8.92%	4.29%	8.64%	13.26%	10.03%	11.35%	9.55%	14.07%	10.84%	15.15%	11.78%	13.31%	15.07%	16.32%	12.19%	6.58%	8.71%	12.68%	12.90%	13.58%	11.06%	10.73%	10.92%	12.94%	11.07%	10.03%	11.01%	10.97%	8.75%	15.36%	11.96%	13.04%	12.05%	12.91%	13.60%	4.57%	7.07%	9.97%	4.78%	7.29%	10.34%	2.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	541	3	0	1	4	11	9	1	4	3	5	11	7	12	10	20	11	13	7	8	11	28	23	13	23	9	22	16	9	2	1	13	6	5	8	3	10	5	4	6	2	15	7	4	9	15	8	8	9	16	8	5	5	2	3	7	5	5	10	3	9	4	6	3	3	3	2	2	2	4					
		0.77%	1.66%	0.00%	0.17%	0.40%	1.21%	0.83%	0.26%	0.35%	0.31%	0.53%	1.08%	0.62%	1.06%	0.79%	1.47%	0.81%	0.91%	0.53%	0.59%	0.82%	1.99%	1.49%	1.02%	1.83%	0.63%	1.48%	1.00%	0.80%	1.23%	0.25%	1.08%	0.47%	0.47%	0.74%	0.30%	0.81%	0.46%	0.31%	0.69%	0.25%	1.18%	0.84%	0.58%	1.07%	1.09%	0.59%	0.62%	0.56%	1.34%	0.64%	0.45%	0.42%	0.16%	0.22%	0.55%	0.48%	0.47%	0.86%	0.33%	0.80%	0.39%	0.53%	0.86%	0.42%	0.93%	0.80%	2.08%	1.38%	0.89%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	38354	135	70	376	578	475	649	184	655	587	523	496	651	563	671	751	756	743	674	699	683	740	732	651	624	793	783	881	622	109	274	573	661	586	626	535	612	554	709	472	417	579	478	399	495	764	687	707	885	647	699	602	696	728	708	712	628	610	637	495	658	556	619	246	451	185	154	63	80	313					
		54.59%	74.59%	74.47%	62.88%	57.57%	52.31%	59.93%	47.92%	57.76%	60.77%	55.76%	48.77%	57.51%	49.82%	53.21%	55.14%	55.71%	51.78%	51.45%	51.17%	50.71%	52.67%	47.50%	51.06%	49.60%	55.81%	52.69%	55.10%	55.49%	66.87%	67.65%	47.47%	52.21%	54.97%	58.07%	52.66%	49.88%	50.87%	55.70%	54.63%	51.10%	45.66%	57.11%	58.33%	59.07%	55.69%	50.63%	54.85%	54.97%	54.23%	56.14%	54.09%	57.95%	57.50%	52.68%	56.20%	59.75%	57.82%	54.82%	53.80%	58.28%	53.98%	55.02%	70.29%	63.79%	57.63%	61.35%	65.63%	55.17%	69.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1231	0	0	10	9	10	17	1	16	9	14	16	14	44	33	26	23	28	29	22	39	22	23	27	22	39	26	30	21	1	8	12	23	19	12	5	35	23	29	19	16	33	10	5	10	12	32	12	37	38	20	17	23	31	24	18	17	9	16	12	20	14	24	1	6	8	1	2	1	6					
		1.75%	0.00%	0.00%	1.67%	0.90%	1.10%	1.57%	0.26%	1.41%	0.93%	1.49%	1.57%	1.24%	3.89%	2.62%	1.91%	1.69%	1.95%	2.21%	1.61%	2.90%	1.57%	1.49%	2.12%	1.75%	2.74%	1.75%	1.88%	1.87%	0.61%	1.98%	0.99%	1.82%	1.78%	1.11%	0.49%	2.85%	2.11%	2.28%	2.20%	1.96%	2.60%	1.19%	0.73%	1.19%	0.87%	2.36%	0.93%	2.30%	3.19%	1.61%	1.53%	1.92%	2.45%	1.79%	1.42%	1.62%	0.85%	1.38%	1.30%	1.77%	1.36%	2.13%	0.29%	0.85%	2.49%	0.40%	2.08%	0.69%	1.34%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
