Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Дмитровcкая																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	2421	19	20	22	7	29	136	38	47	37	36	42	31	80	59	30	0	34	190	26	30	33	22	19	43	109	9	16	8	3	20	11	31	7	10	16	5	26	52	14	8	12	13	40	16	11	43	4	21	71	6	13	16	14	20	25	51	75	46	7	20	10	33	17	7	21	16	17	16	21	5	14	74	15	38	24	2	11	14	4	58	4	11	1	36	13	6	7	6	6	15									
14	Число погашенных неиспользованных открепительных удостоверений	271	4	1	1	4	0	1	0	0	0	0	1	1	3	13	4	0	0	0	0	0	0	0	0	0	0	6	0	4	2	0	5	0	0	19	19	7	0	1	1	5	0	2	2	6	0	5	0	0	0	0	0	0	0	0	2	0	3	1	0	9	0	16	22	0	0	12	1	0	19	0	0	5	3	0	5	0	19	0	9	0	3	0	2	0	0	0	0	10	3	10									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	62	1	0	1	0	1	0	0	1	3	5	0	1	3	4	3	2	0	2	4	1	3	0	3	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																					
18	1.Политическая партия «Аграрная партия России»	1965	10	55	28	20	33	31	31	34	51	46	9	26	15	43	45	20	10	23	25	38	62	30	20	22	26	20	8	13	8	19	6	21	11	23	28	12	18	4	7	17	8	22	28	20	17	23	5	35	11	6	14	5	26	39	25	12	1	25	16	25	21	25	26	16	51	31	32	31	46	13	21	37	19	62	20	8	33	6	2	6	24	5	5	10	3	14	10	18	1	38									
		2.40%	2.90%	3.86%	1.68%	3.16%	3.04%	2.36%	2.08%	2.23%	3.13%	3.10%	1.98%	3.42%	1.05%	2.93%	3.63%	1.10%	0.77%	2.05%	2.48%	3.59%	3.83%	2.38%	1.25%	1.60%	2.29%	2.73%	8.08%	2.66%	1.86%	3.07%	2.63%	1.71%	1.84%	2.80%	3.30%	5.06%	2.06%	1.81%	0.67%	4.78%	2.46%	3.99%	2.77%	2.80%	2.85%	1.80%	1.40%	2.92%	1.98%	3.41%	2.59%	2.42%	3.64%	4.23%	2.54%	0.86%	0.68%	1.64%	2.01%	2.27%	1.30%	2.63%	2.28%	2.23%	3.16%	2.26%	3.36%	2.90%	3.54%	1.51%	3.90%	2.03%	2.22%	2.71%	3.05%	3.27%	2.42%	2.59%	0.37%	1.25%	2.20%	0.99%	1.42%	1.62%	1.64%	2.88%	1.11%	2.02%	0.46%	3.75%									
19	2.Всероссийская политическая партия «Гражданская Сила»	788	1	21	15	8	6	21	20	29	23	15	4	14	7	15	23	15	18	8	11	13	22	11	15	10	15	9	0	2	2	7	0	16	4	2	9	1	4	2	7	3	4	2	10	7	7	12	2	10	7	3	7	2	3	13	9	3	1	11	13	4	17	15	13	9	25	14	5	12	22	5	6	8	2	30	1	0	5	1	0	0	2	2	1	2	3	3	3	5	0	19									
		0.96%	0.29%	1.47%	0.90%	1.27%	0.55%	1.60%	1.34%	1.91%	1.41%	1.01%	0.88%	1.84%	0.49%	1.02%	1.85%	0.83%	1.38%	0.71%	1.09%	1.23%	1.36%	0.87%	0.94%	0.73%	1.32%	1.23%	0.00%	0.41%	0.46%	1.13%	0.00%	1.30%	0.67%	0.24%	1.06%	0.42%	0.46%	0.90%	0.67%	0.84%	1.23%	0.36%	0.99%	0.98%	1.17%	0.94%	0.56%	0.83%	1.26%	1.70%	1.29%	0.97%	0.42%	1.41%	0.91%	0.22%	0.68%	0.72%	1.64%	0.36%	1.05%	1.58%	1.14%	1.25%	1.55%	1.02%	0.52%	1.12%	1.69%	0.58%	1.11%	0.44%	0.23%	1.31%	0.15%	0.00%	0.37%	0.43%	0.00%	0.00%	0.18%	0.40%	0.28%	0.32%	1.64%	0.62%	0.33%	0.56%	0.00%	1.87%									
20	3.Политическая партия «Демократическая партия России»	111	0	1	3	0	0	1	2	3	3	3	1	4	0	1	1	3	2	0	2	2	2	4	0	0	1	3	0	1	1	0	0	3	0	1	1	0	1	0	2	2	0	1	1	0	0	2	0	3	0	1	0	0	0	3	1	1	0	3	0	0	7	2	1	3	3	2	0	1	2	1	0	3	1	3	0	0	0	0	2	0	0	1	0	1	1	5	0	0	0	2									
		0.14%	0.00%	0.07%	0.18%	0.00%	0.00%	0.08%	0.13%	0.20%	0.18%	0.20%	0.22%	0.53%	0.00%	0.07%	0.08%	0.17%	0.15%	0.00%	0.20%	0.19%	0.12%	0.32%	0.00%	0.00%	0.09%	0.41%	0.00%	0.20%	0.23%	0.00%	0.00%	0.24%	0.00%	0.12%	0.12%	0.00%	0.11%	0.00%	0.19%	0.56%	0.00%	0.18%	0.10%	0.00%	0.00%	0.16%	0.00%	0.25%	0.00%	0.57%	0.00%	0.00%	0.00%	0.33%	0.10%	0.07%	0.00%	0.20%	0.00%	0.00%	0.43%	0.21%	0.09%	0.42%	0.19%	0.15%	0.00%	0.09%	0.15%	0.12%	0.00%	0.16%	0.12%	0.13%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.20%	0.00%	0.16%	0.55%	1.03%	0.00%	0.00%	0.00%	0.20%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9991	56	224	158	64	159	142	169	133	274	230	45	130	332	259	239	158	173	139	169	189	287	151	459	222	157	111	9	51	36	89	15	135	42	110	92	30	119	23	56	35	25	64	104	93	61	126	16	152	35	20	43	21	90	105	107	125	8	127	80	77	133	97	104	80	190	176	132	171	224	78	30	113	27	250	55	22	152	26	53	15	85	40	42	122	16	52	113	85	20	138									
		12.18%	16.23%	15.72%	9.50%	10.13%	14.67%	10.82%	11.32%	8.74%	16.79%	15.50%	9.89%	17.11%	23.30%	17.66%	19.26%	8.72%	13.27%	12.39%	16.73%	17.85%	17.72%	11.97%	28.63%	16.12%	13.86%	15.14%	9.09%	10.45%	8.35%	14.38%	6.58%	10.98%	7.01%	13.41%	10.85%	12.66%	13.65%	10.41%	5.32%	9.83%	7.69%	11.59%	10.28%	13.01%	10.22%	9.84%	4.47%	12.69%	6.31%	11.36%	7.95%	10.14%	12.59%	11.39%	10.85%	9.01%	5.41%	8.34%	10.06%	6.99%	8.23%	10.20%	9.13%	11.13%	11.77%	12.84%	13.85%	15.98%	17.22%	9.05%	5.57%	6.21%	3.15%	10.91%	8.40%	8.98%	11.16%	11.21%	9.81%	3.12%	7.80%	7.94%	11.97%	19.74%	8.74%	10.70%	12.53%	9.53%	9.22%	13.61%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	715	8	22	11	12	9	13	11	20	30	22	1	16	9	26	14	19	14	12	14	13	27	12	19	16	24	14	0	3	4	2	0	6	3	7	9	1	2	0	6	0	1	5	9	9	3	4	2	16	2	2	4	0	7	12	1	5	0	13	9	11	9	5	3	7	13	11	8	2	21	5	1	11	1	10	2	2	3	0	1	0	2	0	0	2	3	0	0	2	2	23									
		0.87%	2.32%	1.54%	0.66%	1.90%	0.83%	0.99%	0.74%	1.31%	1.84%	1.48%	0.22%	2.11%	0.63%	1.77%	1.13%	1.05%	1.07%	1.07%	1.39%	1.23%	1.67%	0.95%	1.19%	1.16%	2.12%	1.91%	0.00%	0.61%	0.93%	0.32%	0.00%	0.49%	0.50%	0.85%	1.06%	0.42%	0.23%	0.00%	0.57%	0.00%	0.31%	0.91%	0.89%	1.26%	0.50%	0.31%	0.56%	1.34%	0.36%	1.14%	0.74%	0.00%	0.98%	1.30%	0.10%	0.36%	0.00%	0.85%	1.13%	0.99%	0.56%	0.53%	0.26%	0.97%	0.81%	0.80%	0.84%	0.19%	1.61%	0.58%	0.19%	0.60%	0.12%	0.44%	0.31%	0.82%	0.22%	0.00%	0.19%	0.00%	0.18%	0.00%	0.00%	0.32%	1.64%	0.00%	0.00%	0.22%	0.92%	2.27%									
23	6.Политическая партия «Партия социальной справедливости»	212	2	3	4	2	1	4	5	0	4	9	1	2	0	4	5	5	7	2	0	1	4	1	1	4	3	1	0	2	0	1	0	2	0	1	2	0	4	2	1	1	0	1	1	3	2	5	2	4	1	1	1	0	1	0	3	3	0	4	1	2	3	1	5	0	1	3	2	7	3	1	3	3	1	3	11	2	14	0	7	0	0	4	1	2	0	2	2	1	1	3									
		0.26%	0.58%	0.21%	0.24%	0.32%	0.09%	0.30%	0.33%	0.00%	0.25%	0.61%	0.22%	0.26%	0.00%	0.27%	0.40%	0.28%	0.54%	0.18%	0.00%	0.09%	0.25%	0.08%	0.06%	0.29%	0.26%	0.14%	0.00%	0.41%	0.00%	0.16%	0.00%	0.16%	0.00%	0.12%	0.24%	0.00%	0.46%	0.90%	0.10%	0.28%	0.00%	0.18%	0.10%	0.42%	0.34%	0.39%	0.56%	0.33%	0.18%	0.57%	0.18%	0.00%	0.14%	0.00%	0.30%	0.22%	0.00%	0.26%	0.13%	0.18%	0.19%	0.11%	0.44%	0.00%	0.06%	0.22%	0.21%	0.65%	0.23%	0.12%	0.56%	0.16%	0.12%	0.13%	1.68%	0.82%	1.03%	0.00%	1.30%	0.00%	0.00%	0.79%	0.28%	0.32%	0.00%	0.41%	0.22%	0.11%	0.46%	0.30%									
24	7.Политическая партия «Либерально-демократическая партия России»	5292	34	96	67	36	72	95	87	17	110	107	31	44	17	122	77	103	66	87	89	76	117	65	78	84	85	75	2	25	37	41	8	62	59	58	63	12	56	19	119	16	20	48	83	54	46	102	27	84	43	9	26	9	59	71	54	23	6	80	37	74	97	58	62	50	162	85	66	71	78	67	44	78	96	167	21	12	79	34	54	11	72	31	17	67	4	48	63	29	9	91									
		6.45%	9.86%	6.74%	4.03%	5.70%	6.64%	7.24%	5.83%	1.12%	6.74%	7.21%	6.81%	5.79%	1.19%	8.32%	6.20%	5.69%	5.06%	7.75%	8.81%	7.18%	7.22%	5.15%	4.87%	6.10%	7.50%	10.23%	2.02%	5.12%	8.58%	6.62%	3.51%	5.04%	9.85%	7.07%	7.43%	5.06%	6.42%	8.60%	11.31%	4.49%	6.15%	8.70%	8.20%	7.55%	7.71%	7.96%	7.54%	7.01%	7.75%	5.11%	4.81%	4.35%	8.25%	7.70%	5.48%	1.66%	4.05%	5.26%	4.65%	6.72%	6.00%	6.10%	5.44%	6.95%	10.04%	6.20%	6.93%	6.64%	5.99%	7.77%	8.16%	4.29%	11.21%	7.29%	3.21%	4.90%	5.80%	14.66%	10.00%	2.29%	6.61%	6.15%	4.84%	10.84%	2.19%	9.88%	6.98%	3.25%	4.15%	8.97%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4504	11	82	79	70	58	84	90	78	115	90	19	46	101	88	80	88	24	68	70	83	94	70	85	93	68	43	1	29	27	43	13	79	16	62	55	17	35	15	29	14	4	46	53	48	30	67	8	78	23	9	37	11	42	35	58	20	4	94	58	41	58	61	77	42	102	85	74	66	75	33	28	128	67	129	32	16	50	6	35	10	30	12	21	23	6	28	29	27	7	69									
		5.49%	3.19%	5.75%	4.75%	11.08%	5.35%	6.40%	6.03%	5.12%	7.05%	6.06%	4.18%	6.05%	7.09%	5.99%	6.45%	4.86%	1.84%	6.06%	6.93%	7.84%	5.80%	5.55%	5.30%	6.75%	6.00%	5.87%	1.01%	5.94%	6.26%	6.95%	5.70%	6.43%	2.67%	7.56%	6.49%	7.17%	4.01%	6.79%	2.76%	3.93%	1.23%	8.33%	5.24%	6.71%	5.03%	5.23%	2.23%	6.51%	4.14%	5.11%	6.84%	5.31%	5.87%	3.80%	5.88%	1.44%	2.70%	6.18%	7.30%	3.72%	3.59%	6.41%	6.76%	5.84%	6.32%	6.20%	7.76%	6.17%	5.76%	3.83%	5.19%	7.04%	7.83%	5.63%	4.89%	6.53%	3.67%	2.59%	6.48%	2.08%	2.75%	2.38%	5.98%	3.72%	3.28%	5.76%	3.22%	3.03%	3.23%	6.80%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1020	2	15	26	12	14	20	29	21	21	25	6	10	9	21	22	34	19	14	19	18	11	4	9	16	16	11	0	4	4	5	3	21	7	6	6	3	16	3	4	3	7	6	20	6	12	17	5	9	4	0	6	0	11	12	18	9	0	13	9	6	16	10	19	15	22	12	10	29	18	4	24	11	4	39	7	2	16	5	6	3	7	5	23	4	0	8	7	4	1	10									
		1.24%	0.58%	1.05%	1.56%	1.90%	1.29%	1.52%	1.94%	1.38%	1.29%	1.68%	1.32%	1.32%	0.63%	1.43%	1.77%	1.88%	1.46%	1.25%	1.88%	1.70%	0.68%	0.32%	0.56%	1.16%	1.41%	1.50%	0.00%	0.82%	0.93%	0.81%	1.32%	1.71%	1.17%	0.73%	0.71%	1.27%	1.83%	1.36%	0.38%	0.84%	2.15%	1.09%	1.98%	0.84%	2.01%	1.33%	1.40%	0.75%	0.72%	0.00%	1.11%	0.00%	1.54%	1.30%	1.83%	0.65%	0.00%	0.85%	1.13%	0.54%	0.99%	1.05%	1.67%	2.09%	1.36%	0.88%	1.05%	2.71%	1.38%	0.46%	4.45%	0.60%	0.47%	1.70%	1.07%	0.82%	1.17%	2.16%	1.11%	0.62%	0.64%	0.99%	6.55%	0.65%	0.00%	1.65%	0.78%	0.45%	0.46%	0.99%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	55158	211	864	1236	381	706	851	1002	1114	945	878	324	449	909	828	682	1335	951	737	575	586	936	870	881	884	707	411	77	350	302	384	183	852	440	538	564	155	597	150	802	255	242	340	670	449	405	894	280	761	415	122	389	154	440	600	670	1182	126	1108	546	838	1209	641	805	479	996	917	597	652	768	640	368	1386	629	1535	503	175	945	153	361	433	856	390	235	371	143	321	665	705	174	573									
		67.23%	61.16%	60.63%	74.32%	60.28%	65.13%	64.86%	67.11%	73.19%	57.90%	59.16%	71.21%	59.08%	63.79%	56.44%	54.96%	73.72%	72.93%	65.69%	56.93%	55.34%	57.78%	68.94%	54.96%	64.20%	62.40%	56.07%	77.78%	71.72%	70.07%	62.04%	80.26%	69.32%	73.46%	65.61%	66.51%	65.40%	68.46%	67.87%	76.24%	71.63%	74.46%	61.59%	66.21%	62.80%	67.84%	69.79%	78.21%	63.52%	74.77%	69.32%	71.90%	74.40%	61.54%	65.08%	67.95%	85.16%	85.14%	72.80%	68.68%	76.11%	74.81%	67.40%	70.68%	66.62%	61.71%	66.89%	62.64%	60.93%	59.03%	74.25%	68.27%	76.20%	73.48%	66.97%	76.79%	71.43%	69.38%	65.95%	66.85%	90.02%	78.53%	77.38%	66.95%	60.03%	78.14%	66.05%	73.73%	79.04%	80.18%	56.51%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1295	5	34	20	20	10	38	27	45	43	39	10	13	7	43	34	15	10	21	22	31	38	24	23	16	19	16	2	5	3	23	0	19	6	4	9	6	9	2	6	2	10	9	14	10	6	16	8	26	11	1	6	2	15	25	18	5	1	21	17	10	36	21	12	8	31	16	19	17	28	5	2	32	5	37	3	6	11	1	3	1	0	4	3	4	2	1	5	7	0	25									
		1.58%	1.45%	2.39%	1.20%	3.16%	0.92%	2.90%	1.81%	2.96%	2.63%	2.63%	2.20%	1.71%	0.49%	2.93%	2.74%	0.83%	0.77%	1.87%	2.18%	2.93%	2.35%	1.90%	1.43%	1.16%	1.68%	2.18%	2.02%	1.02%	0.70%	3.72%	0.00%	1.55%	1.00%	0.49%	1.06%	2.53%	1.03%	0.90%	0.57%	0.56%	3.08%	1.63%	1.38%	1.40%	1.01%	1.25%	2.23%	2.17%	1.98%	0.57%	1.11%	0.97%	2.10%	2.71%	1.83%	0.36%	0.68%	1.38%	2.14%	0.91%	2.23%	2.21%	1.05%	1.11%	1.92%	1.17%	1.99%	1.59%	2.15%	0.58%	0.37%	1.76%	0.58%	1.61%	0.46%	2.45%	0.81%	0.43%	0.56%	0.21%	0.00%	0.79%	0.85%	0.65%	1.09%	0.21%	0.55%	0.78%	0.00%	2.47%									
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
