Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Кыринская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212					
		7.83%	2.75%	14.59%	25.76%	7.04%	5.13%	4.27%	16.09%	3.66%	2.22%	4.10%	1.37%	11.76%	23.61%	5.16%	6.76%	7.75%	14.28%	5.6%	27.90%					
28	"11. ""Истинные патриоты России"""	8	1	2	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0					
		0.11%	0.68%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.28%	0.29%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	119	1	10	1	0	12	15	4	2	3	1	4	4	4	16	26	8	4	4	0					
		1.74%	0.68%	2.39%	0.30%	0.0%	1.18%	2.21%	1.95%	0.56%	0.74%	1.36%	0.91%	11.76%	1.85%	1.52%	7.64%	1.63%	2.72%	1.6%	0.0%					
30	"13. ""Демократическая партия России"""	26	1	5	0	1	3	6	0	2	0	0	3	0	0	1	0	3	0	1	0					
		0.38%	0.68%	1.19%	0.0%	0.70%	0.29%	0.88%	0.0%	0.56%	0.0%	0.0%	0.68%	0.0%	0.0%	0.09%	0.0%	0.61%	0.0%	0.4%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	0	0	2	3	1	0	0	0	0	0	0	1	0	0	1	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.19%	0.44%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.68%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0					
		0.08%	2.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.4%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	170	4	2	8	3	35	15	3	10	19	0	24	0	1	15	15	10	3	3	0					
		2.49%	2.75%	0.47%	2.45%	2.11%	3.45%	2.21%	1.46%	2.81%	4.70%	0.0%	5.51%	0.0%	0.46%	1.43%	4.41%	2.04%	2.04%	1.2%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	2	0	2	0	1	2	0	2	1	0	3	0	0	2	0	2	0	0	0					
		0.24%	1.37%	0.0%	0.61%	0.0%	0.09%	0.29%	0.0%	0.56%	0.24%	0.0%	0.68%	0.0%	0.0%	0.19%	0.0%	0.40%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1095	15	59	42	7	204	74	35	82	86	39	78	6	11	160	26	71	30	59	11					
		16.09%	10.34%	14.11%	12.88%	4.92%	20.13%	10.91%	17.07%	23.09%	21.28%	53.42%	17.93%	17.64%	5.09%	15.29%	7.64%	14.48%	20.40%	23.6%	12.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	78	0	1	3	3	15	12	3	2	3	0	7	0	3	11	2	7	0	6	0					
		1.14%	0.0%	0.23%	0.92%	2.11%	1.48%	1.76%	1.46%	0.56%	0.74%	0.0%	1.60%	0.0%	1.38%	1.05%	0.58%	1.42%	0.0%	2.4%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2663	53	95	103	99	363	292	87	61	170	22	161	11	93	550	121	212	52	90	28					
		39.14%	36.55%	22.72%	31.59%	69.71%	35.83%	43.06%	42.43%	17.18%	42.07%	30.13%	37.01%	32.35%	43.05%	52.58%	35.58%	43.26%	35.37%	36.0%	32.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	0	0	0	0	4	0	0	0	1	0	1	0	0	3	2	0	0	2	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.24%	0.0%	0.22%	0.0%	0.0%	0.28%	0.58%	0.0%	0.0%	0.8%	0.0%					
39	"22. ""Развитие предпринимательства"""	20	2	2	0	0	1	2	0	0	3	0	0	0	1	9	0	0	0	0	0					
		0.29%	1.37%	0.47%	0.0%	0.0%	0.09%	0.29%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.46%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1290	26	135	42	9	214	166	13	140	63	1	82	2	24	118	93	92	16	42	12					
		18.96%	17.93%	32.29%	12.88%	6.33%	21.12%	24.48%	6.34%	39.43%	15.59%	1.36%	18.85%	5.88%	11.11%	11.28%	27.35%	18.77%	10.88%	16.8%	13.95%					
																										
41	Против всех	136	13	9	4	1	11	12	4	11	7	2	13	0	2	24	3	5	5	7	3					
		1.99%	8.96%	2.15%	1.22%	0.70%	1.08%	1.76%	1.95%	3.09%	1.73%	2.73%	2.98%	0.0%	0.92%	2.29%	0.88%	1.02%	3.40%	2.8%	3.48%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
