Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Пыщугская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	54	18	14	3	0	7	0	2	4	2	4									
		3.22%	3.26%	3.20%	3.95%	0.00%	4.29%	0.00%	2.47%	3.54%	3.08%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	11	12	1	1	6	4	2	3	2	0									
		2.50%	1.99%	2.75%	1.32%	2.33%	3.68%	8.89%	2.47%	2.65%	3.08%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	592	167	146	21	28	59	11	39	46	24	51									
		35.26%	30.25%	33.41%	27.63%	65.12%	36.20%	24.44%	48.15%	40.71%	36.92%	49.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	2	3	0	0	0	1	0	0	0	0									
		0.36%	0.36%	0.69%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	0	1	0	0	0	0	0	1	1									
		0.24%	0.18%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.96%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	432	134	119	15	4	57	9	16	38	14	26									
		25.73%	24.28%	27.23%	19.74%	9.30%	34.97%	20.00%	19.75%	33.63%	21.54%	25.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	2	1	0	0	0	0	0	0	0	0									
		0.18%	0.36%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	4	10	0	0	1	1	0	0	1	0									
		1.01%	0.72%	2.29%	0.00%	0.00%	0.61%	2.22%	0.00%	0.00%	1.54%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	5	5	1	0	4	0	0	0	0	1									
		0.95%	0.91%	1.14%	1.32%	0.00%	2.45%	0.00%	0.00%	0.00%	0.00%	0.96%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	422	174	102	33	9	18	17	18	18	18	15									
		25.13%	31.52%	23.34%	43.42%	20.93%	11.04%	37.78%	22.22%	15.93%	27.69%	14.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	0	1	0	0	0	0	0	2	0	0									
		0.18%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	1.77%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	42	15	13	1	1	3	2	2	1	3	1									
		2.50%	2.72%	2.97%	1.32%	2.33%	1.84%	4.44%	2.47%	0.88%	4.62%	0.96%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
