Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Узловская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2632	УИК №2633	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	263	11	9	12	7	7	11	6	10	7	7	16	4	3	11	6	9	5	7	6	7	10	5	11	10	8	2	6	4	7	0	2	9	5	3	3	0	2	0	0	6	0	0	0	2	0	0	4	3									
		0.95%	1.21%	0.96%	1.65%	0.92%	0.93%	1.31%	0.62%	1.10%	0.60%	0.75%	1.95%	0.69%	0.63%	1.08%	0.99%	0.88%	0.72%	1.05%	1.05%	1.35%	1.73%	1.33%	1.63%	0.89%	1.29%	0.35%	0.70%	0.89%	0.85%	0.00%	1.40%	1.18%	1.34%	0.48%	0.80%	0.00%	0.84%	0.00%	0.00%	2.05%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	2.06%	0.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	1	1	0	0	0	1	3	1	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	3	0	1	2	2	0	0	0	1	0	2	2	0	1	0	2	3	0	1	0	0	0	0	0	0									
		0.12%	0.11%	0.11%	0.00%	0.00%	0.00%	0.12%	0.31%	0.11%	0.17%	0.00%	0.12%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.17%	0.00%	0.00%	0.27%	0.00%	0.17%	0.23%	0.45%	0.00%	0.00%	0.00%	0.13%	0.00%	0.32%	0.53%	0.00%	0.42%	0.00%	0.88%	1.02%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	335	15	11	16	12	10	18	14	24	15	9	20	10	9	7	13	8	5	11	9	3	7	8	10	15	1	7	5	11	5	4	0	8	1	6	1	0	0	0	0	2	0	0	0	1	1	0	2	1									
		1.20%	1.65%	1.17%	2.20%	1.58%	1.33%	2.14%	1.45%	2.65%	1.29%	0.97%	2.44%	1.74%	1.88%	0.69%	2.14%	0.78%	0.72%	1.65%	1.57%	0.58%	1.21%	2.12%	1.48%	1.34%	0.16%	1.21%	0.58%	2.45%	0.61%	1.20%	0.00%	1.05%	0.27%	0.97%	0.27%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.18%	0.59%	0.00%	1.03%	0.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4300	202	206	114	105	143	132	170	194	201	157	134	103	75	190	97	194	132	93	83	82	76	57	80	154	105	95	138	55	115	100	39	90	33	54	33	29	44	18	12	16	12	8	17	35	3	28	25	22									
		15.46%	22.17%	21.87%	15.68%	13.80%	19.04%	15.71%	17.65%	21.44%	17.27%	16.88%	16.34%	17.88%	15.69%	18.65%	15.98%	18.98%	19.08%	13.94%	14.51%	15.77%	13.15%	15.12%	11.87%	13.76%	16.94%	16.46%	16.07%	12.25%	14.01%	30.03%	27.27%	11.83%	8.82%	8.71%	8.78%	14.29%	18.41%	9.42%	5.26%	5.46%	3.90%	4.79%	8.42%	6.25%	1.76%	13.86%	12.89%	7.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	6	2	2	0	3	2	0	4	1	2	3	3	1	1	1	4	0	0	0	1	1	1	4	2	2	4	2	1	3	0	2	3	1	2	0	2	1	1	0	2	0	0	1	0	0	0	0	0									
		0.26%	0.66%	0.21%	0.28%	0.00%	0.40%	0.24%	0.00%	0.44%	0.09%	0.22%	0.37%	0.52%	0.21%	0.10%	0.16%	0.39%	0.00%	0.00%	0.00%	0.19%	0.17%	0.27%	0.59%	0.18%	0.32%	0.69%	0.23%	0.22%	0.37%	0.00%	1.40%	0.39%	0.27%	0.32%	0.00%	0.99%	0.42%	0.52%	0.00%	0.68%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	976	35	41	32	42	28	32	44	44	47	50	40	24	39	44	16	47	31	41	14	16	13	9	19	37	21	12	27	8	32	1	1	23	6	14	3	5	3	0	1	8	2	5	3	7	0	0	5	4									
		3.51%	3.84%	4.35%	4.40%	5.52%	3.73%	3.81%	4.57%	4.86%	4.04%	5.38%	4.88%	4.17%	8.16%	4.32%	2.64%	4.60%	4.48%	6.15%	2.45%	3.08%	2.25%	2.39%	2.82%	3.31%	3.39%	2.08%	3.14%	1.78%	3.90%	0.30%	0.70%	3.02%	1.60%	2.26%	0.80%	2.46%	1.26%	0.00%	0.44%	2.73%	0.65%	2.99%	1.49%	1.25%	0.00%	0.00%	2.58%	1.31%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
