Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Зерноградская районная																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №178	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №2565	УИК №2569	УИК №2572					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1338	31	15	25	25	15	10	5	4	4	13	17	15	60	5	6	10	5	30	40	5	60	35	10	20	20	13	30	20	20	45	15	5	20	15	70	80	10	10	13	5	10	25	10	5	30	15	40	10	10	15	15	32	20	45	10	20	5	30	60	20	40	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1051	17	13	18	21	8	1	5	2	4	10	13	15	38	2	6	9	2	16	26	2	46	8	4	12	20	9	30	15	20	40	15	1	19	15	70	77	10	6	12	4	8	20	10	2	24	7	34	6	9	13	11	28	17	35	6	10	2	24	60	20	36	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	786	3	9	10	10	8	3	3	1	2	2	8	0	16	5	1	5	1	6	4	2	2	2	1	4	3	2	4	2	3	0	1	3	2	3	8	4	1	3	2	5	13	2	1	4	19	10	13	4	7	3	10	18	8	29	0	8	2	6	11	19	438	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	287	14	2	7	4	7	9	0	2	0	3	4	0	22	3	0	1	3	14	14	3	14	27	6	8	0	4	0	5	0	5	0	4	1	0	0	3	0	4	1	1	2	5	0	3	6	8	6	4	1	2	4	4	3	10	4	10	3	6	0	0	4	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	1.Политическая партия «Аграрная партия России»	961	0	35	29	65	14	10	13	2	4	2	2	2	40	7	7	3	0	24	31	2	19	15	7	37	10	2	31	14	2	0	5	2	7	4	26	13	5	5	12	14	5	2	5	11	32	18	35	14	18	24	12	28	17	39	3	27	9	31	22	14	60	2	11					
		2.99%	0.00%	3.87%	3.62%	5.94%	2.36%	3.79%	3.43%	1.36%	2.68%	0.91%	0.67%	1.14%	3.22%	6.25%	4.38%	1.24%	0.00%	5.10%	2.65%	1.49%	4.24%	2.18%	2.63%	4.16%	4.26%	2.06%	4.96%	6.22%	0.95%	0.00%	2.94%	1.14%	4.43%	2.65%	2.56%	1.27%	2.48%	1.69%	3.52%	4.29%	0.92%	1.06%	2.40%	3.86%	2.35%	3.44%	2.60%	2.28%	2.55%	3.09%	1.64%	3.93%	2.25%	3.30%	1.62%	4.23%	5.77%	3.59%	1.40%	1.63%	6.73%	1.61%	2.72%					
19	2.Всероссийская политическая партия «Гражданская Сила»	218	0	4	3	1	0	0	0	1	0	0	0	0	4	0	2	1	0	3	4	0	3	0	1	2	1	0	2	0	1	0	1	0	2	0	2	9	0	0	1	0	2	0	1	2	19	7	8	4	4	6	5	6	8	9	0	4	1	13	27	18	18	0	8					
		0.68%	0.00%	0.44%	0.37%	0.09%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	1.25%	0.41%	0.00%	0.64%	0.34%	0.00%	0.67%	0.00%	0.38%	0.22%	0.43%	0.00%	0.32%	0.00%	0.48%	0.00%	0.59%	0.00%	1.27%	0.00%	0.20%	0.88%	0.00%	0.00%	0.29%	0.00%	0.37%	0.00%	0.48%	0.70%	1.40%	1.34%	0.59%	0.65%	0.57%	0.77%	0.68%	0.84%	1.06%	0.76%	0.00%	0.63%	0.64%	1.50%	1.72%	2.09%	2.02%	0.00%	1.98%					
20	3.Политическая партия «Демократическая партия России»	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	1	0	1	0	0	4	0	0	1	0	0	1	0	1	0	0	2	2	1	1	0	1					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.42%	0.09%	0.00%	0.00%	0.00%	0.38%	0.11%	1.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.59%	0.00%	0.37%	0.53%	0.00%	0.35%	0.00%	0.00%	0.30%	0.00%	0.00%	0.13%	0.00%	0.00%	0.13%	0.00%	0.54%	0.00%	0.00%	0.23%	0.13%	0.12%	0.11%	0.00%	0.25%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5227	16	123	130	141	130	7	36	12	9	42	41	21	131	13	18	21	10	38	234	17	49	92	33	123	27	8	44	20	27	10	20	35	18	11	238	94	27	23	42	33	118	20	41	41	295	86	232	126	143	175	160	173	204	247	47	141	13	162	280	162	111	9	77					
		16.27%	8.74%	13.59%	16.23%	12.88%	21.96%	2.65%	9.50%	8.16%	6.04%	19.09%	13.67%	12.00%	10.55%	11.61%	11.25%	8.68%	13.16%	8.07%	20.03%	12.69%	10.94%	13.37%	12.41%	13.82%	11.49%	8.25%	7.04%	8.89%	12.86%	7.41%	11.76%	19.89%	11.39%	7.28%	23.45%	9.22%	13.37%	7.77%	12.32%	10.12%	21.73%	10.58%	19.71%	14.39%	21.69%	16.41%	17.24%	20.49%	20.23%	22.55%	21.86%	24.30%	26.95%	20.90%	25.41%	22.10%	8.33%	18.75%	17.80%	18.84%	12.46%	7.26%	19.01%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	98	0	2	3	2	0	1	0	0	0	0	4	0	2	2	1	1	0	1	5	1	0	0	0	3	0	0	0	0	1	0	0	0	1	1	2	0	0	0	1	0	1	2	0	0	5	0	9	2	2	5	1	5	5	8	1	1	0	4	2	5	3	0	3					
		0.31%	0.00%	0.22%	0.37%	0.18%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.16%	1.79%	0.63%	0.41%	0.00%	0.21%	0.43%	0.75%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.63%	0.66%	0.20%	0.00%	0.00%	0.00%	0.29%	0.00%	0.18%	1.06%	0.00%	0.00%	0.37%	0.00%	0.67%	0.33%	0.28%	0.64%	0.14%	0.70%	0.66%	0.68%	0.54%	0.16%	0.00%	0.46%	0.13%	0.58%	0.34%	0.00%	0.74%					
23	6.Политическая партия «Партия социальной справедливости»	60	0	5	2	3	1	1	2	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	4	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	1	0	0	2	4	2	0	0	1	5	0	6	0	0	0	0	3	1	1	1	2					
		0.19%	0.00%	0.55%	0.25%	0.27%	0.17%	0.38%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.21%	0.09%	0.00%	0.22%	0.00%	0.38%	0.45%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.50%	0.68%	0.00%	0.31%	0.18%	0.00%	0.48%	0.00%	0.00%	0.38%	0.30%	0.33%	0.00%	0.00%	0.14%	0.70%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.19%	0.12%	0.11%	0.81%	0.49%					
24	7.Политическая партия «Либерально-демократическая партия России»	2371	20	62	39	64	30	19	23	9	11	14	14	10	71	8	8	15	7	47	73	10	53	28	17	51	21	10	56	11	11	4	5	8	7	11	82	59	10	5	23	24	31	12	15	22	88	30	124	28	52	65	69	52	60	103	17	61	6	64	192	92	102	11	25					
		7.38%	10.93%	6.85%	4.87%	5.84%	5.07%	7.20%	6.07%	6.12%	7.38%	6.36%	4.67%	5.71%	5.72%	7.14%	5.00%	6.20%	9.21%	9.98%	6.25%	7.46%	11.83%	4.07%	6.39%	5.73%	8.94%	10.31%	8.96%	4.89%	5.24%	2.96%	2.94%	4.55%	4.43%	7.28%	8.08%	5.78%	4.95%	1.69%	6.74%	7.36%	5.71%	6.35%	7.21%	7.72%	6.47%	5.73%	9.21%	4.55%	7.36%	8.38%	9.43%	7.30%	7.93%	8.71%	9.19%	9.56%	3.85%	7.41%	12.21%	10.70%	11.45%	8.87%	6.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2573	3	96	52	106	46	16	15	2	8	9	7	8	57	2	3	3	6	40	49	3	23	23	13	66	18	4	33	11	3	3	13	4	9	3	57	37	10	5	21	27	27	6	12	19	188	72	140	85	101	95	91	90	71	122	10	67	6	105	136	102	66	3	45					
		8.01%	1.64%	10.61%	6.49%	9.68%	7.77%	6.06%	3.96%	1.36%	5.37%	4.09%	2.33%	4.57%	4.59%	1.79%	1.88%	1.24%	7.89%	8.49%	4.20%	2.24%	5.13%	3.34%	4.89%	7.42%	7.66%	4.12%	5.28%	4.89%	1.43%	2.22%	7.65%	2.27%	5.70%	1.99%	5.62%	3.63%	4.95%	1.69%	6.16%	8.28%	4.97%	3.17%	5.77%	6.67%	13.82%	13.74%	10.40%	13.82%	14.29%	12.24%	12.43%	12.64%	9.38%	10.32%	5.41%	10.50%	3.85%	12.15%	8.65%	11.86%	7.41%	2.42%	11.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	218	0	3	4	5	6	0	2	1	1	0	1	2	2	0	0	0	0	2	2	0	4	3	2	8	3	2	4	2	0	1	0	1	4	3	3	8	2	0	5	9	2	1	1	3	11	3	15	4	4	6	2	8	3	8	1	7	0	9	11	14	4	0	6					
		0.68%	0.00%	0.33%	0.50%	0.46%	1.01%	0.00%	0.53%	0.68%	0.67%	0.00%	0.33%	1.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.42%	0.17%	0.00%	0.89%	0.44%	0.75%	0.90%	1.28%	2.06%	0.64%	0.89%	0.00%	0.74%	0.00%	0.57%	2.53%	1.99%	0.30%	0.78%	0.99%	0.00%	1.47%	2.76%	0.37%	0.53%	0.48%	1.05%	0.81%	0.57%	1.11%	0.65%	0.57%	0.77%	0.27%	1.12%	0.40%	0.68%	0.54%	1.10%	0.00%	1.04%	0.70%	1.63%	0.45%	0.00%	1.48%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	19865	139	559	526	695	359	204	285	120	116	151	229	130	911	79	118	189	52	305	749	100	292	524	188	580	151	71	444	165	164	115	122	120	109	116	580	793	146	252	228	215	351	145	129	180	695	294	755	335	377	386	383	329	374	614	101	319	121	458	863	438	510	98	219					
		61.84%	75.96%	61.77%	65.67%	63.47%	60.64%	77.27%	75.20%	81.63%	77.85%	68.64%	76.33%	74.29%	73.35%	70.54%	73.75%	78.10%	68.42%	64.76%	64.13%	74.63%	65.18%	76.16%	70.68%	65.17%	64.26%	73.20%	71.04%	73.33%	78.10%	85.19%	71.76%	68.18%	68.99%	76.82%	57.14%	77.75%	72.28%	85.14%	66.86%	65.95%	64.64%	76.72%	62.02%	63.16%	51.10%	56.11%	56.09%	54.47%	53.32%	49.74%	52.32%	46.21%	49.41%	51.95%	54.59%	50.00%	77.56%	53.01%	54.86%	50.93%	57.24%	79.03%	54.07%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	228	0	2	6	4	1	4	1	0	0	0	1	1	7	0	1	6	0	2	5	0	1	1	0	8	0	0	8	1	0	1	1	1	1	0	9	3	0	0	0	0	2	0	2	0	21	5	10	7	4	9	7	13	6	13	4	3	0	8	16	9	7	0	6					
		0.71%	0.00%	0.22%	0.75%	0.37%	0.17%	1.52%	0.26%	0.00%	0.00%	0.00%	0.33%	0.57%	0.56%	0.00%	0.63%	2.48%	0.00%	0.42%	0.43%	0.00%	0.22%	0.15%	0.00%	0.90%	0.00%	0.00%	1.28%	0.44%	0.00%	0.74%	0.59%	0.57%	0.63%	0.00%	0.89%	0.29%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.96%	0.00%	1.54%	0.95%	0.74%	1.14%	0.57%	1.16%	0.96%	1.83%	0.79%	1.10%	2.16%	0.47%	0.00%	0.93%	1.02%	1.05%	0.79%	0.00%	1.48%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
