Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Калуга, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №8029	УИК №8091	УИК №8325									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2425	50	50	50	40	50	40	10	40	40	40	40	50	50	50	40	40	40	40	50	50	50	50	50	40	50	70	50	50	40	50	40	40	50	50	50	50	50	50	50	80	50	50	50	50	40	50	40	20	10	20	10	50	50	40	0	0	0	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	811	15	9	14	15	19	10	2	13	14	11	8	24	19	24	15	6	14	13	10	25	15	12	17	9	28	27	23	14	25	20	3	15	23	21	23	18	13	22	12	18	6	29	22	15	9	17	19	7	0	7	4	11	22	5	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1003	26	15	23	13	23	12	9	9	21	17	15	22	27	14	10	9	10	20	11	16	14	20	33	5	20	10	8	17	13	15	15	15	6	10	14	11	35	46	65	39	11	33	14	15	7	11	30	10	13	4	6	41	15	9	23	27	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	1614	35	41	36	25	31	30	8	27	26	29	32	26	31	26	25	34	26	27	40	25	35	38	33	31	22	43	27	36	15	30	37	25	27	29	27	32	37	28	38	62	44	21	28	35	31	33	21	13	10	13	6	39	28	35	0	0	0	15	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	160	2	1	5	2	2	3	0	1	3	4	0	1	4	12	1	0	3	0	2	3	3	4	4	3	4	6	4	7	5	2	3	3	3	1	2	1	1	4	1	25	5	2	6	2	1	2	1	2	0	0	3	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	856	33	20	20	13	26	13	2	18	17	5	8	26	25	19	5	8	11	20	17	14	12	13	20	14	15	14	20	12	13	8	12	17	11	18	16	24	18	34	22	30	18	16	17	11	8	25	17	9	2	2	1	6	17	9	5	6	4	2	18									
		2.00%	3.19%	2.59%	1.81%	2.02%	2.58%	2.10%	1.07%	2.98%	2.95%	0.95%	1.42%	2.64%	2.72%	2.26%	1.08%	1.69%	1.54%	2.39%	2.05%	1.53%	1.28%	1.51%	2.14%	2.07%	1.83%	1.30%	2.06%	1.64%	1.85%	0.99%	2.39%	1.81%	1.18%	2.30%	1.82%	2.72%	2.32%	3.24%	2.62%	1.85%	2.34%	1.65%	2.18%	1.49%	1.22%	2.84%	2.49%	2.15%	1.83%	0.51%	0.61%	0.74%	2.12%	2.02%	1.90%	2.08%	0.85%	0.81%	3.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	865	22	11	24	8	19	15	3	9	15	8	10	16	11	18	10	8	15	12	19	23	30	14	18	16	17	17	26	15	7	13	6	16	22	16	20	34	18	21	16	36	8	28	15	22	9	16	21	9	3	16	6	19	12	7	5	5	1	2	7									
		2.02%	2.13%	1.42%	2.17%	1.25%	1.88%	2.42%	1.60%	1.49%	2.60%	1.52%	1.78%	1.63%	1.20%	2.15%	2.16%	1.69%	2.11%	1.43%	2.29%	2.51%	3.21%	1.63%	1.93%	2.37%	2.07%	1.57%	2.68%	2.05%	0.99%	1.62%	1.20%	1.71%	2.36%	2.05%	2.27%	3.85%	2.32%	2.00%	1.90%	2.22%	1.04%	2.88%	1.92%	2.99%	1.37%	1.82%	3.08%	2.15%	2.75%	4.04%	3.66%	2.34%	1.50%	1.57%	1.90%	1.73%	0.21%	0.81%	1.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1033	35	20	26	18	23	15	2	14	16	11	9	20	24	22	16	12	19	16	13	23	29	16	27	17	21	26	28	23	18	21	17	27	24	17	21	30	26	18	22	30	14	16	16	26	17	17	10	9	3	6	7	9	6	14	8	5	19	13	6									
		2.42%	3.39%	2.59%	2.35%	2.80%	2.28%	2.42%	1.07%	2.32%	2.77%	2.10%	1.60%	2.03%	2.61%	2.62%	3.46%	2.54%	2.67%	1.91%	1.57%	2.51%	3.10%	1.86%	2.89%	2.51%	2.56%	2.41%	2.89%	3.15%	2.56%	2.62%	3.39%	2.88%	2.57%	2.17%	2.38%	3.40%	3.35%	1.72%	2.62%	1.85%	1.82%	1.65%	2.05%	3.53%	2.60%	1.93%	1.47%	2.15%	2.75%	1.52%	4.27%	1.11%	0.75%	3.15%	3.04%	1.73%	4.03%	5.24%	1.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17796	399	299	438	249	434	278	79	254	231	210	245	442	356	361	193	201	302	329	349	371	361	381	380	266	305	486	354	280	291	325	195	354	353	335	382	310	285	410	342	735	356	417	332	317	319	376	289	189	51	206	68	406	393	198	123	96	196	132	182									
		41.65%	38.63%	38.68%	39.57%	38.79%	43.01%	44.91%	42.25%	42.05%	40.03%	40.00%	43.59%	44.96%	38.74%	43.03%	41.77%	42.49%	42.42%	39.31%	42.10%	40.41%	38.57%	44.35%	40.73%	39.35%	37.20%	44.96%	36.49%	38.30%	41.34%	40.47%	38.84%	37.74%	37.79%	42.84%	43.36%	35.15%	36.77%	39.12%	40.67%	45.34%	46.23%	42.90%	42.56%	43.01%	48.70%	42.78%	42.38%	45.22%	46.79%	52.02%	41.46%	50.06%	49.06%	44.49%	46.77%	33.22%	41.61%	53.23%	35.34%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	578	17	17	13	12	12	6	7	9	12	12	8	14	15	11	7	14	8	21	13	13	6	14	6	8	9	14	10	6	9	16	10	15	9	8	5	9	12	22	10	16	9	17	17	7	7	10	4	6	0	3	1	8	8	8	1	1	4	1	11									
		1.35%	1.65%	2.20%	1.17%	1.87%	1.19%	0.97%	3.74%	1.49%	2.08%	2.29%	1.42%	1.42%	1.63%	1.31%	1.52%	2.96%	1.12%	2.51%	1.57%	1.42%	0.64%	1.63%	0.64%	1.18%	1.10%	1.30%	1.03%	0.82%	1.28%	1.99%	1.99%	1.60%	0.96%	1.02%	0.57%	1.02%	1.55%	2.10%	1.19%	0.99%	1.17%	1.75%	2.18%	0.95%	1.07%	1.14%	0.59%	1.44%	0.00%	0.76%	0.61%	0.99%	0.99%	1.80%	0.38%	0.35%	0.85%	0.40%	2.14%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	1	1	1	1	1	2	1	1	1	0	4	3	0	1	1	1	2	2	1	0	1	1	4	1	1	5	2	1	1	2	0	0	2	3	0	1	1	0	1	6	4	1	1	1	0	0	1	0	0	1	1	0	2	0	0	3	1	0	0									
		0.17%	0.10%	0.13%	0.09%	0.16%	0.10%	0.32%	0.53%	0.17%	0.17%	0.00%	0.71%	0.31%	0.00%	0.12%	0.22%	0.21%	0.28%	0.24%	0.12%	0.00%	0.11%	0.12%	0.43%	0.15%	0.12%	0.46%	0.21%	0.14%	0.14%	0.25%	0.00%	0.00%	0.21%	0.38%	0.00%	0.11%	0.13%	0.00%	0.12%	0.37%	0.52%	0.10%	0.13%	0.14%	0.00%	0.00%	0.15%	0.00%	0.00%	0.25%	0.61%	0.00%	0.25%	0.00%	0.00%	1.04%	0.21%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6794	108	108	159	78	108	78	33	91	75	68	92	146	134	113	86	59	98	141	122	134	138	121	145	84	137	183	144	114	96	141	86	158	145	150	152	165	127	170	138	340	153	133	108	114	129	187	136	81	25	60	43	151	166	113	40	127	23	10	30									
		15.90%	10.45%	13.97%	14.36%	12.15%	10.70%	12.60%	17.65%	15.07%	12.99%	12.95%	16.37%	14.85%	14.58%	13.47%	18.61%	12.47%	13.76%	16.85%	14.72%	14.60%	14.74%	14.09%	15.54%	12.43%	16.71%	16.93%	14.85%	15.60%	13.64%	17.56%	17.13%	16.84%	15.52%	19.18%	17.25%	18.71%	16.39%	16.22%	16.41%	20.97%	19.87%	13.68%	13.85%	15.47%	19.69%	21.27%	19.94%	19.38%	22.94%	15.15%	26.22%	18.62%	20.72%	25.39%	15.21%	43.94%	4.88%	4.03%	5.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	645	23	9	19	12	24	12	3	6	5	5	9	14	16	11	9	6	11	14	4	10	19	14	13	9	6	19	15	8	8	13	5	15	9	10	6	8	13	13	11	13	8	13	5	10	6	12	7	3	2	3	0	7	11	5	0	2	39	7	56									
		1.51%	2.23%	1.16%	1.72%	1.87%	2.38%	1.94%	1.60%	0.99%	0.87%	0.95%	1.60%	1.42%	1.74%	1.31%	1.95%	1.27%	1.54%	1.67%	0.48%	1.09%	2.03%	1.63%	1.39%	1.33%	0.73%	1.76%	1.55%	1.09%	1.14%	1.62%	0.99%	1.60%	0.96%	1.28%	0.68%	0.91%	1.68%	1.24%	1.31%	0.80%	1.04%	1.34%	0.64%	1.36%	0.92%	1.37%	1.03%	0.72%	1.83%	0.76%	0.00%	0.86%	1.37%	1.12%	0.00%	0.69%	8.28%	2.82%	10.87%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	806	26	16	35	14	24	21	4	17	19	14	11	28	32	11	4	12	8	19	11	15	19	11	14	14	18	23	14	10	9	14	10	14	23	5	14	16	25	28	17	19	18	13	20	3	5	6	18	2	1	2	3	12	11	6	1	0	8	3	16									
		1.89%	2.52%	2.07%	3.16%	2.18%	2.38%	3.39%	2.14%	2.81%	3.29%	2.67%	1.96%	2.85%	3.48%	1.31%	0.87%	2.54%	1.12%	2.27%	1.33%	1.63%	2.03%	1.28%	1.50%	2.07%	2.20%	2.13%	1.44%	1.37%	1.28%	1.74%	1.99%	1.49%	2.46%	0.64%	1.59%	1.81%	3.23%	2.67%	2.02%	1.17%	2.34%	1.34%	2.56%	0.41%	0.76%	0.68%	2.64%	0.48%	0.92%	0.51%	1.83%	1.48%	1.37%	1.35%	0.38%	0.00%	1.70%	1.21%	3.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	58	7	1	0	0	1	1	0	1	1	1	1	0	2	3	2	0	0	2	2	0	0	2	1	1	1	1	1	2	0	1	1	2	0	1	0	2	0	2	1	1	1	0	4	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1									
		0.14%	0.68%	0.13%	0.00%	0.00%	0.10%	0.16%	0.00%	0.17%	0.17%	0.19%	0.18%	0.00%	0.22%	0.36%	0.43%	0.00%	0.00%	0.24%	0.24%	0.00%	0.00%	0.23%	0.11%	0.15%	0.12%	0.09%	0.10%	0.27%	0.00%	0.12%	0.20%	0.21%	0.00%	0.13%	0.00%	0.23%	0.00%	0.19%	0.12%	0.06%	0.13%	0.00%	0.51%	0.14%	0.00%	0.11%	0.00%	0.24%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.38%	0.35%	0.21%	0.00%	0.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1606	57	28	33	31	43	22	8	28	35	20	22	29	47	23	9	12	22	21	17	31	30	32	19	23	29	25	29	30	35	23	23	43	21	10	12	32	21	31	29	47	19	23	25	15	7	24	15	15	1	10	0	8	16	7	5	2	127	56	149									
		3.76%	5.52%	3.62%	2.98%	4.83%	4.26%	3.55%	4.28%	4.64%	6.07%	3.81%	3.91%	2.95%	5.11%	2.74%	1.95%	2.54%	3.09%	2.51%	2.05%	3.38%	3.21%	3.73%	2.04%	3.40%	3.54%	2.31%	2.99%	4.10%	4.97%	2.86%	4.58%	4.58%	2.25%	1.28%	1.36%	3.63%	2.71%	2.96%	3.45%	2.90%	2.47%	2.37%	3.21%	2.04%	1.07%	2.73%	2.20%	3.59%	0.92%	2.53%	0.00%	0.99%	1.99%	1.57%	1.90%	0.69%	26.96%	22.58%	28.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6912	219	153	183	122	201	110	30	87	97	100	93	152	160	148	79	86	140	153	160	156	181	150	132	121	163	146	190	120	128	134	82	164	197	122	163	138	128	163	121	186	90	169	118	123	95	133	113	65	18	64	19	108	97	35	45	3	19	15	25									
		16.18%	21.20%	19.79%	16.53%	19.00%	19.92%	17.77%	16.04%	14.40%	16.81%	19.05%	16.55%	15.46%	17.41%	17.64%	17.10%	18.18%	19.66%	18.28%	19.30%	16.99%	19.34%	17.46%	14.15%	17.90%	19.88%	13.51%	19.59%	16.42%	18.18%	16.69%	16.33%	17.48%	21.09%	15.60%	18.50%	15.65%	16.52%	15.55%	14.39%	11.47%	11.69%	17.39%	15.13%	16.69%	14.50%	15.13%	16.57%	15.55%	16.51%	16.16%	11.59%	13.32%	12.11%	7.87%	17.11%	1.04%	4.03%	6.05%	4.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	325	2	2	8	8	5	6	5	8	5	3	2	6	7	7	7	4	7	3	5	10	5	1	9	6	5	9	15	25	12	2	0	4	7	2	2	6	9	8	10	14	5	6	3	5	5	9	5	4	0	1	0	3	6	4	1	3	1	2	1									
		0.76%	0.19%	0.26%	0.72%	1.25%	0.50%	0.97%	2.67%	1.32%	0.87%	0.57%	0.36%	0.61%	0.76%	0.83%	1.52%	0.85%	0.98%	0.36%	0.60%	1.09%	0.53%	0.12%	0.96%	0.89%	0.61%	0.83%	1.55%	3.42%	1.70%	0.25%	0.00%	0.43%	0.75%	0.26%	0.23%	0.68%	1.16%	0.76%	1.19%	0.86%	0.65%	0.62%	0.38%	0.68%	0.76%	1.02%	0.73%	0.96%	0.00%	0.25%	0.00%	0.37%	0.75%	0.90%	0.38%	1.04%	0.21%	0.81%	0.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3622	73	75	128	64	78	31	7	49	37	56	34	71	77	78	26	45	57	72	81	95	90	79	127	87	84	87	106	71	66	70	50	98	98	66	73	85	80	105	89	108	60	107	81	71	34	53	41	17	2	8	11	50	44	29	22	10	16	2	11									
		8.48%	7.07%	9.70%	11.56%	9.97%	7.73%	5.01%	3.74%	8.11%	6.41%	10.67%	6.05%	7.22%	8.38%	9.30%	5.63%	9.51%	8.01%	8.60%	9.77%	10.35%	9.62%	9.20%	13.61%	12.87%	10.24%	8.05%	10.93%	9.71%	9.38%	8.72%	9.96%	10.45%	10.49%	8.44%	8.29%	9.64%	10.32%	10.02%	10.58%	6.66%	7.79%	11.01%	10.38%	9.63%	5.19%	6.03%	6.01%	4.07%	1.83%	2.02%	6.71%	6.17%	5.49%	6.52%	8.37%	3.46%	3.40%	0.81%	2.14%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
