Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Великоустюгская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	790	20	15	25	20	15	15	10	15	10	10	10	10	20	15	25	10	10	15	15	15	10	10	10	20	10	15	70	10	10	40	30	10	10	10	10	10	10	10	10	10	10	10	10	10	20	15	20	20	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	331	13	9	5	12	9	5	6	4	5	7	7	10	7	9	9	3	6	8	14	9	0	5	2	4	10	15	46	1	0	1	8	0	3	7	0	0	0	1	6	2	3	0	10	4	1	2	20	11	2	2	3	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	12	5	9	9	4	6	12	13	76	10	6	3	6	6	9	7	5	4	4	7	8	2	2	4	4	3	0	6	3	2	2	6	3	4	2	5	3	2	10	5	3	4	1	2	2	9	7	8	6	1	6	5	10									
14	Число погашенных неиспользованных открепительных удостоверений	459	7	6	20	8	6	10	4	11	5	3	3	0	13	6	16	7	4	7	1	6	10	5	8	16	0	0	24	9	10	39	22	10	7	3	10	10	10	9	4	8	7	10	0	6	19	13	0	9	8	8	7	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	181	10	6	19	9	4	4	7	7	6	6	10	1	11	9	9	2	4	7	7	4	0	4	1	1	1	6	0	1	1	1	0	0	0	1	0	0	0	0	5	2	0	0	1	0	1	3	0	0	2	0	2	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	174	4	6	8	7	8	7	6	1	6	5	5	5	7	4	9	1	2	2	3	6	5	4	2	1	0	7	3	1	0	3	0	3	2	4	0	1	0	0	4	3	2	1	2	0	4	4	0	4	1	4	3	4	0									
		0.87%	0.65%	1.22%	0.80%	0.93%	0.90%	1.06%	0.99%	0.13%	1.41%	0.87%	0.77%	1.14%	1.05%	0.60%	1.17%	0.40%	0.45%	0.35%	0.43%	0.99%	2.16%	1.04%	1.61%	0.74%	0.00%	1.93%	0.96%	0.49%	0.00%	2.05%	0.00%	0.60%	1.03%	2.90%	0.00%	1.03%	0.00%	0.00%	0.91%	0.68%	1.80%	1.28%	0.88%	0.00%	1.86%	0.89%	0.00%	0.65%	0.38%	1.71%	1.00%	0.95%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	391	15	10	15	12	21	16	9	14	5	9	23	8	12	9	14	9	10	10	15	13	9	3	4	4	1	5	4	6	3	5	1	10	2	1	1	4	0	1	5	7	0	1	5	4	4	10	0	17	6	1	4	7	7									
		1.95%	2.45%	2.03%	1.50%	1.60%	2.36%	2.42%	1.48%	1.87%	1.17%	1.56%	3.54%	1.83%	1.80%	1.36%	1.82%	3.56%	2.25%	1.77%	2.14%	2.15%	3.88%	0.78%	3.23%	2.96%	0.91%	1.38%	1.28%	2.94%	2.48%	3.42%	0.57%	1.99%	1.03%	0.72%	2.04%	4.12%	0.00%	2.22%	1.14%	1.60%	0.00%	1.28%	2.21%	3.51%	1.86%	2.22%	0.00%	2.78%	2.26%	0.43%	1.33%	1.67%	4.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	553	13	12	33	15	27	22	19	17	10	12	18	11	14	18	26	4	12	16	18	16	13	10	5	2	0	13	6	2	4	9	4	16	5	4	1	2	1	1	15	10	8	8	9	0	8	13	1	17	8	10	3	8	4									
		2.76%	2.12%	2.43%	3.31%	2.00%	3.04%	3.33%	3.12%	2.27%	2.35%	2.08%	2.77%	2.52%	2.10%	2.71%	3.37%	1.58%	2.70%	2.84%	2.56%	2.65%	5.60%	2.60%	4.03%	1.48%	0.00%	3.59%	1.92%	0.98%	3.31%	6.16%	2.30%	3.18%	2.56%	2.90%	2.04%	2.06%	2.22%	2.22%	3.41%	2.28%	7.21%	10.26%	3.98%	0.00%	3.72%	2.88%	0.97%	2.78%	3.01%	4.27%	1.00%	1.90%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6943	184	175	345	240	300	195	186	238	149	186	209	149	259	218	236	74	139	207	244	207	71	144	49	42	32	147	167	85	41	44	59	149	77	61	18	41	19	13	158	145	35	18	101	63	83	160	47	227	103	90	101	166	47									
		34.62%	30.02%	35.50%	34.60%	32.04%	33.75%	29.55%	30.54%	31.73%	34.98%	32.24%	32.20%	34.10%	38.83%	32.83%	30.61%	29.25%	31.24%	36.70%	34.76%	34.27%	30.60%	37.50%	39.52%	31.11%	29.09%	40.61%	53.53%	41.67%	33.88%	30.14%	33.91%	29.62%	39.49%	44.20%	36.73%	42.27%	42.22%	28.89%	35.91%	33.11%	31.53%	23.08%	44.69%	55.26%	38.60%	35.48%	45.63%	37.15%	38.72%	38.46%	33.67%	39.52%	30.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	106	4	2	7	6	1	4	3	4	5	1	5	2	6	2	6	1	1	2	2	2	1	0	0	3	2	2	0	2	0	1	0	3	1	0	0	0	0	0	1	3	3	2	0	2	1	2	0	4	0	0	0	3	4									
		0.53%	0.65%	0.41%	0.70%	0.80%	0.11%	0.61%	0.49%	0.53%	1.17%	0.17%	0.77%	0.46%	0.90%	0.30%	0.78%	0.40%	0.22%	0.35%	0.28%	0.33%	0.43%	0.00%	0.00%	2.22%	1.82%	0.55%	0.00%	0.98%	0.00%	0.68%	0.00%	0.60%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.68%	2.70%	2.56%	0.00%	1.75%	0.47%	0.44%	0.00%	0.65%	0.00%	0.00%	0.00%	0.71%	2.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	39	0	1	0	0	0	2	0	0	0	1	4	0	2	0	2	2	1	2	2	0	3	1	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	1	0	3	0	0	0									
		0.19%	0.00%	0.20%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.17%	0.62%	0.00%	0.30%	0.00%	0.26%	0.79%	0.22%	0.35%	0.28%	0.00%	1.29%	0.26%	0.81%	0.00%	0.00%	0.55%	0.32%	0.00%	0.00%	0.00%	0.00%	0.20%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.90%	1.28%	0.00%	0.88%	0.47%	0.00%	0.00%	0.16%	0.00%	1.28%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6238	210	147	274	234	258	178	187	214	124	218	210	133	168	221	256	97	156	186	205	180	42	122	37	44	57	101	86	61	39	51	77	164	59	54	11	24	17	18	128	145	41	13	62	25	73	127	35	196	103	85	87	142	56									
		31.10%	34.26%	29.82%	27.48%	31.24%	29.02%	26.97%	30.71%	28.53%	29.11%	37.78%	32.36%	30.43%	25.19%	33.28%	33.20%	38.34%	35.06%	32.98%	29.20%	29.80%	18.10%	31.77%	29.84%	32.59%	51.82%	27.90%	27.56%	29.90%	32.23%	34.93%	44.25%	32.60%	30.26%	39.13%	22.45%	24.74%	37.78%	40.00%	29.09%	33.11%	36.94%	16.67%	27.43%	21.93%	33.95%	28.16%	33.98%	32.08%	38.72%	36.32%	29.00%	33.81%	36.36%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	67	2	1	1	3	5	6	5	3	0	2	0	1	0	2	0	2	2	6	1	6	3	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	4	0	0	0	0	0	2	0	1	0	0	1	2	0									
		0.33%	0.33%	0.20%	0.10%	0.40%	0.56%	0.91%	0.82%	0.40%	0.00%	0.35%	0.00%	0.23%	0.00%	0.30%	0.00%	0.79%	0.45%	1.06%	0.14%	0.99%	1.29%	0.00%	0.00%	0.00%	0.00%	0.28%	0.32%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.45%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.16%	0.00%	0.00%	0.33%	0.48%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	166	0	2	13	4	4	4	9	7	4	5	6	3	8	6	8	3	5	4	8	3	4	2	0	1	0	2	3	2	1	3	0	3	1	0	0	3	0	0	1	5	1	0	4	0	4	1	2	4	2	1	2	6	2									
		0.83%	0.00%	0.41%	1.30%	0.53%	0.45%	0.61%	1.48%	0.93%	0.94%	0.87%	0.92%	0.69%	1.20%	0.90%	1.04%	1.19%	1.12%	0.71%	1.14%	0.50%	1.72%	0.52%	0.00%	0.74%	0.00%	0.55%	0.96%	0.98%	0.83%	2.05%	0.00%	0.60%	0.51%	0.00%	0.00%	3.09%	0.00%	0.00%	0.23%	1.14%	0.90%	0.00%	1.77%	0.00%	1.86%	0.22%	1.94%	0.65%	0.75%	0.43%	0.67%	1.43%	1.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	1	2	1	0	0	1	0	1	0	0	1	0	0	2	1	0	0	3	1	0	3	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.11%	0.16%	0.41%	0.10%	0.00%	0.00%	0.15%	0.00%	0.13%	0.00%	0.00%	0.15%	0.00%	0.00%	0.30%	0.13%	0.00%	0.00%	0.53%	0.14%	0.00%	1.29%	0.00%	0.00%	1.48%	0.00%	0.00%	0.32%	0.00%	0.00%	0.68%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	555	22	19	29	26	35	49	23	31	12	16	8	17	18	13	11	5	22	14	20	6	6	11	2	0	6	4	4	1	1	3	2	19	3	0	3	5	3	1	12	3	1	7	8	3	2	5	3	7	13	3	7	8	3									
		2.77%	3.59%	3.85%	2.91%	3.47%	3.94%	7.42%	3.78%	4.13%	2.82%	2.77%	1.23%	3.89%	2.70%	1.96%	1.43%	1.98%	4.94%	2.48%	2.85%	0.99%	2.59%	2.86%	1.61%	0.00%	5.45%	1.10%	1.28%	0.49%	0.83%	2.05%	1.15%	3.78%	1.54%	0.00%	6.12%	5.15%	6.67%	2.22%	2.73%	0.68%	0.90%	8.97%	3.54%	2.63%	0.93%	1.11%	2.91%	1.15%	4.89%	1.28%	2.33%	1.90%	1.95%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2038	75	54	133	71	115	74	74	87	43	42	72	58	82	74	101	22	39	47	68	50	24	39	12	14	5	32	27	26	17	15	7	41	21	7	8	10	1	4	36	24	7	7	13	8	21	48	8	64	12	17	32	34	16									
		10.16%	12.23%	10.95%	13.34%	9.48%	12.94%	11.21%	12.15%	11.60%	10.09%	7.28%	11.09%	13.27%	12.29%	11.14%	13.10%	8.70%	8.76%	8.33%	9.69%	8.28%	10.34%	10.16%	9.68%	10.37%	4.55%	8.84%	8.65%	12.75%	14.05%	10.27%	4.02%	8.15%	10.77%	5.07%	16.33%	10.31%	2.22%	8.89%	8.18%	5.48%	6.31%	8.97%	5.75%	7.02%	9.77%	10.64%	7.77%	10.47%	4.51%	7.26%	10.67%	8.10%	10.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	53	0	0	3	1	3	1	2	1	1	1	5	2	0	3	1	0	0	2	2	3	3	0	0	0	2	0	0	1	0	1	1	2	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	3	1	2	0	0	1									
		0.26%	0.00%	0.00%	0.30%	0.13%	0.34%	0.15%	0.33%	0.13%	0.23%	0.17%	0.77%	0.46%	0.00%	0.45%	0.13%	0.00%	0.00%	0.35%	0.28%	0.50%	1.29%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.49%	0.00%	0.68%	0.57%	0.40%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.23%	0.46%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.38%	0.85%	0.00%	0.00%	0.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2222	74	52	113	114	97	91	74	113	55	64	71	33	75	78	87	29	46	55	100	95	8	33	6	21	4	41	8	16	9	8	21	76	21	4	6	6	4	3	70	68	9	18	11	6	12	71	6	56	11	14	22	28	9									
		11.08%	12.07%	10.55%	11.33%	15.22%	10.91%	13.79%	12.15%	15.07%	12.91%	11.09%	10.94%	7.55%	11.24%	11.75%	11.28%	11.46%	10.34%	9.75%	14.25%	15.73%	3.45%	8.59%	4.84%	15.56%	3.64%	11.33%	2.56%	7.84%	7.44%	5.48%	12.07%	15.11%	10.77%	2.90%	12.24%	6.19%	8.89%	6.67%	15.91%	15.53%	8.11%	23.08%	4.87%	5.26%	5.58%	15.74%	5.83%	9.17%	4.14%	5.98%	7.33%	6.67%	5.84%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
