Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Междуреченская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	21	4	0	1	1	2	6	2	2	1	0	2									
		0.79%	1.62%	0.00%	0.32%	0.52%	0.35%	1.79%	0.95%	1.60%	1.92%	0.00%	0.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	10	6	7	10	22	10	3	3	0	7	7									
		3.19%	4.05%	6.45%	2.25%	5.18%	3.87%	2.99%	1.43%	2.40%	0.00%	2.34%	3.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	102	8	3	17	8	21	7	7	4	0	16	11									
		3.83%	3.24%	3.23%	5.47%	4.15%	3.69%	2.09%	3.33%	3.20%	0.00%	5.35%	4.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1168	127	52	131	69	231	132	104	62	16	140	104									
		43.86%	51.42%	55.91%	42.12%	35.75%	40.60%	39.40%	49.52%	49.60%	30.77%	46.82%	45.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	0	1	0	7	4	1	0	1	2	1									
		0.64%	0.00%	0.00%	0.32%	0.00%	1.23%	1.19%	0.48%	0.00%	1.92%	0.67%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	0	0	0	2	0	0	0	0	0	1									
		0.15%	0.40%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	559	47	13	79	44	117	70	37	28	12	70	42									
		20.99%	19.03%	13.98%	25.40%	22.80%	20.56%	20.90%	17.62%	22.40%	23.08%	23.41%	18.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	1	0	2	1	0	0	1	2	1	0	1									
		0.34%	0.40%	0.00%	0.64%	0.52%	0.00%	0.00%	0.48%	1.60%	1.92%	0.00%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	0	0	2	1	4	5	0	1	0	3	1									
		0.64%	0.00%	0.00%	0.64%	0.52%	0.70%	1.49%	0.00%	0.80%	0.00%	1.00%	0.44%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	1	1	1	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.18%	0.30%	0.48%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	0	2	1	3	6	2	1	1	0	1	2									
		0.71%	0.00%	2.15%	0.32%	1.55%	1.05%	0.60%	0.48%	0.80%	0.00%	0.33%	0.87%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	400	31	9	38	38	90	67	30	15	14	26	42									
		15.02%	12.55%	9.68%	12.22%	19.69%	15.82%	20.00%	14.29%	12.00%	26.92%	8.70%	18.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	0	0	2	4	1	1	1	0	1	2	1									
		0.49%	0.00%	0.00%	0.64%	2.07%	0.18%	0.30%	0.48%	0.00%	1.92%	0.67%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	185	14	7	23	7	51	23	15	6	4	24	11									
		6.95%	5.67%	7.53%	7.40%	3.63%	8.96%	6.87%	7.14%	4.80%	7.69%	8.03%	4.80%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
