Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Елецкая																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556					
		0.17%	0.39%	0.0%	0.29%	0.44%	0.17%	0.0%	2.38%	0.17%	0.0%	0.0%	0.0%	1.02%	0.50%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.53%	0.20%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	35	1	2	0	0	3	2	0	0	0	0	0	0	0	0	0	2	3	0	2	1	0	3	1	1	4	0	0	1	0	5	2	0	1	1					
		0.24%	0.07%	0.82%	0.0%	0.0%	0.51%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.56%	0.0%	0.99%	0.86%	0.0%	0.45%	0.13%	0.19%	0.29%	0.0%	0.0%	0.17%	0.0%	0.67%	0.30%	0.0%	0.20%	0.51%					
27	"10. ""Аграрная партия России"""	1441	96	32	134	24	68	14	4	54	24	10	22	4	36	7	6	130	49	38	10	18	13	67	105	77	68	12	20	29	12	110	81	10	45	12					
		10.22%	7.60%	13.16%	39.18%	10.76%	11.70%	9.85%	2.38%	9.60%	13.87%	5.02%	8.14%	4.08%	9.16%	5.55%	4.0%	15.60%	9.17%	7.07%	4.97%	15.51%	17.56%	10.19%	14.13%	14.83%	4.98%	3.83%	7.69%	5.04%	7.79%	14.76%	12.31%	5.31%	9.18%	6.12%					
28	"11. ""Истинные патриоты России"""	28	1	0	1	2	1	2	0	7	0	1	0	0	0	0	0	2	1	1	0	0	0	0	2	0	5	0	0	1	0	0	0	1	0	0					
		0.19%	0.07%	0.0%	0.29%	0.89%	0.17%	1.40%	0.0%	1.24%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.18%	0.18%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.36%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	142	4	2	5	3	8	1	1	2	2	0	1	0	5	1	1	11	2	10	1	2	2	8	6	5	15	11	1	7	1	8	9	1	4	2					
		1.00%	0.31%	0.82%	1.46%	1.34%	1.37%	0.70%	0.59%	0.35%	1.15%	0.0%	0.37%	0.0%	1.27%	0.79%	0.66%	1.32%	0.37%	1.86%	0.49%	1.72%	2.70%	1.21%	0.80%	0.96%	1.09%	3.51%	0.38%	1.21%	0.64%	1.07%	1.36%	0.53%	0.81%	1.02%					
30	"13. ""Демократическая партия России"""	26	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	1	2	1	5	4	0	2	1	2	0	0	0	0					
		0.18%	0.0%	0.0%	0.0%	1.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.24%	0.18%	0.0%	0.0%	0.0%	1.35%	0.15%	0.26%	0.19%	0.36%	1.27%	0.0%	0.34%	0.64%	0.26%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	0	2	0	1	1	1	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	2	2	4	1	1	0	0	4	1	0	0	1					
		0.19%	0.0%	0.82%	0.0%	0.44%	0.17%	0.70%	0.0%	0.17%	0.0%	0.0%	0.0%	1.02%	0.50%	0.79%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.38%	0.29%	0.31%	0.38%	0.0%	0.0%	0.53%	0.15%	0.0%	0.0%	0.51%					
32	"15. ""Партия СЛОН"""	22	1	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	1	0	7	0	0	1	0	2	0	0	0	0					
		0.15%	0.07%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.79%	0.0%	0.0%	0.18%	0.18%	0.0%	0.0%	0.0%	0.15%	0.13%	0.0%	0.51%	0.0%	0.0%	0.17%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1168	67	12	24	16	40	5	15	54	17	45	26	3	41	3	2	69	33	57	11	8	3	98	59	28	148	21	14	37	5	50	71	10	67	9					
		8.29%	5.30%	4.93%	7.01%	7.17%	6.88%	3.52%	8.92%	9.60%	9.82%	22.61%	9.62%	3.06%	10.43%	2.38%	1.33%	8.28%	6.17%	10.61%	5.47%	6.89%	4.05%	14.91%	7.94%	5.39%	10.85%	6.70%	5.38%	6.43%	3.24%	6.71%	10.79%	5.31%	13.67%	4.59%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	56	3	0	2	3	0	1	1	1	2	1	0	0	1	2	0	2	2	1	1	0	0	1	2	1	6	1	1	2	1	6	4	1	3	4					
		0.39%	0.23%	0.0%	0.58%	1.34%	0.0%	0.70%	0.59%	0.17%	1.15%	0.50%	0.0%	0.0%	0.25%	1.58%	0.0%	0.24%	0.37%	0.18%	0.49%	0.0%	0.0%	0.15%	0.26%	0.19%	0.43%	0.31%	0.38%	0.34%	0.64%	0.80%	0.60%	0.53%	0.61%	2.04%					
35	"18. ""ЛДПР"""	1853	153	29	37	24	70	10	21	67	28	33	24	10	61	16	24	130	58	86	43	15	9	86	81	66	169	46	38	91	25	97	75	28	71	32					
		13.15%	12.12%	11.93%	10.81%	10.76%	12.04%	7.04%	12.5%	11.92%	16.18%	16.58%	8.88%	10.20%	15.52%	12.69%	16.0%	15.60%	10.86%	16.01%	21.39%	12.93%	12.16%	13.08%	10.90%	12.71%	12.39%	14.69%	14.61%	15.82%	16.23%	13.02%	11.39%	14.89%	14.48%	16.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	270	21	4	5	3	17	2	3	7	1	6	10	2	4	1	3	22	15	11	3	0	1	7	12	8	28	6	11	17	7	18	6	0	4	5					
		1.91%	1.66%	1.64%	1.46%	1.34%	2.92%	1.40%	1.78%	1.24%	0.57%	3.01%	3.70%	2.04%	1.01%	0.79%	2.0%	2.64%	2.80%	2.04%	1.49%	0.0%	1.35%	1.06%	1.61%	1.54%	2.05%	1.91%	4.23%	2.95%	4.54%	2.41%	0.91%	0.0%	0.81%	2.55%					
37	"20. ""Политическая партия ""Единая Россия"""	4741	592	83	40	61	206	44	61	187	48	44	100	18	92	58	51	261	171	187	100	23	19	200	239	217	430	123	97	184	53	168	233	94	181	76					
		33.65%	46.90%	34.15%	11.69%	27.35%	35.45%	30.98%	36.30%	33.27%	27.74%	22.11%	37.03%	18.36%	23.40%	46.03%	34.0%	31.33%	32.02%	34.82%	49.75%	19.82%	25.67%	30.44%	32.16%	41.81%	31.52%	39.29%	37.30%	32.0%	34.41%	22.55%	35.41%	50.0%	36.93%	38.77%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	3	3	0	0	0	0	2	1	0	0	0	0	1	0	1	2	0	1	1	0	0	0	2	1	5	0	3	3	0	3	0	0	2	3					
		0.26%	0.23%	1.23%	0.0%	0.0%	0.0%	0.0%	1.19%	0.17%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.66%	0.24%	0.0%	0.18%	0.49%	0.0%	0.0%	0.0%	0.26%	0.19%	0.36%	0.0%	1.15%	0.52%	0.0%	0.40%	0.0%	0.0%	0.40%	1.53%					
39	"22. ""Развитие предпринимательства"""	26	1	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	3	0	1	2	1	1	3	0	4	1	1	1	0					
		0.18%	0.07%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.57%	0.0%	0.74%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.45%	0.0%	0.19%	0.14%	0.31%	0.38%	0.52%	0.0%	0.53%	0.15%	0.53%	0.20%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2169	185	37	28	33	113	37	36	96	37	34	42	35	76	17	37	114	105	71	18	30	10	112	111	43	218	37	44	93	23	141	68	17	43	28					
		15.39%	14.65%	15.22%	8.18%	14.79%	19.44%	26.05%	21.42%	17.08%	21.38%	17.08%	15.55%	35.71%	19.33%	13.49%	24.66%	13.68%	19.66%	13.22%	8.95%	25.86%	13.51%	17.04%	14.93%	8.28%	15.98%	11.82%	16.92%	16.17%	14.93%	18.92%	10.33%	9.04%	8.77%	14.28%					
																																									
41	Против всех	672	41	9	19	16	19	8	7	40	7	2	10	5	34	1	9	22	34	21	2	9	7	31	58	23	82	10	9	29	12	26	35	9	19	7					
		4.76%	3.24%	3.70%	5.55%	7.17%	3.27%	5.63%	4.16%	7.11%	4.04%	1.00%	3.70%	5.10%	8.65%	0.79%	6.0%	2.64%	6.36%	3.91%	0.99%	7.75%	9.45%	4.71%	7.80%	4.43%	6.01%	3.19%	3.46%	5.04%	7.79%	3.48%	5.31%	4.78%	3.87%	3.57%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
