Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Воркутинская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №665	УИК №666	УИК №667									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	324	3	0	0	2	5	2	7	4	7	1	8	17	2	5	9	10	5	9	3	5	8	5	12	9	11	11	7	4	6	3	12	3	6	13	5	8	14	33	9	12	7	8	2	2	5	4	1	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	849	20	23	21	19	20	24	22	19	17	19	10	20	17	17	21	21	18	15	15	19	17	14	19	19	20	16	20	17	20	19	14	16	21	16	20	8	16	20	17	21	23	21	17	22	16	0	23	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	185	2	7	2	0	1	3	1	5	0	16	3	2	3	7	0	3	1	3	6	4	4	3	4	3	6	3	3	4	9	9	9	4	2	7	7	10	2	0	5	3	8	1	5	1	2	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	473	14	3	10	5	11	9	6	9	5	9	9	11	18	13	1	10	10	11	15	9	24	14	17	14	13	9	15	6	7	12	14	8	5	15	22	17	10	7	8	10	13	6	9	3	6	1	0	0	0	0	0									
		2.34%	3.30%	1.70%	2.34%	1.59%	2.74%	2.93%	2.08%	2.88%	2.16%	3.35%	1.48%	2.28%	3.78%	2.88%	0.26%	1.43%	2.81%	1.99%	2.01%	1.73%	4.19%	2.79%	3.55%	2.95%	3.53%	2.09%	3.02%	1.22%	1.50%	2.49%	2.54%	1.65%	1.39%	3.53%	4.82%	2.19%	1.39%	3.68%	1.85%	3.45%	2.69%	2.33%	2.14%	1.03%	1.31%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1263	34	5	20	25	26	18	24	31	10	14	53	26	24	25	23	63	24	39	39	36	43	33	29	26	26	32	25	35	32	34	22	41	21	25	32	44	24	4	28	13	35	17	31	9	32	3	4	3	1	0	0									
		6.25%	8.02%	2.84%	4.67%	7.94%	6.47%	5.86%	8.33%	9.90%	4.33%	5.20%	8.70%	5.38%	5.04%	5.53%	6.05%	8.99%	6.74%	7.05%	5.21%	6.94%	7.50%	6.59%	6.05%	5.49%	7.07%	7.44%	5.04%	7.13%	6.84%	7.07%	3.99%	8.44%	5.82%	5.88%	7.02%	5.66%	3.34%	2.11%	6.48%	4.48%	7.25%	6.61%	7.36%	3.08%	6.97%	2.13%	3.15%	4.84%	2.70%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	783	15	6	14	10	12	10	20	9	14	6	36	17	19	33	16	37	24	20	27	19	21	12	18	15	11	17	20	16	16	11	18	25	17	7	14	47	20	3	18	9	19	11	9	9	25	2	5	4	0	0	0									
		3.88%	3.54%	3.41%	3.27%	3.17%	2.99%	3.26%	6.94%	2.88%	6.06%	2.23%	5.91%	3.52%	3.99%	7.30%	4.21%	5.28%	6.74%	3.62%	3.61%	3.66%	3.66%	2.40%	3.76%	3.16%	2.99%	3.95%	4.03%	3.26%	3.42%	2.29%	3.27%	5.14%	4.71%	1.65%	3.07%	6.04%	2.78%	1.58%	4.17%	3.10%	3.93%	4.28%	2.14%	3.08%	5.45%	1.42%	3.94%	6.45%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7407	154	60	158	100	153	102	105	104	79	151	219	211	193	156	140	244	116	201	255	175	190	185	175	177	140	150	185	158	173	185	222	166	139	144	158	287	262	76	177	114	168	68	144	118	159	101	43	25	20	4	18									
		36.67%	36.32%	34.09%	36.92%	31.75%	38.06%	33.22%	36.46%	33.23%	34.20%	56.13%	35.96%	43.69%	40.55%	34.51%	36.84%	34.81%	32.58%	36.35%	34.09%	33.72%	33.16%	36.93%	36.53%	37.34%	38.04%	34.88%	37.30%	32.18%	36.97%	38.46%	40.29%	34.16%	38.50%	33.88%	34.65%	36.89%	36.44%	40.00%	40.97%	39.31%	34.78%	26.46%	34.20%	40.41%	34.64%	71.63%	33.86%	40.32%	54.05%	30.77%	69.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	328	8	1	9	2	3	5	5	4	2	4	7	12	7	4	6	18	7	11	6	8	9	11	6	15	8	8	11	7	6	11	5	5	9	7	7	21	10	2	9	3	6	3	13	2	3	0	0	1	1	0	0									
		1.62%	1.89%	0.57%	2.10%	0.63%	0.75%	1.63%	1.74%	1.28%	0.87%	1.49%	1.15%	2.48%	1.47%	0.88%	1.58%	2.57%	1.97%	1.99%	0.80%	1.54%	1.57%	2.20%	1.25%	3.16%	2.17%	1.86%	2.22%	1.43%	1.28%	2.29%	0.91%	1.03%	2.49%	1.65%	1.54%	2.70%	1.39%	1.05%	2.08%	1.03%	1.24%	1.17%	3.09%	0.68%	0.65%	0.00%	0.00%	1.61%	2.70%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	59	1	1	1	1	1	1	1	3	0	1	4	1	3	2	2	2	1	4	2	1	1	1	2	2	0	0	1	2	1	0	2	0	1	0	3	1	2	0	1	2	0	0	0	0	2	0	0	0	2	0	0									
		0.29%	0.24%	0.57%	0.23%	0.32%	0.25%	0.33%	0.35%	0.96%	0.00%	0.37%	0.66%	0.21%	0.63%	0.44%	0.53%	0.29%	0.28%	0.72%	0.27%	0.19%	0.17%	0.20%	0.42%	0.42%	0.00%	0.00%	0.20%	0.41%	0.21%	0.00%	0.36%	0.00%	0.28%	0.00%	0.66%	0.13%	0.28%	0.00%	0.23%	0.69%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	5.41%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5914	114	56	127	110	111	97	70	95	81	48	180	137	143	136	112	206	119	174	239	173	146	137	122	119	93	117	134	159	137	130	150	149	119	121	119	221	266	64	104	71	127	89	139	86	164	19	49	18	6	8	3									
		29.28%	26.89%	31.82%	29.67%	34.92%	27.61%	31.60%	24.31%	30.35%	35.06%	17.84%	29.56%	28.36%	30.04%	30.09%	29.47%	29.39%	33.43%	31.46%	31.95%	33.33%	25.48%	27.35%	25.47%	25.11%	25.27%	27.21%	27.02%	32.38%	29.27%	27.03%	27.22%	30.66%	32.96%	28.47%	26.10%	28.41%	36.99%	33.68%	24.07%	24.48%	26.29%	34.63%	33.02%	29.45%	35.73%	13.48%	38.58%	29.03%	16.22%	61.54%	11.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	208	0	1	3	3	3	3	3	1	1	1	8	4	2	1	1	7	2	8	4	5	2	4	8	5	4	10	5	9	5	6	3	9	3	3	7	11	4	3	8	9	7	6	5	1	7	1	1	1	0	0	0									
		1.03%	0.00%	0.57%	0.70%	0.95%	0.75%	0.98%	1.04%	0.32%	0.43%	0.37%	1.31%	0.83%	0.42%	0.22%	0.26%	0.99%	0.56%	1.45%	0.53%	0.96%	0.35%	0.80%	1.67%	1.05%	1.09%	2.33%	1.01%	1.83%	1.07%	1.25%	0.54%	1.85%	0.83%	0.71%	1.54%	1.41%	0.56%	1.58%	1.85%	3.10%	1.45%	2.33%	1.19%	0.34%	1.53%	0.71%	0.79%	1.61%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	187	1	0	1	1	3	1	4	4	0	0	3	3	3	0	2	9	5	4	10	5	8	12	6	7	2	2	11	5	1	4	6	7	5	6	2	12	3	1	5	3	4	2	3	3	6	0	0	0	1	0	1									
		0.93%	0.24%	0.00%	0.23%	0.32%	0.75%	0.33%	1.39%	1.28%	0.00%	0.00%	0.49%	0.62%	0.63%	0.00%	0.53%	1.28%	1.40%	0.72%	1.34%	0.96%	1.40%	2.40%	1.25%	1.48%	0.54%	0.47%	2.22%	1.02%	0.21%	0.83%	1.09%	1.44%	1.39%	1.41%	0.44%	1.54%	0.42%	0.53%	1.16%	1.03%	0.83%	0.78%	0.71%	1.03%	1.31%	0.00%	0.00%	0.00%	2.70%	0.00%	3.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	51	1	0	1	0	1	0	3	1	0	1	2	1	0	2	0	3	2	1	1	1	1	0	1	0	1	1	3	1	1	0	2	2	1	1	3	1	3	0	2	0	1	0	2	0	0	0	0	0	3	0	0									
		0.25%	0.24%	0.00%	0.23%	0.00%	0.25%	0.00%	1.04%	0.32%	0.00%	0.37%	0.33%	0.21%	0.00%	0.44%	0.00%	0.43%	0.56%	0.18%	0.13%	0.19%	0.17%	0.00%	0.21%	0.00%	0.27%	0.23%	0.60%	0.20%	0.21%	0.00%	0.36%	0.41%	0.28%	0.24%	0.66%	0.13%	0.42%	0.00%	0.46%	0.00%	0.21%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	8.11%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	220	3	0	3	1	7	2	3	0	0	2	5	6	3	1	1	6	2	9	12	8	12	9	7	6	2	3	2	6	6	6	8	7	1	7	9	7	7	2	4	4	5	5	12	5	2	0	0	1	0	0	1									
		1.09%	0.71%	0.00%	0.70%	0.32%	1.74%	0.65%	1.04%	0.00%	0.00%	0.74%	0.82%	1.24%	0.63%	0.22%	0.26%	0.86%	0.56%	1.63%	1.60%	1.54%	2.09%	1.80%	1.46%	1.27%	0.54%	0.70%	0.40%	1.22%	1.28%	1.25%	1.45%	1.44%	0.28%	1.65%	1.97%	0.90%	0.97%	1.05%	0.93%	1.38%	1.04%	1.95%	2.85%	1.71%	0.44%	0.00%	0.00%	1.61%	0.00%	0.00%	3.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1343	34	20	38	24	29	25	17	21	13	14	28	17	17	25	25	45	26	27	48	36	43	30	46	29	35	35	27	46	26	34	41	26	15	34	32	45	46	13	31	27	43	19	21	25	15	10	10	7	2	0	1									
		6.65%	8.02%	11.36%	8.88%	7.62%	7.21%	8.14%	5.90%	6.71%	5.63%	5.20%	4.60%	3.52%	3.57%	5.53%	6.58%	6.42%	7.30%	4.88%	6.42%	6.94%	7.50%	5.99%	9.60%	6.12%	9.51%	8.14%	5.44%	9.37%	5.56%	7.07%	7.44%	5.35%	4.16%	8.00%	7.02%	5.78%	6.40%	6.84%	7.18%	9.31%	8.90%	7.39%	4.99%	8.56%	3.27%	7.09%	7.87%	11.29%	5.41%	0.00%	3.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	95	0	1	1	2	0	2	2	2	3	0	1	1	4	4	1	0	2	1	2	3	4	1	3	2	2	4	3	2	3	2	6	1	2	2	6	4	2	1	0	2	2	1	4	1	1	0	0	0	1	0	1									
		0.47%	0.00%	0.57%	0.23%	0.63%	0.00%	0.65%	0.69%	0.64%	1.30%	0.00%	0.16%	0.21%	0.84%	0.88%	0.26%	0.00%	0.56%	0.18%	0.27%	0.58%	0.70%	0.20%	0.63%	0.42%	0.54%	0.93%	0.60%	0.41%	0.64%	0.42%	1.09%	0.21%	0.55%	0.47%	1.32%	0.51%	0.28%	0.53%	0.00%	0.69%	0.41%	0.39%	0.95%	0.34%	0.22%	0.00%	0.00%	0.00%	2.70%	0.00%	3.85%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1347	23	15	36	28	29	29	20	18	11	10	43	30	36	33	43	35	15	37	62	29	48	37	29	38	19	29	35	30	37	41	34	25	19	36	31	46	35	8	25	14	37	24	23	23	33	3	5	1	0	0	0									
		6.67%	5.42%	8.52%	8.41%	8.89%	7.21%	9.45%	6.94%	5.75%	4.76%	3.72%	7.06%	6.21%	7.56%	7.30%	11.32%	4.99%	4.21%	6.69%	8.29%	5.59%	8.38%	7.39%	6.05%	8.02%	5.16%	6.74%	7.06%	6.11%	7.91%	8.52%	6.17%	5.14%	5.26%	8.47%	6.80%	5.91%	4.87%	4.21%	5.79%	4.83%	7.66%	9.34%	5.46%	7.88%	7.19%	2.13%	3.94%	1.61%	0.00%	0.00%	0.00%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
