Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Гремячинская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815					
		6.43%	4.39%	6.10%	5.87%	6.19%	5.55%	7.40%	4.30%	10.08%	3.57%	4.40%	6.35%	9.51%	9.23%	4.34%	5.15%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	232	46	13	57	24	15	10	13	3	4	7	5	18	15	0	2					
		2.51%	3.37%	4.18%	3.89%	2.03%	2.25%	2.05%	2.66%	1.26%	2.38%	2.37%	1.05%	1.57%	1.95%	0.0%	2.06%					
22	"5. ""За Русь Святую"""	40	3	1	3	4	2	2	0	0	1	8	3	7	6	0	0					
		0.43%	0.21%	0.32%	0.20%	0.33%	0.30%	0.41%	0.0%	0.0%	0.59%	2.71%	0.63%	0.61%	0.78%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	5	1	5	4	0	0	1	0	0	0	1	9	3	0	0					
		0.31%	0.36%	0.32%	0.34%	0.33%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.21%	0.78%	0.39%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	117	19	2	25	16	18	3	6	2	3	2	7	6	7	0	1					
		1.27%	1.39%	0.64%	1.70%	1.35%	2.70%	0.61%	1.22%	0.84%	1.78%	0.67%	1.48%	0.52%	0.91%	0.0%	1.03%					
25	"8. ""Народно-республиканская партия России"""	19	3	0	3	4	0	1	0	0	0	0	0	5	1	1	1					
		0.20%	0.21%	0.0%	0.20%	0.33%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.13%	1.44%	1.03%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	6	1	6	5	1	0	1	0	0	1	0	3	1	0	0					
		0.27%	0.43%	0.32%	0.41%	0.42%	0.15%	0.0%	0.20%	0.0%	0.0%	0.33%	0.0%	0.26%	0.13%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	218	21	4	39	31	21	9	11	4	8	7	14	27	19	0	3					
		2.36%	1.53%	1.28%	2.66%	2.63%	3.15%	1.85%	2.25%	1.68%	4.76%	2.37%	2.96%	2.35%	2.47%	0.0%	3.09%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	1	2	2	0	1	0	0	0	2	2	0	1					
		0.13%	0.07%	0.0%	0.0%	0.08%	0.30%	0.41%	0.0%	0.42%	0.0%	0.0%	0.0%	0.17%	0.26%	0.0%	1.03%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	128	19	1	13	8	5	3	6	1	3	4	51	3	7	2	2					
		1.38%	1.39%	0.32%	0.88%	0.67%	0.75%	0.61%	1.22%	0.42%	1.78%	1.35%	10.80%	0.26%	0.91%	2.89%	2.06%					
30	"13. ""Демократическая партия России"""	21	7	2	2	0	1	2	1	0	0	1	1	4	0	0	0					
		0.22%	0.51%	0.64%	0.13%	0.0%	0.15%	0.41%	0.20%	0.0%	0.0%	0.33%	0.21%	0.34%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	1	0	3	3	0	0	2	0	3	0	3	4	4	0	0					
		0.24%	0.07%	0.0%	0.20%	0.25%	0.0%	0.0%	0.40%	0.0%	1.78%	0.0%	0.63%	0.34%	0.52%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	1	1	3	2	0	2	1	2	1	0	1	2	0	0	1					
		0.18%	0.07%	0.32%	0.20%	0.16%	0.0%	0.41%	0.20%	0.84%	0.59%	0.0%	0.21%	0.17%	0.0%	0.0%	1.03%					
33	"16. ""Родина"" (народно-патриотический союз)"""	619	97	21	111	77	47	28	30	11	10	18	10	91	63	1	4					
		6.72%	7.11%	6.75%	7.58%	6.53%	7.05%	5.76%	6.14%	4.62%	5.95%	6.10%	2.11%	7.94%	8.19%	1.44%	4.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	3	2	4	3	1	2	3	2	0	1	4	7	5	0	0					
		0.40%	0.21%	0.64%	0.27%	0.25%	0.15%	0.41%	0.61%	0.84%	0.0%	0.33%	0.84%	0.61%	0.65%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1206	191	41	171	151	82	53	71	30	16	53	72	138	120	7	10					
		13.09%	14.00%	13.18%	11.68%	12.81%	12.31%	10.90%	14.54%	12.60%	9.52%	17.96%	15.25%	12.05%	15.60%	10.14%	10.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	237	38	3	46	27	17	8	17	9	3	6	16	29	14	0	4					
		2.57%	2.78%	0.96%	3.14%	2.29%	2.55%	1.64%	3.48%	3.78%	1.78%	2.03%	3.38%	2.53%	1.82%	0.0%	4.12%					
37	"20. ""Политическая партия ""Единая Россия"""	3698	557	134	564	480	292	256	198	91	47	119	189	456	233	41	41					
		40.15%	40.83%	43.08%	38.55%	40.74%	43.84%	52.67%	40.57%	38.23%	27.97%	40.33%	40.04%	39.82%	30.29%	59.42%	42.26%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	2	1	1	0	0	1	0	1	0	1	0	7	4	0	0					
		0.19%	0.14%	0.32%	0.06%	0.0%	0.0%	0.20%	0.0%	0.42%	0.0%	0.33%	0.0%	0.61%	0.52%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	18	5	2	2	2	0	0	0	0	1	0	0	3	3	0	0					
		0.19%	0.36%	0.64%	0.13%	0.16%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.26%	0.39%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	824	91	26	126	104	48	27	55	32	27	19	25	125	105	4	10					
		8.94%	6.67%	8.36%	8.61%	8.82%	7.20%	5.55%	11.27%	13.44%	16.07%	6.44%	5.29%	10.91%	13.65%	5.79%	10.30%					
																						
41	Против всех	521	101	17	89	75	46	20	31	15	23	10	15	32	38	5	4					
		5.65%	7.40%	5.46%	6.08%	6.36%	6.90%	4.11%	6.35%	6.30%	13.69%	3.38%	3.17%	2.79%	4.94%	7.24%	4.12%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
