Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																																	
																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																	
																																																																																																																	
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	869	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	869	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	302	0	0	0	0	0	26	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2	1	0	215	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	13	0	0	0	0	0	0	0	0	1	0	0	1	27	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	131	0	2	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	2	2	0	0	0	0	0	2	1	0	0	3	3	2	0	1	0	1	0	0	5	3	3	6	0	3	1	4	2	0	1	1	0	0	0	0	0	1	3	6	0	1	1	1	0	4	1	1	1	4	2	1	2	0	0	0	0	2	0	1	1	3	3	4	1	2	2	1	1	5	1	2	4	1	2	0	1	2	4	1	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	1	0	2	1	2	1	0	2	2	3	1	1	0	1	2	2	0	2	0	1	0	2	0	0	3	3	1	0	0	0	2	0	2	2	0	3	1	2	2	0	2	3	1	2	2	3	1	0	1	0	0	0	2	0	1	2	2	3	1	0	1	0	2	2	3	1	2	1	1	3	4	0	2	0	1	3	0	2	2	0	2	0	4	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0									
		0.08%	0.04%	0.00%	0.14%	0.07%	0.16%	0.14%	0.00%	0.12%	0.16%	0.26%	0.05%	0.06%	0.00%	0.05%	0.10%	0.11%	0.00%	0.22%	0.00%	0.06%	0.00%	0.13%	0.00%	0.00%	0.30%	0.25%	0.09%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.19%	0.00%	0.15%	0.10%	0.13%	0.19%	0.00%	0.13%	0.17%	0.08%	0.12%	0.14%	0.17%	0.05%	0.00%	0.05%	0.00%	0.00%	0.00%	0.29%	0.00%	0.07%	0.16%	0.17%	0.15%	0.11%	0.00%	0.16%	0.00%	0.18%	0.18%	0.24%	0.06%	0.14%	0.09%	0.08%	0.15%	0.34%	0.00%	0.14%	0.00%	0.09%	0.27%	0.00%	0.23%	0.21%	0.00%	0.10%	0.00%	0.20%	0.00%	0.07%	0.00%	0.00%	0.00%	0.06%	0.00%	0.07%	0.06%	0.00%	0.00%	0.08%	0.00%	0.00%	0.06%	0.00%	0.05%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	28	1	2	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	2	0	0	0									
		0.02%	0.04%	0.18%	0.21%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.24%	0.12%	0.07%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.26%	0.06%	0.00%	0.14%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	0	4	3	0	2	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	2	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	4	0	0	0	0									
		0.03%	0.00%	0.37%	0.21%	0.00%	0.16%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.17%	0.00%	0.00%	0.00%	0.11%	0.00%	0.23%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.15%	0.00%	0.26%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	112349	1856	892	1124	1094	966	549	880	1371	939	878	1775	1274	1404	1654	1715	1433	948	695	972	1296	911	1145	1124	1050	765	909	910	1052	1408	379	1325	976	1469	854	621	1530	806	1149	797	1576	1216	1366	969	1293	1076	1359	1435	1644	1470	1727	910	1119	533	947	1122	949	910	1573	698	938	483	834	877	831	948	1263	1120	867	943	1499	896	1805	1112	479	859	833	733	651	720	1610	1624	1045	1589	737	1036	1268	1251	910	1264	898	1124	1385	795	1525	1009	869	1179	1351	1081	1481	938	902									
		77.45%	79.86%	81.99%	80.23%	80.03%	78.47%	77.11%	77.95%	79.71%	77.22%	77.43%	81.50%	77.97%	77.44%	80.88%	81.47%	77.29%	77.58%	76.88%	76.84%	79.27%	77.33%	77.21%	77.46%	77.26%	76.58%	77.10%	77.58%	77.64%	77.62%	76.88%	76.81%	77.52%	77.11%	82.12%	76.67%	77.19%	77.35%	77.22%	76.49%	77.37%	76.86%	77.09%	76.30%	77.15%	76.64%	76.87%	77.11%	77.04%	77.12%	77.62%	77.32%	77.12%	76.80%	77.37%	77.43%	77.47%	77.12%	77.03%	76.79%	76.95%	75.94%	76.65%	77.47%	76.45%	77.14%	77.58%	77.35%	76.39%	76.79%	77.03%	76.13%	77.87%	77.01%	75.55%	75.82%	76.28%	76.92%	74.83%	75.16%	77.03%	77.70%	76.56%	77.59%	76.37%	76.40%	77.36%	76.75%	77.32%	77.40%	76.36%	77.09%	76.43%	76.44%	76.52%	76.67%	76.03%	76.51%	76.28%	76.78%	77.50%	76.95%	76.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	812	12	6	9	3	6	5	6	8	12	8	11	6	12	7	8	16	7	9	5	4	5	6	7	3	10	7	5	6	9	3	10	8	9	8	6	12	8	9	7	2	9	8	9	3	6	5	7	11	8	4	6	3	6	11	10	10	3	8	5	9	3	4	12	4	7	5	8	9	8	10	6	12	13	7	12	9	7	9	13	15	9	14	9	3	16	12	3	5	11	9	3	16	12	8	6	9	12	17	9	4	6	5									
		0.56%	0.52%	0.55%	0.64%	0.22%	0.49%	0.70%	0.53%	0.47%	0.99%	0.71%	0.51%	0.37%	0.66%	0.34%	0.38%	0.86%	0.57%	0.99%	0.40%	0.24%	0.42%	0.40%	0.48%	0.22%	1.00%	0.59%	0.43%	0.44%	0.50%	0.61%	0.58%	0.64%	0.47%	0.77%	0.74%	0.61%	0.77%	0.60%	0.67%	0.10%	0.57%	0.45%	0.71%	0.18%	0.43%	0.28%	0.38%	0.52%	0.42%	0.18%	0.51%	0.21%	0.86%	0.90%	0.69%	0.82%	0.25%	0.39%	0.55%	0.74%	0.47%	0.37%	1.06%	0.37%	0.57%	0.31%	0.55%	0.79%	0.65%	0.51%	0.51%	0.52%	0.90%	1.10%	1.06%	0.82%	0.73%	1.03%	1.36%	0.72%	0.43%	1.03%	0.44%	0.31%	1.18%	0.73%	0.18%	0.42%	0.67%	0.77%	0.21%	0.88%	1.15%	0.40%	0.46%	0.79%	0.78%	0.96%	0.64%	0.21%	0.49%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	191	0	0	0	0	0	2	3	4	1	2	0	0	0	2	1	2	4	1	3	2	4	2	3	4	0	3	0	0	0	0	0	5	4	2	0	3	2	0	0	6	2	0	0	1	5	1	2	3	2	11	4	8	0	0	1	0	3	2	0	3	5	2	1	2	1	2	0	3	4	2	0	2	0	4	2	2	1	2	1	2	1	4	1	2	1	2	1	0	2	0	4	6	3	2	2	1	2	1	2	1	2	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.27%	0.23%	0.08%	0.18%	0.00%	0.00%	0.00%	0.10%	0.05%	0.11%	0.33%	0.11%	0.24%	0.12%	0.34%	0.13%	0.21%	0.29%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.21%	0.19%	0.00%	0.15%	0.19%	0.00%	0.00%	0.29%	0.13%	0.00%	0.00%	0.06%	0.36%	0.06%	0.11%	0.14%	0.10%	0.49%	0.34%	0.55%	0.00%	0.00%	0.07%	0.00%	0.25%	0.10%	0.00%	0.25%	0.79%	0.18%	0.09%	0.18%	0.08%	0.12%	0.00%	0.26%	0.33%	0.10%	0.00%	0.09%	0.00%	0.63%	0.18%	0.18%	0.10%	0.23%	0.10%	0.10%	0.05%	0.29%	0.05%	0.21%	0.07%	0.12%	0.06%	0.00%	0.12%	0.00%	0.27%	0.33%	0.29%	0.10%	0.15%	0.09%	0.13%	0.06%	0.14%	0.05%	0.16%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	325	2	2	4	1	2	2	2	3	2	3	5	2	5	1	1	8	3	4	2	1	2	3	3	1	4	3	2	2	4	1	2	1	4	3	2	4	3	4	3	2	2	3	4	2	3	2	3	3	3	1	2	1	2	2	1	4	3	2	2	2	1	4	3	1	3	2	3	4	3	4	2	2	3	3	5	4	3	4	3	2	4	6	2	21	4	5	6	2	5	4	1	7	3	3	2	4	7	9	4	6	4	2									
		0.22%	0.09%	0.18%	0.29%	0.07%	0.16%	0.28%	0.18%	0.17%	0.16%	0.26%	0.23%	0.12%	0.28%	0.05%	0.05%	0.43%	0.25%	0.44%	0.16%	0.06%	0.17%	0.20%	0.21%	0.07%	0.40%	0.25%	0.17%	0.15%	0.22%	0.20%	0.12%	0.08%	0.21%	0.29%	0.25%	0.20%	0.29%	0.27%	0.29%	0.10%	0.13%	0.17%	0.31%	0.12%	0.21%	0.11%	0.16%	0.14%	0.16%	0.04%	0.17%	0.07%	0.29%	0.16%	0.07%	0.33%	0.25%	0.10%	0.22%	0.16%	0.16%	0.37%	0.27%	0.09%	0.24%	0.12%	0.21%	0.35%	0.24%	0.21%	0.17%	0.09%	0.21%	0.47%	0.44%	0.37%	0.31%	0.46%	0.31%	0.10%	0.19%	0.44%	0.10%	2.18%	0.29%	0.31%	0.37%	0.17%	0.31%	0.34%	0.07%	0.39%	0.29%	0.15%	0.15%	0.35%	0.45%	0.51%	0.28%	0.31%	0.33%	0.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
