Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Рыбинская - 195																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737									
		0.09%	0.13%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.16%	0.00%	0.11%	0.62%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	114	15	2	4	15	1	18	5	13	2	22	4	4	9									
		2.02%	1.89%	2.11%	2.08%	4.92%	0.52%	2.04%	1.79%	2.12%	0.78%	2.47%	2.48%	1.25%	1.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	757	78	13	31	61	20	130	33	73	21	128	26	43	100									
		13.44%	9.82%	13.68%	16.15%	20.00%	10.31%	14.74%	11.83%	11.93%	8.17%	14.37%	16.15%	13.40%	15.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	1	1	0	0	0	5	3	2	1	2	1	1	1									
		0.32%	0.13%	1.05%	0.00%	0.00%	0.00%	0.57%	1.08%	0.33%	0.39%	0.22%	0.62%	0.31%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	544	119	12	13	30	16	94	23	39	7	99	12	31	49									
		9.66%	14.99%	12.63%	6.77%	9.84%	8.25%	10.66%	8.24%	6.37%	2.72%	11.11%	7.45%	9.66%	7.54%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
