Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2972	47	77	55	86	24	108	73	92	91	53	50	14	92	30	96	81	72	67	69	88	59	58	51	57	61	93	97	40	30	18	10	49	74	25	15	53	13	11	57	34	25	12	36	28	28	9	19	34	91	8	39	73	12	14	41	19	15	12	20	33	31	33	9	18	23	20					
		12.29%	11.66%	11.26%	11.70%	16.70%	12.44%	16.05%	13.88%	14.98%	11.21%	11.21%	11.99%	7.00%	14.02%	13.39%	13.54%	10.77%	12.54%	12.91%	12.28%	15.71%	11.90%	12.31%	13.18%	11.92%	12.76%	13.34%	14.35%	11.53%	8.00%	8.61%	3.91%	12.89%	15.98%	5.90%	11.72%	17.10%	8.72%	7.38%	13.80%	11.85%	13.02%	11.65%	13.43%	8.46%	12.02%	7.50%	10.11%	11.64%	24.01%	4.65%	14.61%	12.03%	7.64%	9.15%	12.85%	12.67%	9.15%	8.22%	7.91%	12.18%	26.50%	10.54%	3.86%	8.96%	10.18%	8.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3433	71	105	61	88	27	95	63	89	79	70	57	39	109	33	99	133	97	80	79	102	72	51	55	64	70	107	58	80	26	27	19	64	80	33	7	29	33	38	50	38	23	13	42	52	29	10	24	37	43	17	40	105	21	18	41	18	27	27	48	49	17	47	22	28	29	29					
		14.19%	17.62%	15.35%	12.98%	17.09%	13.99%	14.12%	11.98%	14.50%	9.73%	14.80%	13.67%	19.50%	16.62%	14.73%	13.96%	17.69%	16.90%	15.41%	14.06%	18.21%	14.52%	10.83%	14.21%	13.39%	14.64%	15.35%	8.58%	23.05%	6.93%	12.92%	7.42%	16.84%	17.28%	7.78%	5.47%	9.35%	22.15%	25.50%	12.11%	13.24%	11.98%	12.62%	15.67%	15.71%	12.45%	8.33%	12.77%	12.67%	11.35%	9.88%	14.98%	17.30%	13.38%	11.76%	12.85%	12.00%	16.46%	18.49%	18.97%	18.08%	14.53%	15.02%	9.44%	13.93%	12.83%	13.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	228	7	9	5	7	5	11	3	8	6	5	7	4	8	4	10	4	10	6	4	4	4	6	5	2	7	3	5	3	3	2	1	1	0	2	0	2	0	0	4	1	1	0	2	1	1	0	2	3	7	0	4	2	2	2	5	2	2	1	3	1	4	3	1	1	0	0					
		0.94%	1.74%	1.32%	1.06%	1.36%	2.59%	1.63%	0.57%	1.30%	0.74%	1.06%	1.68%	2.00%	1.22%	1.79%	1.41%	0.53%	1.74%	1.16%	0.71%	0.71%	0.81%	1.27%	1.29%	0.42%	1.46%	0.43%	0.74%	0.86%	0.80%	0.96%	0.39%	0.26%	0.00%	0.47%	0.00%	0.65%	0.00%	0.00%	0.97%	0.35%	0.52%	0.00%	0.75%	0.30%	0.43%	0.00%	1.06%	1.03%	1.85%	0.00%	1.50%	0.33%	1.27%	1.31%	1.57%	1.33%	1.22%	0.68%	1.19%	0.37%	3.42%	0.96%	0.43%	0.50%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6577	122	265	152	144	56	216	141	201	230	171	126	62	170	75	206	221	171	162	201	157	162	180	141	152	164	225	225	102	36	74	21	65	117	45	26	89	10	27	95	86	47	32	47	99	46	16	32	55	71	26	58	114	23	40	90	46	54	39	82	68	22	43	41	39	26	30					
		27.19%	30.27%	38.74%	32.34%	27.96%	29.02%	32.10%	26.81%	32.74%	28.33%	36.15%	30.22%	31.00%	25.91%	33.48%	29.06%	29.39%	29.79%	31.21%	35.77%	28.04%	32.66%	38.22%	36.43%	31.80%	34.31%	32.28%	33.28%	29.39%	9.60%	35.41%	8.20%	17.11%	25.27%	10.61%	20.31%	28.71%	6.71%	18.12%	23.00%	29.97%	24.48%	31.07%	17.54%	29.91%	19.74%	13.33%	17.02%	18.84%	18.73%	15.12%	21.72%	18.78%	14.65%	26.14%	28.21%	30.67%	32.93%	26.71%	32.41%	25.09%	18.80%	13.74%	17.60%	19.40%	11.50%	13.45%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	512	12	26	14	5	2	22	26	19	16	17	9	9	23	4	17	27	17	10	17	11	16	4	7	10	13	18	16	12	0	0	6	4	9	1	2	2	2	0	8	6	1	0	10	7	0	0	2	3	4	0	1	4	1	6	4	0	3	0	6	1	3	2	1	5	4	5					
		2.12%	2.98%	3.80%	2.98%	0.97%	1.04%	3.27%	4.94%	3.09%	1.97%	3.59%	2.16%	4.50%	3.51%	1.79%	2.40%	3.59%	2.96%	1.93%	3.02%	1.96%	3.23%	0.85%	1.81%	2.09%	2.72%	2.58%	2.37%	3.46%	0.00%	0.00%	2.34%	1.05%	1.94%	0.24%	1.56%	0.65%	1.34%	0.00%	1.94%	2.09%	0.52%	0.00%	3.73%	2.11%	0.00%	0.00%	1.06%	1.03%	1.06%	0.00%	0.37%	0.66%	0.64%	3.92%	1.25%	0.00%	1.83%	0.00%	2.37%	0.37%	2.56%	0.64%	0.43%	2.49%	1.77%	2.24%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10023	141	190	174	173	74	209	206	197	378	145	159	69	236	68	261	276	190	181	179	186	169	166	117	184	157	238	262	106	265	85	199	194	176	314	77	131	90	73	193	113	92	45	127	134	127	84	109	158	154	120	119	300	96	71	138	62	60	64	88	119	40	174	158	106	143	134					
		41.44%	34.99%	27.78%	37.02%	33.59%	38.34%	31.05%	39.16%	32.08%	46.55%	30.66%	38.13%	34.50%	35.98%	30.36%	36.81%	36.70%	33.10%	34.87%	31.85%	33.21%	34.07%	35.24%	30.23%	38.49%	32.85%	34.15%	38.76%	30.55%	70.67%	40.67%	77.73%	51.05%	38.01%	74.06%	60.16%	42.26%	60.40%	48.99%	46.73%	39.37%	47.92%	43.69%	47.39%	40.48%	54.51%	70.00%	57.98%	54.11%	40.63%	69.77%	44.57%	49.42%	61.15%	46.41%	43.26%	41.33%	36.59%	43.84%	34.78%	43.91%	34.19%	55.59%	67.81%	52.74%	63.27%	60.09%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	122	0	4	3	4	0	2	7	1	1	4	2	1	1	3	5	3	5	5	3	6	3	2	4	1	3	2	0	3	2	1	0	1	2	2	0	1	0	0	1	4	1	1	0	3	2	1	0	2	3	1	2	1	1	1	0	2	1	0	3	0	0	0	0	4	1	0					
		0.50%	0.00%	0.58%	0.64%	0.78%	0.00%	0.30%	1.33%	0.16%	0.12%	0.85%	0.48%	0.50%	0.15%	1.34%	0.71%	0.40%	0.87%	0.96%	0.53%	1.07%	0.60%	0.42%	1.03%	0.21%	0.63%	0.29%	0.00%	0.86%	0.53%	0.48%	0.00%	0.26%	0.43%	0.47%	0.00%	0.32%	0.00%	0.00%	0.24%	1.39%	0.52%	0.97%	0.00%	0.91%	0.86%	0.83%	0.00%	0.68%	0.79%	0.58%	0.75%	0.16%	0.64%	0.65%	0.00%	1.33%	0.61%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	1.99%	0.44%	0.00%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
