Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Боровская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
18	"1. ""ЕДИНЕНИЕ"""	165	2	7	4	4	5	0	3	0	4	6	3	3	2	5	4	17	3	2	8	1	2	8	12	5	4	1	14	8	15	11	2					
		0.75%	0.44%	0.52%	0.29%	0.77%	0.77%	0.0%	1.04%	0.0%	2.51%	3.10%	1.15%	1.57%	1.10%	0.67%	2.19%	1.71%	0.60%	2.35%	1.19%	0.75%	0.88%	0.52%	0.78%	0.38%	0.26%	0.15%	0.93%	0.58%	1.14%	0.96%	0.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	548	22	29	41	16	13	3	4	1	1	5	5	6	0	10	3	36	10	0	10	5	6	39	42	38	40	15	32	26	36	29	25					
		2.50%	4.94%	2.15%	3.04%	3.11%	2.02%	2.27%	1.38%	1.09%	0.62%	2.59%	1.93%	3.14%	0.0%	1.34%	1.64%	3.64%	2.01%	0.0%	1.49%	3.75%	2.65%	2.55%	2.75%	2.91%	2.65%	2.34%	2.13%	1.91%	2.75%	2.53%	3.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	635	13	33	55	20	21	4	3	1	3	4	7	12	4	15	4	22	13	4	17	3	6	40	41	39	75	13	42	39	34	25	23					
		2.90%	2.92%	2.45%	4.08%	3.89%	3.27%	3.03%	1.04%	1.09%	1.88%	2.07%	2.70%	6.28%	2.20%	2.01%	2.19%	2.22%	2.61%	4.70%	2.54%	2.25%	2.65%	2.62%	2.68%	2.98%	4.97%	2.02%	2.80%	2.86%	2.60%	2.18%	3.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	701	34	31	64	18	16	0	7	7	0	2	3	4	3	26	2	31	14	1	14	0	5	61	72	42	49	22	49	43	26	25	30					
		3.21%	7.64%	2.30%	4.74%	3.50%	2.49%	0.0%	2.43%	7.69%	0.0%	1.03%	1.15%	2.09%	1.65%	3.48%	1.09%	3.13%	2.81%	1.17%	2.09%	0.0%	2.21%	3.99%	4.71%	3.21%	3.24%	3.43%	3.27%	3.15%	1.99%	2.18%	4.23%					
22	"5. ""За Русь Святую"""	215	5	17	13	1	3	8	0	1	0	1	2	1	0	4	0	6	12	1	7	1	5	0	24	29	13	9	19	5	12	6	10					
		0.98%	1.12%	1.26%	0.96%	0.19%	0.46%	6.06%	0.0%	1.09%	0.0%	0.51%	0.77%	0.52%	0.0%	0.53%	0.0%	0.60%	2.41%	1.17%	1.04%	0.75%	2.21%	0.0%	1.57%	2.22%	0.86%	1.40%	1.26%	0.36%	0.91%	0.52%	1.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	0	3	0	0	1	0	2	0	1	0	2	0	0	4	1	5	3	0	3	0	0	2	6	3	2	0	2	3	0	3	0					
		0.21%	0.0%	0.22%	0.0%	0.0%	0.15%	0.0%	0.69%	0.0%	0.62%	0.0%	0.77%	0.0%	0.0%	0.53%	0.54%	0.50%	0.60%	0.0%	0.44%	0.0%	0.0%	0.13%	0.39%	0.22%	0.13%	0.0%	0.13%	0.22%	0.0%	0.26%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	185	1	9	15	6	8	3	3	0	0	3	0	1	2	2	3	16	1	0	10	0	3	13	17	7	5	5	22	15	10	4	1					
		0.84%	0.22%	0.67%	1.11%	1.16%	1.24%	2.27%	1.04%	0.0%	0.0%	1.55%	0.0%	0.52%	1.10%	0.26%	1.64%	1.61%	0.20%	0.0%	1.49%	0.0%	1.32%	0.85%	1.11%	0.53%	0.33%	0.78%	1.46%	1.10%	0.76%	0.34%	0.14%					
25	"8. ""Народно-республиканская партия России"""	20	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	3	0	2	1	0	2	2	3	0	0					
		0.09%	0.0%	0.07%	0.07%	0.0%	0.15%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.44%	0.19%	0.0%	0.15%	0.06%	0.0%	0.13%	0.14%	0.22%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	68	0	5	4	0	3	0	1	0	0	0	0	0	1	3	0	12	0	0	1	0	1	5	6	4	0	1	10	6	2	2	1					
		0.31%	0.0%	0.37%	0.29%	0.0%	0.46%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.40%	0.0%	1.21%	0.0%	0.0%	0.14%	0.0%	0.44%	0.32%	0.39%	0.30%	0.0%	0.15%	0.66%	0.44%	0.15%	0.17%	0.14%					
27	"10. ""Аграрная партия России"""	814	18	44	38	18	19	5	26	10	14	23	12	5	26	33	19	41	34	11	37	16	4	38	48	64	42	17	29	23	49	24	27					
		3.72%	4.04%	3.27%	2.81%	3.50%	2.95%	3.78%	9.02%	10.98%	8.80%	11.91%	4.63%	2.61%	14.36%	4.42%	10.43%	4.14%	6.84%	12.94%	5.54%	12.03%	1.76%	2.49%	3.14%	4.90%	2.78%	2.65%	1.93%	1.68%	3.75%	2.09%	3.80%					
28	"11. ""Истинные патриоты России"""	39	1	3	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	8	0	3	4	3	4	1	0	3	2					
		0.17%	0.22%	0.22%	0.07%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.20%	0.0%	0.0%	0.29%	0.0%	0.0%	0.52%	0.0%	0.22%	0.26%	0.46%	0.26%	0.07%	0.0%	0.26%	0.28%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	226	2	8	9	3	2	0	3	0	2	1	3	3	1	4	1	24	6	0	11	1	0	21	18	12	20	11	14	8	20	12	6					
		1.03%	0.44%	0.59%	0.66%	0.58%	0.31%	0.0%	1.04%	0.0%	1.25%	0.51%	1.15%	1.57%	0.55%	0.53%	0.54%	2.42%	1.20%	0.0%	1.64%	0.75%	0.0%	1.37%	1.17%	0.91%	1.32%	1.71%	0.93%	0.58%	1.53%	1.04%	0.84%					
30	"13. ""Демократическая партия России"""	45	0	1	2	0	1	2	3	0	2	0	3	0	1	2	0	2	1	0	1	0	0	4	6	1	1	3	4	2	3	0	0					
		0.20%	0.0%	0.07%	0.14%	0.0%	0.15%	1.51%	1.04%	0.0%	1.25%	0.0%	1.15%	0.0%	0.55%	0.26%	0.0%	0.20%	0.20%	0.0%	0.14%	0.0%	0.0%	0.26%	0.39%	0.07%	0.06%	0.46%	0.26%	0.14%	0.22%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	60	0	4	1	1	1	1	0	0	1	0	0	1	0	5	0	1	0	1	1	0	0	3	8	0	3	3	4	7	2	10	2					
		0.27%	0.0%	0.29%	0.07%	0.19%	0.15%	0.75%	0.0%	0.0%	0.62%	0.0%	0.0%	0.52%	0.0%	0.67%	0.0%	0.10%	0.0%	1.17%	0.14%	0.0%	0.0%	0.19%	0.52%	0.0%	0.19%	0.46%	0.26%	0.51%	0.15%	0.87%	0.28%					
32	"15. ""Партия СЛОН"""	53	1	2	8	1	0	2	0	0	0	0	0	1	0	0	0	7	1	0	1	0	3	5	2	0	3	2	6	5	2	1	0					
		0.24%	0.22%	0.14%	0.59%	0.19%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.70%	0.20%	0.0%	0.14%	0.0%	1.32%	0.32%	0.13%	0.0%	0.19%	0.31%	0.40%	0.36%	0.15%	0.08%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3052	90	176	208	62	113	24	22	7	9	8	24	12	27	98	7	90	59	5	75	11	42	273	229	201	245	96	169	250	191	148	81					
		13.97%	20.22%	13.10%	15.43%	12.08%	17.60%	18.18%	7.63%	7.69%	5.66%	4.14%	9.26%	6.28%	14.91%	13.13%	3.84%	9.10%	11.87%	5.88%	11.24%	8.27%	18.58%	17.88%	14.99%	15.40%	16.23%	14.97%	11.28%	18.36%	14.62%	12.92%	11.42%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	0	2	1	1	2	1	0	0	2	2	1	2	0	0	0	2	3	3	1	0	0	1	4	1	2	0	3	2	2	5	1					
		0.20%	0.0%	0.14%	0.07%	0.19%	0.31%	0.75%	0.0%	0.0%	1.25%	1.03%	0.38%	1.04%	0.0%	0.0%	0.0%	0.20%	0.60%	3.52%	0.14%	0.0%	0.0%	0.06%	0.26%	0.07%	0.13%	0.0%	0.20%	0.14%	0.15%	0.43%	0.14%					
35	"18. ""ЛДПР"""	2707	28	153	149	90	68	9	30	6	18	29	28	18	29	57	9	179	66	7	71	19	28	166	198	141	161	64	265	228	145	170	78					
		12.39%	6.29%	11.39%	11.05%	17.54%	10.59%	6.81%	10.41%	6.59%	11.32%	15.02%	10.81%	9.42%	16.02%	7.64%	4.94%	18.09%	13.27%	8.23%	10.64%	14.28%	12.38%	10.87%	12.96%	10.80%	10.66%	9.98%	17.70%	16.75%	11.10%	14.84%	11.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	570	10	27	20	8	17	4	4	1	3	5	1	5	3	59	4	18	15	1	12	3	4	18	25	7	38	14	61	99	26	36	22					
		2.61%	2.24%	2.01%	1.48%	1.55%	2.64%	3.03%	1.38%	1.09%	1.88%	2.59%	0.38%	2.61%	1.65%	7.90%	2.19%	1.82%	3.01%	1.17%	1.79%	2.25%	1.76%	1.17%	1.63%	0.53%	2.51%	2.18%	4.07%	7.27%	1.99%	3.14%	3.10%					
37	"20. ""Политическая партия ""Единая Россия"""	7544	134	515	455	168	223	40	144	48	67	72	141	93	59	306	94	303	186	35	262	51	76	455	470	426	479	201	469	336	556	445	235					
		34.54%	30.11%	38.34%	33.75%	32.74%	34.73%	30.30%	50.0%	52.74%	42.13%	37.30%	54.44%	48.69%	32.59%	41.01%	51.64%	30.63%	37.42%	41.17%	39.28%	38.34%	33.62%	29.81%	30.77%	32.64%	31.74%	31.35%	31.32%	24.68%	42.57%	38.86%	33.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	35	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	3	7	1	4	2	0	2	2	6	1					
		0.16%	0.22%	0.07%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.20%	0.20%	0.0%	0.0%	0.0%	0.0%	0.19%	0.45%	0.07%	0.26%	0.31%	0.0%	0.14%	0.15%	0.52%	0.14%					
39	"22. ""Развитие предпринимательства"""	65	2	3	1	1	2	0	0	1	0	0	0	0	0	1	0	4	1	0	0	0	0	2	12	4	8	5	4	5	4	3	2					
		0.29%	0.44%	0.22%	0.07%	0.19%	0.31%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.40%	0.20%	0.0%	0.0%	0.0%	0.0%	0.13%	0.78%	0.30%	0.53%	0.78%	0.26%	0.36%	0.30%	0.26%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2539	57	172	173	68	85	14	28	6	19	27	15	11	8	75	25	71	44	11	79	15	29	208	165	179	223	124	156	151	94	102	105					
		11.62%	12.80%	12.80%	12.83%	13.25%	13.23%	10.60%	9.72%	6.59%	11.94%	13.98%	5.79%	5.75%	4.41%	10.05%	13.73%	7.17%	8.85%	12.94%	11.84%	11.27%	12.83%	13.63%	10.80%	13.71%	14.77%	19.34%	10.42%	11.09%	7.19%	8.90%	14.80%					
																																						
41	Против всех	1156	23	87	66	19	19	8	5	2	8	4	9	10	14	27	6	81	18	2	25	7	9	88	106	81	71	26	98	85	55	54	43					
		5.29%	5.16%	6.47%	4.89%	3.70%	2.95%	6.06%	1.73%	2.19%	5.03%	2.07%	3.47%	5.23%	7.73%	3.61%	3.29%	8.19%	3.62%	2.35%	3.74%	5.26%	3.98%	5.76%	6.94%	6.20%	4.70%	4.05%	6.54%	6.24%	4.21%	4.71%	6.06%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
