Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Почепская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886					
		1.14%	2.44%	1.72%	1.53%	0.60%	3.37%	0.91%	1.54%	0.14%	1.08%	1.96%	0.71%	0.59%	0.27%	0.62%	1.06%	2.94%	0.98%	0.64%	0.0%	2.12%	0.52%	1.48%	1.22%	0.93%	1.12%	0.0%	0.70%	0.35%	1.05%	2.72%	1.71%	1.73%	4.09%	0.0%	1.10%	0.27%	0.90%	2.51%	0.0%	0.70%	0.0%	0.39%	0.57%	0.54%	0.70%	1.25%	0.90%	1.95%	0.42%	0.0%	0.46%	0.94%	2.33%	0.0%	0.60%	0.92%					
22	"5. ""За Русь Святую"""	105	7	6	2	5	4	7	1	3	1	2	3	1	1	0	3	0	2	3	1	0	0	0	3	3	2	1	0	4	4	3	1	3	4	0	0	0	3	1	0	0	0	2	2	1	0	0	2	1	0	2	1	3	0	0	1	6					
		0.55%	0.74%	1.15%	0.23%	1.00%	0.53%	0.91%	0.15%	0.42%	0.21%	0.98%	1.06%	0.59%	0.27%	0.0%	1.06%	0.0%	1.96%	0.48%	0.22%	0.0%	0.0%	0.0%	0.92%	1.39%	0.56%	0.48%	0.0%	1.41%	2.10%	1.02%	0.24%	1.30%	3.27%	0.0%	0.0%	0.0%	0.34%	0.41%	0.0%	0.0%	0.0%	0.78%	1.14%	0.54%	0.0%	0.0%	0.60%	0.48%	0.0%	0.99%	0.46%	1.41%	0.0%	0.0%	0.30%	0.92%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	0	1	0	0	1	2	0	2	1	3	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	2	3	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	1	0	2	2					
		0.18%	0.0%	0.19%	0.0%	0.0%	0.13%	0.26%	0.0%	0.28%	0.21%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.22%	0.70%	0.52%	0.0%	0.0%	0.46%	0.0%	0.0%	0.35%	1.06%	0.52%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.70%	0.25%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.58%	0.0%	0.60%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	85	6	3	5	0	5	6	3	2	1	1	1	1	1	0	3	0	1	3	1	3	0	0	1	1	2	2	3	0	0	1	0	1	0	0	0	2	4	0	1	1	0	0	1	2	1	1	0	1	0	0	1	0	0	0	3	10					
		0.44%	0.63%	0.57%	0.59%	0.0%	0.67%	0.78%	0.46%	0.28%	0.21%	0.49%	0.35%	0.59%	0.27%	0.0%	1.06%	0.0%	0.98%	0.48%	0.22%	2.12%	0.0%	0.0%	0.30%	0.46%	0.56%	0.97%	0.53%	0.0%	0.0%	0.34%	0.0%	0.43%	0.0%	0.0%	0.0%	0.54%	0.45%	0.0%	1.01%	0.17%	0.0%	0.0%	0.57%	1.08%	0.35%	0.25%	0.0%	0.48%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.91%	1.53%					
25	"8. ""Народно-республиканская партия России"""	51	2	2	2	0	1	0	2	2	3	3	1	0	0	0	0	0	1	4	0	0	0	2	0	1	3	2	1	1	1	0	0	2	0	1	0	1	0	3	2	0	0	0	1	0	0	0	2	0	0	0	0	1	1	2	1	0					
		0.26%	0.21%	0.38%	0.23%	0.0%	0.13%	0.0%	0.30%	0.28%	0.64%	1.47%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.64%	0.0%	0.0%	0.0%	0.74%	0.0%	0.46%	0.84%	0.97%	0.17%	0.35%	0.52%	0.0%	0.0%	0.86%	0.0%	1.03%	0.0%	0.27%	0.0%	1.25%	2.02%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.47%	0.58%	2.98%	0.30%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	1	0	2	0	0	2	1	0	1	1	0	1	4	0	0	1	0	1	0	0	0	10					
		0.21%	0.10%	0.0%	0.11%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.35%	0.0%	0.0%	0.49%	0.0%	1.63%	0.0%	0.55%	0.0%	0.22%	0.0%	0.0%	0.35%	2.08%	0.0%	0.57%	0.54%	0.0%	0.25%	1.20%	0.0%	0.0%	0.49%	0.0%	0.47%	0.0%	0.0%	0.0%	1.53%					
27	"10. ""Аграрная партия России"""	943	33	16	29	13	27	13	23	20	21	11	22	3	11	6	12	1	2	18	65	3	17	11	13	11	15	12	89	8	5	16	26	10	9	2	4	33	26	29	3	36	1	11	5	10	31	23	27	12	27	32	3	12	8	5	8	4					
		4.96%	3.50%	3.07%	3.43%	2.61%	3.64%	1.69%	3.54%	2.80%	4.54%	5.39%	7.82%	1.78%	2.99%	3.75%	4.24%	2.94%	1.96%	2.88%	14.63%	2.12%	8.90%	4.07%	3.98%	5.11%	4.21%	5.85%	15.75%	2.83%	2.63%	5.44%	6.38%	4.34%	7.37%	2.06%	2.20%	9.04%	2.95%	12.13%	3.03%	6.36%	2.08%	4.33%	2.85%	5.40%	10.95%	5.75%	8.10%	5.85%	11.48%	15.84%	1.40%	5.66%	4.67%	7.46%	2.43%	0.61%					
28	"11. ""Истинные патриоты России"""	29	2	1	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	3	0	0	1					
		0.15%	0.21%	0.19%	0.23%	0.0%	0.0%	0.0%	0.30%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.53%	0.35%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.78%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	1.75%	0.0%	0.0%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	199	8	7	8	3	5	4	9	7	2	2	0	3	2	3	12	2	3	7	4	3	3	4	1	0	1	2	10	3	1	3	3	9	6	2	1	0	3	3	2	6	1	3	1	3	5	2	3	3	4	0	0	2	4	0	2	9					
		1.04%	0.84%	1.34%	0.94%	0.60%	0.67%	0.52%	1.38%	0.98%	0.43%	0.98%	0.0%	1.78%	0.54%	1.87%	4.24%	5.88%	2.94%	1.12%	0.90%	2.12%	1.57%	1.48%	0.30%	0.0%	0.28%	0.97%	1.76%	1.06%	0.52%	1.02%	0.73%	3.91%	4.91%	2.06%	0.55%	0.0%	0.34%	1.25%	2.02%	1.06%	2.08%	1.18%	0.57%	1.62%	1.76%	0.5%	0.90%	1.46%	1.70%	0.0%	0.0%	0.94%	2.33%	0.0%	0.60%	1.38%					
30	"13. ""Демократическая партия России"""	54	0	0	2	2	2	2	2	0	1	0	2	0	0	0	1	0	1	2	1	2	0	0	1	1	3	1	2	1	1	1	2	0	0	0	2	1	3	0	0	4	0	2	0	0	0	0	2	0	0	2	1	2	0	0	0	2					
		0.28%	0.0%	0.0%	0.23%	0.40%	0.26%	0.26%	0.30%	0.0%	0.21%	0.0%	0.71%	0.0%	0.0%	0.0%	0.35%	0.0%	0.98%	0.32%	0.22%	1.41%	0.0%	0.0%	0.30%	0.46%	0.84%	0.48%	0.35%	0.35%	0.52%	0.34%	0.49%	0.0%	0.0%	0.0%	1.10%	0.27%	0.34%	0.0%	0.0%	0.70%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.99%	0.46%	0.94%	0.0%	0.0%	0.0%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	34	3	1	0	1	3	1	0	0	2	0	2	1	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	2	0	2					
		0.17%	0.31%	0.19%	0.0%	0.20%	0.40%	0.13%	0.0%	0.0%	0.43%	0.0%	0.71%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.45%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.49%	0.43%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.48%	0.42%	0.0%	0.46%	0.0%	0.58%	2.98%	0.0%	0.30%					
32	"15. ""Партия СЛОН"""	27	5	0	0	2	2	2	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	2	0	1	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.53%	0.0%	0.0%	0.40%	0.26%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	1.06%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.35%	0.0%	0.52%	0.68%	0.0%	0.0%	1.63%	0.0%	0.55%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	991	75	39	55	35	47	48	55	33	21	17	10	7	17	5	15	2	10	37	14	5	1	19	8	8	7	9	28	27	19	18	17	22	7	6	9	9	39	14	1	23	0	7	2	11	7	17	5	2	18	12	4	4	5	9	21	29					
		5.21%	7.96%	7.48%	6.50%	7.04%	6.34%	6.24%	8.48%	4.62%	4.54%	8.33%	3.55%	4.16%	4.63%	3.12%	5.30%	5.88%	9.80%	5.92%	3.15%	3.54%	0.52%	7.03%	2.45%	3.72%	1.96%	4.39%	4.95%	9.57%	10.0%	6.12%	4.17%	9.56%	5.73%	6.18%	4.97%	2.46%	4.43%	5.85%	1.01%	4.06%	0.0%	2.75%	1.14%	5.94%	2.47%	4.25%	1.50%	0.97%	7.65%	5.94%	1.87%	1.88%	2.92%	13.43%	6.38%	4.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	68	1	0	0	2	0	2	0	0	2	5	4	0	0	0	4	0	1	4	0	0	3	0	3	4	2	2	2	0	1	2	2	3	0	1	0	2	1	2	0	1	0	0	0	0	1	1	3	0	0	3	1	1	0	0	1	1					
		0.35%	0.10%	0.0%	0.0%	0.40%	0.0%	0.26%	0.0%	0.0%	0.43%	2.45%	1.42%	0.0%	0.0%	0.0%	1.41%	0.0%	0.98%	0.64%	0.0%	0.0%	1.57%	0.0%	0.92%	1.86%	0.56%	0.97%	0.35%	0.0%	0.52%	0.68%	0.49%	1.30%	0.0%	1.03%	0.0%	0.54%	0.11%	0.83%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.35%	0.25%	0.90%	0.0%	0.0%	1.48%	0.46%	0.47%	0.0%	0.0%	0.30%	0.15%					
35	"18. ""ЛДПР"""	2521	141	93	171	76	133	127	102	126	36	23	39	21	37	28	28	3	6	86	42	9	38	28	25	35	46	20	74	63	13	47	54	29	17	8	18	32	111	16	3	88	6	15	30	19	18	31	22	26	20	11	6	15	19	12	47	132					
		13.27%	14.96%	17.85%	20.23%	15.29%	17.94%	16.51%	15.74%	17.64%	7.79%	11.27%	13.87%	12.5%	10.08%	17.5%	9.89%	8.82%	5.88%	13.78%	9.45%	6.38%	19.89%	10.37%	7.66%	16.27%	12.92%	9.75%	13.09%	22.34%	6.84%	15.98%	13.26%	12.60%	13.93%	8.24%	9.94%	8.76%	12.61%	6.69%	3.03%	15.54%	12.5%	5.90%	17.14%	10.27%	6.36%	7.75%	6.60%	12.68%	8.51%	5.44%	2.81%	7.07%	11.11%	17.91%	14.28%	20.27%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	469	33	12	19	10	22	33	17	22	8	7	17	5	8	9	7	1	0	9	13	3	1	3	7	1	3	4	13	3	6	5	8	14	5	0	0	2	23	2	0	13	2	3	2	10	11	19	9	8	6	3	2	4	3	1	7	11					
		2.46%	3.50%	2.30%	2.24%	2.01%	2.96%	4.29%	2.62%	3.08%	1.73%	3.43%	6.04%	2.97%	2.17%	5.62%	2.47%	2.94%	0.0%	1.44%	2.92%	2.12%	0.52%	1.11%	2.14%	0.46%	0.84%	1.95%	2.30%	1.06%	3.15%	1.70%	1.96%	6.08%	4.09%	0.0%	0.0%	0.54%	2.61%	0.83%	0.0%	2.29%	4.16%	1.18%	1.14%	5.40%	3.88%	4.75%	2.70%	3.90%	2.55%	1.48%	0.93%	1.88%	1.75%	1.49%	2.12%	1.68%					
37	"20. ""Политическая партия ""Единая Россия"""	5890	298	138	301	177	257	264	223	247	156	27	89	84	64	24	86	16	37	263	149	35	76	94	98	86	114	51	165	109	49	55	117	49	22	30	60	99	388	51	9	141	18	53	27	40	67	160	69	46	38	45	23	62	39	7	97	301					
		31.01%	31.63%	26.48%	35.62%	35.61%	34.68%	34.33%	34.41%	34.59%	33.76%	13.23%	31.67%	50.0%	17.43%	15.0%	30.38%	47.05%	36.27%	42.14%	33.55%	24.82%	39.79%	34.81%	30.06%	40.0%	32.02%	24.87%	29.20%	38.65%	25.78%	18.70%	28.74%	21.30%	18.03%	30.92%	33.14%	27.12%	44.09%	21.33%	9.09%	24.91%	37.5%	20.86%	15.42%	21.62%	23.67%	40.0%	20.72%	22.43%	16.17%	22.27%	10.79%	29.24%	22.80%	10.44%	29.48%	46.23%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	4	2	0	0	0	6	0	1	0	2	3	0	3	0	1	0	1	5	1	0	1	0	2	0	1	0	2	0	1	0	0	1	0	0	0	0	6	2	0	6	0	2	0	0	1	2	2	2	0	0	2	0	0	0	1	0					
		0.33%	0.42%	0.38%	0.0%	0.0%	0.0%	0.78%	0.0%	0.14%	0.0%	0.98%	1.06%	0.0%	0.81%	0.0%	0.35%	0.0%	0.98%	0.80%	0.22%	0.0%	0.52%	0.0%	0.61%	0.0%	0.28%	0.0%	0.35%	0.0%	0.52%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.68%	0.83%	0.0%	1.06%	0.0%	0.78%	0.0%	0.0%	0.35%	0.5%	0.60%	0.97%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.30%	0.0%					
39	"22. ""Развитие предпринимательства"""	49	2	1	0	1	3	0	1	0	3	3	2	1	1	1	2	0	0	0	2	0	0	3	0	2	4	0	2	1	0	0	2	0	1	1	0	1	1	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2					
		0.25%	0.21%	0.19%	0.0%	0.20%	0.40%	0.0%	0.15%	0.0%	0.64%	1.47%	0.71%	0.59%	0.27%	0.62%	0.70%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	1.11%	0.0%	0.93%	1.12%	0.0%	0.35%	0.35%	0.0%	0.0%	0.49%	0.0%	0.81%	1.03%	0.0%	0.27%	0.11%	0.0%	0.0%	0.53%	0.0%	0.39%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.30%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5375	201	129	177	129	142	168	143	194	155	73	74	24	187	71	62	4	19	118	108	67	37	63	135	39	97	78	103	34	61	118	107	57	28	39	66	158	173	91	64	198	13	144	90	72	103	98	150	88	93	75	151	84	64	25	103	31					
		28.30%	21.33%	24.76%	20.94%	25.95%	19.16%	21.84%	22.06%	27.17%	33.54%	35.78%	26.33%	14.28%	50.95%	44.37%	21.90%	11.76%	18.62%	18.91%	24.32%	47.51%	19.37%	23.33%	41.41%	18.13%	27.24%	38.04%	18.23%	12.05%	32.10%	40.13%	26.28%	24.78%	22.95%	40.20%	36.46%	43.28%	19.65%	38.07%	64.64%	34.98%	27.08%	56.69%	51.42%	38.91%	36.39%	24.5%	45.04%	42.92%	39.57%	37.12%	70.89%	39.62%	37.42%	37.31%	31.30%	4.76%					
																																																															
41	Против всех	656	40	26	35	18	27	24	26	26	13	5	4	3	8	6	11	0	0	22	10	4	0	12	16	2	18	11	16	9	7	3	15	12	5	2	7	13	30	4	0	12	0	4	3	4	15	22	14	2	18	7	3	3	5	1	11	42					
		3.45%	4.24%	4.99%	4.14%	3.62%	3.64%	3.12%	4.01%	3.64%	2.81%	2.45%	1.42%	1.78%	2.17%	3.75%	3.88%	0.0%	0.0%	3.52%	2.25%	2.83%	0.0%	4.44%	4.90%	0.93%	5.05%	5.36%	2.83%	3.19%	3.68%	1.02%	3.68%	5.21%	4.09%	2.06%	3.86%	3.56%	3.40%	1.67%	0.0%	2.12%	0.0%	1.57%	1.71%	2.16%	5.30%	5.5%	4.20%	0.97%	7.65%	3.46%	1.40%	1.41%	2.92%	1.49%	3.34%	6.45%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
