Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Марпосадская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	568	19	16	16	14	16	41	19	26	15	20	18	24	11	4	2	10	9	9	6	9	4	32	15	8	2	6	23	5	4	17	6	6	6	7	4	5	3	4	1	8	14	7	19	8	7	24	7	2	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	477	19	10	15	11	5	41	19	16	15	18	18	24	6	4	2	7	9	9	6	3	4	32	9	8	2	6	10	2	4	17	6	6	6	7	4	2	0	1	1	8	14	7	13	8	2	24	7	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	154	5	0	3	4	1	6	1	3	15	3	2	2	1	2	0	5	0	5	3	2	2	8	0	4	1	2	11	9	1	1	0	0	3	1	4	3	1	1	7	3	3	3	5	4	4	6	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	91	0	6	1	3	11	0	0	10	0	2	0	0	5	0	0	3	0	0	0	6	0	0	6	0	0	0	13	3	0	0	0	0	0	0	0	3	3	3	0	0	0	0	6	0	5	0	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	2	2	2	2	5	4	6	3	3	2	2	4	1	1	1	3	1	2	1	5	2	3	2	1	1	0	5	0	2	5	2	1	2	4	1	0	0	0	0	0	1	2	4	1	2	1	2	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	101	0	7	3	1	1	3	4	5	5	1	3	3	1	4	0	2	2	0	3	1	0	1	2	0	0	0	2	1	2	2	3	2	2	2	0	0	0	1	0	1	3	3	7	1	4	6	2	2	3									
		0.87%	0.00%	2.18%	0.90%	0.36%	0.31%	0.98%	1.40%	1.40%	1.34%	0.35%	0.95%	0.85%	0.39%	3.08%	0.00%	0.67%	0.88%	0.00%	1.69%	0.29%	0.00%	0.30%	1.40%	0.00%	0.00%	0.00%	0.33%	0.60%	1.23%	0.48%	3.61%	1.28%	1.36%	1.30%	0.00%	0.00%	0.00%	1.35%	0.00%	0.75%	0.78%	1.68%	1.34%	0.66%	2.09%	1.44%	1.67%	3.33%	1.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	283	10	6	11	10	12	6	10	9	13	8	10	5	6	1	1	13	1	5	3	5	2	9	6	1	0	4	14	1	1	13	1	9	2	5	3	2	0	1	1	1	11	5	13	8	4	12	4	2	3									
		2.43%	3.04%	1.87%	3.28%	3.64%	3.73%	1.96%	3.50%	2.53%	3.49%	2.77%	3.16%	1.42%	2.36%	0.77%	1.67%	4.38%	0.44%	1.72%	1.69%	1.44%	1.60%	2.67%	4.20%	0.37%	0.00%	2.52%	2.33%	0.60%	0.62%	3.15%	1.20%	5.77%	1.36%	3.25%	1.86%	1.26%	0.00%	1.35%	1.52%	0.75%	2.84%	2.79%	2.49%	5.26%	2.09%	2.88%	3.33%	3.33%	1.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	343	22	11	13	10	10	16	14	27	18	14	12	16	4	0	0	7	6	7	5	5	3	7	0	2	3	3	16	2	3	9	4	5	4	7	3	3	1	4	1	0	9	4	14	5	4	4	3	2	1									
		2.95%	6.69%	3.43%	3.88%	3.64%	3.11%	5.23%	4.90%	7.58%	4.83%	4.84%	3.80%	4.55%	1.57%	0.00%	0.00%	2.36%	2.65%	2.41%	2.81%	1.44%	2.40%	2.08%	0.00%	0.75%	3.70%	1.89%	2.66%	1.20%	1.85%	2.18%	4.82%	3.21%	2.72%	4.55%	1.86%	1.89%	0.98%	5.41%	1.52%	0.00%	2.33%	2.23%	2.68%	3.29%	2.09%	0.96%	2.50%	3.33%	0.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6612	125	146	138	116	150	131	119	146	165	126	170	176	160	89	39	178	133	211	112	269	92	237	92	217	63	104	342	132	109	206	55	94	88	87	130	108	70	36	53	111	230	102	284	81	88	243	47	25	187									
		56.79%	37.99%	45.48%	41.19%	42.18%	46.58%	42.81%	41.61%	41.01%	44.24%	43.60%	53.80%	50.00%	62.99%	68.46%	65.00%	59.93%	58.85%	72.76%	62.92%	77.52%	73.60%	70.33%	64.34%	81.27%	77.78%	65.41%	56.81%	79.04%	67.28%	49.88%	66.27%	60.26%	59.86%	56.49%	80.75%	67.92%	68.63%	48.65%	80.30%	83.46%	59.43%	56.98%	54.30%	53.29%	46.07%	58.41%	39.17%	41.67%	66.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	0	1	2	1	3	5	1	2	2	2	3	3	1	0	0	3	3	3	1	2	1	0	0	0	0	1	4	1	0	1	3	2	2	4	0	0	0	0	0	0	2	1	1	1	0	2	3	1	1									
		0.59%	0.00%	0.31%	0.60%	0.36%	0.93%	1.63%	0.35%	0.56%	0.54%	0.69%	0.95%	0.85%	0.39%	0.00%	0.00%	1.01%	1.33%	1.03%	0.56%	0.58%	0.80%	0.00%	0.00%	0.00%	0.00%	0.63%	0.66%	0.60%	0.00%	0.24%	3.61%	1.28%	1.36%	2.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.56%	0.19%	0.66%	0.00%	0.48%	2.50%	1.67%	0.36%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	0	1	1	1	1	0	1	0	2	0	3	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0									
		0.22%	0.00%	0.31%	0.30%	0.36%	0.31%	0.00%	0.35%	0.00%	0.54%	0.00%	0.95%	0.28%	0.39%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.65%	0.62%	0.63%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1243	56	42	51	39	43	47	28	57	64	47	45	46	13	8	4	19	22	23	19	27	13	31	12	12	5	13	60	9	16	60	5	10	13	20	9	13	12	12	1	4	41	17	49	14	18	30	12	14	18									
		10.68%	17.02%	13.08%	15.22%	14.18%	13.35%	15.36%	9.79%	16.01%	17.16%	16.26%	14.24%	13.07%	5.12%	6.15%	6.67%	6.40%	9.73%	7.93%	10.67%	7.78%	10.40%	9.20%	8.39%	4.49%	6.17%	8.18%	9.97%	5.39%	9.88%	14.53%	6.02%	6.41%	8.84%	12.99%	5.59%	8.18%	11.76%	16.22%	1.52%	3.01%	10.59%	9.50%	9.37%	9.21%	9.42%	7.21%	10.00%	23.33%	6.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	4	0	1	0	1	0	0	1	1	3	2	0	0	0	0	0	0	0	1	0	0	6	1	0	0	3	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	3	0	0	1	0	1	0									
		0.31%	1.22%	0.00%	0.30%	0.00%	0.31%	0.00%	0.00%	0.28%	0.27%	1.04%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	1.78%	0.70%	0.00%	0.00%	1.89%	0.17%	0.00%	0.00%	0.24%	0.00%	0.64%	0.68%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.75%	0.26%	0.00%	0.57%	0.00%	0.00%	0.24%	0.00%	1.67%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	1	4	2	2	2	0	0	2	0	0	0	2	1	0	0	0	1	2	1	1	1	0	2	1	1	1	5	2	2	1	0	1	0	2	0	0	0	0	0	0	2	1	2	0	0	3	1	0	0									
		0.42%	0.30%	1.25%	0.60%	0.73%	0.62%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.57%	0.39%	0.00%	0.00%	0.00%	0.44%	0.69%	0.56%	0.29%	0.80%	0.00%	1.40%	0.37%	1.23%	0.63%	0.83%	1.20%	1.23%	0.24%	0.00%	0.64%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.56%	0.38%	0.00%	0.00%	0.72%	0.83%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	1	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	2	0	0	1	0	2	2	0	0	0	3	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0									
		0.21%	0.30%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.28%	0.00%	0.00%	0.95%	0.00%	0.00%	0.77%	0.00%	0.00%	0.88%	0.00%	0.00%	0.29%	0.00%	0.59%	1.40%	0.00%	0.00%	0.00%	0.50%	0.60%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.52%	0.00%	0.83%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	3	3	3	2	3	1	3	6	1	4	2	0	0	1	3	2	2	0	0	0	0	2	1	1	0	1	8	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	2	0	1	3	2	1	2									
		0.59%	0.91%	0.93%	0.90%	0.73%	0.93%	0.33%	1.05%	1.69%	0.27%	1.38%	0.63%	0.00%	0.00%	0.77%	5.00%	0.67%	0.88%	0.00%	0.00%	0.00%	0.00%	0.59%	0.70%	0.37%	0.00%	0.63%	1.33%	0.00%	0.62%	0.24%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.75%	0.00%	0.56%	0.38%	0.00%	0.52%	0.72%	1.67%	1.67%	0.71%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1412	59	56	54	44	41	50	53	49	48	36	25	34	42	14	7	43	34	12	18	23	6	20	19	18	6	24	75	10	11	60	4	18	16	13	9	14	4	10	7	11	48	21	59	16	41	60	20	8	42									
		12.13%	17.93%	17.45%	16.12%	16.00%	12.73%	16.34%	18.53%	13.76%	12.87%	12.46%	7.91%	9.66%	16.54%	10.77%	11.67%	14.48%	15.04%	4.14%	10.11%	6.63%	4.80%	5.93%	13.29%	6.74%	7.41%	15.09%	12.46%	5.99%	6.79%	14.53%	4.82%	11.54%	10.88%	8.44%	5.59%	8.81%	3.92%	13.51%	10.61%	8.27%	12.40%	11.73%	11.28%	10.53%	21.47%	14.42%	16.67%	13.33%	14.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	2	1	1	1	2	1	1	1	2	0	2	2	0	1	1	1	3	0	1	2	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	3	1	1	0	2	0	1									
		0.38%	0.61%	0.31%	0.30%	0.36%	0.62%	0.33%	0.35%	0.28%	0.54%	0.00%	0.63%	0.57%	0.00%	0.77%	1.67%	0.34%	1.33%	0.00%	0.56%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.78%	0.00%	0.57%	0.66%	0.52%	0.00%	1.67%	0.00%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	911	35	30	41	31	33	32	37	36	40	40	28	58	11	3	1	14	5	17	13	10	5	13	0	6	1	2	39	3	7	32	8	8	9	12	6	13	11	8	0	3	26	14	66	21	24	33	8	3	15									
		7.83%	10.64%	9.35%	12.24%	11.27%	10.25%	10.46%	12.94%	10.11%	10.72%	13.84%	8.86%	16.48%	4.33%	2.31%	1.67%	4.71%	2.21%	5.86%	7.30%	2.88%	4.00%	3.86%	0.00%	2.25%	1.23%	1.26%	6.48%	1.80%	4.32%	7.75%	9.64%	5.13%	6.12%	7.79%	3.73%	8.18%	10.78%	10.81%	0.00%	2.26%	6.72%	7.82%	12.62%	13.82%	12.57%	7.93%	6.67%	5.00%	5.34%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
