Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1103	УИК №1128	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	778	5	4	4	5	3	4	2	2	4	4	4	16	15	14	7	18	12	22	11	22	7	9	17	12	8	6	8	9	16	12	15	21	10	15	5	9	2	10	12	13	5	12	8	13	2	6	8	20	11	6	9	7	15	8	7	13	17	21	13	12	12	6	12	18	10	29	6	9	13	13	9	7	4	5	5	0	6	0	7									
		1.78%	2.03%	1.53%	1.61%	1.40%	1.73%	1.57%	0.45%	0.56%	0.92%	1.33%	0.59%	2.05%	2.46%	1.44%	1.27%	2.14%	1.59%	2.09%	1.49%	2.45%	1.11%	1.24%	2.49%	1.47%	1.28%	1.13%	1.62%	1.23%	1.93%	3.17%	2.02%	2.80%	2.17%	2.68%	1.01%	1.81%	2.25%	2.75%	2.18%	3.13%	1.33%	1.93%	1.96%	1.92%	0.44%	1.37%	1.38%	2.58%	1.49%	0.90%	1.53%	0.92%	2.27%	1.94%	1.38%	1.99%	1.92%	2.72%	1.58%	1.61%	1.99%	1.07%	1.43%	2.99%	1.68%	2.43%	1.74%	1.52%	2.38%	2.31%	2.39%	1.64%	1.37%	1.21%	3.85%	0.00%	5.22%	0.00%	2.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1283	4	11	10	15	5	9	11	17	10	12	19	31	25	29	17	29	32	20	20	23	15	20	25	31	16	14	12	19	24	8	23	25	10	16	13	12	4	6	14	13	16	16	14	22	18	7	24	17	34	15	15	15	18	12	15	25	16	20	20	12	18	12	24	15	20	22	15	15	20	13	8	17	10	15	5	5	8	5	16									
		2.93%	1.63%	4.20%	4.03%	4.19%	2.89%	3.53%	2.47%	4.79%	2.29%	4.00%	2.81%	3.98%	4.10%	2.98%	3.08%	3.44%	4.24%	1.90%	2.72%	2.56%	2.38%	2.75%	3.65%	3.79%	2.56%	2.63%	2.43%	2.60%	2.89%	2.11%	3.10%	3.34%	2.17%	2.86%	2.64%	2.42%	4.49%	1.65%	2.54%	3.13%	4.27%	2.57%	3.42%	3.24%	3.96%	1.59%	4.15%	2.19%	4.62%	2.24%	2.55%	1.96%	2.73%	2.91%	2.95%	3.83%	1.81%	2.59%	2.42%	1.61%	2.99%	2.14%	2.86%	2.49%	3.35%	1.85%	4.36%	2.53%	3.66%	2.31%	2.12%	3.99%	3.42%	3.63%	3.85%	3.82%	6.96%	2.66%	4.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	809	8	2	5	4	3	3	7	2	8	7	6	18	10	13	10	15	7	19	19	16	10	11	13	28	12	9	12	7	14	7	11	6	12	15	3	9	0	8	17	10	5	15	8	5	8	10	18	14	20	12	11	5	0	7	9	15	18	14	21	15	13	11	12	14	14	14	4	17	13	14	10	7	5	8	6	7	9	2	3									
		1.85%	3.25%	0.76%	2.02%	1.12%	1.73%	1.18%	1.57%	0.56%	1.83%	2.33%	0.89%	2.31%	1.64%	1.33%	1.81%	1.78%	0.93%	1.81%	2.58%	1.78%	1.59%	1.51%	1.90%	3.42%	1.92%	1.69%	2.43%	0.96%	1.69%	1.85%	1.48%	0.80%	2.61%	2.68%	0.61%	1.81%	0.00%	2.20%	3.09%	2.41%	1.33%	2.41%	1.96%	0.74%	1.76%	2.28%	3.11%	1.80%	2.72%	1.79%	1.87%	0.65%	0.00%	1.70%	1.77%	2.30%	2.03%	1.81%	2.55%	2.01%	2.16%	1.96%	1.43%	2.33%	2.35%	1.17%	1.16%	2.87%	2.38%	2.49%	2.65%	1.64%	1.71%	1.94%	4.62%	5.34%	7.83%	1.06%	0.86%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13995	107	82	87	129	51	86	147	117	149	83	197	256	175	309	152	246	210	340	211	289	217	247	220	278	179	161	141	217	244	119	211	244	159	155	120	138	40	143	234	159	153	194	133	205	167	129	193	246	221	187	174	230	200	125	141	233	289	238	215	242	197	159	247	180	160	573	151	221	170	193	117	129	98	118	44	45	23	82	124									
		32.00%	43.50%	31.30%	35.08%	36.03%	29.48%	33.73%	32.96%	32.96%	34.17%	27.67%	29.19%	32.86%	28.69%	31.72%	27.54%	29.18%	27.81%	32.35%	28.67%	32.18%	34.50%	33.98%	32.16%	33.99%	28.64%	30.21%	28.54%	29.64%	29.40%	31.40%	28.48%	32.58%	34.57%	27.73%	24.34%	27.82%	44.94%	39.39%	42.47%	38.31%	40.80%	31.14%	32.52%	30.24%	36.70%	29.38%	33.39%	31.70%	30.03%	27.91%	29.54%	30.10%	30.30%	30.34%	27.76%	35.74%	32.62%	30.79%	26.06%	32.44%	32.67%	28.29%	29.47%	29.90%	26.80%	48.07%	43.90%	37.27%	31.08%	34.34%	31.03%	30.28%	33.56%	28.57%	33.85%	34.35%	20.00%	43.62%	35.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	426	2	4	2	3	1	3	3	2	5	2	4	6	7	7	3	10	16	10	11	10	6	6	5	15	10	3	3	17	11	2	4	5	1	3	7	5	0	3	4	3	5	4	3	7	4	1	6	6	4	6	11	8	2	2	2	6	12	6	12	7	9	9	6	10	14	9	2	6	1	6	4	3	1	3	1	1	0	3	0									
		0.97%	0.81%	1.53%	0.81%	0.84%	0.58%	1.18%	0.67%	0.56%	1.15%	0.67%	0.59%	0.77%	1.15%	0.72%	0.54%	1.19%	2.12%	0.95%	1.49%	1.11%	0.95%	0.83%	0.73%	1.83%	1.60%	0.56%	0.61%	2.32%	1.33%	0.53%	0.54%	0.67%	0.22%	0.54%	1.42%	1.01%	0.00%	0.83%	0.73%	0.72%	1.33%	0.64%	0.73%	1.03%	0.88%	0.23%	1.04%	0.77%	0.54%	0.90%	1.87%	1.05%	0.30%	0.49%	0.39%	0.92%	1.35%	0.78%	1.45%	0.94%	1.49%	1.60%	0.72%	1.66%	2.35%	0.76%	0.58%	1.01%	0.18%	1.07%	1.06%	0.70%	0.34%	0.73%	0.77%	0.76%	0.00%	1.60%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	54	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	3	3	0	0	0	1	2	1	2	1	1	2	2	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	2	0	2	2	3	0	0	2	2	0	0	1	0	0	3	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.31%	0.00%	0.24%	0.00%	0.29%	0.41%	0.00%	0.00%	0.00%	0.15%	0.24%	0.16%	0.38%	0.20%	0.14%	0.24%	0.53%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.48%	0.00%	0.00%	0.00%	0.29%	0.00%	0.46%	0.00%	0.00%	0.00%	0.15%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.13%	0.00%	0.36%	0.00%	0.33%	0.34%	0.25%	0.00%	0.00%	0.37%	0.36%	0.00%	0.00%	0.34%	0.00%	0.00%	2.29%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7755	54	64	55	88	43	65	106	107	112	62	123	114	99	172	103	123	111	153	101	151	80	103	122	119	102	65	63	115	130	52	117	132	85	102	112	129	19	68	99	85	74	133	62	98	114	134	141	128	145	164	125	149	118	85	90	81	107	90	99	110	80	73	157	82	93	209	74	111	120	86	84	92	59	76	29	19	22	46	91									
		17.73%	21.95%	24.43%	22.18%	24.58%	24.86%	25.49%	23.77%	30.14%	25.69%	20.67%	18.22%	14.63%	16.23%	17.66%	18.66%	14.59%	14.70%	14.56%	13.72%	16.82%	12.72%	14.17%	17.84%	14.55%	16.32%	12.20%	12.75%	15.71%	15.66%	13.72%	15.79%	17.62%	18.48%	18.25%	22.72%	26.01%	21.35%	18.73%	17.97%	20.48%	19.73%	21.35%	15.16%	14.45%	25.05%	30.52%	24.39%	16.49%	19.70%	24.48%	21.22%	19.50%	17.88%	20.63%	17.72%	12.42%	12.08%	11.64%	12.00%	14.75%	13.27%	12.99%	18.74%	13.62%	15.58%	17.53%	21.51%	18.72%	21.94%	15.30%	22.28%	21.60%	20.21%	18.40%	22.31%	14.50%	19.13%	24.47%	26.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	382	1	2	1	3	0	1	4	1	3	6	6	6	5	8	4	7	7	4	7	12	8	5	6	13	10	5	7	10	8	14	8	6	4	5	3	3	0	3	1	0	1	2	3	7	3	3	7	4	6	6	3	6	0	0	2	6	9	7	18	8	3	8	11	6	9	8	0	1	0	16	1	3	2	1	1	1	1	1	1									
		0.87%	0.41%	0.76%	0.40%	0.84%	0.00%	0.39%	0.90%	0.28%	0.69%	2.00%	0.89%	0.77%	0.82%	0.82%	0.72%	0.83%	0.93%	0.38%	0.95%	1.34%	1.27%	0.69%	0.88%	1.59%	1.60%	0.94%	1.42%	1.37%	0.96%	3.69%	1.08%	0.80%	0.87%	0.89%	0.61%	0.60%	0.00%	0.83%	0.18%	0.00%	0.27%	0.32%	0.73%	1.03%	0.66%	0.68%	1.21%	0.52%	0.82%	0.90%	0.51%	0.79%	0.00%	0.00%	0.39%	0.92%	1.02%	0.91%	2.18%	1.07%	0.50%	1.42%	1.31%	0.99%	1.51%	0.67%	0.00%	0.17%	0.00%	2.85%	0.27%	0.70%	0.68%	0.24%	0.77%	0.76%	0.87%	0.53%	0.29%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	489	3	3	2	4	3	3	3	0	0	4	4	8	7	13	5	6	5	20	5	14	8	6	4	10	12	9	4	10	11	5	3	12	1	4	3	3	0	8	3	8	6	4	5	5	5	5	0	11	12	11	8	0	3	1	0	8	17	9	16	12	8	15	15	7	18	11	3	1	2	10	9	6	3	1	0	1	0	4	1									
		1.12%	1.22%	1.15%	0.81%	1.12%	1.73%	1.18%	0.67%	0.00%	0.00%	1.33%	0.59%	1.03%	1.15%	1.33%	0.91%	0.71%	0.66%	1.90%	0.68%	1.56%	1.27%	0.83%	0.58%	1.22%	1.92%	1.69%	0.81%	1.37%	1.33%	1.32%	0.40%	1.60%	0.22%	0.72%	0.61%	0.60%	0.00%	2.20%	0.54%	1.93%	1.60%	0.64%	1.22%	0.74%	1.10%	1.14%	0.00%	1.42%	1.63%	1.64%	1.36%	0.00%	0.45%	0.24%	0.00%	1.23%	1.92%	1.16%	1.94%	1.61%	1.33%	2.67%	1.79%	1.16%	3.02%	0.92%	0.87%	0.17%	0.37%	1.78%	2.39%	1.41%	1.03%	0.24%	0.00%	0.76%	0.00%	2.13%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	0	0	0	0	2	0	1	1	0	2	1	0	2	1	2	2	2	2	1	1	1	2	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.28%	0.23%	0.00%	0.30%	0.13%	0.00%	0.21%	0.18%	0.24%	0.26%	0.19%	0.27%	0.11%	0.16%	0.14%	0.29%	0.00%	0.16%	0.00%	0.00%	0.14%	0.00%	0.00%	0.13%	0.00%	0.22%	0.00%	0.20%	0.20%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.24%	0.15%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.34%	0.00%	0.15%	0.00%	0.00%	0.15%	0.00%	0.13%	0.00%	0.00%	0.17%	0.00%	0.12%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.18%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	811	3	2	8	5	3	2	4	2	0	2	5	11	12	22	8	13	19	32	20	17	10	20	16	16	23	10	15	21	22	11	16	15	4	4	5	8	0	17	3	6	2	8	4	11	1	5	6	5	5	7	4	9	7	9	4	15	23	21	22	36	32	20	11	18	24	14	2	5	3	22	4	5	5	4	0	1	0	3	2									
		1.85%	1.22%	0.76%	3.23%	1.40%	1.73%	0.78%	0.90%	0.56%	0.00%	0.67%	0.74%	1.41%	1.97%	2.26%	1.45%	1.54%	2.52%	3.04%	2.72%	1.89%	1.59%	2.75%	2.34%	1.96%	3.68%	1.88%	3.04%	2.87%	2.65%	2.90%	2.16%	2.00%	0.87%	0.72%	1.01%	1.61%	0.00%	4.68%	0.54%	1.45%	0.53%	1.28%	0.98%	1.62%	0.22%	1.14%	1.04%	0.64%	0.68%	1.04%	0.68%	1.18%	1.06%	2.18%	0.79%	2.30%	2.60%	2.72%	2.67%	4.83%	5.31%	3.56%	1.31%	2.99%	4.02%	1.17%	0.58%	0.84%	0.55%	3.91%	1.06%	1.17%	1.71%	0.97%	0.00%	0.76%	0.00%	1.60%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7530	32	35	36	51	25	35	71	51	79	54	115	123	108	187	93	131	151	173	174	122	129	114	114	128	118	122	95	126	163	83	143	108	76	105	78	65	9	52	78	66	58	95	68	105	70	53	86	111	130	125	81	154	128	75	89	116	182	161	205	146	107	103	158	116	118	156	44	104	89	86	65	66	54	65	16	25	24	22	56									
		17.22%	13.01%	13.36%	14.52%	14.25%	14.45%	13.73%	15.92%	14.37%	18.12%	18.00%	17.04%	15.79%	17.70%	19.20%	16.85%	15.54%	20.00%	16.46%	23.64%	13.59%	20.51%	15.68%	16.67%	15.65%	18.88%	22.89%	19.23%	17.21%	19.64%	21.90%	19.30%	14.42%	16.52%	18.78%	15.82%	13.10%	10.11%	14.33%	14.16%	15.90%	15.47%	15.25%	16.63%	15.49%	15.38%	12.07%	14.88%	14.30%	17.66%	18.66%	13.75%	20.16%	19.39%	18.20%	17.52%	17.79%	20.54%	20.83%	24.85%	19.57%	17.74%	18.33%	18.85%	19.27%	19.77%	13.09%	12.79%	17.54%	16.27%	15.30%	17.24%	15.49%	18.49%	15.74%	12.31%	19.08%	20.87%	11.70%	16.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	233	0	1	1	2	0	1	2	3	0	0	5	5	2	5	3	5	6	3	5	7	3	1	5	4	5	1	4	5	3	4	7	3	3	0	3	3	0	4	5	0	3	3	2	5	2	5	2	6	0	2	4	3	1	0	8	6	6	5	8	1	3	4	5	4	1	13	1	3	0	2	2	0	2	1	0	1	0	0	0									
		0.53%	0.00%	0.38%	0.40%	0.56%	0.00%	0.39%	0.45%	0.85%	0.00%	0.00%	0.74%	0.64%	0.33%	0.51%	0.54%	0.59%	0.79%	0.29%	0.68%	0.78%	0.48%	0.14%	0.73%	0.49%	0.80%	0.19%	0.81%	0.68%	0.36%	1.06%	0.94%	0.40%	0.65%	0.00%	0.61%	0.60%	0.00%	1.10%	0.91%	0.00%	0.80%	0.48%	0.49%	0.74%	0.44%	1.14%	0.35%	0.77%	0.00%	0.30%	0.68%	0.39%	0.15%	0.00%	1.57%	0.92%	0.68%	0.65%	0.97%	0.13%	0.50%	0.71%	0.60%	0.66%	0.17%	1.09%	0.29%	0.51%	0.00%	0.36%	0.53%	0.00%	0.68%	0.24%	0.00%	0.76%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8499	25	46	32	44	34	38	74	44	52	59	174	176	134	180	139	231	168	238	135	207	129	169	128	146	119	122	122	167	170	53	169	158	88	127	135	108	13	38	70	45	44	123	95	183	57	70	79	190	135	117	132	171	161	76	130	119	184	171	165	130	117	128	161	116	96	115	32	92	110	89	59	77	44	110	22	19	16	19	39									
		19.43%	10.16%	17.56%	12.90%	12.29%	19.65%	14.90%	16.59%	12.39%	11.93%	19.67%	25.78%	22.59%	21.97%	18.48%	25.18%	27.40%	22.25%	22.65%	18.34%	23.05%	20.51%	23.25%	18.71%	17.85%	19.04%	22.89%	24.70%	22.81%	20.48%	13.98%	22.81%	21.09%	19.13%	22.72%	27.38%	21.77%	14.61%	10.47%	12.70%	10.84%	11.73%	19.74%	23.23%	26.99%	12.53%	15.95%	13.67%	24.48%	18.34%	17.46%	22.41%	22.38%	24.39%	18.45%	25.59%	18.25%	20.77%	22.12%	20.00%	17.43%	19.40%	22.78%	19.21%	19.27%	16.08%	9.65%	9.30%	15.51%	20.11%	15.84%	15.65%	18.08%	15.07%	26.63%	16.92%	14.50%	13.91%	10.11%	11.24%									
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
