Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Ростов-на-Дону, Октябрьская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №2305	УИК №2625	УИК №2630									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	505	4	6	0	12	20	4	9	17	8	15	10	28	12	5	8	11	14	16	9	4	5	7	11	6	16	4	0	0	10	8	15	4	5	5	10	7	6	8	8	16	5	4	10	5	9	8	15	10	23	16	25	0	3	9									
		1.10%	1.17%	0.78%	0.00%	1.98%	1.89%	0.27%	1.37%	1.56%	1.10%	1.72%	1.38%	2.27%	1.27%	0.94%	1.21%	1.62%	1.35%	2.11%	1.14%	0.53%	0.67%	1.14%	1.35%	0.79%	2.01%	0.44%	0.00%	0.00%	1.14%	1.10%	2.16%	1.14%	0.73%	1.17%	1.55%	0.98%	0.40%	1.02%	0.95%	1.26%	0.60%	0.55%	1.48%	0.51%	0.75%	0.63%	1.50%	0.69%	1.54%	1.26%	1.81%	0.00%	0.72%	1.01%									
24	"6. Политическая партия ""Гражданская Платформа"""	117	0	3	0	2	4	1	1	1	5	4	10	2	4	2	3	0	0	3	0	0	2	1	2	2	3	0	0	0	2	2	2	0	1	1	1	0	3	0	1	6	2	1	3	4	3	0	1	6	4	2	14	1	0	2									
		0.26%	0.00%	0.39%	0.00%	0.33%	0.38%	0.07%	0.15%	0.09%	0.68%	0.46%	1.38%	0.16%	0.42%	0.38%	0.45%	0.00%	0.00%	0.40%	0.00%	0.00%	0.27%	0.16%	0.25%	0.26%	0.38%	0.00%	0.00%	0.00%	0.23%	0.27%	0.29%	0.00%	0.15%	0.23%	0.16%	0.00%	0.20%	0.00%	0.12%	0.47%	0.24%	0.14%	0.44%	0.41%	0.25%	0.00%	0.10%	0.42%	0.27%	0.16%	1.01%	0.34%	0.00%	0.22%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5715	49	76	32	57	149	219	89	203	79	84	111	180	103	115	95	74	86	79	96	105	116	54	108	110	126	69	40	93	161	107	121	62	75	63	80	72	60	103	84	217	115	106	114	152	57	111	140	121	187	213	52	58	76	211									
		12.48%	14.37%	9.84%	4.32%	9.42%	14.06%	15.03%	13.53%	18.62%	10.82%	9.61%	15.35%	14.60%	10.88%	21.66%	14.39%	10.88%	8.32%	10.42%	12.14%	14.02%	15.51%	8.77%	13.24%	14.40%	15.85%	7.52%	6.49%	13.94%	18.34%	14.68%	17.41%	17.66%	10.95%	14.79%	12.42%	10.06%	4.02%	13.12%	9.93%	17.05%	13.79%	14.50%	16.89%	15.49%	4.75%	8.80%	14.04%	8.37%	12.49%	16.73%	3.75%	19.59%	18.36%	23.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	524	1	18	0	15	24	13	4	9	10	22	13	26	15	9	16	6	19	12	7	8	9	3	8	15	14	9	0	0	13	8	4	2	4	2	5	4	10	5	9	17	15	5	7	2	11	7	13	8	25	7	13	3	9	11									
		1.14%	0.29%	2.33%	0.00%	2.48%	2.26%	0.89%	0.61%	0.83%	1.37%	2.52%	1.80%	2.11%	1.58%	1.69%	2.42%	0.88%	1.84%	1.58%	0.88%	1.07%	1.20%	0.49%	0.98%	1.96%	1.76%	0.98%	0.00%	0.00%	1.48%	1.10%	0.58%	0.57%	0.58%	0.47%	0.78%	0.56%	0.67%	0.64%	1.06%	1.34%	1.80%	0.68%	1.04%	0.20%	0.92%	0.56%	1.30%	0.55%	1.67%	0.55%	0.94%	1.01%	2.17%	1.23%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	819	7	10	0	22	25	23	21	19	15	41	26	37	16	10	14	17	16	12	10	19	13	11	18	27	23	9	1	0	13	17	14	9	10	8	11	6	18	16	17	12	17	15	9	9	14	6	25	15	37	21	12	3	8	15									
		1.79%	2.05%	1.30%	0.00%	3.64%	2.36%	1.58%	3.19%	1.74%	2.05%	4.69%	3.60%	3.00%	1.69%	1.88%	2.12%	2.50%	1.55%	1.58%	1.26%	2.54%	1.74%	1.79%	2.21%	3.53%	2.89%	0.98%	0.16%	0.00%	1.48%	2.33%	2.01%	2.56%	1.46%	1.88%	1.71%	0.84%	1.20%	2.04%	2.01%	0.94%	2.04%	2.05%	1.33%	0.92%	1.17%	0.48%	2.51%	1.04%	2.47%	1.65%	0.87%	1.01%	1.93%	1.68%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	77	3	1	0	0	2	1	1	0	0	0	2	2	0	0	1	0	1	1	2	3	0	0	1	2	1	0	0	0	0	0	1	4	2	1	2	1	5	0	0	1	2	2	1	0	1	0	2	10	0	0	17	0	0	1									
		0.17%	0.88%	0.13%	0.00%	0.00%	0.19%	0.07%	0.15%	0.00%	0.00%	0.00%	0.28%	0.16%	0.00%	0.00%	0.15%	0.00%	0.10%	0.13%	0.25%	0.40%	0.00%	0.00%	0.12%	0.26%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	1.14%	0.29%	0.23%	0.31%	0.14%	0.33%	0.00%	0.00%	0.08%	0.24%	0.27%	0.15%	0.00%	0.08%	0.00%	0.20%	0.69%	0.00%	0.00%	1.23%	0.00%	0.00%	0.11%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1233	11	47	0	26	43	40	32	43	33	43	27	61	39	9	33	25	28	21	13	39	12	17	12	24	38	22	4	0	31	27	13	21	17	7	8	8	20	18	25	12	27	10	16	7	17	15	31	36	41	30	25	2	15	12									
		2.69%	3.23%	6.09%	0.00%	4.30%	4.06%	2.75%	4.86%	3.94%	4.52%	4.92%	3.73%	4.95%	4.12%	1.69%	5.00%	3.68%	2.71%	2.77%	1.64%	5.21%	1.60%	2.76%	1.47%	3.14%	4.78%	2.40%	0.65%	0.00%	3.53%	3.70%	1.87%	5.98%	2.48%	1.64%	1.24%	1.12%	1.34%	2.29%	2.96%	0.94%	3.24%	1.37%	2.37%	0.71%	1.42%	1.19%	3.11%	2.49%	2.74%	2.36%	1.81%	0.68%	3.62%	1.34%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7444	37	122	153	131	189	258	124	157	102	149	85	202	177	99	73	108	237	124	116	154	138	75	151	121	116	187	89	109	154	123	80	45	91	87	116	150	166	140	195	145	156	166	155	235	129	100	160	149	230	202	285	5	69	128									
		16.26%	10.85%	15.80%	20.65%	21.65%	17.83%	17.71%	18.84%	14.40%	13.97%	17.05%	11.76%	16.38%	18.69%	18.64%	11.06%	15.88%	22.92%	16.36%	14.66%	20.56%	18.45%	12.18%	18.50%	15.84%	14.59%	20.37%	14.45%	16.34%	17.54%	16.87%	11.51%	12.82%	13.28%	20.42%	18.01%	20.95%	11.11%	17.83%	23.05%	11.39%	18.71%	22.71%	22.96%	23.96%	10.75%	7.93%	16.05%	10.31%	15.36%	15.87%	20.58%	1.69%	16.67%	14.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	174	1	2	0	3	2	2	2	2	2	2	3	4	2	5	3	3	0	1	2	3	6	2	4	0	3	5	0	0	4	2	5	1	2	0	2	3	3	0	3	4	2	0	5	8	5	1	8	19	3	8	15	1	3	3									
		0.38%	0.29%	0.26%	0.00%	0.50%	0.19%	0.14%	0.30%	0.18%	0.27%	0.23%	0.41%	0.32%	0.21%	0.94%	0.45%	0.44%	0.00%	0.13%	0.25%	0.40%	0.80%	0.32%	0.49%	0.00%	0.38%	0.54%	0.00%	0.00%	0.46%	0.27%	0.72%	0.28%	0.29%	0.00%	0.31%	0.42%	0.20%	0.00%	0.35%	0.31%	0.24%	0.00%	0.74%	0.82%	0.42%	0.08%	0.80%	1.31%	0.20%	0.63%	1.08%	0.34%	0.72%	0.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2912	7	50	130	45	66	173	39	51	51	76	25	66	55	27	31	25	53	59	31	49	38	31	41	50	42	110	22	133	75	64	42	17	30	24	36	42	38	37	69	49	37	54	50	35	36	84	52	133	64	62	131	6	23	46									
		6.36%	2.05%	6.48%	17.54%	7.44%	6.23%	11.87%	5.93%	4.68%	6.99%	8.70%	3.46%	5.35%	5.81%	5.08%	4.70%	3.68%	5.13%	7.78%	3.92%	6.54%	5.08%	5.03%	5.02%	6.54%	5.28%	11.98%	3.57%	19.94%	8.54%	8.78%	6.04%	4.84%	4.38%	5.63%	5.59%	5.87%	2.54%	4.71%	8.16%	3.85%	4.44%	7.39%	7.41%	3.57%	3.00%	6.66%	5.22%	9.20%	4.28%	4.87%	9.46%	2.03%	5.56%	5.15%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
