Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Ашинская городская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №2290									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	3	0	1	1	3	2	1	0	2	3	0	6	0	2	4	0	3	3	1	5	0	0	1	1	3	2	5	2	1	4	0	0	0	1	0	0	1	2	1	1	2	2	1	0	5	2	1	0	0	0	1	2	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	271	9	4	8	5	4	6	7	11	6	14	6	2	0	7	4	6	8	8	5	14	0	0	4	4	2	7	3	9	3	8	7	16	7	3	4	13	7	6	1	8	3	2	0	3	2	3	0	1	0	0	2	6	1	0	2									
		1.34%	1.60%	1.15%	1.44%	0.88%	1.09%	0.99%	1.11%	1.54%	1.26%	1.71%	1.83%	0.56%	0.00%	1.41%	1.42%	1.23%	1.39%	1.92%	1.42%	1.57%	0.00%	0.00%	1.33%	0.99%	0.43%	1.52%	0.87%	2.14%	1.05%	1.67%	3.40%	2.99%	1.61%	2.80%	0.81%	2.58%	2.19%	1.08%	0.27%	2.14%	0.89%	0.98%	0.00%	0.98%	0.38%	1.43%	0.00%	2.44%	0.00%	0.00%	2.17%	1.39%	1.32%	0.00%	1.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	512	12	5	6	11	5	20	13	8	10	14	8	8	6	11	3	6	12	13	12	24	3	0	9	15	14	13	10	17	8	22	2	16	13	4	20	16	4	13	18	15	14	9	2	6	12	1	0	1	1	5	4	5	9	1	3									
		2.54%	2.13%	1.44%	1.08%	1.93%	1.36%	3.28%	2.06%	1.12%	2.09%	1.71%	2.44%	2.23%	3.19%	2.21%	1.07%	1.23%	2.08%	3.12%	3.40%	2.69%	2.59%	0.00%	3.00%	3.73%	3.00%	2.81%	2.89%	4.04%	2.79%	4.60%	0.97%	2.99%	2.98%	3.74%	4.07%	3.17%	1.25%	2.35%	4.95%	4.02%	4.15%	4.39%	2.00%	1.95%	2.28%	0.48%	0.00%	2.44%	2.22%	5.05%	4.35%	1.16%	11.84%	1.14%	1.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	596	13	12	12	20	12	17	10	26	14	29	5	2	6	10	5	14	9	12	6	20	5	2	4	16	16	21	16	16	13	13	6	26	22	3	24	36	9	18	4	9	8	3	3	9	14	5	0	0	0	3	4	10	3	0	1									
		2.96%	2.30%	3.46%	2.17%	3.51%	3.27%	2.79%	1.59%	3.63%	2.93%	3.53%	1.52%	0.56%	3.19%	2.01%	1.78%	2.87%	1.56%	2.88%	1.70%	2.24%	4.31%	1.07%	1.33%	3.98%	3.43%	4.55%	4.62%	3.80%	4.53%	2.72%	2.91%	4.86%	5.05%	2.80%	4.89%	7.14%	2.82%	3.25%	1.10%	2.41%	2.37%	1.46%	3.00%	2.93%	2.66%	2.38%	0.00%	0.00%	0.00%	3.03%	4.35%	2.31%	3.95%	0.00%	0.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8609	253	145	248	251	154	256	257	305	187	356	141	168	87	216	133	231	234	139	109	342	49	74	145	157	200	202	147	172	116	210	89	223	192	53	199	186	141	235	176	138	131	83	43	114	249	133	34	27	27	51	46	209	34	50	62									
		42.70%	44.86%	41.79%	44.77%	44.11%	41.96%	42.04%	40.79%	42.60%	39.12%	43.36%	42.99%	46.80%	46.28%	43.37%	47.33%	47.34%	40.63%	33.33%	30.88%	38.38%	42.24%	39.57%	48.33%	39.05%	42.92%	43.72%	42.49%	40.86%	40.42%	43.93%	43.20%	41.68%	44.04%	49.53%	40.53%	36.90%	44.20%	42.42%	48.35%	36.99%	38.87%	40.49%	43.00%	37.13%	47.34%	63.33%	53.97%	65.85%	60.00%	51.52%	50.00%	48.38%	44.74%	56.82%	40.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	125	4	2	9	3	5	6	6	5	6	10	2	1	1	7	2	0	2	3	1	3	1	0	1	2	1	0	1	1	0	1	2	6	8	1	2	0	0	1	0	5	3	0	0	1	1	2	0	2	0	0	0	3	0	0	2									
		0.62%	0.71%	0.58%	1.62%	0.53%	1.36%	0.99%	0.95%	0.70%	1.26%	1.22%	0.61%	0.28%	0.53%	1.41%	0.71%	0.00%	0.35%	0.72%	0.28%	0.34%	0.86%	0.00%	0.33%	0.50%	0.21%	0.00%	0.29%	0.24%	0.00%	0.21%	0.97%	1.12%	1.83%	0.93%	0.41%	0.00%	0.00%	0.18%	0.00%	1.34%	0.89%	0.00%	0.00%	0.33%	0.19%	0.95%	0.00%	4.88%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.32%									
24	"6. Политическая партия ""Гражданская Платформа"""	55	3	1	0	0	0	1	4	3	1	1	1	1	0	4	0	1	1	0	2	5	0	0	0	0	0	3	2	2	0	4	0	1	1	1	0	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	2	0	0	3									
		0.27%	0.53%	0.29%	0.00%	0.00%	0.00%	0.16%	0.63%	0.42%	0.21%	0.12%	0.30%	0.28%	0.00%	0.80%	0.00%	0.20%	0.17%	0.00%	0.57%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.58%	0.48%	0.00%	0.84%	0.00%	0.19%	0.23%	0.93%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.19%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	1.97%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4003	100	58	110	83	72	132	110	115	86	117	74	93	47	144	75	134	164	108	88	174	33	48	78	51	81	74	53	57	49	94	42	68	61	18	69	78	86	111	75	82	102	56	26	75	92	32	12	9	7	20	15	98	16	15	36									
		19.86%	17.73%	16.71%	19.86%	14.59%	19.62%	21.67%	17.46%	16.06%	17.99%	14.25%	22.56%	25.91%	25.00%	28.92%	26.69%	27.46%	28.47%	25.90%	24.93%	19.53%	28.45%	25.67%	26.00%	12.69%	17.38%	16.02%	15.32%	13.54%	17.07%	19.67%	20.39%	12.71%	13.99%	16.82%	14.05%	15.48%	26.96%	20.04%	20.60%	21.98%	30.27%	27.32%	26.00%	24.43%	17.49%	15.24%	19.05%	21.95%	15.56%	20.20%	16.30%	22.69%	21.05%	17.05%	23.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	138	3	0	9	10	3	4	7	2	1	6	0	2	2	4	0	3	3	2	1	1	1	1	3	1	2	0	0	6	2	2	1	4	3	0	2	7	1	6	6	2	0	3	1	3	6	1	0	0	1	0	1	1	0	1	7									
		0.68%	0.53%	0.00%	1.62%	1.76%	0.82%	0.66%	1.11%	0.28%	0.21%	0.73%	0.00%	0.56%	1.06%	0.80%	0.00%	0.61%	0.52%	0.48%	0.28%	0.11%	0.86%	0.53%	1.00%	0.25%	0.43%	0.00%	0.00%	1.43%	0.70%	0.42%	0.49%	0.75%	0.69%	0.00%	0.41%	1.39%	0.31%	1.08%	1.65%	0.54%	0.00%	1.46%	1.00%	0.98%	1.14%	0.48%	0.00%	0.00%	2.22%	0.00%	1.09%	0.23%	0.00%	1.14%	4.61%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	174	7	4	6	6	7	8	7	10	5	10	2	4	0	5	3	2	5	4	6	8	1	0	2	2	2	3	2	4	1	1	1	5	2	0	7	1	6	4	0	0	0	1	0	3	0	0	0	0	0	5	0	8	0	1	3									
		0.86%	1.24%	1.15%	1.08%	1.05%	1.91%	1.31%	1.11%	1.40%	1.05%	1.22%	0.61%	1.11%	0.00%	1.00%	1.07%	0.41%	0.87%	0.96%	1.70%	0.90%	0.86%	0.00%	0.67%	0.50%	0.43%	0.65%	0.58%	0.95%	0.35%	0.21%	0.49%	0.93%	0.46%	0.00%	1.43%	0.20%	1.88%	0.72%	0.00%	0.00%	0.00%	0.49%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	5.05%	0.00%	1.85%	0.00%	1.14%	1.97%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	2	2	1	3	1	1	2	0	0	0	0	0	1	0	1	3	1	2	0	2	1	1	0	4	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	1	1									
		0.21%	0.35%	0.58%	0.18%	0.53%	0.27%	0.16%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.36%	0.61%	0.17%	0.48%	0.00%	0.22%	0.86%	0.53%	0.00%	0.99%	0.21%	0.22%	0.29%	0.24%	0.35%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.33%	0.38%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.66%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	258	18	6	8	13	2	8	14	8	8	13	6	4	1	9	1	1	8	5	3	7	0	3	1	1	3	5	3	8	3	3	3	5	7	3	4	5	3	8	6	2	4	5	2	6	8	3	2	0	0	1	0	3	1	2	2									
		1.28%	3.19%	1.73%	1.44%	2.28%	0.54%	1.31%	2.22%	1.12%	1.67%	1.58%	1.83%	1.11%	0.53%	1.81%	0.36%	0.20%	1.39%	1.20%	0.85%	0.79%	0.00%	1.60%	0.33%	0.25%	0.64%	1.08%	0.87%	1.90%	1.05%	0.63%	1.46%	0.93%	1.61%	2.80%	0.81%	0.99%	0.94%	1.44%	1.65%	0.54%	1.19%	2.44%	2.00%	1.95%	1.52%	1.43%	3.17%	0.00%	0.00%	1.01%	0.00%	0.69%	1.32%	2.27%	1.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2636	60	35	60	74	34	63	73	84	69	90	37	34	24	33	29	39	54	50	49	84	12	16	25	91	84	99	85	85	65	74	27	96	72	10	97	83	27	83	46	62	44	21	11	48	75	12	12	1	6	9	7	37	8	12	19									
		13.07%	10.64%	10.09%	10.83%	13.01%	9.26%	10.34%	11.59%	11.73%	14.44%	10.96%	11.28%	9.47%	12.77%	6.63%	10.32%	7.99%	9.38%	11.99%	13.88%	9.43%	10.34%	8.56%	8.33%	22.64%	18.03%	21.43%	24.57%	20.19%	22.65%	15.48%	13.11%	17.94%	16.51%	9.35%	19.76%	16.47%	8.46%	14.98%	12.64%	16.62%	13.06%	10.24%	11.00%	15.64%	14.26%	5.71%	19.05%	2.44%	13.33%	9.09%	7.61%	8.56%	10.53%	13.64%	12.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	109	3	1	2	1	1	3	6	7	2	11	6	4	1	2	2	3	4	2	1	5	0	1	0	1	0	1	5	0	0	3	4	3	2	0	1	0	1	5	0	2	2	1	1	3	2	0	0	0	0	0	1	3	0	0	0									
		0.54%	0.53%	0.29%	0.36%	0.18%	0.27%	0.49%	0.95%	0.98%	0.42%	1.34%	1.83%	1.11%	0.53%	0.40%	0.71%	0.61%	0.69%	0.48%	0.28%	0.56%	0.00%	0.53%	0.00%	0.25%	0.00%	0.22%	1.45%	0.00%	0.00%	0.63%	1.94%	0.56%	0.46%	0.00%	0.20%	0.00%	0.31%	0.90%	0.00%	0.54%	0.59%	0.49%	1.00%	0.98%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.69%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1925	61	54	62	74	52	70	87	105	65	110	28	25	10	25	12	29	41	51	58	168	8	27	23	40	39	22	12	28	17	23	12	54	32	7	43	64	22	56	28	30	22	10	5	20	29	6	0	0	1	1	11	38	0	2	6									
		9.55%	10.82%	15.56%	11.19%	13.01%	14.17%	11.49%	13.81%	14.66%	13.60%	13.40%	8.54%	6.96%	5.32%	5.02%	4.27%	5.94%	7.12%	12.23%	16.43%	18.86%	6.90%	14.44%	7.67%	9.95%	8.37%	4.76%	3.47%	6.65%	5.92%	4.81%	5.83%	10.09%	7.34%	6.54%	8.76%	12.70%	6.90%	10.11%	7.69%	8.04%	6.53%	4.88%	5.00%	6.51%	5.51%	2.86%	0.00%	0.00%	2.22%	1.01%	11.96%	8.80%	0.00%	2.27%	3.95%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
