Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Рамешковская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853					
		1.02%	1.03%	0.55%	0.58%	0.66%	0.68%	2.15%	0.0%	0.84%	0.0%	0.0%	1.40%	0.96%	0.57%	0.36%	1.09%	0.43%	1.02%	0.0%	0.69%	0.0%	4.11%	1.37%	1.62%					
23	"6. ""Объединенная Российская партия ""Русь"""	34	0	1	3	2	1	4	0	0	0	1	0	2	1	1	0	2	4	1	0	0	4	7	0					
		0.45%	0.0%	0.55%	0.87%	0.44%	0.68%	1.43%	0.0%	0.0%	0.0%	0.56%	0.0%	0.27%	0.28%	0.36%	0.0%	0.43%	2.04%	0.93%	0.0%	0.0%	2.35%	0.53%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	1	0	3	2	1	2	2	5	0	0	0	4	1	3	1	1	4	1	1	1	2	17	11					
		0.83%	0.34%	0.0%	0.87%	0.44%	0.68%	0.71%	1.31%	2.10%	0.0%	0.0%	0.0%	0.54%	0.28%	1.09%	0.54%	0.21%	2.04%	0.93%	0.69%	0.73%	1.17%	1.29%	1.37%					
25	"8. ""Народно-республиканская партия России"""	21	0	0	0	4	1	3	2	0	2	1	1	1	0	0	0	2	0	0	0	0	0	4	0					
		0.27%	0.0%	0.0%	0.0%	0.88%	0.68%	1.07%	1.31%	0.0%	1.36%	0.56%	0.35%	0.13%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	0	2	1	2	1	1	1	1	2	0	3	1	1	2	0	0	1	2	0	0	0	4	0					
		0.33%	0.0%	1.11%	0.29%	0.44%	0.68%	0.35%	0.65%	0.42%	1.36%	0.0%	1.05%	0.13%	0.28%	0.73%	0.0%	0.0%	0.51%	1.86%	0.0%	0.0%	0.0%	0.30%	0.0%					
27	"10. ""Аграрная партия России"""	946	44	39	86	69	7	23	34	26	23	22	50	39	35	19	42	41	51	25	18	18	15	120	100					
		12.54%	15.22%	21.78%	25.14%	15.19%	4.76%	8.27%	22.36%	10.92%	15.75%	12.5%	17.54%	5.35%	10.08%	6.95%	23.07%	8.87%	26.02%	23.36%	12.5%	13.23%	8.82%	9.16%	12.46%					
28	"11. ""Истинные патриоты России"""	12	0	0	0	0	1	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.68%	0.35%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.15%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	67	3	3	6	7	1	3	3	2	0	0	1	5	1	2	1	1	6	3	0	2	0	11	6					
		0.88%	1.03%	1.67%	1.75%	1.54%	0.68%	1.07%	1.97%	0.84%	0.0%	0.0%	0.35%	0.68%	0.28%	0.73%	0.54%	0.21%	3.06%	2.80%	0.0%	1.47%	0.0%	0.84%	0.74%					
30	"13. ""Демократическая партия России"""	31	3	3	1	4	1	1	1	1	1	0	3	4	0	1	0	0	0	0	0	0	0	6	1					
		0.41%	1.03%	1.67%	0.29%	0.88%	0.68%	0.35%	0.65%	0.42%	0.68%	0.0%	1.05%	0.54%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	2	0	0	3	1	2	1	2	4	0	1	0	0	2	1	1	0	0	0	1	1	4	0					
		0.34%	0.69%	0.0%	0.0%	0.66%	0.68%	0.71%	0.65%	0.84%	2.73%	0.0%	0.35%	0.0%	0.0%	0.73%	0.54%	0.21%	0.0%	0.0%	0.0%	0.73%	0.58%	0.30%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	1	0	2	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.41%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.15%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	503	17	4	14	24	28	24	9	18	4	6	15	42	29	12	4	26	11	6	3	2	8	120	77					
		6.66%	5.88%	2.23%	4.09%	5.28%	19.04%	8.63%	5.92%	7.56%	2.73%	3.40%	5.26%	5.76%	8.35%	4.39%	2.19%	5.62%	5.61%	5.60%	2.08%	1.47%	4.70%	9.16%	9.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	2	3	2	4	1	2	0	5	1	0	1	3	0	2	0	0	1	2	0	1	1	4	3					
		0.50%	0.69%	1.67%	0.58%	0.88%	0.68%	0.71%	0.0%	2.10%	0.68%	0.0%	0.35%	0.41%	0.0%	0.73%	0.0%	0.0%	0.51%	1.86%	0.0%	0.73%	0.58%	0.30%	0.37%					
35	"18. ""ЛДПР"""	1061	32	20	44	62	24	20	20	28	12	20	35	129	73	49	38	46	11	14	14	16	16	206	132					
		14.06%	11.07%	11.17%	12.86%	13.65%	16.32%	7.19%	13.15%	11.76%	8.21%	11.36%	12.28%	17.71%	21.03%	17.94%	20.87%	9.95%	5.61%	13.08%	9.72%	11.76%	9.41%	15.73%	16.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	138	12	1	5	4	2	4	0	4	1	7	2	19	6	7	1	7	4	2	1	2	2	39	6					
		1.82%	4.15%	0.55%	1.46%	0.88%	1.36%	1.43%	0.0%	1.68%	0.68%	3.97%	0.70%	2.60%	1.72%	2.56%	0.54%	1.51%	2.04%	1.86%	0.69%	1.47%	1.17%	2.97%	0.74%					
37	"20. ""Политическая партия ""Единая Россия"""	2422	96	48	97	133	46	113	46	48	68	78	112	256	121	95	39	191	41	28	64	43	50	347	262					
		32.11%	33.21%	26.81%	28.36%	29.29%	31.29%	40.64%	30.26%	20.16%	46.57%	44.31%	39.29%	35.16%	34.87%	34.79%	21.42%	41.34%	20.91%	26.16%	44.44%	31.61%	29.41%	26.50%	32.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	0	1	1	1	1	1	0	0	1	0	4	1	1	0	2	1	0	0	0	0	1	3					
		0.25%	0.0%	0.0%	0.29%	0.22%	0.68%	0.35%	0.65%	0.0%	0.0%	0.56%	0.0%	0.54%	0.28%	0.36%	0.0%	0.43%	0.51%	0.0%	0.0%	0.0%	0.0%	0.07%	0.37%					
39	"22. ""Развитие предпринимательства"""	9	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0					
		0.11%	0.69%	0.55%	0.0%	0.22%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	916	32	20	35	58	11	22	23	49	11	10	27	81	24	31	25	61	14	10	21	34	38	200	79					
		12.14%	11.07%	11.17%	10.23%	12.77%	7.48%	7.91%	15.13%	20.58%	7.53%	5.68%	9.47%	11.12%	6.91%	11.35%	13.73%	13.20%	7.14%	9.34%	14.58%	24.99%	22.35%	15.27%	9.85%					
																														
41	Против всех	289	11	5	10	11	5	10	0	7	1	10	5	33	14	11	9	23	10	0	5	6	5	63	35					
		3.83%	3.80%	2.79%	2.92%	2.42%	3.40%	3.59%	0.0%	2.94%	0.68%	5.68%	1.75%	4.53%	4.03%	4.02%	4.94%	4.97%	5.10%	0.0%	3.47%	4.41%	2.94%	4.81%	4.36%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
