Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																
Дата голосования: 04.12.2011																																																																																																																
																																																																																																																
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																																																
																																																																																																																
Сводная таблица результатов выборов																																																																																																																
																																																																																																																
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2194	УИК №2195	УИК №2196	УИК №2270	УИК №2271	УИК №2272	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2316					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2435	30	20	30	0	0	20	7	20	20	32	30	20	30	30	30	30	33	0	30	30	20	20	30	30	30	20	20	50	20	25	20	20	28	27	25	25	20	30	25	25	20	20	20	20	20	30	30	20	30	30	20	30	30	40	30	20	20	30	20	20	25	20	20	30	20	25	20	20	20	20	25	30	20	20	20	25	20	20	10	25	30	30	20	20	10	23	25	20	20	30	20	20	20	25	30	20	35	20	30	20	20	20	20	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2213	30	17	24	0	0	18	5	11	20	32	30	19	30	28	28	30	32	0	27	27	19	20	27	21	30	20	20	38	19	25	19	18	28	27	25	24	19	29	20	25	20	20	8	19	20	30	28	16	27	25	19	30	30	40	27	20	20	27	20	20	20	17	18	29	14	22	19	20	12	19	22	27	16	13	12	20	19	20	10	24	26	30	13	19	3	23	23	18	19	27	20	19	20	23	30	15	35	17	29	19	16	16	18	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1755	14	6	24	17	25	16	19	11	20	31	14	11	27	29	30	25	13	0	12	12	13	9	9	10	16	11	11	16	21	23	23	18	29	15	18	29	16	24	17	22	17	12	13	37	19	22	10	11	21	23	18	10	17	19	18	12	2	6	12	14	23	17	27	13	18	34	25	13	16	13	30	10	5	14	6	16	7	15	30	20	7	17	9	19	10	15	27	22	11	12	10	21	15	22	21	11	19	11	20	23	16	11	14	10	11					
14	Число погашенных неиспользованных открепительных удостоверений	222	0	3	6	0	0	2	2	9	0	0	0	1	0	2	2	0	1	0	3	3	1	0	3	9	0	0	0	12	1	0	1	2	0	0	0	1	1	1	5	0	0	0	12	1	0	0	2	4	3	5	1	0	0	0	3	0	0	3	0	0	5	3	2	1	6	3	1	0	8	1	3	3	4	7	8	5	1	0	0	1	4	0	7	1	7	0	2	2	1	3	0	1	0	2	0	5	0	3	1	1	4	4	2	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	19986	228	119	76	80	29	152	51	126	126	207	300	199	181	226	261	286	262	16	163	243	289	173	184	107	300	199	272	174	230	162	238	228	265	261	223	280	263	249	166	232	103	114	112	130	187	244	212	231	204	215	161	186	201	122	228	210	242	220	190	145	195	191	166	277	265	171	196	205	164	227	196	296	251	163	155	239	155	290	60	152	201	265	217	180	45	229	134	178	161	211	232	206	266	222	239	163	162	197	176	191	121	134	160	138	61					
		20.69%	23.10%	18.89%	13.55%	19.18%	17.06%	15.80%	13.78%	22.30%	18.86%	21.02%	25.55%	20.22%	22.99%	22.92%	21.79%	22.52%	21.46%	13.45%	17.58%	21.22%	25.11%	20.23%	17.68%	12.57%	20.72%	21.58%	21.50%	14.60%	21.46%	19.04%	20.75%	21.94%	19.91%	21.62%	19.41%	22.80%	21.02%	23.38%	18.55%	21.28%	16.67%	17.04%	21.71%	17.33%	21.74%	20.02%	22.55%	21.85%	19.71%	20.44%	19.68%	22.12%	21.68%	14.49%	20.96%	21.58%	21.86%	20.60%	20.41%	19.46%	20.12%	21.04%	20.57%	23.49%	22.36%	22.15%	22.30%	22.31%	20.95%	21.97%	18.33%	22.58%	22.67%	18.93%	17.22%	24.19%	22.21%	21.28%	14.53%	18.10%	20.43%	20.20%	23.28%	19.93%	19.23%	21.91%	21.44%	21.32%	19.78%	20.19%	21.44%	22.39%	21.86%	20.98%	20.25%	24.51%	19.45%	24.23%	19.11%	21.04%	22.74%	22.52%	21.02%	18.72%	13.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	16195	105	96	107	58	30	163	87	67	119	148	155	149	137	129	190	181	166	23	161	202	166	144	156	187	224	141	185	256	168	159	173	150	216	195	196	190	189	170	156	179	141	128	85	146	136	208	143	150	139	189	166	119	172	173	185	185	204	159	161	138	134	151	137	198	195	154	135	143	124	189	195	252	219	144	165	184	115	260	95	201	190	208	112	170	57	138	109	160	166	183	143	155	180	199	214	117	141	136	144	145	63	96	124	105	150					
		16.76%	10.64%	15.24%	19.07%	13.91%	17.65%	16.94%	23.51%	11.86%	17.81%	15.03%	13.20%	15.14%	17.41%	13.08%	15.86%	14.25%	13.60%	19.33%	17.37%	17.64%	14.42%	16.84%	14.99%	21.97%	15.47%	15.29%	14.62%	21.48%	15.67%	18.68%	15.08%	14.44%	16.23%	16.16%	17.06%	15.47%	15.11%	15.96%	17.43%	16.42%	22.82%	19.13%	16.47%	19.47%	15.81%	17.06%	15.21%	14.19%	13.43%	17.97%	20.29%	14.15%	18.55%	20.55%	17.00%	19.01%	18.43%	14.89%	17.29%	18.52%	13.83%	16.63%	16.98%	16.79%	16.46%	19.95%	15.36%	15.56%	15.84%	18.30%	18.24%	19.22%	19.78%	16.72%	18.33%	18.62%	16.48%	19.08%	23.00%	23.93%	19.31%	15.85%	12.02%	18.83%	24.36%	13.21%	17.44%	19.16%	20.39%	17.51%	13.22%	16.85%	14.79%	18.81%	18.14%	17.59%	16.93%	16.73%	15.64%	15.97%	11.84%	16.13%	16.29%	14.25%	33.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1115	19	12	4	7	0	11	3	6	7	9	16	13	8	4	14	13	13	4	15	8	16	19	17	9	20	12	19	9	5	9	12	9	19	10	12	11	11	12	6	10	7	3	6	10	15	15	10	7	13	11	12	16	7	5	23	11	10	26	17	9	12	10	11	10	12	10	8	9	11	13	18	11	11	5	14	14	7	13	4	6	8	13	15	7	3	13	12	9	8	7	15	8	10	12	16	4	10	9	13	9	4	11	12	7	5					
		1.15%	1.93%	1.90%	0.71%	1.68%	0.00%	1.14%	0.81%	1.06%	1.05%	0.91%	1.36%	1.32%	1.02%	0.41%	1.17%	1.02%	1.06%	3.36%	1.62%	0.70%	1.39%	2.22%	1.63%	1.06%	1.38%	1.30%	1.50%	0.76%	0.47%	1.06%	1.05%	0.87%	1.43%	0.83%	1.04%	0.90%	0.88%	1.13%	0.67%	0.92%	1.13%	0.45%	1.16%	1.33%	1.74%	1.23%	1.06%	0.66%	1.26%	1.05%	1.47%	1.90%	0.76%	0.59%	2.11%	1.13%	0.90%	2.43%	1.83%	1.21%	1.24%	1.10%	1.36%	0.85%	1.01%	1.30%	0.91%	0.98%	1.40%	1.26%	1.68%	0.84%	0.99%	0.58%	1.56%	1.42%	1.00%	0.95%	0.97%	0.71%	0.81%	0.99%	1.61%	0.78%	1.28%	1.24%	1.92%	1.08%	0.98%	0.67%	1.39%	0.87%	0.82%	1.13%	1.36%	0.60%	1.20%	1.11%	1.41%	0.99%	0.75%	1.85%	1.58%	0.95%	1.13%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	22743	233	171	77	91	42	242	64	137	173	227	291	208	156	184	312	305	273	30	230	296	272	192	308	197	394	210	306	214	258	155	266	248	327	255	225	324	390	212	227	257	124	139	106	176	208	315	238	278	337	258	185	189	233	202	279	195	245	264	222	164	236	216	181	266	279	195	201	220	186	243	255	286	277	275	239	251	187	361	72	174	255	309	197	207	29	224	127	179	191	233	253	198	248	250	277	126	207	182	239	165	131	127	162	204	87					
		23.54%	23.61%	27.14%	13.73%	21.82%	24.71%	25.16%	17.30%	24.25%	25.90%	23.05%	24.79%	21.14%	19.82%	18.66%	26.04%	24.02%	22.36%	25.21%	24.81%	25.85%	23.63%	22.46%	29.59%	23.15%	27.21%	22.78%	24.19%	17.95%	24.07%	18.21%	23.19%	23.87%	24.57%	21.13%	19.58%	26.38%	31.18%	19.91%	25.36%	23.58%	20.06%	20.78%	20.54%	23.47%	24.19%	25.84%	25.32%	26.30%	32.56%	24.52%	22.62%	22.47%	25.13%	23.99%	25.64%	20.04%	22.13%	24.72%	23.85%	22.01%	24.36%	23.79%	22.43%	22.56%	23.54%	25.26%	22.87%	23.94%	23.75%	23.52%	23.85%	21.82%	25.02%	31.94%	26.56%	25.40%	26.79%	26.49%	17.43%	20.71%	25.91%	23.55%	21.14%	22.92%	12.39%	21.44%	20.32%	21.44%	23.46%	22.30%	23.38%	21.52%	20.38%	23.63%	23.47%	18.95%	24.85%	22.39%	25.95%	18.17%	24.62%	21.34%	21.29%	27.68%	19.59%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5363	99	33	11	4	3	53	16	37	32	69	83	80	70	113	103	123	101	4	49	45	58	38	39	22	85	50	50	40	39	36	58	72	60	58	26	27	55	37	20	33	11	31	16	27	29	58	42	56	55	54	47	51	37	37	54	68	64	60	29	43	50	61	60	68	75	57	46	58	46	56	51	65	73	30	40	40	28	64	12	32	45	67	97	68	3	104	52	52	29	70	127	60	81	43	80	37	38	50	56	70	48	45	71	48	10					
		5.55%	10.03%	5.24%	1.96%	0.96%	1.76%	5.51%	4.32%	6.55%	4.79%	7.01%	7.07%	8.13%	8.89%	11.46%	8.60%	9.69%	8.27%	3.36%	5.29%	3.93%	5.04%	4.44%	3.75%	2.59%	5.87%	5.42%	3.95%	3.36%	3.64%	4.23%	5.06%	6.93%	4.51%	4.81%	2.26%	2.20%	4.40%	3.47%	2.23%	3.03%	1.78%	4.63%	3.10%	3.60%	3.37%	4.76%	4.47%	5.30%	5.31%	5.13%	5.75%	6.06%	3.99%	4.39%	4.96%	6.99%	5.78%	5.62%	3.11%	5.77%	5.16%	6.72%	7.43%	5.77%	6.33%	7.38%	5.23%	6.31%	5.87%	5.42%	4.77%	4.96%	6.59%	3.48%	4.44%	4.05%	4.01%	4.70%	2.91%	3.81%	4.57%	5.11%	10.41%	7.53%	1.28%	9.95%	8.32%	6.23%	3.56%	6.70%	11.74%	6.52%	6.66%	4.06%	6.78%	5.56%	4.56%	6.15%	6.08%	7.71%	9.02%	7.56%	9.33%	6.51%	2.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28173	277	179	269	164	61	306	137	183	194	295	312	302	211	285	277	326	368	39	269	332	292	268	306	317	380	282	394	464	345	305	363	294	402	393	432	344	310	341	295	335	215	233	171	237	256	339	273	306	263	297	221	266	258	288	281	270	300	303	293	225	301	255	226	311	318	161	268	256	221	267	313	356	240	214	268	224	186	327	161	241	250	419	270	244	84	301	168	233	240	315	273	266	384	302	317	193	255	206	258	301	151	164	199	213	110					
		29.16%	28.06%	28.41%	47.95%	39.33%	35.88%	31.81%	37.03%	32.39%	29.04%	29.95%	26.58%	30.69%	26.81%	28.90%	23.12%	25.67%	30.14%	32.77%	29.02%	28.99%	25.37%	31.35%	29.39%	37.25%	26.24%	30.59%	31.15%	38.93%	32.18%	35.84%	31.65%	28.30%	30.20%	32.56%	37.60%	28.01%	24.78%	32.02%	32.96%	30.73%	34.79%	34.83%	33.14%	31.60%	29.77%	27.81%	29.04%	28.95%	25.41%	28.23%	27.02%	31.63%	27.83%	34.20%	25.83%	27.75%	27.10%	28.37%	31.47%	30.20%	31.06%	28.08%	28.00%	26.38%	26.84%	20.85%	30.49%	27.86%	28.22%	25.85%	29.28%	27.15%	21.68%	24.85%	29.78%	22.67%	26.65%	23.99%	38.98%	28.69%	25.41%	31.94%	28.97%	27.02%	35.90%	28.80%	26.88%	27.90%	29.48%	30.14%	25.23%	28.91%	31.55%	28.54%	26.86%	29.02%	30.61%	25.34%	28.01%	33.15%	28.38%	27.56%	26.15%	28.90%	24.77%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1387	15	9	7	4	1	12	7	2	10	12	14	20	18	29	18	20	21	0	16	7	13	6	13	5	12	12	19	17	9	11	16	18	17	4	15	16	16	14	7	23	3	9	9	11	8	13	8	12	13	10	12	6	7	4	29	15	19	16	10	7	22	13	12	21	24	17	16	14	13	17	23	15	17	15	5	19	3	19	3	16	17	11	15	13	2	21	13	12	9	6	21	20	24	15	23	12	16	13	14	20	7	14	20	11	8					
		1.44%	1.52%	1.43%	1.25%	0.96%	0.59%	1.25%	1.89%	0.35%	1.50%	1.22%	1.19%	2.03%	2.29%	2.94%	1.50%	1.57%	1.72%	0.00%	1.73%	0.61%	1.13%	0.70%	1.25%	0.59%	0.83%	1.30%	1.50%	1.43%	0.84%	1.29%	1.39%	1.73%	1.28%	0.33%	1.31%	1.30%	1.28%	1.31%	0.78%	2.11%	0.49%	1.35%	1.74%	1.47%	0.93%	1.07%	0.85%	1.14%	1.26%	0.95%	1.47%	0.71%	0.76%	0.48%	2.67%	1.54%	1.72%	1.50%	1.07%	0.94%	2.27%	1.43%	1.49%	1.78%	2.03%	2.20%	1.82%	1.52%	1.66%	1.65%	2.15%	1.14%	1.54%	1.74%	0.56%	1.92%	0.43%	1.39%	0.73%	1.90%	1.73%	0.84%	1.61%	1.44%	0.85%	2.01%	2.08%	1.44%	1.11%	0.57%	1.94%	2.17%	1.97%	1.42%	1.95%	1.80%	1.92%	1.60%	1.52%	2.20%	1.32%	2.35%	2.63%	1.49%	1.80%					
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
																																																																																																																
