Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Асиновская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	287	3	20	20	20	3	10	8	15	10	8	13	8	10	8	10	3	3	3	3	3	3	3	7	3	3	3	3	8	8	8	3	3	8	3	3	3	3	3	3	8	3	8	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	82	0	6	10	7	0	3	1	4	3	3	9	6	5	2	3	0	0	1	0	1	0	0	5	0	2	0	0	1	0	4	0	0	2	0	0	0	0	1	0	2	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	1	3	2	2	1	2	1	1	3	0	2	1	3	2	0	3	4	1	1	1	1	1	1	2	3	1	2	3	3	3	0	0	3	2	0	2	2	4	1	0	1	3	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	205	3	14	10	13	3	7	7	11	7	5	4	2	5	6	7	3	3	2	3	2	3	3	2	3	1	3	3	7	8	4	3	3	6	3	3	3	3	2	3	6	3	8	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	1	0	1	1	1	0	1	1	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	1	4	5	1	1	2	1	6	1	3	1	4	2	1	6	1	0	1	0	1	0	0	0	0	5	0	0	0	1	2	1	0	0	0	1	0	0	2	1	1	3	0	0	1									
		0.62%	1.23%	0.57%	0.88%	0.19%	0.68%	0.68%	0.31%	1.24%	0.56%	1.06%	0.21%	0.88%	0.57%	0.20%	1.36%	0.66%	0.00%	0.88%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	2.43%	0.00%	0.00%	0.00%	0.74%	0.65%	0.78%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	2.04%	1.96%	0.45%	4.29%	0.00%	0.00%	1.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	399	0	28	13	28	7	8	10	18	6	11	20	25	12	21	22	6	2	12	1	8	8	0	3	1	14	1	3	20	9	15	8	6	10	2	3	1	2	1	2	7	2	15	3	5									
		4.11%	0.00%	3.96%	2.28%	5.41%	4.79%	2.70%	3.11%	3.71%	3.33%	3.89%	4.12%	5.52%	3.42%	4.12%	4.98%	3.95%	0.93%	10.53%	2.56%	4.02%	2.88%	0.00%	5.56%	1.85%	6.80%	1.47%	2.65%	7.07%	6.67%	4.84%	6.25%	6.82%	5.15%	1.63%	4.00%	1.59%	3.28%	1.02%	3.92%	3.17%	2.86%	5.91%	3.66%	5.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	147	1	4	8	13	0	3	4	11	1	2	9	6	7	7	9	6	10	2	0	3	5	0	1	1	2	1	0	2	0	3	1	1	3	4	0	3	0	1	1	4	2	4	1	1									
		1.52%	1.23%	0.57%	1.41%	2.51%	0.00%	1.01%	1.24%	2.27%	0.56%	0.71%	1.86%	1.32%	1.99%	1.37%	2.04%	3.95%	4.65%	1.75%	0.00%	1.51%	1.80%	0.00%	1.85%	1.85%	0.97%	1.47%	0.00%	0.71%	0.00%	0.97%	0.78%	1.14%	1.55%	3.25%	0.00%	4.76%	0.00%	1.02%	1.96%	1.81%	2.86%	1.57%	1.22%	1.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4424	42	346	252	211	86	131	139	206	80	138	236	168	166	233	178	55	106	42	25	83	122	34	19	32	78	23	56	127	76	156	63	45	100	50	42	36	38	50	28	103	24	116	38	45									
		45.60%	51.85%	48.94%	44.29%	40.73%	58.90%	44.26%	43.17%	42.47%	44.44%	48.76%	48.66%	37.09%	47.29%	45.69%	40.27%	36.18%	49.30%	36.84%	64.10%	41.71%	43.88%	59.65%	35.19%	59.26%	37.86%	33.82%	49.56%	44.88%	56.30%	50.32%	49.22%	51.14%	51.55%	40.65%	56.00%	57.14%	62.30%	51.02%	54.90%	46.61%	34.29%	45.67%	46.34%	50.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	0	5	3	5	1	3	4	1	1	0	3	2	3	8	0	1	4	1	0	3	1	0	0	1	1	0	0	1	0	2	0	0	0	1	0	1	0	2	0	0	0	1	1	0									
		0.62%	0.00%	0.71%	0.53%	0.97%	0.68%	1.01%	1.24%	0.21%	0.56%	0.00%	0.62%	0.44%	0.85%	1.57%	0.00%	0.66%	1.86%	0.88%	0.00%	1.51%	0.36%	0.00%	0.00%	1.85%	0.49%	0.00%	0.00%	0.35%	0.00%	0.65%	0.00%	0.00%	0.00%	0.81%	0.00%	1.59%	0.00%	2.04%	0.00%	0.00%	0.00%	0.39%	1.22%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	0	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.35%	0.41%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.52%	0.00%	1.33%	0.00%	0.00%	1.02%	0.00%	0.00%	1.43%	0.39%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2445	25	177	135	118	34	69	76	123	50	82	98	112	93	128	133	44	43	27	8	61	90	16	13	13	42	22	29	68	39	75	25	24	59	36	17	17	17	20	9	63	22	56	21	16									
		25.20%	30.86%	25.04%	23.73%	22.78%	23.29%	23.31%	23.60%	25.36%	27.78%	28.98%	20.21%	24.72%	26.50%	25.10%	30.09%	28.95%	20.00%	23.68%	20.51%	30.65%	32.37%	28.07%	24.07%	24.07%	20.39%	32.35%	25.66%	24.03%	28.89%	24.19%	19.53%	27.27%	30.41%	29.27%	22.67%	26.98%	27.87%	20.41%	17.65%	28.51%	31.43%	22.05%	25.61%	17.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	43	1	3	4	4	0	1	0	1	0	2	6	3	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	3	0	0	0	0	1	0	1	0	0	0	2	1	0									
		0.44%	1.23%	0.42%	0.70%	0.77%	0.00%	0.34%	0.00%	0.21%	0.00%	0.71%	1.24%	0.66%	0.00%	0.39%	0.45%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.65%	2.34%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	1.02%	0.00%	0.00%	0.00%	0.79%	1.22%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	55	0	4	2	3	1	1	5	3	1	1	3	1	6	1	2	0	1	1	0	0	0	0	0	0	1	0	0	2	1	2	2	0	1	1	1	0	0	2	0	2	0	2	1	1									
		0.57%	0.00%	0.57%	0.35%	0.58%	0.68%	0.34%	1.55%	0.62%	0.56%	0.35%	0.62%	0.22%	1.71%	0.20%	0.45%	0.00%	0.47%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.71%	0.74%	0.65%	1.56%	0.00%	0.52%	0.81%	1.33%	0.00%	0.00%	2.04%	0.00%	0.90%	0.00%	0.79%	1.22%	1.12%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	0	1	1	0	1	0	4	0	1	2	0	1	2	0	1	0	0	1	3	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1									
		0.25%	0.00%	0.00%	0.18%	0.19%	0.00%	0.34%	0.00%	0.82%	0.00%	0.35%	0.41%	0.00%	0.28%	0.39%	0.00%	0.66%	0.00%	0.00%	2.56%	1.51%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.35%	0.00%	0.32%	0.00%	1.14%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	160	1	14	17	17	3	5	6	10	0	3	6	11	3	6	8	3	7	3	1	4	6	1	0	0	3	0	2	3	1	3	4	1	0	1	0	0	0	0	1	0	0	4	0	2									
		1.65%	1.23%	1.98%	2.99%	3.28%	2.05%	1.69%	1.86%	2.06%	0.00%	1.06%	1.24%	2.43%	0.85%	1.18%	1.81%	1.97%	3.26%	2.63%	2.56%	2.01%	2.16%	1.75%	0.00%	0.00%	1.46%	0.00%	1.77%	1.06%	0.74%	0.97%	3.13%	1.14%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	1.57%	0.00%	2.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1256	9	76	78	80	10	53	56	66	25	29	68	78	37	66	48	27	27	18	1	16	23	2	16	4	49	16	16	48	4	27	12	9	16	24	9	0	2	10	8	26	9	38	8	12									
		12.95%	11.11%	10.75%	13.71%	15.44%	6.85%	17.91%	17.39%	13.61%	13.89%	10.25%	14.02%	17.22%	10.54%	12.94%	10.86%	17.76%	12.56%	15.79%	2.56%	8.04%	8.27%	3.51%	29.63%	7.41%	23.79%	23.53%	14.16%	16.96%	2.96%	8.71%	9.38%	10.23%	8.25%	19.51%	12.00%	0.00%	3.28%	10.20%	15.69%	11.76%	12.86%	14.96%	9.76%	13.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	0	3	2	1	0	1	1	5	0	2	0	4	2	2	3	0	2	0	1	0	2	1	0	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2									
		0.43%	0.00%	0.42%	0.35%	0.19%	0.00%	0.34%	0.31%	1.03%	0.00%	0.71%	0.00%	0.88%	0.57%	0.39%	0.68%	0.00%	0.93%	0.00%	2.56%	0.00%	0.72%	1.75%	0.00%	1.85%	0.97%	2.94%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	2.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	314	1	18	26	24	1	9	11	17	8	6	19	21	14	18	18	5	8	5	0	9	7	2	0	1	0	0	4	8	2	8	5	1	1	2	0	0	2	5	0	10	6	6	5	1									
		3.24%	1.23%	2.55%	4.57%	4.63%	0.68%	3.04%	3.42%	3.51%	4.44%	2.12%	3.92%	4.64%	3.99%	3.53%	4.07%	3.29%	3.72%	4.39%	0.00%	4.52%	2.52%	3.51%	0.00%	1.85%	0.00%	0.00%	3.54%	2.83%	1.48%	2.58%	3.91%	1.14%	0.52%	1.63%	0.00%	0.00%	3.28%	5.10%	0.00%	4.52%	8.57%	2.36%	6.10%	1.12%									
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
