Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																						
Дата голосования: 18.09.2016																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																						
																																																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																						
																																																																																																																						
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №305	УИК №306	УИК №307	УИК №308	УИК №310									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	2	0	0	0	0	1	1	2	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	6	0	0	1	0	0	1	0	0	0	4	0	0	1	1	0	0	0	0	0									
		1.10%	3.92%	0.00%	0.00%	0.00%	0.00%	4.55%	3.70%	7.41%	4.35%	0.00%	0.00%	1.39%	1.96%	0.00%	1.43%	0.00%	0.00%	2.08%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	3.23%	8.70%	0.00%	1.69%	0.00%	3.33%	0.00%	4.00%	0.00%	0.00%	0.00%	5.88%	0.00%	1.85%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	6.25%	6.25%	0.00%	0.00%	0.00%	0.00%	5.88%	37.50%	0.00%	0.00%	4.76%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	7.02%	0.00%	0.00%	3.70%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	77	0	1	3	0	0	2	1	0	2	0	0	4	1	0	1	1	0	2	1	2	0	1	1	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	2	0	0	5	1	0	1	1	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	9	0	0	2	1	0	0	2	0	1	1	1	0	0	0	0	2	0	0	0	1									
		1.80%	0.00%	1.45%	4.41%	0.00%	0.00%	9.09%	3.70%	0.00%	8.70%	0.00%	0.00%	5.56%	1.96%	0.00%	1.43%	4.17%	0.00%	4.17%	2.33%	7.14%	0.00%	5.00%	1.05%	2.15%	2.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	6.45%	0.00%	4.00%	0.00%	0.00%	3.33%	0.00%	8.00%	0.00%	0.00%	8.62%	5.88%	0.00%	1.85%	5.88%	0.00%	0.00%	0.82%	0.00%	0.00%	1.19%	2.25%	4.35%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	2.22%	6.25%	6.25%	6.67%	0.00%	0.00%	6.67%	52.94%	0.00%	0.00%	13.33%	4.76%	0.00%	0.00%	10.00%	0.00%	2.22%	2.27%	1.75%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	7.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	62	1	1	0	0	2	1	1	0	1	0	3	1	1	0	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	2	4	2	1	1	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	0	2	2	1	2	0	0	0	1									
		1.45%	1.96%	1.45%	0.00%	0.00%	1.60%	4.55%	3.70%	0.00%	4.35%	0.00%	13.64%	1.39%	1.96%	0.00%	1.43%	0.00%	0.00%	6.25%	0.00%	3.57%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	7.14%	0.00%	3.23%	2.17%	16.00%	3.39%	3.57%	3.33%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	6.67%	0.00%	18.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	4.76%	11.11%	0.00%	0.00%	0.00%	2.22%	0.00%	1.75%	0.00%	11.76%	7.41%	3.70%	4.35%	0.00%	0.00%	0.00%	7.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2801	23	32	28	17	62	5	8	19	7	7	13	29	20	47	40	6	7	16	22	6	13	4	91	89	89	85	91	89	88	88	89	70	78	89	90	92	24	21	23	18	19	18	18	17	29	41	3	8	6	35	2	22	9	13	13	11	4	3	22	8	4	34	3	10	11	106	71	14	79	75	15	13	11	19	17	2	11	17	1	20	6	1	8	5	1	3	2	10	6	3	6	6	4	8	4	14	20	32	30	8	9	18	18	3	5	0	2									
		65.32%	45.10%	46.38%	41.18%	40.48%	49.60%	22.73%	29.63%	70.37%	30.43%	31.82%	59.09%	40.28%	39.22%	67.14%	57.14%	25.00%	30.43%	33.33%	51.16%	21.43%	44.83%	20.00%	95.79%	95.70%	95.70%	91.40%	96.81%	95.70%	95.65%	95.65%	96.74%	95.89%	95.12%	95.70%	96.77%	98.92%	100.00%	91.30%	95.83%	94.74%	100.00%	94.74%	100.00%	94.44%	96.67%	47.67%	21.43%	61.54%	19.35%	38.04%	8.00%	37.29%	32.14%	43.33%	43.33%	44.00%	33.33%	30.00%	37.93%	47.06%	28.57%	62.96%	17.65%	45.45%	55.00%	86.89%	92.21%	51.85%	94.05%	84.27%	65.22%	100.00%	57.89%	95.00%	85.00%	14.29%	100.00%	89.47%	5.26%	44.44%	37.50%	6.25%	53.33%	23.81%	20.00%	20.00%	11.76%	62.50%	37.50%	20.00%	28.57%	33.33%	21.05%	40.00%	18.18%	31.11%	45.45%	56.14%	100.00%	47.06%	33.33%	66.67%	39.13%	30.00%	55.56%	0.00%	14.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	0	1	0	0	1	0	0	0	0	0	0	3	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	1	1	1	0	0	0	0									
		0.77%	0.00%	1.45%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	3.92%	1.43%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.49%	0.00%	0.00%	3.23%	1.09%	0.00%	0.00%	0.00%	3.33%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.41%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.53%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	5.56%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	3.70%	3.70%	2.17%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	2.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	744	15	21	21	14	48	10	9	3	10	7	5	17	14	17	18	12	9	8	16	7	9	8	1	1	2	5	2	1	4	2	3	2	0	0	2	1	0	1	0	1	0	1	0	1	1	25	4	3	9	24	11	20	15	8	11	8	3	6	15	5	5	7	6	2	7	5	2	3	0	6	2	0	3	1	0	6	0	1	10	10	3	9	5	8	2	6	5	0	6	7	5	3	5	9	12	17	16	12	0	4	12	5	14	1	3	2	1									
		17.35%	29.41%	30.43%	30.88%	33.33%	38.40%	45.45%	33.33%	11.11%	43.48%	31.82%	22.73%	23.61%	27.45%	24.29%	25.71%	50.00%	39.13%	16.67%	37.21%	25.00%	31.03%	40.00%	1.05%	1.08%	2.15%	5.38%	2.13%	1.08%	4.35%	2.17%	3.26%	2.74%	0.00%	0.00%	2.15%	1.08%	0.00%	4.35%	0.00%	5.26%	0.00%	5.26%	0.00%	5.56%	3.33%	29.07%	28.57%	23.08%	29.03%	26.09%	44.00%	33.90%	53.57%	26.67%	36.67%	32.00%	25.00%	60.00%	25.86%	29.41%	35.71%	12.96%	35.29%	9.09%	35.00%	4.10%	2.60%	11.11%	0.00%	6.74%	8.70%	0.00%	15.79%	5.00%	0.00%	42.86%	0.00%	5.26%	52.63%	22.22%	18.75%	56.25%	33.33%	38.10%	40.00%	40.00%	29.41%	0.00%	37.50%	46.67%	23.81%	16.67%	26.32%	45.00%	54.55%	37.78%	36.36%	21.05%	0.00%	23.53%	44.44%	18.52%	30.43%	10.00%	33.33%	20.00%	7.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.45%	2.17%	0.00%	13.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.84%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	47.37%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
