Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																										
Дата голосования: 02.12.2007																																																																																																										
																																																																																																										
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №1740	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1790	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1230	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	300	20	20	70	20	0	0	0	0	100	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	473	20	10	13	16	19	10	14	9	5	7	13	23	19	17	31	12	19	18	24	13	76	19	17	23	3	0	0	0	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	419	15	9	8	52	19	17	21	16	13	7	35	32	11	14	14	11	10	15	2	22	9	7	6	4	0	13	4	4	12	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	757	10	20	17	14	11	20	16	21	25	23	17	7	11	13	9	18	11	12	6	17	224	1	3	47	17	0	0	0	0	87	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																										
18	1.Политическая партия «Аграрная партия России»	715	26	44	29	35	25	48	25	29	12	6	22	27	19	34	44	30	30	46	33	36	6	0	17	14	1	2	2	1	2	13	8	2	0	3	2	0	1	6	0	2	0	0	0	0	6	0	0	1	1	0	1	0	1	1	2	0	0	0	1	0	0	1	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	5	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0					
		2.83%	2.35%	3.27%	2.65%	2.81%	2.33%	3.87%	3.24%	5.02%	2.20%	0.99%	2.74%	2.98%	3.15%	3.25%	3.04%	3.33%	2.83%	3.37%	3.11%	3.68%	1.12%	0.00%	2.08%	1.68%	0.48%	1.14%	2.33%	2.94%	1.18%	3.27%	2.68%	8.00%	0.00%	10.00%	9.52%	0.00%	3.33%	18.75%	0.00%	8.00%	0.00%	0.00%	0.00%	0.00%	27.27%	0.00%	0.00%	4.35%	3.70%	0.00%	3.45%	0.00%	1.82%	3.23%	7.69%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	4.35%	12.50%	0.00%	3.70%	3.70%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	4.35%	0.00%	35.71%	0.00%	4.55%	5.00%	0.00%	0.00%	22.22%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	542	18	24	28	21	33	29	23	17	17	12	18	17	14	28	32	22	16	45	31	24	9	5	2	6	3	4	0	1	0	14	3	0	0	0	1	1	0	0	0	0	1	1	0	1	2	1	0	1	0	0	1	0	0	0	1	2	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0					
		2.15%	1.63%	1.78%	2.56%	1.68%	3.08%	2.34%	2.98%	2.94%	3.12%	1.97%	2.24%	1.88%	2.32%	2.68%	2.21%	2.44%	1.51%	3.30%	2.92%	2.45%	1.68%	1.77%	0.24%	0.72%	1.44%	2.27%	0.00%	2.94%	0.00%	3.53%	1.00%	0.00%	0.00%	0.00%	4.76%	3.57%	0.00%	0.00%	0.00%	0.00%	4.35%	4.55%	0.00%	3.57%	9.09%	3.85%	0.00%	4.35%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	3.85%	5.56%	3.85%	0.00%	4.17%	0.00%	0.00%	0.00%	4.17%	4.17%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.54%	0.00%	0.00%	0.00%	8.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	5.56%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	77	2	3	3	2	2	0	1	1	0	2	3	3	0	1	3	2	2	5	2	3	4	0	1	2	0	1	0	1	1	4	3	0	0	1	1	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.31%	0.18%	0.22%	0.27%	0.16%	0.19%	0.00%	0.13%	0.17%	0.00%	0.33%	0.37%	0.33%	0.00%	0.10%	0.21%	0.22%	0.19%	0.37%	0.19%	0.31%	0.74%	0.00%	0.12%	0.24%	0.00%	0.57%	0.00%	2.94%	0.59%	1.01%	1.00%	0.00%	0.00%	3.33%	4.76%	0.00%	0.00%	0.00%	13.64%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	1.82%	3.23%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	17.24%	0.00%	5.26%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3296	102	148	137	148	119	227	140	106	100	80	87	109	97	160	275	151	161	224	180	166	47	17	46	60	3	34	16	2	18	28	18	2	0	1	1	5	0	3	0	0	1	0	5	3	1	0	0	2	1	1	4	1	4	0	0	0	0	3	1	1	0	2	1	1	3	2	0	2	0	6	1	2	3	2	2	2	1	1	1	0	1	3	1	1	2	1	0	1	0	0	0	0	1	0	3	0	2	0	2					
		13.06%	9.21%	10.99%	12.52%	11.87%	11.09%	18.29%	18.13%	18.34%	18.35%	13.14%	10.85%	12.04%	16.09%	15.31%	19.03%	16.78%	15.19%	16.41%	16.98%	16.97%	8.75%	6.01%	5.62%	7.21%	1.44%	19.32%	18.60%	5.88%	10.59%	7.05%	6.02%	8.00%	0.00%	3.33%	4.76%	17.86%	0.00%	9.38%	0.00%	0.00%	4.35%	0.00%	17.86%	10.71%	4.55%	0.00%	0.00%	8.70%	3.70%	4.17%	13.79%	3.85%	7.27%	0.00%	0.00%	0.00%	0.00%	13.04%	4.17%	5.00%	0.00%	8.70%	4.17%	4.17%	11.11%	7.41%	0.00%	8.00%	0.00%	27.27%	4.55%	9.52%	13.04%	9.09%	10.53%	8.00%	3.85%	3.85%	4.17%	0.00%	4.35%	15.79%	7.14%	3.85%	9.09%	5.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	10.71%	0.00%	7.14%	0.00%	9.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	489	17	16	17	14	35	37	16	14	26	16	15	28	23	28	26	30	22	27	12	12	8	4	2	5	0	3	0	1	2	9	11	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.94%	1.54%	1.19%	1.55%	1.12%	3.26%	2.98%	2.07%	2.42%	4.77%	2.63%	1.87%	3.09%	3.81%	2.68%	1.80%	3.33%	2.08%	1.98%	1.13%	1.23%	1.49%	1.41%	0.24%	0.60%	0.00%	1.70%	0.00%	2.94%	1.18%	2.27%	3.68%	0.00%	3.57%	3.33%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	1.82%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	7.41%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	111	5	10	4	4	3	5	4	2	1	5	3	2	2	3	8	0	6	2	4	3	1	0	1	4	0	0	0	0	2	2	3	1	0	7	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.44%	0.45%	0.74%	0.37%	0.32%	0.28%	0.40%	0.52%	0.35%	0.18%	0.82%	0.37%	0.22%	0.33%	0.29%	0.55%	0.00%	0.57%	0.15%	0.38%	0.31%	0.19%	0.00%	0.12%	0.48%	0.00%	0.00%	0.00%	0.00%	1.18%	0.50%	1.00%	4.00%	0.00%	23.33%	0.00%	0.00%	0.00%	0.00%	31.82%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3457	168	154	169	164	138	138	104	66	67	109	97	136	78	130	174	106	112	171	129	115	116	47	109	106	9	10	12	9	20	56	40	8	3	1	2	4	5	5	6	4	3	3	9	6	5	14	0	6	12	2	4	7	15	8	4	6	8	7	9	1	3	3	1	7	3	5	3	4	6	6	3	5	9	6	5	8	9	6	11	10	11	6	3	12	3	9	4	8	5	3	0	0	4	6	6	13	6	13	6					
		13.70%	15.18%	11.44%	15.45%	13.15%	12.86%	11.12%	13.47%	11.42%	12.29%	17.90%	12.09%	15.03%	12.94%	12.44%	12.04%	11.78%	10.57%	12.53%	12.17%	11.76%	21.60%	16.61%	13.33%	12.74%	4.33%	5.68%	13.95%	26.47%	11.76%	14.11%	13.38%	32.00%	10.71%	3.33%	9.52%	14.29%	16.67%	15.63%	27.27%	16.00%	13.04%	13.64%	32.14%	21.43%	22.73%	53.85%	0.00%	26.09%	44.44%	8.33%	13.79%	26.92%	27.27%	25.81%	15.38%	16.67%	30.77%	30.43%	37.50%	5.00%	15.79%	13.04%	4.17%	29.17%	11.11%	18.52%	10.34%	16.00%	31.58%	27.27%	13.64%	23.81%	39.13%	27.27%	26.32%	32.00%	34.62%	23.08%	45.83%	41.67%	47.83%	31.58%	21.43%	46.15%	13.64%	45.00%	26.67%	40.00%	55.56%	13.64%	0.00%	0.00%	22.22%	27.27%	21.43%	61.90%	21.43%	59.09%	27.27%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3513	149	236	144	169	175	182	139	94	58	69	83	143	79	148	209	135	212	215	183	143	55	22	70	64	13	25	21	1	24	45	24	3	4	3	0	4	7	2	0	5	2	1	2	3	3	2	0	3	6	2	3	8	7	2	5	6	1	3	1	5	2	5	3	4	3	5	2	3	1	2	0	4	3	2	1	2	5	2	2	0	1	0	3	2	1	4	3	1	1	1	0	1	5	1	5	4	3	3	1					
		13.92%	13.46%	17.53%	13.16%	13.55%	16.31%	14.67%	18.01%	16.26%	10.64%	11.33%	10.35%	15.80%	13.10%	14.16%	14.46%	15.00%	20.00%	15.75%	17.26%	14.62%	10.24%	7.77%	8.56%	7.69%	6.25%	14.20%	24.42%	2.94%	14.12%	11.34%	8.03%	12.00%	14.29%	10.00%	0.00%	14.29%	23.33%	6.25%	0.00%	20.00%	8.70%	4.55%	7.14%	10.71%	13.64%	7.69%	0.00%	13.04%	22.22%	8.33%	10.34%	30.77%	12.73%	6.45%	19.23%	16.67%	3.85%	13.04%	4.17%	25.00%	10.53%	21.74%	12.50%	16.67%	11.11%	18.52%	6.90%	12.00%	5.26%	9.09%	0.00%	19.05%	13.04%	9.09%	5.26%	8.00%	19.23%	7.69%	8.33%	0.00%	4.35%	0.00%	21.43%	7.69%	4.55%	20.00%	20.00%	5.00%	11.11%	4.55%	0.00%	5.56%	27.78%	4.55%	17.86%	19.05%	10.71%	13.64%	4.55%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	802	22	40	29	35	25	49	24	15	13	23	16	27	23	45	61	25	31	40	42	35	2	6	14	12	2	4	3	2	7	6	8	0	2	9	3	1	3	3	5	9	0	0	0	2	1	1	0	3	1	1	2	0	5	0	1	2	5	2	2	1	1	4	1	2	6	2	8	2	2	0	1	3	2	4	1	1	0	0	3	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0					
		3.18%	1.99%	2.97%	2.65%	2.81%	2.33%	3.95%	3.11%	2.60%	2.39%	3.78%	1.99%	2.98%	3.81%	4.31%	4.22%	2.78%	2.92%	2.93%	3.96%	3.58%	0.37%	2.12%	1.71%	1.44%	0.96%	2.27%	3.49%	5.88%	4.12%	1.51%	2.68%	0.00%	7.14%	30.00%	14.29%	3.57%	10.00%	9.38%	22.73%	36.00%	0.00%	0.00%	0.00%	7.14%	4.55%	3.85%	0.00%	13.04%	3.70%	4.17%	6.90%	0.00%	9.09%	0.00%	3.85%	5.56%	19.23%	8.70%	8.33%	5.00%	5.26%	17.39%	4.17%	8.33%	22.22%	7.41%	27.59%	8.00%	10.53%	0.00%	4.55%	14.29%	8.70%	18.18%	5.26%	4.00%	0.00%	0.00%	12.50%	0.00%	13.04%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	3.57%	4.55%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10557	531	605	472	568	413	407	240	200	189	240	404	341	210	396	487	324	409	516	367	374	264	174	533	542	170	87	26	16	88	190	157	7	17	4	9	2	13	12	1	4	15	13	10	7	3	6	0	6	4	15	13	9	16	15	12	20	11	7	6	8	13	7	8	8	8	9	11	13	7	7	13	6	6	7	10	10	7	13	4	13	3	8	1	10	15	3	7	9	0	17	20	17	7	11	11	2	15	5	11					
		41.83%	47.97%	44.95%	43.14%	45.55%	38.49%	32.80%	31.09%	34.60%	34.68%	39.41%	50.37%	37.68%	34.83%	37.89%	33.70%	36.00%	38.58%	37.80%	34.62%	38.24%	49.16%	61.48%	65.16%	65.14%	81.73%	49.43%	30.23%	47.06%	51.76%	47.86%	52.51%	28.00%	60.71%	13.33%	42.86%	7.14%	43.33%	37.50%	4.55%	16.00%	65.22%	59.09%	35.71%	25.00%	13.64%	23.08%	0.00%	26.09%	14.81%	62.50%	44.83%	34.62%	29.09%	48.39%	46.15%	55.56%	42.31%	30.43%	25.00%	40.00%	68.42%	30.43%	33.33%	33.33%	29.63%	33.33%	37.93%	52.00%	36.84%	31.82%	59.09%	28.57%	26.09%	31.82%	52.63%	40.00%	26.92%	50.00%	16.67%	54.17%	13.04%	42.11%	7.14%	38.46%	68.18%	15.00%	46.67%	45.00%	0.00%	77.27%	10.00%	94.44%	38.89%	50.00%	39.29%	9.52%	53.57%	22.73%	50.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1128	42	42	28	48	86	92	40	28	50	25	40	54	45	45	93	56	43	53	52	44	12	3	6	0	1	4	3	0	2	22	12	2	0	0	2	1	0	1	0	1	0	4	2	1	1	1	0	1	1	2	1	0	2	2	1	0	0	1	2	2	0	0	6	0	1	0	0	0	1	0	1	0	0	1	0	1	0	2	3	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	3	1	0	0	1					
