Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Седельниковская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
30	"13. ""Демократическая партия России"""	22	1	2	0	0	1	2	3	0	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	2	3	0	0					
		0.30%	1.06%	0.96%	0.0%	0.0%	1.81%	0.27%	1.40%	0.0%	1.61%	0.51%	0.0%	0.0%	0.48%	0.0%	0.0%	0.51%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.41%	0.80%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	0	1	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0					
		0.15%	0.0%	0.48%	0.0%	0.27%	0.0%	0.27%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.29%	0.0%	0.20%	0.26%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	11	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0					
		0.15%	0.0%	0.0%	0.58%	0.0%	0.0%	0.40%	0.0%	1.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.22%	0.41%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	256	1	7	8	15	1	22	8	2	1	11	0	2	8	2	5	22	3	2	8	9	6	0	2	2	23	16	13	27	27	2	1					
		3.58%	1.06%	3.36%	4.67%	4.16%	1.81%	3.00%	3.75%	1.11%	1.61%	5.64%	0.0%	1.63%	3.88%	2.19%	2.99%	5.62%	3.33%	1.85%	8.42%	3.43%	4.22%	0.0%	0.86%	2.63%	4.80%	2.39%	2.87%	5.57%	7.21%	1.25%	1.26%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	1	1	1	3	1	4	0	0	0	0	1	0	1	0	1	0	2	0	0	0	1	1	1	0	0	4	2	7	1	0	1					
		0.47%	1.06%	0.48%	0.58%	0.83%	1.81%	0.54%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.48%	0.0%	0.59%	0.0%	2.22%	0.0%	0.0%	0.0%	0.70%	1.31%	0.43%	0.0%	0.0%	0.59%	0.44%	1.44%	0.26%	0.0%	1.26%					
35	"18. ""ЛДПР"""	1195	12	23	29	86	4	180	34	17	20	27	20	18	31	17	56	57	13	13	16	25	29	13	70	11	56	88	66	69	63	10	22					
		16.75%	12.76%	11.05%	16.95%	23.88%	7.27%	24.59%	15.96%	9.49%	32.25%	13.84%	18.18%	14.75%	15.04%	18.68%	33.53%	14.57%	14.44%	12.03%	16.84%	9.54%	20.42%	17.10%	30.17%	14.47%	11.69%	13.19%	14.60%	14.25%	16.84%	6.28%	27.84%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	101	1	3	0	23	0	10	5	2	0	0	1	1	4	0	2	6	0	0	4	3	0	1	4	0	3	8	5	7	7	1	0					
		1.41%	1.06%	1.44%	0.0%	6.38%	0.0%	1.36%	2.34%	1.11%	0.0%	0.0%	0.90%	0.81%	1.94%	0.0%	1.19%	1.53%	0.0%	0.0%	4.21%	1.14%	0.0%	1.31%	1.72%	0.0%	0.62%	1.19%	1.10%	1.44%	1.87%	0.62%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3109	47	83	61	125	41	267	48	88	25	85	47	79	93	49	71	183	59	47	43	139	72	32	76	46	235	304	188	211	173	59	33					
		43.59%	50.0%	39.90%	35.67%	34.72%	74.54%	36.47%	22.53%	49.16%	40.32%	43.58%	42.72%	64.75%	45.14%	53.84%	42.51%	46.80%	65.55%	43.51%	45.26%	53.05%	50.70%	42.10%	32.75%	60.52%	49.06%	45.57%	41.59%	43.59%	46.25%	37.10%	41.77%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	2	2	1	0	0	2					
		0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	1.87%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.20%	0.29%	0.44%	0.20%	0.0%	0.0%	2.53%					
39	"22. ""Развитие предпринимательства"""	8	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0					
		0.11%	0.0%	0.0%	1.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.44%	0.20%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	857	6	16	44	23	3	118	57	11	7	28	16	3	18	3	8	39	3	5	5	13	8	3	24	7	47	103	79	69	36	48	7					
		12.01%	6.38%	7.69%	25.73%	6.38%	5.45%	16.12%	26.76%	6.14%	11.29%	14.35%	14.54%	2.45%	8.73%	3.29%	4.79%	9.97%	3.33%	4.62%	5.26%	4.96%	5.63%	3.94%	10.34%	9.21%	9.81%	15.44%	17.47%	14.25%	9.62%	30.18%	8.86%					
																																						
41	Против всех	205	4	10	3	10	1	27	9	6	3	7	2	3	9	0	2	10	0	4	4	8	4	0	12	1	9	21	10	13	12	1	0					
		2.87%	4.25%	4.80%	1.75%	2.77%	1.81%	3.68%	4.22%	3.35%	4.83%	3.58%	1.81%	2.45%	4.36%	0.0%	1.19%	2.55%	0.0%	3.70%	4.21%	3.05%	2.81%	0.0%	5.17%	1.31%	1.87%	3.14%	2.21%	2.68%	3.20%	0.62%	0.0%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
