Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
"Наименование Избирательной комиссии:    г. Чита, Железнодорожная"																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75					
		1.31%	0.85%	1.10%	1.20%	0.72%	2.31%	1.84%	0.94%	1.73%	0.82%	1.05%	1.45%	0.82%	0.92%	2.94%					
30	"13. ""Демократическая партия России"""	31	2	3	4	6	1	0	0	3	2	1	2	1	4	2					
		0.20%	0.21%	0.30%	0.30%	0.54%	0.08%	0.0%	0.0%	0.20%	0.23%	0.09%	0.13%	0.13%	0.28%	0.45%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	2	4	4	1	0	2	0	5	2	2	2	1	1	1					
		0.17%	0.21%	0.40%	0.30%	0.09%	0.0%	0.16%	0.0%	0.33%	0.23%	0.19%	0.13%	0.13%	0.07%	0.22%					
32	"15. ""Партия СЛОН"""	20	1	0	1	2	5	1	2	1	0	0	5	1	1	0					
		0.13%	0.10%	0.0%	0.07%	0.18%	0.44%	0.08%	0.20%	0.06%	0.0%	0.0%	0.33%	0.13%	0.07%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1015	53	75	115	103	87	77	57	113	32	65	80	33	99	26					
		6.72%	5.69%	7.55%	8.63%	9.38%	7.76%	6.44%	5.96%	7.55%	3.78%	6.25%	5.28%	4.53%	7.05%	5.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	43	4	2	4	4	4	3	3	3	0	0	5	3	3	5					
		0.28%	0.42%	0.20%	0.30%	0.36%	0.35%	0.25%	0.31%	0.20%	0.0%	0.0%	0.33%	0.41%	0.21%	1.13%					
35	"18. ""ЛДПР"""	3466	235	218	264	218	229	260	214	312	232	229	342	248	351	114					
		22.96%	25.24%	21.95%	19.81%	19.87%	20.42%	21.77%	22.38%	20.85%	27.45%	22.01%	22.60%	34.06%	25.0%	25.85%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	242	16	17	28	16	17	22	16	23	14	14	20	9	26	4					
		1.60%	1.71%	1.71%	2.10%	1.45%	1.51%	1.84%	1.67%	1.53%	1.65%	1.34%	1.32%	1.23%	1.85%	0.90%					
37	"20. ""Политическая партия ""Единая Россия"""	5259	334	312	472	367	347	386	337	519	287	369	567	277	541	144					
		34.84%	35.87%	31.41%	35.43%	33.45%	30.95%	32.32%	35.25%	34.69%	33.96%	35.48%	37.47%	38.04%	38.53%	32.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	2	2	0	1	1	2	2	4	1	1	2	0	2	1					
		0.13%	0.21%	0.20%	0.0%	0.09%	0.08%	0.16%	0.20%	0.26%	0.11%	0.09%	0.13%	0.0%	0.14%	0.22%					
39	"22. ""Развитие предпринимательства"""	29	4	1	4	1	5	1	2	1	0	1	3	1	3	2					
		0.19%	0.42%	0.10%	0.30%	0.09%	0.44%	0.08%	0.20%	0.06%	0.0%	0.09%	0.19%	0.13%	0.21%	0.45%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1684	71	136	143	148	157	150	115	189	113	141	114	41	112	54					
		11.15%	7.62%	13.69%	10.73%	13.49%	14.00%	12.56%	12.02%	12.63%	13.37%	13.55%	7.53%	5.63%	7.97%	12.24%					
																					
41	Против всех	636	46	47	57	48	38	63	35	49	31	31	89	32	51	19					
		4.21%	4.94%	4.73%	4.27%	4.37%	3.38%	5.27%	3.66%	3.27%	3.66%	2.98%	5.88%	4.39%	3.63%	4.30%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
