Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Бронницкая городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
		0.29%	0.34%	0.34%	0.15%	0.15%	0.29%	0.08%	0.69%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1131	229	134	177	166	113	154	158					
		12.98%	15.59%	11.40%	13.69%	12.67%	10.98%	13.48%	12.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	2	6	4	2	2	2	1					
		0.21%	0.13%	0.51%	0.30%	0.15%	0.19%	0.17%	0.07%					
35	"18. ""ЛДПР"""	947	139	143	127	128	139	125	146					
		10.87%	9.46%	12.17%	9.82%	9.77%	13.50%	10.94%	11.26%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	161	20	15	21	29	15	40	21					
		1.84%	1.36%	1.27%	1.62%	2.21%	1.45%	3.50%	1.62%					
37	"20. ""Политическая партия ""Единая Россия"""	3006	536	366	436	449	366	376	477					
		34.50%	36.51%	31.14%	33.74%	34.27%	35.56%	32.92%	36.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	2	1	1	1	3	2	0					
		0.11%	0.13%	0.08%	0.07%	0.07%	0.29%	0.17%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	3	1	3	6	4	2	7					
		0.29%	0.20%	0.08%	0.23%	0.45%	0.38%	0.17%	0.54%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	869	128	123	170	126	107	96	119					
		9.97%	8.71%	10.46%	13.15%	9.61%	10.39%	8.40%	9.18%					
														
41	Против всех	614	109	89	87	107	58	75	89					
		7.04%	7.42%	7.57%	6.73%	8.16%	5.63%	6.56%	6.86%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
