Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																								
Дата голосования: 02.12.2007																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2612					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4380	40	50	30	40	70	50	60	60	85	70	30	50	70	50	50	30	30	30	30	50	30	30	50	50	50	70	40	30	30	30	30	40	30	30	50	40	30	30	50	60	0	40	30	60	40	30	100	30	80	30	70	30	35	60	50	45	40	60	60	50	60	50	40	30	30	30	30	30	60	30	30	40	30	40	40	80	30	65	60	60	40	60	40	30	40	30	40	30	60	100	90	50	60	100	0	0	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3621	40	37	28	40	70	41	57	41	67	62	30	43	70	44	39	25	26	26	12	28	23	21	37	41	44	63	27	12	27	18	29	37	28	28	30	31	21	16	40	56	0	40	25	52	39	30	87	22	74	20	51	11	34	52	46	41	31	48	42	50	48	43	39	22	18	17	26	24	60	23	14	33	19	40	34	80	23	58	50	42	37	55	40	14	31	20	32	19	51	81	86	49	39	95	0	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3157	14	16	7	2	10	25	13	52	107	30	13	39	22	33	14	45	360	23	12	12	21	90	17	16	54	19	7	13	16	30	10	6	9	9	6	11	10	11	9	33	679	10	17	18	14	6	16	6	29	17	28	14	8	12	15	16	11	27	9	10	15	11	5	48	5	10	8	3	12	11	8	25	22	23	10	14	8	18	113	9	16	14	10	9	12	38	21	7	16	20	23	15	13	25	171	153	8					
14	Число погашенных неиспользованных открепительных удостоверений	759	0	13	2	0	0	9	3	19	18	8	0	7	0	6	11	5	4	4	18	22	7	9	13	9	6	7	13	18	3	12	1	3	2	2	20	9	9	14	10	4	0	0	5	8	1	0	13	8	6	10	19	19	1	8	4	4	9	12	18	0	12	7	1	8	12	13	4	6	0	7	16	7	11	0	6	0	7	7	10	18	3	5	0	16	9	10	8	11	9	19	4	1	21	5	0	0	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																								
18	1.Политическая партия «Аграрная партия России»	1180	23	0	20	29	2	3	2	24	19	0	16	24	27	0	2	12	23	17	6	11	10	10	24	20	33	20	11	6	18	16	20	3	7	0	16	19	24	9	5	19	7	11	9	21	17	15	8	0	29	7	17	6	9	18	8	7	17	25	27	5	2	0	6	11	8	10	5	11	3	15	1	15	1	5	9	11	14	10	15	15	23	22	1	8	12	8	0	1	15	33	16	28	11	12	2	6	2					
		0.98%	1.56%	0.00%	1.42%	1.59%	0.11%	0.22%	0.14%	2.15%	1.47%	0.00%	2.08%	1.91%	2.41%	0.00%	0.21%	0.78%	1.27%	1.96%	0.91%	1.10%	1.26%	1.10%	1.60%	1.45%	2.78%	1.36%	0.99%	1.06%	1.61%	1.44%	1.01%	0.18%	0.49%	0.00%	1.19%	1.14%	1.71%	0.96%	0.36%	1.28%	1.00%	0.66%	1.09%	0.99%	1.23%	2.20%	0.63%	0.00%	1.70%	0.80%	1.39%	1.04%	0.63%	0.92%	0.40%	0.57%	1.36%	1.24%	2.16%	0.43%	0.14%	0.00%	0.61%	1.09%	0.87%	0.91%	0.57%	0.79%	0.17%	1.41%	0.19%	1.09%	0.20%	0.49%	0.82%	1.03%	2.31%	0.56%	1.03%	1.40%	1.62%	1.12%	0.09%	1.28%	1.18%	1.75%	0.00%	0.12%	1.25%	2.38%	0.95%	1.53%	1.01%	0.67%	1.17%	3.92%	0.29%					
19	2.Всероссийская политическая партия «Гражданская Сила»	574	10	0	11	15	2	0	19	13	12	0	7	15	12	2	2	14	25	7	1	6	5	5	8	13	11	9	6	1	6	3	6	2	0	0	4	2	2	1	2	5	3	8	2	14	13	12	9	0	18	10	27	5	8	7	2	6	4	4	5	0	2	0	2	2	1	3	2	4	4	3	2	1	0	6	6	3	2	7	12	13	7	10	0	0	9	2	0	1	5	6	12	10	2	10	1	0	3					
		0.48%	0.68%	0.00%	0.78%	0.82%	0.11%	0.00%	1.34%	1.16%	0.93%	0.00%	0.91%	1.19%	1.07%	0.19%	0.21%	0.91%	1.38%	0.81%	0.15%	0.60%	0.63%	0.55%	0.53%	0.94%	0.93%	0.61%	0.54%	0.18%	0.54%	0.27%	0.30%	0.12%	0.00%	0.00%	0.30%	0.12%	0.14%	0.11%	0.14%	0.34%	0.43%	0.48%	0.24%	0.66%	0.94%	1.76%	0.71%	0.00%	1.06%	1.15%	2.20%	0.87%	0.56%	0.36%	0.10%	0.49%	0.32%	0.20%	0.40%	0.00%	0.14%	0.00%	0.20%	0.20%	0.11%	0.27%	0.23%	0.29%	0.23%	0.28%	0.38%	0.07%	0.00%	0.59%	0.55%	0.28%	0.33%	0.39%	0.83%	1.21%	0.49%	0.51%	0.00%	0.00%	0.88%	0.44%	0.00%	0.12%	0.42%	0.43%	0.71%	0.55%	0.18%	0.56%	0.58%	0.00%	0.43%					
20	3.Политическая партия «Демократическая партия России»	81	2	1	1	9	2	0	0	1	1	0	1	1	0	0	2	0	2	1	0	1	2	0	2	0	2	0	1	1	0	1	0	1	0	0	0	0	1	1	1	3	1	1	0	2	3	0	2	0	1	0	0	0	0	1	0	0	1	2	2	0	5	0	2	0	1	1	1	1	1	0	0	0	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0					
		0.07%	0.14%	0.08%	0.07%	0.49%	0.11%	0.00%	0.00%	0.09%	0.08%	0.00%	0.13%	0.08%	0.00%	0.00%	0.21%	0.00%	0.11%	0.12%	0.00%	0.10%	0.25%	0.00%	0.13%	0.00%	0.17%	0.00%	0.09%	0.18%	0.00%	0.09%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.07%	0.11%	0.07%	0.20%	0.14%	0.06%	0.00%	0.09%	0.22%	0.00%	0.16%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.08%	0.10%	0.16%	0.00%	0.35%	0.00%	0.20%	0.00%	0.11%	0.09%	0.11%	0.07%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.09%	0.00%	0.00%	0.14%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.08%	0.00%	0.06%	0.05%	0.00%	0.00%	0.58%	0.65%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10082	147	114	143	201	185	129	141	101	199	192	93	142	133	159	159	118	165	88	49	76	74	42	132	62	111	107	105	34	74	69	117	16	115	218	124	142	131	64	159	77	49	52	86	146	93	55	96	3	59	72	144	42	80	173	53	124	94	140	48	84	60	229	68	51	86	126	48	71	94	89	40	118	42	43	88	141	79	129	148	176	123	147	81	75	92	56	185	56	170	126	158	149	65	187	21	33	32					
		8.41%	9.94%	8.67%	10.16%	11.03%	9.89%	9.55%	9.97%	9.05%	15.35%	13.23%	12.11%	11.29%	11.86%	15.11%	16.48%	7.69%	9.09%	10.13%	7.44%	7.59%	9.33%	4.60%	8.79%	4.49%	9.35%	7.25%	9.45%	6.02%	6.62%	6.20%	5.91%	0.95%	8.02%	10.50%	9.24%	8.53%	9.36%	6.86%	11.37%	5.20%	7.01%	3.10%	10.42%	6.89%	6.74%	8.05%	7.59%	0.23%	3.46%	8.27%	11.74%	7.27%	5.61%	8.88%	2.66%	10.17%	7.54%	6.92%	3.84%	7.30%	4.14%	14.96%	6.94%	5.05%	9.33%	11.53%	5.44%	5.13%	5.38%	8.34%	7.59%	8.61%	8.40%	4.24%	8.02%	13.18%	13.01%	7.26%	10.19%	16.42%	8.66%	7.49%	7.49%	11.96%	9.05%	12.23%	14.26%	6.99%	14.12%	9.08%	9.37%	8.15%	5.95%	10.39%	12.28%	21.57%	4.62%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	499	4	3	4	7	3	4	4	7	16	1	6	16	7	6	3	4	14	6	0	1	3	3	3	4	5	4	12	1	0	2	3	3	8	0	7	10	8	4	5	16	4	4	0	10	7	2	2	3	8	3	6	5	11	0	5	18	2	12	7	3	1	0	2	16	1	6	0	5	5	14	1	7	0	6	4	6	1	2	11	13	2	7	5	1	3	3	2	2	3	8	5	12	5	7	2	1	1					
		0.42%	0.27%	0.23%	0.28%	0.38%	0.16%	0.30%	0.28%	0.63%	1.23%	0.07%	0.78%	1.27%	0.62%	0.57%	0.31%	0.26%	0.77%	0.69%	0.00%	0.10%	0.38%	0.33%	0.20%	0.29%	0.42%	0.27%	1.08%	0.18%	0.00%	0.18%	0.15%	0.18%	0.56%	0.00%	0.52%	0.60%	0.57%	0.43%	0.36%	1.08%	0.57%	0.24%	0.00%	0.47%	0.51%	0.29%	0.16%	0.23%	0.47%	0.34%	0.49%	0.87%	0.77%	0.00%	0.25%	1.48%	0.16%	0.59%	0.56%	0.26%	0.07%	0.00%	0.20%	1.59%	0.11%	0.55%	0.00%	0.36%	0.29%	1.31%	0.19%	0.51%	0.00%	0.59%	0.36%	0.56%	0.16%	0.11%	0.76%	1.21%	0.14%	0.36%	0.46%	0.16%	0.29%	0.66%	0.15%	0.25%	0.25%	0.58%	0.30%	0.66%	0.46%	0.39%	1.17%	0.65%	0.14%					
23	6.Политическая партия «Партия социальной справедливости»	176	3	0	2	7	1	0	2	6	6	0	1	0	1	0	0	4	2	1	0	1	2	2	0	1	3	5	3	3	1	3	3	7	0	0	5	1	1	0	5	1	2	5	2	1	3	2	3	0	1	0	3	0	5	1	2	2	0	9	1	0	2	0	2	1	0	1	1	0	2	3	1	0	0	3	3	0	0	2	0	1	4	1	3	0	4	1	1	1	0	3	0	4	3	3	1	0	0					
		0.15%	0.20%	0.00%	0.14%	0.38%	0.05%	0.00%	0.14%	0.54%	0.46%	0.00%	0.13%	0.00%	0.09%	0.00%	0.00%	0.26%	0.11%	0.12%	0.00%	0.10%	0.25%	0.22%	0.00%	0.07%	0.25%	0.34%	0.27%	0.53%	0.09%	0.27%	0.15%	0.42%	0.00%	0.00%	0.37%	0.06%	0.07%	0.00%	0.36%	0.07%	0.29%	0.30%	0.24%	0.05%	0.22%	0.29%	0.24%	0.00%	0.06%	0.00%	0.24%	0.00%	0.35%	0.05%	0.10%	0.16%	0.00%	0.44%	0.08%	0.00%	0.14%	0.00%	0.20%	0.10%	0.00%	0.09%	0.11%	0.00%	0.11%	0.28%	0.19%	0.00%	0.00%	0.30%	0.27%	0.00%	0.00%	0.11%	0.00%	0.09%	0.28%	0.05%	0.28%	0.00%	0.39%	0.22%	0.08%	0.12%	0.00%	0.22%	0.00%	0.22%	0.27%	0.17%	0.58%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	6253	125	43	99	130	35	53	101	67	68	20	51	79	97	15	38	82	178	73	50	70	53	80	115	38	112	66	103	53	77	53	45	41	32	19	76	103	114	68	50	52	51	175	5	113	90	53	6	2	71	46	77	29	75	107	127	92	91	100	52	8	18	0	53	39	9	54	46	81	19	45	33	74	19	40	62	90	37	27	92	66	65	108	57	49	83	47	12	35	102	95	233	59	8	126	23	11	42					
		5.21%	8.45%	3.27%	7.04%	7.13%	1.87%	3.92%	7.14%	6.00%	5.25%	1.38%	6.64%	6.28%	8.65%	1.43%	3.94%	5.35%	9.81%	8.40%	7.59%	6.99%	6.68%	8.76%	7.66%	2.75%	9.44%	4.47%	9.27%	9.38%	6.89%	4.76%	2.27%	2.44%	2.23%	0.91%	5.66%	6.19%	8.14%	7.29%	3.57%	3.51%	7.30%	10.42%	0.61%	5.34%	6.53%	7.76%	0.47%	0.15%	4.16%	5.28%	6.28%	5.02%	5.26%	5.49%	6.38%	7.55%	7.30%	4.94%	4.16%	0.70%	1.24%	0.00%	5.41%	3.87%	0.98%	4.94%	5.21%	5.85%	1.09%	4.22%	6.26%	5.40%	3.80%	3.95%	5.65%	8.41%	6.10%	1.52%	6.33%	6.16%	4.58%	5.50%	5.27%	7.81%	8.16%	10.26%	0.93%	4.37%	8.47%	6.85%	13.81%	3.23%	0.73%	7.00%	13.45%	7.19%	6.06%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8373	138	154	129	189	136	53	142	148	158	25	101	129	125	28	54	81	141	23	38	98	87	72	159	153	110	110	82	38	80	66	78	48	83	131	73	65	90	54	50	78	40	59	47	71	150	87	71	112	19	98	138	51	134	49	74	140	87	53	57	12	35	0	49	59	62	88	58	86	170	35	29	80	32	94	71	110	87	138	170	162	161	159	53	42	97	22	14	44	159	151	92	46	102	200	18	20	32					
		6.98%	9.33%	11.71%	9.17%	10.37%	7.27%	3.92%	10.04%	13.26%	12.19%	1.72%	13.15%	10.25%	11.15%	2.66%	5.60%	5.28%	7.77%	2.65%	5.77%	9.79%	10.97%	7.89%	10.59%	11.08%	9.27%	7.45%	7.38%	6.73%	7.16%	5.93%	3.94%	2.86%	5.79%	6.31%	5.44%	3.90%	6.43%	5.79%	3.57%	5.27%	5.72%	3.51%	5.70%	3.35%	10.88%	12.74%	5.61%	8.62%	1.11%	11.25%	11.25%	8.82%	9.40%	2.51%	3.72%	11.48%	6.98%	2.62%	4.56%	1.04%	2.42%	0.00%	5.00%	5.85%	6.72%	8.05%	6.57%	6.21%	9.74%	3.28%	5.50%	5.84%	6.40%	9.28%	6.47%	10.28%	14.33%	7.76%	11.70%	15.11%	11.34%	8.10%	4.90%	6.70%	9.54%	4.80%	1.08%	5.49%	13.21%	10.89%	5.45%	2.52%	9.33%	11.12%	10.53%	13.07%	4.62%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	509	5	0	6	12	2	8	1	7	7	1	4	6	8	2	1	8	13	6	2	13	3	4	4	7	2	7	3	5	2	8	9	2	0	0	2	14	8	3	5	11	4	9	5	13	4	4	4	0	10	8	11	4	4	10	6	7	8	3	5	0	10	0	5	8	2	4	5	7	5	7	0	4	2	2	10	6	4	2	8	9	5	8	5	4	2	7	0	1	5	5	10	14	4	2	2	5	0					
		0.42%	0.34%	0.00%	0.43%	0.66%	0.11%	0.59%	0.07%	0.63%	0.54%	0.07%	0.52%	0.48%	0.71%	0.19%	0.10%	0.52%	0.72%	0.69%	0.30%	1.30%	0.38%	0.44%	0.27%	0.51%	0.17%	0.47%	0.27%	0.88%	0.18%	0.72%	0.45%	0.12%	0.00%	0.00%	0.15%	0.84%	0.57%	0.32%	0.36%	0.74%	0.57%	0.54%	0.61%	0.61%	0.29%	0.59%	0.32%	0.00%	0.59%	0.92%	0.90%	0.69%	0.28%	0.51%	0.30%	0.57%	0.64%	0.15%	0.40%	0.00%	0.69%	0.00%	0.51%	0.79%	0.22%	0.37%	0.57%	0.51%	0.29%	0.66%	0.00%	0.29%	0.40%	0.20%	0.91%	0.56%	0.66%	0.11%	0.55%	0.84%	0.35%	0.41%	0.46%	0.64%	0.20%	1.53%	0.00%	0.12%	0.42%	0.36%	0.59%	0.77%	0.37%	0.11%	1.17%	3.27%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	90806	999	990	971	1206	1482	1093	987	727	783	1210	465	831	685	838	693	1192	1214	635	508	716	542	676	1025	1063	782	1130	775	414	844	883	1686	1550	1182	1709	1015	1292	1008	714	1093	1209	447	1330	655	1711	982	442	1041	1177	1449	613	773	430	1096	1560	1706	801	927	1657	1026	1029	1309	1299	787	808	747	790	709	1111	1440	847	408	1061	404	810	829	686	377	1448	973	604	1017	1487	876	435	709	306	1073	650	723	939	1124	1481	881	1239	98	74	578					
		75.72%	67.55%	75.29%	69.01%	66.15%	79.21%	80.90%	69.80%	65.14%	60.42%	83.39%	60.55%	66.06%	61.11%	79.66%	71.81%	77.71%	66.89%	73.07%	77.09%	71.53%	68.35%	74.04%	68.24%	76.97%	65.88%	76.56%	69.76%	73.27%	75.56%	79.34%	85.15%	92.26%	82.43%	82.28%	75.63%	77.60%	72.00%	76.53%	78.13%	81.69%	63.95%	79.21%	79.39%	80.78%	71.21%	64.71%	82.29%	90.54%	84.99%	70.38%	62.99%	74.39%	76.86%	80.04%	85.69%	65.71%	74.34%	81.91%	82.08%	89.48%	90.34%	84.85%	80.31%	80.08%	81.02%	72.28%	80.29%	80.22%	82.47%	79.38%	77.42%	77.39%	80.80%	79.96%	75.57%	64.11%	62.11%	81.44%	66.96%	56.34%	71.62%	75.79%	81.04%	69.38%	69.71%	66.81%	82.73%	81.15%	60.05%	67.70%	66.63%	81.02%	80.60%	68.87%	57.31%	48.37%	83.41%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	692	10	0	7	18	1	2	13	9	27	0	19	9	14	2	3	12	26	9	1	4	7	14	13	12	12	4	4	4	3	9	7	7	0	0	8	9	6	9	4	5	2	5	7	6	8	6	14	3	32	4	25	3	3	12	3	10	8	12	12	2	5	0	4	9	2	7	3	2	3	4	4	2	0	4	5	9	5	2	10	8	3	3	0	3	6	3	1	1	11	16	22	12	7	13	1	1	1					
