Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																									
Дата голосования: 04.12.2011																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2612	УИК №2621					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1709	10	13	1	5	3	3	14	13	18	15	10	215	61	18	27	12	188	5	5	6	41	12	15	7	8	4	10	10	7	7	8	7	13	10	5	13	7	4	9	9	109	61	5	8	12	12	14	9	25	8	15	3	13	7	13	8	30	30	10	6	11	12	17	9	7	4	4	2	12	4	3	10	5	11	3	9	5	16	23	6	6	7	10	9	9	5	16	4	8	13	12	9	7	24	45	96	2	8					
14	Число погашенных неиспользованных открепительных удостоверений	578	6	0	0	4	0	5	5	7	2	2	8	4	3	4	10	15	3	0	14	1	7	11	3	0	9	6	4	2	10	9	15	11	10	2	6	2	4	9	2	4	0	12	6	8	11	7	1	6	10	11	1	3	9	3	1	4	8	6	8	0	13	11	8	13	4	15	11	18	0	0	3	7	8	9	11	12	6	0	7	2	0	6	9	5	6	4	0	5	17	7	0	4	9	4	0	0	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	1	0	4	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9842	60	103	193	66	19	4	14	8	3	65	87	204	197	155	24	29	167	157	72	175	118	35	223	56	197	30	200	70	3	31	122	109	164	141	116	113	131	83	171	9	124	101	13	100	186	42	4	8	229	117	186	94	6	15	42	246	131	132	1	255	152	201	108	126	4	44	142	177	3	29	70	134	43	102	131	4	135	80	255	62	23	24	15	27	145	15	18	86	261	278	15	258	228	425	20	27	8	11					
		9.57%	3.65%	9.63%	18.59%	4.60%	3.73%	0.41%	1.25%	0.72%	0.21%	4.93%	11.90%	21.36%	21.34%	16.56%	2.12%	1.82%	17.11%	21.99%	12.50%	25.51%	16.46%	5.26%	23.13%	3.92%	17.88%	2.15%	14.96%	16.63%	0.43%	3.40%	8.33%	6.63%	11.92%	8.05%	9.10%	7.17%	14.52%	12.31%	17.59%	0.79%	14.37%	6.08%	1.93%	7.52%	14.40%	7.17%	0.33%	0.74%	18.44%	17.57%	19.72%	22.38%	0.73%	1.21%	2.75%	24.75%	10.47%	8.35%	0.10%	29.14%	12.05%	11.33%	9.01%	13.13%	0.50%	4.99%	16.80%	19.69%	0.20%	3.70%	13.13%	13.55%	8.78%	14.31%	13.33%	0.34%	26.42%	4.72%	21.20%	4.75%	1.74%	1.97%	1.78%	3.41%	10.90%	2.51%	1.93%	14.93%	22.03%	19.47%	0.90%	19.05%	19.24%	26.68%	9.01%	15.17%	1.58%	1.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6787	13	97	145	39	3	1	2	2	2	97	96	138	121	105	24	28	152	71	57	103	84	2	141	41	155	3	130	68	1	17	102	30	214	302	86	123	110	51	104	2	113	74	7	3	151	90	3	21	173	38	139	44	2	7	8	124	132	5	1	89	114	114	97	121	4	54	105	113	2	21	42	88	31	81	96	1	48	17	159	15	10	9	2	5	137	8	7	107	170	222	2	131	121	183	27	18	10	9					
		6.60%	0.79%	9.07%	13.97%	2.72%	0.59%	0.10%	0.18%	0.18%	0.14%	7.35%	13.13%	14.45%	13.11%	11.22%	2.12%	1.76%	15.57%	9.94%	9.90%	15.01%	11.72%	0.30%	14.63%	2.87%	14.07%	0.22%	9.72%	16.15%	0.14%	1.87%	6.96%	1.83%	15.55%	17.25%	6.75%	7.80%	12.20%	7.57%	10.70%	0.17%	13.09%	4.46%	1.04%	0.23%	11.69%	15.36%	0.25%	1.93%	13.93%	5.71%	14.74%	10.48%	0.24%	0.56%	0.52%	12.47%	10.55%	0.32%	0.10%	10.17%	9.04%	6.43%	8.09%	12.60%	0.50%	6.13%	12.43%	12.57%	0.14%	2.68%	7.88%	8.90%	6.33%	11.36%	9.77%	0.08%	9.39%	1.00%	13.22%	1.15%	0.76%	0.74%	0.24%	0.63%	10.30%	1.34%	0.75%	18.58%	14.35%	15.55%	0.12%	9.68%	10.21%	11.49%	12.16%	10.11%	1.98%	1.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	490	3	3	13	2	1	0	0	0	0	0	2	13	12	12	2	1	12	7	2	10	9	1	6	3	12	1	11	2	0	7	9	2	4	5	2	7	9	6	5	0	4	6	1	3	13	1	0	0	12	1	16	4	0	0	2	12	7	15	0	10	12	7	3	8	0	5	9	6	0	6	0	7	1	2	9	1	7	3	11	0	7	3	1	2	3	2	1	7	11	13	0	13	11	14	1	1	0	0					
		0.48%	0.18%	0.28%	1.25%	0.14%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	1.36%	1.30%	1.28%	0.18%	0.06%	1.23%	0.98%	0.35%	1.46%	1.26%	0.15%	0.62%	0.21%	1.09%	0.07%	0.82%	0.48%	0.00%	0.77%	0.61%	0.12%	0.29%	0.29%	0.16%	0.44%	0.99%	0.89%	0.51%	0.00%	0.46%	0.36%	0.15%	0.23%	1.01%	0.17%	0.00%	0.00%	0.97%	0.15%	1.70%	0.95%	0.00%	0.00%	0.13%	1.21%	0.56%	0.95%	0.00%	1.14%	0.95%	0.39%	0.25%	0.83%	0.00%	0.57%	1.07%	0.67%	0.00%	0.77%	0.00%	0.71%	0.20%	0.28%	0.92%	0.08%	1.37%	0.18%	0.91%	0.00%	0.53%	0.25%	0.12%	0.25%	0.23%	0.33%	0.11%	1.22%	0.93%	0.91%	0.00%	0.96%	0.93%	0.88%	0.45%	0.56%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18316	245	209	184	232	76	203	250	249	346	226	172	231	230	194	276	249	243	181	81	162	142	131	245	177	248	249	177	60	149	115	150	180	186	189	226	216	187	123	205	214	143	168	140	150	198	147	221	177	323	120	247	86	169	325	258	221	172	161	194	212	207	210	121	147	173	117	147	168	294	99	55	125	63	95	144	237	128	340	254	199	223	259	144	111	189	91	188	107	252	301	291	257	235	392	20	23	86	184					
		17.82%	14.88%	19.53%	17.73%	16.16%	14.90%	20.71%	22.26%	22.35%	24.26%	17.13%	23.53%	24.19%	24.92%	20.73%	24.36%	15.64%	24.90%	25.35%	14.06%	23.62%	19.80%	19.67%	25.41%	12.39%	22.50%	17.85%	13.24%	14.25%	21.16%	12.62%	10.24%	10.96%	13.52%	10.79%	17.73%	13.71%	20.73%	18.25%	21.09%	18.71%	16.57%	10.12%	20.83%	11.29%	15.33%	25.09%	18.33%	16.27%	26.01%	18.02%	26.19%	20.48%	20.66%	26.19%	16.86%	22.23%	13.75%	10.18%	19.74%	24.23%	16.42%	11.84%	10.09%	15.31%	21.44%	13.28%	17.40%	18.69%	19.91%	12.63%	10.32%	12.64%	12.86%	13.32%	14.65%	20.02%	25.05%	20.06%	21.11%	15.24%	16.91%	21.25%	17.10%	14.02%	14.21%	15.22%	20.17%	18.58%	21.27%	21.08%	17.44%	18.98%	19.83%	24.61%	9.01%	12.92%	16.99%	22.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1360	2	2	34	1	2	2	0	0	1	4	2	62	68	45	2	7	30	23	5	26	33	1	20	3	24	6	21	11	0	1	15	3	12	32	9	18	15	7	11	1	19	22	1	3	32	2	1	1	63	1	49	15	1	2	0	27	23	45	1	32	15	21	13	30	0	23	17	8	0	0	6	18	4	3	12	0	7	3	22	4	0	1	2	3	21	2	2	8	41	43	0	31	24	70	1	3	0	1					
		1.32%	0.12%	0.19%	3.28%	0.07%	0.39%	0.20%	0.00%	0.00%	0.07%	0.30%	0.27%	6.49%	7.37%	4.81%	0.18%	0.44%	3.07%	3.22%	0.87%	3.79%	4.60%	0.15%	2.07%	0.21%	2.18%	0.43%	1.57%	2.61%	0.00%	0.11%	1.02%	0.18%	0.87%	1.83%	0.71%	1.14%	1.66%	1.04%	1.13%	0.09%	2.20%	1.33%	0.15%	0.23%	2.48%	0.34%	0.08%	0.09%	5.07%	0.15%	5.20%	3.57%	0.12%	0.16%	0.00%	2.72%	1.84%	2.85%	0.10%	3.66%	1.19%	1.18%	1.08%	3.13%	0.00%	2.61%	2.01%	0.89%	0.00%	0.00%	1.13%	1.82%	0.82%	0.42%	1.22%	0.00%	1.37%	0.18%	1.83%	0.31%	0.00%	0.08%	0.24%	0.38%	1.58%	0.33%	0.21%	1.39%	3.46%	3.01%	0.00%	2.29%	2.03%	4.39%	0.45%	1.69%	0.00%	0.12%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	64087	1308	635	443	1089	405	760	837	841	1053	927	358	298	278	394	781	1260	350	263	350	197	314	486	310	1128	445	1094	776	200	538	731	1065	1308	775	1053	828	1074	430	395	452	906	441	1268	501	1046	696	294	918	875	411	389	292	174	632	874	1204	344	768	871	770	264	738	1174	852	510	621	630	414	415	1158	625	356	591	346	430	571	920	178	1249	474	1026	1045	895	662	632	822	472	701	246	427	553	1230	649	553	481	152	104	401	617					
		62.34%	79.47%	59.35%	42.68%	75.84%	79.41%	77.55%	74.53%	75.49%	73.84%	70.28%	48.97%	31.20%	30.12%	42.09%	68.93%	79.15%	35.86%	36.83%	60.76%	28.72%	43.79%	72.97%	32.16%	78.99%	40.38%	78.42%	58.04%	47.51%	76.42%	80.24%	72.70%	79.61%	56.32%	60.14%	64.94%	68.15%	47.67%	58.61%	46.50%	79.20%	51.10%	76.39%	74.55%	78.71%	53.87%	50.17%	76.12%	80.42%	33.09%	58.41%	30.97%	41.43%	77.26%	70.43%	78.69%	34.61%	61.39%	55.09%	78.33%	30.17%	58.52%	66.18%	71.06%	53.13%	76.95%	71.51%	48.99%	46.16%	78.40%	79.72%	66.79%	59.76%	70.61%	60.31%	58.09%	77.70%	34.83%	73.69%	39.40%	78.56%	79.23%	73.42%	78.62%	79.80%	61.80%	78.93%	75.21%	42.71%	36.03%	38.73%	73.70%	47.93%	46.67%	30.19%	68.47%	58.43%	79.25%	74.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	231	5	2	5	1	0	0	0	0	1	0	2	6	5	8	2	1	7	1	2	3	7	1	3	3	2	2	2	3	0	1	2	3	3	4	3	4	4	3	3	0	5	2	1	3	4	1	1	0	5	0	6	0	0	0	2	4	3	6	0	6	5	6	2	9	0	2	2	4	0	0	0	2	2	0	2	0	3	3	10	0	0	3	1	1	2	0	1	0	6	2	0	2	1	7	0	0	0	0					
		0.22%	0.30%	0.19%	0.48%	0.07%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.27%	0.63%	0.54%	0.85%	0.18%	0.06%	0.72%	0.14%	0.35%	0.44%	0.98%	0.15%	0.31%	0.21%	0.18%	0.14%	0.15%	0.71%	0.00%	0.11%	0.14%	0.18%	0.22%	0.23%	0.24%	0.25%	0.44%	0.45%	0.31%	0.00%	0.58%	0.12%	0.15%	0.23%	0.31%	0.17%	0.08%	0.00%	0.40%	0.00%	0.64%	0.00%	0.00%	0.00%	0.13%	0.40%	0.24%	0.38%	0.00%	0.69%	0.40%	0.34%	0.17%	0.94%	0.00%	0.23%	0.24%	0.44%	0.00%	0.00%	0.00%	0.20%	0.41%	0.00%	0.20%	0.00%	0.59%	0.18%	0.83%	0.00%	0.00%	0.25%	0.12%	0.13%	0.15%	0.00%	0.11%	0.00%	0.51%	0.14%	0.00%	0.15%	0.08%	0.44%	0.00%	0.00%	0.00%	0.00%					
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
