Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Сыктывкарская городская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258					
20	. Миронов Сергей Михайлович	648	1	12	2	4	0	5	12	11	11	6	5	7	8	4	4	9	0	13	6	13	14	10	5	11	7	14	11	10	17	18	10	10	9	8	6	16	5	8	3	7	6	4	7	5	7	10	3	10	10	9	11	3	4	8	11	7	8	14	10	9	7	9	13	13	11	7	0	8	4	13	7	11	9	6	11	11	4	12	4	0					
		0.79%	1.43%	0.75%	0.62%	0.47%	0.00%	0.84%	1.17%	1.07%	1.19%	1.07%	0.62%	0.91%	0.87%	0.38%	0.58%	1.23%	0.00%	0.88%	0.38%	1.00%	1.29%	0.68%	1.01%	1.10%	0.65%	1.23%	0.95%	0.93%	1.55%	1.34%	0.80%	0.80%	0.55%	0.64%	0.43%	0.85%	0.61%	0.70%	0.43%	0.80%	0.85%	0.38%	0.68%	0.55%	0.76%	0.96%	0.42%	0.94%	0.84%	0.89%	1.60%	0.43%	0.34%	0.65%	0.87%	0.66%	0.55%	0.83%	0.70%	0.65%	0.82%	1.03%	1.30%	0.84%	1.50%	1.18%	0.00%	0.70%	0.32%	0.91%	0.52%	0.85%	0.78%	0.74%	0.96%	0.79%	0.32%	0.86%	0.74%	0.00%					
21	. Путин Владимир Владимирович	58503	51	1175	251	705	138	416	733	728	637	396	618	578	703	780	534	519	155	995	1117	861	728	963	386	751	784	784	789	775	803	953	931	860	1178	856	1006	1542	607	885	453	611	527	928	673	611	641	724	489	820	780	703	535	519	786	829	887	711	950	1108	919	946	595	571	714	1002	561	402	511	779	872	961	941	908	837	557	795	988	965	1029	437	257					
		70.94%	72.86%	73.76%	78.19%	82.55%	74.19%	69.68%	71.23%	70.68%	68.94%	70.59%	76.67%	75.46%	76.41%	73.38%	77.96%	70.90%	75.98%	67.55%	70.47%	66.28%	67.16%	65.20%	78.14%	75.33%	73.13%	68.83%	68.19%	71.69%	73.20%	71.01%	74.18%	68.42%	71.39%	68.10%	71.96%	82.11%	74.02%	77.36%	65.09%	69.51%	74.23%	89.23%	65.40%	67.14%	69.15%	69.62%	67.82%	77.21%	65.16%	69.33%	77.87%	74.46%	66.67%	67.07%	69.90%	66.70%	65.43%	66.07%	64.09%	67.86%	69.51%	65.63%	71.26%	64.56%	76.64%	67.79%	69.34%	68.51%	68.77%	67.34%	69.29%	70.22%	72.97%	68.68%	69.43%	71.34%	76.04%	73.76%	80.33%	76.95%					
22	. Хакамада Ирина Муцуовна	5378	2	56	11	24	14	45	50	55	60	35	32	38	54	66	24	55	10	109	90	100	71	117	21	56	74	68	66	62	70	122	62	103	113	78	78	72	48	64	52	70	40	34	85	78	47	72	52	50	93	68	33	43	72	88	84	75	158	127	148	129	75	74	72	152	35	44	52	79	83	94	96	102	74	62	81	88	51	65	15	11					
		6.52%	2.86%	3.52%	3.43%	2.81%	7.53%	7.54%	4.86%	5.34%	6.49%	6.24%	3.97%	4.96%	5.87%	6.21%	3.50%	7.51%	4.90%	7.40%	5.68%	7.70%	6.55%	7.92%	4.25%	5.62%	6.90%	5.97%	5.70%	5.74%	6.38%	9.09%	4.94%	8.19%	6.85%	6.21%	5.58%	3.83%	5.85%	5.59%	7.47%	7.96%	5.63%	3.27%	8.26%	8.57%	5.07%	6.92%	7.21%	4.71%	7.77%	6.71%	4.80%	6.17%	6.11%	7.12%	6.62%	7.04%	10.88%	7.57%	10.32%	9.25%	8.76%	8.51%	7.19%	9.79%	4.78%	7.42%	7.06%	6.95%	6.55%	6.59%	7.07%	7.89%	6.45%	7.64%	7.07%	6.35%	4.02%	4.66%	2.76%	3.29%					
23	. Харитонов Николай Михайлович	9302	4	209	35	62	13	62	153	132	115	69	73	71	70	109	68	63	13	184	213	174	152	209	41	81	106	142	143	117	94	122	126	147	186	177	174	107	90	89	103	103	63	24	144	133	138	117	93	88	178	139	47	78	170	164	137	140	189	230	190	143	82	103	109	187	58	56	108	146	170	185	185	143	109	78	131	155	79	140	39	33					
		11.28%	5.71%	13.12%	10.90%	7.26%	6.99%	10.39%	14.87%	12.82%	12.45%	12.30%	9.06%	9.27%	7.61%	10.25%	9.93%	8.61%	6.37%	12.49%	13.44%	13.39%	14.02%	14.15%	8.30%	8.12%	9.89%	12.47%	12.36%	10.82%	8.57%	9.09%	10.04%	11.69%	11.27%	14.08%	12.45%	5.70%	10.98%	7.78%	14.80%	11.72%	8.87%	2.31%	13.99%	14.62%	14.89%	11.25%	12.90%	8.29%	14.87%	13.71%	6.84%	11.19%	14.42%	13.27%	10.80%	13.13%	13.02%	13.71%	13.25%	10.26%	9.58%	11.84%	10.88%	12.05%	7.92%	9.44%	14.65%	12.84%	13.41%	12.96%	13.62%	11.06%	9.50%	9.62%	11.44%	11.19%	6.23%	10.04%	7.17%	9.88%					
																																																																																							
24	Против всех	3440	2	43	8	19	7	14	13	18	28	22	22	29	27	40	19	26	8	75	71	64	47	74	14	42	32	64	48	51	49	56	53	53	72	60	43	80	32	33	31	32	25	17	52	32	25	42	27	45	55	35	24	16	66	62	56	49	66	83	61	80	47	56	43	87	24	33	25	55	71	62	50	53	51	57	50	59	95	53	19	11					
		4.17%	2.86%	2.70%	2.49%	2.22%	3.76%	2.35%	1.26%	1.75%	3.03%	3.92%	2.73%	3.79%	2.93%	3.76%	2.77%	3.55%	3.92%	5.09%	4.48%	4.93%	4.34%	5.01%	2.83%	4.21%	2.99%	5.62%	4.15%	4.72%	4.47%	4.17%	4.22%	4.22%	4.36%	4.77%	3.08%	4.26%	3.90%	2.88%	4.45%	3.64%	3.52%	1.63%	5.05%	3.52%	2.70%	4.04%	3.74%	4.24%	4.59%	3.45%	3.49%	2.30%	5.60%	5.02%	4.41%	4.60%	4.55%	4.95%	4.25%	5.74%	5.49%	6.44%	4.29%	5.61%	3.28%	5.56%	3.39%	4.84%	5.60%	4.34%	3.68%	4.10%	4.45%	7.03%	4.37%	4.26%	7.49%	3.80%	3.49%	3.29%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
