Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Казань, Московская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	779	14	23	31	4	31	1	14	30	3	27	23	10	10	9	13	9	65	6	8	47	5	28	4	5	23	21	11	29	0	0	21	10	17	60	18	34	9	31	23	6	18	1	3	1	6	12	3	0	1	1	0									
		1.41%	1.38%	2.43%	3.51%	0.37%	3.02%	0.08%	1.06%	3.02%	0.32%	2.95%	2.51%	1.13%	1.09%	0.90%	1.18%	0.78%	6.07%	0.38%	0.70%	3.45%	0.46%	2.02%	0.37%	0.49%	1.50%	2.64%	1.48%	2.78%	0.00%	0.00%	1.83%	1.18%	1.07%	4.85%	1.62%	3.19%	0.58%	1.66%	1.65%	0.47%	1.93%	0.08%	0.21%	0.07%	0.43%	0.87%	0.82%	0.00%	0.68%	0.48%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	810	8	30	30	3	33	3	26	38	5	35	32	1	11	18	12	7	1	5	9	31	8	39	3	25	36	30	9	31	0	1	37	7	27	0	34	28	9	51	46	10	13	1	4	2	11	5	4	0	1	0	0									
		1.47%	0.79%	3.16%	3.40%	0.28%	3.21%	0.23%	1.97%	3.82%	0.53%	3.83%	3.49%	0.11%	1.20%	1.81%	1.09%	0.61%	0.09%	0.32%	0.79%	2.28%	0.73%	2.81%	0.28%	2.43%	2.35%	3.77%	1.21%	2.98%	0.00%	0.07%	3.23%	0.83%	1.70%	0.00%	3.07%	2.62%	0.58%	2.74%	3.29%	0.79%	1.39%	0.08%	0.28%	0.14%	0.79%	0.36%	1.09%	0.00%	0.68%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	659	9	32	31	1	33	0	1	39	0	23	26	3	7	11	22	5	1	4	2	37	6	18	5	19	27	23	10	34	25	3	26	8	11	0	22	23	10	36	26	3	16	2	2	5	1	5	4	1	1	0	0									
		1.20%	0.89%	3.38%	3.51%	0.09%	3.21%	0.00%	0.08%	3.92%	0.00%	2.52%	2.84%	0.34%	0.76%	1.10%	2.00%	0.44%	0.09%	0.26%	0.18%	2.72%	0.55%	1.30%	0.47%	1.84%	1.77%	2.89%	1.35%	3.26%	1.66%	0.20%	2.27%	0.95%	0.69%	0.00%	1.99%	2.16%	0.65%	1.93%	1.86%	0.24%	1.71%	0.15%	0.14%	0.35%	0.07%	0.36%	1.09%	1.05%	0.68%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	38440	769	423	405	846	474	977	918	427	752	401	435	645	687	762	666	874	817	1375	975	610	835	881	812	746	898	364	497	439	1125	1156	527	633	1206	962	690	532	1214	1234	853	1127	703	1015	1307	1308	1260	1075	287	84	124	183	125									
		69.74%	75.69%	44.62%	45.87%	78.99%	46.11%	75.39%	69.44%	42.91%	78.99%	43.87%	47.44%	72.88%	74.92%	76.43%	60.55%	76.13%	76.36%	87.86%	85.83%	44.82%	76.68%	63.43%	75.96%	72.43%	58.73%	45.73%	67.07%	42.13%	74.50%	77.95%	46.03%	75.00%	75.94%	77.83%	62.27%	49.86%	78.58%	66.24%	61.06%	89.02%	75.27%	76.84%	91.02%	90.96%	90.39%	78.13%	77.99%	88.42%	84.35%	87.14%	86.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	367	3	12	14	3	12	0	14	14	1	10	10	2	7	8	11	4	0	4	3	24	3	9	3	7	23	14	7	21	0	0	20	5	8	0	13	14	4	17	18	1	12	0	1	2	3	3	2	0	1	0	0									
		0.67%	0.30%	1.27%	1.59%	0.28%	1.17%	0.00%	1.06%	1.41%	0.11%	1.09%	1.09%	0.23%	0.76%	0.80%	1.00%	0.35%	0.00%	0.26%	0.26%	1.76%	0.28%	0.65%	0.28%	0.68%	1.50%	1.76%	0.94%	2.02%	0.00%	0.00%	1.75%	0.59%	0.50%	0.00%	1.17%	1.31%	0.26%	0.91%	1.29%	0.08%	1.28%	0.00%	0.07%	0.14%	0.22%	0.22%	0.54%	0.00%	0.68%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	88	5	3	0	2	0	0	5	0	1	5	4	4	1	1	1	1	0	2	0	2	0	0	2	4	2	4	3	5	0	0	3	0	5	0	3	2	1	2	2	2	2	0	1	0	1	4	2	0	0	1	0									
		0.16%	0.49%	0.32%	0.00%	0.19%	0.00%	0.00%	0.38%	0.00%	0.11%	0.55%	0.44%	0.45%	0.11%	0.10%	0.09%	0.09%	0.00%	0.13%	0.00%	0.15%	0.00%	0.00%	0.19%	0.39%	0.13%	0.50%	0.40%	0.48%	0.00%	0.00%	0.26%	0.00%	0.31%	0.00%	0.27%	0.19%	0.06%	0.11%	0.14%	0.16%	0.21%	0.00%	0.07%	0.00%	0.07%	0.29%	0.54%	0.00%	0.00%	0.48%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3362	25	101	96	105	141	5	81	129	43	127	125	13	45	50	79	15	43	13	12	161	11	105	9	52	134	105	17	143	90	77	163	45	91	68	98	121	47	113	131	21	33	130	20	21	7	69	11	2	7	9	3									
		6.10%	2.46%	10.65%	10.87%	9.80%	13.72%	0.39%	6.13%	12.96%	4.52%	13.89%	13.63%	1.47%	4.91%	5.02%	7.18%	1.31%	4.02%	0.83%	1.06%	11.83%	1.01%	7.56%	0.84%	5.05%	8.76%	13.19%	2.29%	13.72%	5.96%	5.19%	14.24%	5.33%	5.73%	5.50%	8.84%	11.34%	3.04%	6.07%	9.38%	1.66%	3.53%	9.84%	1.39%	1.46%	0.50%	5.01%	2.99%	2.11%	4.76%	4.29%	2.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	475	10	18	16	4	17	0	14	22	4	13	15	3	4	3	18	2	0	6	2	32	0	14	5	15	24	12	10	31	0	0	28	15	11	0	9	21	5	26	18	2	14	1	3	1	3	4	0	0	0	0	0									
		0.86%	0.98%	1.90%	1.81%	0.37%	1.65%	0.00%	1.06%	2.21%	0.42%	1.42%	1.64%	0.34%	0.44%	0.30%	1.64%	0.17%	0.00%	0.38%	0.18%	2.35%	0.00%	1.01%	0.47%	1.46%	1.57%	1.51%	1.35%	2.98%	0.00%	0.00%	2.45%	1.78%	0.69%	0.00%	0.81%	1.97%	0.32%	1.40%	1.29%	0.16%	1.50%	0.08%	0.21%	0.07%	0.22%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	449	12	20	17	3	7	0	15	25	3	23	15	3	2	4	17	12	0	1	1	39	0	13	4	9	26	15	6	21	0	0	26	7	13	0	8	16	6	17	18	3	9	0	2	3	1	2	5	0	0	0	0									
		0.81%	1.18%	2.11%	1.93%	0.28%	0.68%	0.00%	1.13%	2.51%	0.32%	2.52%	1.64%	0.34%	0.22%	0.40%	1.55%	1.05%	0.00%	0.06%	0.09%	2.87%	0.00%	0.94%	0.37%	0.87%	1.70%	1.88%	0.81%	2.02%	0.00%	0.00%	2.27%	0.83%	0.82%	0.00%	0.72%	1.50%	0.39%	0.91%	1.29%	0.24%	0.96%	0.00%	0.14%	0.21%	0.07%	0.15%	1.36%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	60	3	0	1	2	2	0	2	2	0	0	3	6	0	1	1	0	0	1	1	0	0	1	2	2	2	3	0	1	0	0	3	0	3	0	2	3	1	0	3	3	1	0	1	1	0	0	3	0	0	0	0									
		0.11%	0.30%	0.00%	0.11%	0.19%	0.19%	0.00%	0.15%	0.20%	0.00%	0.00%	0.33%	0.68%	0.00%	0.10%	0.09%	0.00%	0.00%	0.06%	0.09%	0.00%	0.00%	0.07%	0.19%	0.19%	0.13%	0.38%	0.00%	0.10%	0.00%	0.00%	0.26%	0.00%	0.19%	0.00%	0.18%	0.28%	0.06%	0.00%	0.21%	0.24%	0.11%	0.00%	0.07%	0.07%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1127	21	49	40	6	50	0	33	41	11	43	38	5	14	11	29	11	3	9	16	90	3	33	32	34	59	36	28	62	5	7	63	32	22	0	21	35	9	37	48	12	8	0	4	3	4	4	3	0	0	2	1									
		2.04%	2.07%	5.17%	4.53%	0.56%	4.86%	0.00%	2.50%	4.12%	1.16%	4.70%	4.14%	0.56%	1.53%	1.10%	2.64%	0.96%	0.28%	0.58%	1.41%	6.61%	0.28%	2.38%	2.99%	3.30%	3.86%	4.52%	3.78%	5.95%	0.33%	0.47%	5.50%	3.79%	1.39%	0.00%	1.90%	3.28%	0.58%	1.99%	3.44%	0.95%	0.86%	0.00%	0.28%	0.21%	0.29%	0.29%	0.82%	0.00%	0.00%	0.95%	0.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4613	60	164	108	46	127	160	128	112	76	133	110	67	72	62	125	106	68	63	39	163	103	136	104	66	177	90	83	133	130	124	139	47	109	74	95	120	125	156	110	39	48	140	40	40	50	94	21	6	6	11	8									
		8.37%	5.91%	17.30%	12.23%	4.30%	12.35%	12.35%	9.68%	11.26%	7.98%	14.55%	11.99%	7.57%	7.85%	6.22%	11.36%	9.23%	6.36%	4.03%	3.43%	11.98%	9.46%	9.79%	9.73%	6.41%	11.58%	11.31%	11.20%	12.76%	8.61%	8.36%	12.14%	5.57%	6.86%	5.99%	8.57%	11.25%	8.09%	8.37%	7.87%	3.08%	5.14%	10.60%	2.79%	2.78%	3.59%	6.83%	5.71%	6.32%	4.08%	5.24%	5.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	133	4	1	2	3	4	0	3	2	0	4	3	2	2	3	4	2	0	1	3	1	3	3	1	1	8	0	3	3	0	1	7	0	4	0	26	5	3	4	3	3	1	0	2	1	0	3	3	0	0	1	0									
		0.24%	0.39%	0.11%	0.23%	0.28%	0.39%	0.00%	0.23%	0.20%	0.00%	0.44%	0.33%	0.23%	0.22%	0.30%	0.36%	0.17%	0.00%	0.06%	0.26%	0.07%	0.28%	0.22%	0.09%	0.10%	0.52%	0.00%	0.40%	0.29%	0.00%	0.07%	0.61%	0.00%	0.25%	0.00%	2.35%	0.47%	0.19%	0.21%	0.21%	0.24%	0.11%	0.00%	0.14%	0.07%	0.00%	0.22%	0.82%	0.00%	0.00%	0.48%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2840	58	52	60	36	63	150	44	88	42	43	42	63	51	54	79	87	65	54	59	73	100	84	80	31	62	54	37	63	125	114	44	20	30	70	47	74	93	87	61	34	44	5	14	34	45	92	20	2	2	2	7									
		5.15%	5.71%	5.49%	6.80%	3.36%	6.13%	11.57%	3.33%	8.84%	4.41%	4.70%	4.58%	7.12%	5.56%	5.42%	7.18%	7.58%	6.07%	3.45%	5.19%	5.36%	9.18%	6.05%	7.48%	3.01%	4.05%	6.78%	4.99%	6.05%	8.28%	7.69%	3.84%	2.37%	1.89%	5.66%	4.24%	6.94%	6.02%	4.67%	4.37%	2.69%	4.71%	0.38%	0.97%	2.36%	3.23%	6.69%	5.43%	2.11%	1.36%	0.95%	4.86%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
