Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Стерлитамакская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	1	1	1	1	1	5	2	1	2	1	2	2	1	2	2	1	1	3	7	2	1	1	2	1	5	3	2	2	2	2	1	3	5	1	2	2	2	6	8	2	10	1	6	1	1	1	1	1	2	2	2	2	10	3	2	1	3	1	2	2	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	0	0	0	0	0	5	1	0	1	0	2	1	0	1	1	1	0	3	7	0	0	0	0	0	2	2	0	0	0	0	0	3	1	0	1	0	0	6	4	1	5	0	1	0	0	1	0	0	0	2	0	2	5	2	1	0	2	0	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	6	0	0	3	0	0	0	3	1	0	0	0	0	1	4	0	0	0	5	3	1	0	0	0	0	1	2	1	1	0	0	4	1	0	0	0	0	1	2	2	5	2	2	0	0	2	0	0	0	0	0	0	1	1	0	2	1	0	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	81	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	2	1	1	2	1	3	1	2	2	2	2	1	0	4	1	1	2	2	0	4	1	5	1	5	1	1	0	1	1	2	0	2	0	5	1	1	1	1	1	1	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	0	0	0	0	2	1	0	4	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	84	2	0	0	0	0	2	1	1	0	2	0	3	0	0	3	1	0	1	6	5	0	0	1	0	0	1	0	4	0	0	4	10	7	0	0	0	0	7	8	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	1	6	0	0									
		0.33%	0.43%	0.00%	0.00%	0.00%	0.00%	0.30%	0.25%	0.67%	0.00%	2.06%	0.00%	0.61%	0.00%	0.00%	0.74%	0.27%	0.00%	0.21%	0.80%	1.05%	0.00%	0.00%	0.36%	0.00%	0.00%	0.11%	0.00%	1.03%	0.00%	0.00%	0.84%	3.92%	1.05%	0.00%	0.00%	0.00%	0.00%	0.65%	0.50%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.20%	0.18%	2.01%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	455	2	0	3	0	0	27	3	6	0	5	0	18	8	0	30	7	2	10	21	9	0	10	27	15	0	1	0	4	4	0	18	27	19	0	0	0	2	26	51	0	4	0	0	4	0	0	0	0	5	0	0	1	33	0	5	10	5	1	18	6	8									
		1.79%	0.43%	0.00%	1.22%	0.00%	0.00%	4.09%	0.75%	4.00%	0.00%	5.15%	0.00%	3.69%	3.08%	0.00%	7.41%	1.91%	0.40%	2.05%	2.79%	1.89%	0.00%	5.41%	9.61%	8.62%	0.00%	0.11%	0.00%	1.03%	1.03%	0.00%	3.76%	10.59%	2.85%	0.00%	0.00%	0.00%	0.68%	2.43%	3.18%	0.00%	0.23%	0.00%	0.00%	2.56%	0.00%	0.00%	0.00%	0.00%	4.81%	0.00%	0.00%	0.35%	2.74%	0.00%	1.98%	3.46%	0.99%	0.18%	6.02%	1.65%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	2	0	0	2	2	6	1	7	0	0	8	5	3	3	13	4	1	6	21	0	0	0	1	8	0	2	0	3	0	0	5	10	7	0	7	0	2	6	25	2	6	0	0	0	0	0	0	0	0	0	2	0	29	0	0	2	3	10	14	0	0									
		0.90%	0.43%	0.00%	0.00%	0.94%	1.18%	0.91%	0.25%	4.67%	0.00%	0.00%	1.87%	1.02%	1.15%	0.54%	3.21%	1.09%	0.20%	1.23%	2.79%	0.00%	0.00%	0.00%	0.36%	4.60%	0.00%	0.23%	0.00%	0.77%	0.00%	0.00%	1.04%	3.92%	1.05%	0.00%	4.24%	0.00%	0.68%	0.56%	1.56%	0.76%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	2.41%	0.00%	0.00%	0.69%	0.59%	1.77%	4.68%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14547	261	118	141	121	96	483	318	83	178	62	244	290	210	446	270	303	283	337	366	395	380	154	200	124	455	306	175	214	222	96	295	138	121	161	105	181	236	476	544	151	597	164	286	88	76	100	73	114	82	168	241	165	886	242	146	226	382	218	167	241	146									
		57.31%	56.01%	58.42%	57.32%	56.81%	56.80%	73.18%	79.30%	55.33%	86.83%	63.92%	57.01%	59.43%	80.77%	80.36%	66.67%	82.56%	56.83%	69.20%	48.67%	82.81%	57.66%	83.24%	71.17%	71.26%	56.95%	34.46%	70.85%	55.15%	57.22%	60.38%	61.59%	54.12%	18.14%	72.85%	63.64%	85.78%	80.55%	44.49%	33.94%	57.41%	34.11%	57.14%	57.89%	56.41%	57.58%	61.35%	61.86%	56.72%	78.85%	82.35%	57.66%	57.29%	73.59%	56.81%	57.71%	78.20%	75.35%	38.58%	55.85%	66.21%	60.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	101	2	0	0	4	0	17	0	0	0	2	0	1	0	0	1	0	1	0	3	0	0	0	0	1	8	1	0	4	0	0	3	3	1	0	0	0	1	6	17	1	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	1	1	1	8	0	3									
		0.40%	0.43%	0.00%	0.00%	1.88%	0.00%	2.58%	0.00%	0.00%	0.00%	2.06%	0.00%	0.20%	0.00%	0.00%	0.25%	0.00%	0.20%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.57%	1.00%	0.11%	0.00%	1.03%	0.00%	0.00%	0.63%	1.18%	0.15%	0.00%	0.00%	0.00%	0.34%	0.56%	1.06%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.75%	0.00%	0.00%	0.35%	0.20%	0.18%	2.68%	0.00%	1.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	3	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	29	1									
		0.24%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.36%	0.49%	0.00%	0.20%	0.21%	0.40%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.12%	0.76%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.35%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	7.97%	0.42%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1077	5	4	1	4	2	30	6	11	2	6	18	5	15	6	16	30	4	53	139	28	6	12	24	11	8	9	3	19	11	19	90	38	59	14	6	14	22	11	19	3	18	3	5	1	1	2	2	2	11	0	4	3	98	10	10	32	6	57	10	0	19									
		4.24%	1.07%	1.98%	0.41%	1.88%	1.18%	4.55%	1.50%	7.33%	0.98%	6.19%	4.21%	1.02%	5.77%	1.08%	3.95%	8.17%	0.80%	10.88%	18.48%	5.87%	0.91%	6.49%	8.54%	6.32%	1.00%	1.01%	1.21%	4.90%	2.84%	11.95%	18.79%	14.90%	8.85%	6.33%	3.64%	6.64%	7.51%	1.03%	1.19%	1.14%	1.03%	1.05%	1.01%	0.64%	0.76%	1.23%	1.69%	0.99%	10.58%	0.00%	0.96%	1.04%	8.14%	2.35%	3.95%	11.07%	1.18%	10.09%	3.34%	0.00%	7.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	2	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	7	13	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0									
		0.19%	0.43%	0.00%	0.00%	0.94%	0.00%	0.45%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.42%	0.00%	0.00%	0.71%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.65%	0.81%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.20%	1.06%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	51	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	4	1	2	0	0	0	0	3	21	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2									
		0.20%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.40%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.84%	0.39%	0.30%	0.00%	0.00%	0.00%	0.00%	0.28%	1.31%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.83%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0									
		0.07%	0.64%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.34%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	61	4	0	0	0	0	1	0	3	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	0	6	15	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	10	4	0	0									
		0.24%	0.86%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	2.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.25%	0.00%	0.00%	0.41%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.42%	0.39%	0.30%	0.00%	0.00%	0.00%	0.00%	0.56%	0.94%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.20%	1.77%	1.34%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7333	147	65	79	69	54	80	66	32	24	20	153	158	22	95	47	11	155	48	149	31	209	9	26	12	256	484	66	124	116	44	52	12	433	46	35	16	28	487	727	79	960	95	159	49	43	50	31	64	6	29	132	92	102	136	79	14	92	249	56	75	54									
		28.89%	31.55%	32.18%	32.11%	32.39%	31.95%	12.12%	16.46%	21.33%	11.71%	20.62%	35.75%	32.38%	8.46%	17.12%	11.60%	2.99%	31.12%	9.86%	19.81%	6.50%	31.71%	4.86%	9.25%	6.90%	32.04%	54.50%	26.72%	31.96%	29.90%	27.67%	10.86%	4.71%	64.92%	20.81%	21.21%	7.58%	9.56%	45.51%	45.35%	30.04%	54.86%	33.10%	32.19%	31.41%	32.58%	30.67%	26.27%	31.84%	5.77%	14.22%	31.58%	31.94%	8.47%	31.92%	31.23%	4.84%	18.15%	44.07%	18.73%	20.60%	22.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	4	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	2	0	0									
		0.10%	0.86%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.15%	0.00%	0.00%	0.00%	0.34%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1194	25	15	22	10	15	9	3	7	1	0	5	3	0	3	21	2	45	4	24	6	60	0	0	0	72	77	3	16	35	0	6	7	10	0	12	0	1	32	148	21	157	25	44	12	12	11	11	18	0	7	37	26	20	38	13	0	13	6	5	13	6									
		4.70%	5.36%	7.43%	8.94%	4.69%	8.88%	1.36%	0.75%	4.67%	0.49%	0.00%	1.17%	0.61%	0.00%	0.54%	5.19%	0.54%	9.04%	0.82%	3.19%	1.26%	9.10%	0.00%	0.00%	0.00%	9.01%	8.67%	1.21%	4.12%	9.02%	0.00%	1.25%	2.75%	1.50%	0.00%	7.27%	0.00%	0.34%	2.99%	9.23%	7.98%	8.97%	8.71%	8.91%	7.69%	9.09%	6.75%	9.32%	8.96%	0.00%	3.43%	8.85%	9.03%	1.66%	8.92%	5.14%	0.00%	2.56%	1.06%	1.67%	3.57%	2.50%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
