Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Томская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.14%	0.33%	0.63%	0.40%	0.30%	0.13%	0.00%	0.00%	0.28%	0.00%	0.22%	0.00%	0.00%	0.00%	0.15%	0.57%	0.40%	0.00%	0.00%	0.13%	0.00%	0.11%	0.00%	0.00%	0.28%	0.21%	0.00%	0.00%	0.42%	0.78%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.23%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.99%	0.00%	0.87%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.15%	0.00%	0.24%	0.45%	0.60%	0.30%	0.00%	0.00%	0.33%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3025	45	14	2	16	151	116	33	36	123	86	18	27	30	17	75	45	19	14	54	22	19	14	64	77	85	123	1	4	15	56	37	7	35	9	56	13	18	9	22	29	20	18	12	21	1	63	26	160	95	37	53	54	71	2	6	34	23	38	44	13	6	18	11	7	64	2	14	18	65	72	127	16	22	24	13	30	38	51					
		10.15%	7.80%	6.86%	2.78%	6.43%	21.66%	12.72%	20.63%	7.29%	9.35%	11.24%	10.91%	8.23%	8.38%	11.33%	8.15%	16.61%	10.44%	2.78%	7.95%	6.30%	7.57%	6.03%	10.41%	10.28%	8.91%	13.62%	1.56%	3.92%	4.18%	12.02%	8.15%	6.93%	7.31%	7.03%	17.45%	8.23%	14.52%	7.44%	18.03%	16.11%	11.24%	8.11%	13.33%	5.66%	1.15%	11.09%	9.19%	12.27%	11.07%	7.81%	8.97%	13.53%	13.84%	2.00%	4.26%	6.92%	5.87%	14.18%	21.89%	7.98%	5.22%	6.72%	16.92%	8.43%	10.79%	3.77%	13.59%	7.09%	9.82%	13.74%	15.07%	7.17%	6.55%	7.19%	3.29%	13.89%	12.67%	10.30%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	313	5	0	0	2	4	11	0	5	25	8	4	4	1	2	8	5	4	3	0	1	0	0	21	8	2	9	2	1	3	6	14	1	2	1	0	1	0	0	0	0	0	0	0	2	0	5	3	31	13	3	6	2	2	0	0	6	1	8	5	0	1	1	0	0	4	0	0	3	4	4	6	1	9	9	1	5	3	12					
		1.05%	0.87%	0.00%	0.00%	0.80%	0.57%	1.21%	0.00%	1.01%	1.90%	1.05%	2.42%	1.22%	0.28%	1.33%	0.87%	1.85%	2.20%	0.60%	0.00%	0.29%	0.00%	0.00%	3.41%	1.07%	0.21%	0.99%	3.13%	0.98%	0.84%	1.29%	3.08%	0.99%	0.42%	0.78%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.88%	1.06%	2.38%	1.52%	0.63%	1.02%	0.50%	0.39%	0.00%	0.00%	1.22%	0.26%	2.99%	2.49%	0.00%	0.87%	0.37%	0.00%	0.00%	0.67%	0.00%	0.00%	1.18%	0.60%	0.76%	0.71%	0.45%	2.68%	2.69%	0.25%	2.31%	1.00%	2.42%					
23	6.Политическая партия «Партия социальной справедливости»	63	1	1	0	2	3	3	0	1	4	1	0	0	0	0	2	0	2	0	0	1	1	1	1	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	2	5	2	0	5	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	2	2	0	2	0	1	0	1	2					
		0.21%	0.17%	0.49%	0.00%	0.80%	0.43%	0.33%	0.00%	0.20%	0.30%	0.13%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	1.10%	0.00%	0.00%	0.29%	0.40%	0.43%	0.16%	0.27%	0.00%	0.22%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.11%	0.00%	0.00%	0.18%	0.71%	0.38%	0.23%	0.00%	0.85%	0.25%	0.00%	0.00%	0.71%	0.00%	0.00%	0.37%	0.00%	0.61%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.38%	0.24%	0.00%	0.60%	0.00%	0.25%	0.00%	0.33%	0.40%					
24	7.Политическая партия «Либерально-демократическая партия России»	3897	86	26	10	24	68	141	12	53	238	110	21	30	49	21	123	37	34	26	69	41	32	42	114	125	158	138	3	5	29	51	51	8	73	18	34	12	9	17	18	27	19	36	12	37	6	87	27	157	119	60	97	60	60	13	10	95	54	33	24	15	9	27	12	12	56	6	6	36	106	42	100	31	29	36	36	36	36	77					
		13.08%	14.90%	12.75%	13.89%	9.64%	9.76%	15.46%	7.50%	10.73%	18.09%	14.38%	12.73%	9.15%	13.69%	14.00%	13.37%	13.65%	18.68%	5.17%	10.16%	11.75%	12.75%	18.10%	18.54%	16.69%	16.56%	15.28%	4.69%	4.90%	8.08%	10.94%	11.23%	7.92%	15.24%	14.06%	10.59%	7.59%	7.26%	14.05%	14.75%	15.00%	10.67%	16.22%	13.33%	9.97%	6.90%	15.32%	9.54%	12.04%	13.87%	12.66%	16.41%	15.04%	11.70%	13.00%	7.09%	19.35%	13.78%	12.31%	11.94%	9.20%	7.83%	10.07%	18.46%	14.46%	9.44%	11.32%	5.83%	14.17%	16.01%	8.02%	11.86%	13.90%	8.63%	10.78%	9.11%	16.67%	12.00%	15.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2029	37	22	4	7	66	50	16	35	112	61	14	22	19	12	78	25	12	15	33	30	15	23	39	67	87	50	8	5	30	40	27	5	26	4	14	7	2	0	6	13	6	20	8	9	8	30	14	76	43	30	47	23	29	2	5	37	22	15	7	7	4	15	5	13	40	1	9	19	41	38	98	15	18	15	21	27	34	40					
		6.81%	6.41%	10.78%	5.56%	2.81%	9.47%	5.48%	10.00%	7.09%	8.51%	7.97%	8.48%	6.71%	5.31%	8.00%	8.48%	9.23%	6.59%	2.98%	4.86%	8.60%	5.98%	9.91%	6.34%	8.95%	9.12%	5.54%	12.50%	4.90%	8.36%	8.58%	5.95%	4.95%	5.43%	3.13%	4.36%	4.43%	1.61%	0.00%	4.92%	7.22%	3.37%	9.01%	8.89%	2.43%	9.20%	5.28%	4.95%	5.83%	5.01%	6.33%	7.95%	5.76%	5.65%	2.00%	3.55%	7.54%	5.61%	5.60%	3.48%	4.29%	3.48%	5.60%	7.69%	15.66%	6.75%	1.89%	8.74%	7.48%	6.19%	7.25%	11.63%	6.73%	5.36%	4.49%	5.32%	12.50%	11.33%	8.08%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	271	7	2	0	1	9	13	1	5	15	8	4	2	1	0	7	3	1	1	10	1	1	2	2	5	8	20	0	0	3	3	3	0	4	1	3	1	0	0	1	0	0	2	2	3	0	2	4	16	5	6	3	4	6	4	2	3	11	2	2	0	1	4	1	1	8	0	2	0	1	2	4	2	2	1	2	4	4	7					
		0.91%	1.21%	0.98%	0.00%	0.40%	1.29%	1.43%	0.63%	1.01%	1.14%	1.05%	2.42%	0.61%	0.28%	0.00%	0.76%	1.11%	0.55%	0.20%	1.47%	0.29%	0.40%	0.86%	0.33%	0.67%	0.84%	2.21%	0.00%	0.00%	0.84%	0.64%	0.66%	0.00%	0.84%	0.78%	0.93%	0.63%	0.00%	0.00%	0.82%	0.00%	0.00%	0.90%	2.22%	0.81%	0.00%	0.35%	1.41%	1.23%	0.58%	1.27%	0.51%	1.00%	1.17%	4.00%	1.42%	0.61%	2.81%	0.75%	0.99%	0.00%	0.87%	1.49%	1.54%	1.20%	1.35%	0.00%	1.94%	0.00%	0.15%	0.38%	0.47%	0.90%	0.60%	0.30%	0.51%	1.85%	1.33%	1.41%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	18731	366	127	50	187	348	531	87	341	698	440	100	227	242	87	584	148	97	435	489	242	170	144	339	440	578	508	48	80	262	283	294	75	321	89	199	117	89	91	65	104	127	128	51	291	72	360	196	779	544	322	357	232	321	76	105	291	264	156	109	110	89	194	34	48	399	44	70	163	427	336	469	149	233	238	309	100	150	266					
		62.88%	63.43%	62.25%	69.44%	75.10%	49.93%	58.22%	54.38%	69.03%	53.04%	57.52%	60.61%	69.21%	67.60%	58.00%	63.48%	54.61%	53.30%	86.48%	72.02%	69.34%	67.73%	62.07%	55.12%	58.74%	60.59%	56.26%	75.00%	78.43%	72.98%	60.73%	64.76%	74.26%	67.01%	69.53%	61.99%	74.05%	71.77%	75.21%	53.28%	57.78%	71.35%	57.66%	56.67%	78.44%	82.76%	63.38%	69.26%	59.74%	63.40%	67.93%	60.41%	58.15%	62.57%	76.00%	74.47%	59.27%	67.35%	58.21%	54.23%	67.48%	77.39%	72.39%	52.31%	57.83%	67.28%	83.02%	67.96%	64.17%	64.50%	64.12%	55.63%	66.82%	69.35%	71.26%	78.23%	46.30%	50.00%	53.74%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	334	8	3	1	2	14	10	1	5	41	14	2	4	5	0	9	6	4	3	3	0	0	2	5	4	4	13	2	1	3	3	10	0	2	1	3	1	0	0	0	2	0	1	1	0	0	6	0	20	12	2	4	8	6	1	0	10	4	3	0	0	0	1	0	0	2	0	0	2	2	6	10	4	0	0	1	6	14	17					
		1.12%	1.39%	1.47%	1.39%	0.80%	2.01%	1.10%	0.63%	1.01%	3.12%	1.83%	1.21%	1.22%	1.40%	0.00%	0.98%	2.21%	2.20%	0.60%	0.44%	0.00%	0.00%	0.86%	0.81%	0.53%	0.42%	1.44%	3.13%	0.98%	0.84%	0.64%	2.20%	0.00%	0.42%	0.78%	0.93%	0.63%	0.00%	0.00%	0.00%	1.11%	0.00%	0.45%	1.11%	0.00%	0.00%	1.06%	0.00%	1.53%	1.40%	0.42%	0.68%	2.01%	1.17%	1.00%	0.00%	2.04%	1.02%	1.12%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.34%	0.00%	0.00%	0.79%	0.30%	1.15%	1.19%	1.79%	0.00%	0.00%	0.25%	2.78%	4.67%	3.43%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
