Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Томская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1090	10	10	10	10	10	15	10	10	10	20	10	15	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	25	15	10	10	10	10	60	10	10	40	59	10	10	10	25	35	20	20	10	10	10	10	10	10	10	10	15	10	10	10	10	20	20	10	10	10	10	15	10	33	15	10	10	10	15	10	10	20	13	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	556	0	1	1	5	1	5	0	7	4	6	4	10	8	7	0	4	3	4	8	8	3	0	1	10	10	1	3	11	8	1	2	2	0	53	7	4	37	42	1	8	1	15	31	10	17	10	0	5	7	3	3	3	2	11	1	1	0	2	14	11	4	0	0	0	14	5	29	12	8	8	1	7	1	1	11	8	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1612	0	2	0	1	0	2	3	3	0	2	1	14	1	1	3	54	7	1	2	4	1	2	2	11	8	4	0	7	11	43	0	5	2	6	40	1	4	5	69	46	28	87	137	241	161	0	1	114	115	85	83	90	2	2	1	2	1	3	1	2	1	4	4	2	4	3	4	5	7	15	11	3	2	1	7	9	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	534	10	9	9	5	9	10	10	3	6	14	6	5	2	3	10	6	7	6	2	2	7	10	9	0	5	9	7	14	7	9	8	8	10	7	3	6	3	17	9	2	9	10	4	10	3	0	10	5	3	7	7	7	8	4	9	9	10	8	6	9	6	10	10	10	1	5	4	3	2	2	9	8	9	9	9	5	3	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3377	20	4	33	8	24	60	1	4	37	46	52	98	31	30	43	34	35	50	102	58	30	1	17	127	79	23	54	182	130	17	16	24	13	152	42	21	53	58	34	25	11	87	85	125	98	1	4	47	57	56	8	34	6	25	8	8	4	8	12	14	34	14	39	22	51	25	185	79	51	52	25	56	5	19	58	45	33	18					
		12.60%	13.33%	4.26%	15.87%	12.50%	25.26%	13.02%	2.22%	7.02%	16.82%	9.04%	12.09%	14.80%	14.76%	10.87%	15.03%	9.32%	20.83%	14.37%	14.68%	11.67%	14.08%	1.52%	9.60%	20.00%	12.27%	15.54%	14.17%	15.57%	14.89%	16.35%	5.97%	8.57%	12.50%	21.93%	17.21%	14.89%	12.80%	11.28%	7.91%	8.01%	5.47%	11.85%	9.67%	11.88%	10.26%	1.82%	4.44%	12.14%	10.61%	12.50%	4.94%	7.61%	6.45%	10.08%	7.21%	9.20%	5.26%	8.70%	9.52%	10.77%	17.17%	20.00%	12.11%	28.57%	11.16%	9.43%	15.33%	11.30%	12.72%	11.85%	7.14%	11.31%	7.46%	17.43%	14.11%	15.05%	14.22%	11.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4833	26	22	24	15	10	78	3	10	31	97	66	119	57	44	49	67	21	63	147	94	52	15	42	114	149	34	69	283	197	15	32	40	22	131	33	29	43	65	61	57	28	141	205	166	172	3	16	64	77	68	33	81	17	37	15	13	11	10	31	16	40	14	55	9	70	33	201	122	54	92	74	85	18	24	75	63	47	27					
		18.03%	17.33%	23.40%	11.54%	23.44%	10.53%	16.92%	6.67%	17.54%	14.09%	19.06%	15.35%	17.98%	27.14%	15.94%	17.13%	18.36%	12.50%	18.10%	21.15%	18.91%	24.41%	22.73%	23.73%	17.95%	23.14%	22.97%	18.11%	24.21%	22.57%	14.42%	11.94%	14.29%	21.15%	18.90%	13.52%	20.57%	10.39%	12.65%	14.19%	18.27%	13.93%	19.21%	23.32%	15.78%	18.01%	5.45%	17.78%	16.54%	14.34%	15.18%	20.37%	18.12%	18.28%	14.92%	13.51%	14.94%	14.47%	10.87%	24.60%	12.31%	20.20%	20.00%	17.08%	11.69%	15.32%	12.45%	16.65%	17.45%	13.47%	20.96%	21.14%	17.17%	26.87%	22.02%	18.25%	21.07%	20.26%	17.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	322	1	0	3	1	1	5	1	0	3	3	1	6	6	2	2	3	1	2	7	5	2	1	7	6	9	2	4	10	14	0	4	2	0	6	1	2	7	11	9	5	5	9	10	9	6	1	0	2	7	5	4	7	0	6	2	2	2	1	0	3	1	1	1	2	7	3	17	9	5	11	4	5	1	1	5	7	4	2					
		1.20%	0.67%	0.00%	1.44%	1.56%	1.05%	1.08%	2.22%	0.00%	1.36%	0.59%	0.23%	0.91%	2.86%	0.72%	0.70%	0.82%	0.60%	0.57%	1.01%	1.01%	0.94%	1.52%	3.95%	0.94%	1.40%	1.35%	1.05%	0.86%	1.60%	0.00%	1.49%	0.71%	0.00%	0.87%	0.41%	1.42%	1.69%	2.14%	2.09%	1.60%	2.49%	1.23%	1.14%	0.86%	0.63%	1.82%	0.00%	0.52%	1.30%	1.12%	2.47%	1.57%	0.00%	2.42%	1.80%	2.30%	2.63%	1.09%	0.00%	2.31%	0.51%	1.43%	0.31%	2.60%	1.53%	1.13%	1.41%	1.29%	1.25%	2.51%	1.14%	1.01%	1.49%	0.92%	1.22%	2.34%	1.72%	1.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5580	47	9	50	17	15	118	5	13	34	103	111	151	27	31	42	52	35	69	184	73	39	18	27	173	136	36	67	287	200	23	66	79	33	131	67	32	48	74	43	41	25	98	107	222	227	9	12	73	140	96	29	78	8	52	14	21	13	24	33	9	47	23	76	9	115	44	309	167	87	117	79	127	15	16	78	63	54	58					
		20.81%	31.33%	9.57%	24.04%	26.56%	15.79%	25.60%	11.11%	22.81%	15.45%	20.24%	25.81%	22.81%	12.86%	11.23%	14.69%	14.25%	20.83%	19.83%	26.47%	14.69%	18.31%	27.27%	15.25%	27.24%	21.12%	24.32%	17.59%	24.55%	22.91%	22.12%	24.63%	28.21%	31.73%	18.90%	27.46%	22.70%	11.59%	14.40%	10.00%	13.14%	12.44%	13.35%	12.17%	21.10%	23.77%	16.36%	13.33%	18.86%	26.07%	21.43%	17.90%	17.45%	8.60%	20.97%	12.61%	24.14%	17.11%	26.09%	26.19%	6.92%	23.74%	32.86%	23.60%	11.69%	25.16%	16.60%	25.60%	23.89%	21.70%	26.65%	22.57%	25.66%	22.39%	14.68%	18.98%	21.07%	23.28%	37.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	769	1	1	1	4	2	18	1	3	9	2	15	21	3	4	5	7	10	16	40	15	7	1	1	30	30	2	7	79	55	7	1	4	3	17	8	8	8	4	4	1	4	12	9	20	10	3	1	15	12	13	2	6	4	5	0	0	1	2	1	2	1	0	0	0	24	9	57	19	19	10	7	7	1	2	13	8	10	5					
		2.87%	0.67%	1.06%	0.48%	6.25%	2.11%	3.90%	2.22%	5.26%	4.09%	0.39%	3.49%	3.17%	1.43%	1.45%	1.75%	1.92%	5.95%	4.60%	5.76%	3.02%	3.29%	1.52%	0.56%	4.72%	4.66%	1.35%	1.84%	6.76%	6.30%	6.73%	0.37%	1.43%	2.88%	2.45%	3.28%	5.67%	1.93%	0.78%	0.93%	0.32%	1.99%	1.63%	1.02%	1.90%	1.05%	5.45%	1.11%	3.88%	2.23%	2.90%	1.23%	1.34%	4.30%	2.02%	0.00%	0.00%	1.32%	2.17%	0.79%	1.54%	0.51%	0.00%	0.00%	0.00%	5.25%	3.40%	4.72%	2.72%	4.74%	2.28%	2.00%	1.41%	1.49%	1.83%	3.16%	2.68%	4.31%	3.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11267	46	58	92	19	39	169	32	27	97	248	176	246	83	158	142	198	58	139	200	243	78	29	77	170	220	50	172	302	243	40	146	125	30	244	89	48	244	290	253	180	127	367	444	473	415	38	54	176	230	203	86	232	57	117	70	40	44	43	48	80	70	18	149	35	177	147	400	281	176	147	151	202	26	44	175	107	79	39					
		42.02%	30.67%	61.70%	44.23%	29.69%	41.05%	36.66%	71.11%	47.37%	44.09%	48.72%	40.93%	37.16%	39.52%	57.25%	49.65%	54.25%	34.52%	39.94%	28.78%	48.89%	36.62%	43.94%	43.50%	26.77%	34.16%	33.78%	45.14%	25.83%	27.84%	38.46%	54.48%	44.64%	28.85%	35.21%	36.48%	34.04%	58.94%	56.42%	58.84%	57.69%	63.18%	50.00%	50.51%	44.96%	43.46%	69.09%	60.00%	45.48%	42.83%	45.31%	53.09%	51.90%	61.29%	47.18%	63.06%	45.98%	57.89%	46.74%	38.10%	61.54%	35.35%	25.71%	46.27%	45.45%	38.73%	55.47%	33.14%	40.20%	43.89%	33.49%	43.14%	40.81%	38.81%	40.37%	42.58%	35.79%	34.05%	25.32%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	203	2	0	0	0	1	8	2	0	4	2	0	5	2	2	1	3	5	3	10	3	2	0	4	5	7	0	1	9	12	1	0	3	0	4	2	0	3	2	3	1	1	3	5	8	10	0	0	2	7	4	0	2	0	2	0	1	0	2	0	3	3	0	1	0	4	3	13	3	2	2	3	3	1	0	2	0	1	0					
		0.76%	1.33%	0.00%	0.00%	0.00%	1.05%	1.74%	4.44%	0.00%	1.82%	0.39%	0.00%	0.76%	0.95%	0.72%	0.35%	0.82%	2.98%	0.86%	1.44%	0.60%	0.94%	0.00%	2.26%	0.79%	1.09%	0.00%	0.26%	0.77%	1.37%	0.96%	0.00%	1.07%	0.00%	0.58%	0.82%	0.00%	0.72%	0.39%	0.70%	0.32%	0.50%	0.41%	0.57%	0.76%	1.05%	0.00%	0.00%	0.52%	1.30%	0.89%	0.00%	0.45%	0.00%	0.81%	0.00%	1.15%	0.00%	2.17%	0.00%	2.31%	1.52%	0.00%	0.31%	0.00%	0.88%	1.13%	1.08%	0.43%	0.50%	0.46%	0.86%	0.61%	1.49%	0.00%	0.49%	0.00%	0.43%	0.00%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
