Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Сызранская городская																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2448	15	54	40	10	10	25	45	25	30	20	45	20	35	20	24	30	15	45	50	35	60	25	25	30	40	50	45	45	39	55	60	55	30	20	20	35	15	20	35	25	20	45	30	25	20	20	15	30	32	32	30	20	40	40	50	20	0	0	0	0	0	0	20	30	15	20	25	25	10	10	25	45	25	15	15	20	45	25	25	12	40	40	20	30	30	20	30	20	20	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2277	15	53	30	4	4	25	44	25	30	16	45	20	34	20	15	30	15	45	50	35	55	25	25	29	40	50	45	44	39	52	59	55	30	16	20	22	15	17	30	25	17	38	27	24	20	20	9	26	32	32	30	20	40	34	46	20	0	0	0	0	0	0	20	26	15	20	25	25	0	4	25	38	24	15	10	19	45	23	19	12	40	40	19	29	30	19	22	20	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2231	11	20	13	10	13	18	19	12	30	12	18	16	11	11	5	39	9	16	14	21	12	12	24	24	11	50	17	14	7	14	23	30	15	10	10	18	13	22	16	17	19	16	20	17	11	25	18	13	21	14	26	7	12	20	40	11	24	30	21	129	21	286	15	11	4	52	14	8	21	7	19	20	12	12	8	11	15	44	8	8	15	6	22	4	15	321	6	12	32	0	31					
14	Число погашенных неиспользованных открепительных удостоверений	171	0	1	10	6	6	0	1	0	0	4	0	0	1	0	9	0	0	0	0	0	5	0	0	1	0	0	0	1	0	3	1	0	0	4	0	13	0	3	5	0	3	7	3	1	0	0	6	4	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	4	0	0	0	0	10	6	0	7	1	0	5	1	0	2	6	0	0	0	1	1	0	1	8	0	10	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	1	0	0	0	2	0	1	2	0	1	1	1	0	0	1	1	0	0	0	2	0	5	0	0	2	0	2	1	1	2	1	0	0	4	0	0	0	0	1	2	0	1	0	1	0	0	1	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7265	34	39	140	26	14	140	120	35	191	85	29	101	137	6	22	69	68	201	5	208	185	31	64	32	138	206	43	181	24	65	90	167	13	43	75	76	40	60	74	23	92	132	103	123	102	87	53	119	45	108	15	50	186	116	84	79	3	15	18	52	6	11	48	128	74	100	158	76	37	37	90	96	95	46	39	66	111	84	26	17	239	184	101	89	127	81	54	63	95	1	4					
		9.85%	11.07%	3.11%	15.86%	11.06%	9.40%	13.73%	11.55%	3.80%	14.86%	14.29%	2.16%	14.25%	16.39%	0.69%	4.16%	6.86%	13.99%	13.44%	0.44%	15.32%	14.46%	5.28%	6.04%	2.86%	11.22%	13.87%	3.30%	12.66%	1.64%	4.29%	6.29%	11.43%	1.40%	12.15%	10.87%	12.82%	10.93%	10.26%	10.28%	2.43%	12.06%	13.25%	13.27%	13.95%	13.44%	12.55%	11.21%	12.71%	4.36%	13.86%	1.64%	13.89%	14.06%	14.87%	6.31%	13.14%	3.70%	9.15%	13.33%	10.74%	10.00%	2.15%	9.25%	12.96%	13.07%	13.33%	13.40%	11.41%	9.34%	17.70%	10.66%	12.02%	12.50%	10.38%	9.77%	12.34%	10.43%	9.68%	8.39%	12.98%	15.15%	10.07%	13.47%	10.45%	10.37%	8.30%	11.04%	10.98%	8.61%	1.67%	8.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10855	21	75	180	41	25	197	182	51	277	108	30	121	159	18	21	158	72	239	2	208	219	35	53	42	191	222	142	252	56	139	101	225	70	89	136	109	77	117	170	11	155	142	118	135	101	110	85	199	101	126	51	75	246	113	144	93	11	31	28	105	7	46	119	207	116	163	243	117	35	22	153	155	175	93	73	85	201	168	55	27	212	419	149	115	203	129	91	97	356	2	12					
		14.72%	6.84%	5.97%	20.39%	17.45%	16.78%	19.31%	17.52%	5.53%	21.56%	18.15%	2.23%	17.07%	19.02%	2.08%	3.97%	15.71%	14.81%	15.98%	0.18%	15.32%	17.12%	5.96%	5.00%	3.75%	15.53%	14.95%	10.91%	17.62%	3.82%	9.17%	7.06%	15.40%	7.52%	25.14%	19.71%	18.38%	21.04%	20.00%	23.61%	1.16%	20.31%	14.26%	15.21%	15.31%	13.31%	15.87%	17.97%	21.26%	9.79%	16.17%	5.59%	20.83%	18.59%	14.49%	10.82%	15.47%	13.58%	18.90%	20.74%	21.69%	11.67%	8.98%	22.93%	20.95%	20.49%	21.73%	20.61%	17.57%	8.84%	10.53%	18.13%	19.40%	23.03%	20.99%	18.30%	15.89%	18.89%	19.35%	17.74%	20.61%	13.43%	22.92%	19.87%	13.50%	16.57%	13.22%	18.61%	16.90%	32.28%	3.33%	24.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	715	2	2	9	3	2	7	13	7	25	13	4	5	9	1	4	9	11	19	5	18	9	0	8	3	15	23	5	14	4	1	14	18	8	2	6	6	7	6	7	2	19	14	9	7	6	10	6	10	1	12	2	5	14	11	8	5	1	1	3	8	2	5	4	16	2	8	16	5	3	2	9	12	2	4	6	6	12	12	3	3	15	27	10	5	16	6	9	6	11	0	0					
		0.97%	0.65%	0.16%	1.02%	1.28%	1.34%	0.69%	1.25%	0.76%	1.95%	2.18%	0.30%	0.71%	1.08%	0.12%	0.76%	0.89%	2.26%	1.27%	0.44%	1.33%	0.70%	0.00%	0.75%	0.27%	1.22%	1.55%	0.38%	0.98%	0.27%	0.07%	0.98%	1.23%	0.86%	0.56%	0.87%	1.01%	1.91%	1.03%	0.97%	0.21%	2.49%	1.41%	1.16%	0.79%	0.79%	1.44%	1.27%	1.07%	0.10%	1.54%	0.22%	1.39%	1.06%	1.41%	0.60%	0.83%	1.23%	0.61%	2.22%	1.65%	3.33%	0.98%	0.77%	1.62%	0.35%	1.07%	1.36%	0.75%	0.76%	0.96%	1.07%	1.50%	0.26%	0.90%	1.50%	1.12%	1.13%	1.38%	0.97%	2.29%	0.95%	1.48%	1.33%	0.59%	1.31%	0.61%	1.84%	1.05%	0.99%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18489	26	144	138	41	31	208	311	180	317	136	320	202	224	152	55	152	118	443	120	431	398	161	134	250	434	488	210	433	280	453	331	367	119	82	156	144	101	156	186	174	199	270	222	251	226	212	113	235	122	256	109	83	498	225	305	193	11	20	30	114	17	9	131	253	205	231	278	199	44	37	201	214	207	110	99	131	334	199	73	35	659	576	253	323	463	240	146	163	155	0	4					
		25.07%	8.47%	11.46%	15.63%	17.45%	20.81%	20.39%	29.93%	19.52%	24.67%	22.86%	23.83%	28.49%	26.79%	17.55%	10.40%	15.11%	24.28%	29.61%	10.64%	31.74%	31.12%	27.43%	12.64%	22.34%	35.28%	32.86%	16.13%	30.28%	19.09%	29.90%	23.13%	25.12%	12.78%	23.16%	22.61%	24.28%	27.60%	26.67%	25.83%	18.39%	26.08%	27.11%	28.61%	28.46%	29.78%	30.59%	23.89%	25.11%	11.82%	32.86%	11.94%	23.06%	37.64%	28.85%	22.92%	32.11%	13.58%	12.20%	22.22%	23.55%	28.33%	1.76%	25.24%	25.61%	36.22%	30.80%	23.58%	29.88%	11.11%	17.70%	23.82%	26.78%	27.24%	24.83%	24.81%	24.49%	31.39%	22.93%	23.55%	26.72%	41.76%	31.51%	33.73%	37.91%	37.80%	24.59%	29.86%	28.40%	14.05%	0.00%	8.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1838	1	5	34	7	2	26	34	5	54	27	4	14	26	2	6	26	18	49	3	55	47	20	9	5	36	51	6	62	2	28	42	23	9	11	13	14	9	27	10	4	26	59	42	35	45	37	7	30	9	33	6	6	31	27	19	39	2	3	8	13	1	1	9	19	9	21	24	19	9	0	9	21	29	17	14	12	21	19	13	3	61	38	25	21	42	20	20	19	19	0	0					
		2.49%	0.33%	0.40%	3.85%	2.98%	1.34%	2.55%	3.27%	0.54%	4.20%	4.54%	0.30%	1.97%	3.11%	0.23%	1.13%	2.58%	3.70%	3.28%	0.27%	4.05%	3.67%	3.41%	0.85%	0.45%	2.93%	3.43%	0.46%	4.34%	0.14%	1.85%	2.94%	1.57%	0.97%	3.11%	1.88%	2.36%	2.46%	4.62%	1.39%	0.42%	3.41%	5.92%	5.41%	3.97%	5.93%	5.34%	1.48%	3.21%	0.87%	4.24%	0.66%	1.67%	2.34%	3.46%	1.43%	6.49%	2.47%	1.83%	5.93%	2.69%	1.67%	0.20%	1.73%	1.92%	1.59%	2.80%	2.04%	2.85%	2.27%	0.00%	1.07%	2.63%	3.82%	3.84%	3.51%	2.24%	1.97%	2.19%	4.19%	2.29%	3.87%	2.08%	3.33%	2.46%	3.43%	2.05%	4.09%	3.31%	1.72%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32644	214	905	362	115	71	416	348	617	391	212	922	239	269	663	402	567	182	513	947	402	374	330	733	760	390	463	873	464	1084	793	822	631	682	114	294	230	121	209	257	706	255	352	264	303	257	215	196	324	736	223	705	131	320	267	738	182	51	79	46	172	25	440	204	346	153	207	424	205	218	108	364	278	228	155	163	220	356	367	134	43	360	547	200	278	349	483	150	211	439	56	30					
		44.27%	69.71%	72.05%	40.99%	48.94%	47.65%	40.78%	33.49%	66.92%	30.43%	35.63%	68.65%	33.71%	32.18%	76.56%	75.99%	56.36%	37.45%	34.29%	83.95%	29.60%	29.24%	56.22%	69.15%	67.92%	31.71%	31.18%	67.05%	32.45%	73.89%	52.34%	57.44%	43.19%	73.25%	32.20%	42.61%	38.79%	33.06%	35.73%	35.69%	74.63%	33.42%	35.34%	34.02%	34.35%	33.86%	31.02%	41.44%	34.62%	71.32%	28.63%	77.22%	36.39%	24.19%	34.23%	55.45%	30.28%	62.96%	48.17%	34.07%	35.54%	41.67%	85.94%	39.31%	35.02%	27.03%	27.60%	35.96%	30.78%	55.05%	51.67%	43.13%	34.79%	30.00%	34.99%	40.85%	41.12%	33.46%	42.28%	43.23%	32.82%	22.81%	29.92%	26.67%	32.63%	28.49%	49.49%	30.67%	36.76%	39.80%	93.33%	60.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	397	0	2	7	0	0	8	4	1	7	0	2	9	2	2	3	6	4	7	0	8	8	0	5	1	7	6	2	4	1	6	11	7	8	3	4	4	2	1	4	3	2	9	5	4	4	12	5	3	4	6	9	2	12	6	9	2	0	2	0	3	0	0	1	11	3	4	8	3	2	0	3	5	3	6	1	3	9	4	2	2	15	14	6	4	6	6	3	6	8	1	0					
		0.54%	0.00%	0.16%	0.79%	0.00%	0.00%	0.78%	0.38%	0.11%	0.54%	0.00%	0.15%	1.27%	0.24%	0.23%	0.57%	0.60%	0.82%	0.47%	0.00%	0.59%	0.63%	0.00%	0.47%	0.09%	0.57%	0.40%	0.15%	0.28%	0.07%	0.40%	0.77%	0.48%	0.86%	0.85%	0.58%	0.67%	0.55%	0.17%	0.56%	0.32%	0.26%	0.90%	0.64%	0.45%	0.53%	1.73%	1.06%	0.32%	0.39%	0.77%	0.99%	0.56%	0.91%	0.77%	0.68%	0.33%	0.00%	1.22%	0.00%	0.62%	0.00%	0.00%	0.19%	1.11%	0.53%	0.53%	0.68%	0.45%	0.51%	0.00%	0.36%	0.63%	0.39%	1.35%	0.25%	0.56%	0.85%	0.46%	0.65%	1.53%	0.95%	0.77%	0.80%	0.47%	0.49%	0.61%	0.61%	1.05%	0.73%	1.67%	0.00%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
