Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Нижнеудинская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999					
		15.23%	10.02%	12.70%	10.80%	15.30%	10.31%	16.37%	13.71%	15.58%	14.79%	13.94%	14.29%	11.10%	16.11%	15.30%	14.24%	16.43%	12.97%	13.30%	15.66%	14.52%	15.42%	25.29%	23.59%	21.77%	17.67%	17.12%	19.64%					
																																		
24	Против всех	315	22	17	6	7	7	27	20	9	27	6	3	22	37	30	3	9	8	10	10	3	4	5	12	2	2	3	4					
		1.98%	2.06%	3.85%	1.14%	1.60%	1.80%	2.63%	3.38%	2.34%	2.58%	1.47%	1.34%	3.17%	3.37%	2.89%	0.91%	1.57%	1.17%	1.82%	1.48%	0.45%	0.83%	1.15%	1.69%	0.51%	0.63%	1.03%	1.03%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
