Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Верхнебуреинская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  621	УИК  637					
11	Число полученных открепительных  удостоверений	548	8	0	8	1	32	52	72	56	7	24	3	11	18	3	5	48	42	32	7	6	1	3	6	3	18	5	0	1	0	43	24	9					
12	Число выданных открепительных удостоверений	503	8	0	7	1	29	48	71	53	5	24	3	11	18	3	5	41	36	28	7	5	1	1	6	2	12	4	0	1	0	43	21	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	283	13	4	2	3	8	13	32	14	9	10	4	31	2	5	8	19	18	9	7	5	6	3	5	7	7	6	9	3	2	9	6	4					
14	Число неиспользованных открепительных удостоверений	45	0	0	1	0	3	4	1	3	2	0	0	0	0	0	0	7	6	4	0	1	0	2	0	1	6	1	0	0	0	0	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	52	0	0	0	0	3	7	15	14	0	3	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	906	13	0	20	13	78	102	127	131	33	23	4	22	4	4	6	62	51	85	13	23	8	6	0	1	22	5	3	1	0	4	24	18					
		5.12%	2.78%	0.00%	6.01%	9.35%	6.92%	5.68%	6.02%	6.95%	5.79%	3.37%	2.27%	4.04%	1.79%	2.94%	7.59%	4.65%	5.19%	6.94%	4.19%	5.36%	4.10%	4.92%	0.00%	0.98%	2.24%	2.54%	4.29%	1.72%	0.00%	1.75%	5.16%	3.76%					
19	. Малышкин Олег Александрович	901	19	0	21	13	71	120	115	111	36	27	8	43	4	6	5	51	42	47	5	19	10	6	7	3	31	3	4	1	1	7	37	28					
		5.09%	4.07%	0.00%	6.31%	9.35%	6.30%	6.68%	5.45%	5.89%	6.32%	3.96%	4.55%	7.90%	1.79%	4.41%	6.33%	3.83%	4.28%	3.84%	1.61%	4.43%	5.13%	4.92%	5.65%	2.94%	3.16%	1.52%	5.71%	1.72%	1.47%	3.06%	7.96%	5.85%					
20	. Миронов Сергей Михайлович	266	6	0	3	4	23	32	27	35	9	18	2	4	1	1	1	16	16	20	2	2	2	1	2	1	9	1	1	4	0	5	9	9					
		1.50%	1.28%	0.00%	0.90%	2.88%	2.04%	1.78%	1.28%	1.86%	1.58%	2.64%	1.14%	0.74%	0.45%	0.74%	1.27%	1.20%	1.63%	1.63%	0.65%	0.47%	1.03%	0.82%	1.61%	0.98%	0.92%	0.51%	1.43%	6.90%	0.00%	2.18%	1.94%	1.88%					
21	. Путин Владимир Владимирович	11230	355	48	166	74	632	1016	1238	1004	333	442	130	381	187	99	43	900	658	761	247	325	153	84	98	83	741	162	51	46	55	172	251	295					
		63.49%	76.02%	96.00%	49.85%	53.24%	56.08%	56.54%	58.65%	53.26%	58.42%	64.81%	73.86%	70.04%	83.48%	72.79%	54.43%	67.57%	67.01%	62.17%	79.68%	75.76%	78.46%	68.85%	79.03%	81.37%	75.46%	82.23%	72.86%	79.31%	80.88%	75.11%	53.98%	61.59%					
22	. Хакамада Ирина Муцуовна	577	19	0	17	6	35	57	96	69	17	22	3	23	3	2	3	55	35	38	9	6	4	1	2	2	17	1	1	1	0	2	15	16					
		3.26%	4.07%	0.00%	5.11%	4.32%	3.11%	3.17%	4.55%	3.66%	2.98%	3.23%	1.70%	4.23%	1.34%	1.47%	3.80%	4.13%	3.56%	3.10%	2.90%	1.40%	2.05%	0.82%	1.61%	1.96%	1.73%	0.51%	1.43%	1.72%	0.00%	0.87%	3.23%	3.34%					
23	. Харитонов Николай Михайлович	2672	27	1	76	22	194	348	335	386	98	97	20	47	18	13	17	170	132	194	25	31	11	18	10	9	124	21	4	3	11	30	101	79					
		15.11%	5.78%	2.00%	22.82%	15.83%	17.21%	19.37%	15.87%	20.48%	17.19%	14.22%	11.36%	8.64%	8.04%	9.56%	21.52%	12.76%	13.44%	15.85%	8.06%	7.23%	5.64%	14.75%	8.06%	8.82%	12.63%	10.66%	5.71%	5.17%	16.18%	13.10%	21.72%	16.49%					
																																							
24	Против всех	974	22	0	28	4	85	108	157	109	38	40	8	23	6	11	4	68	42	75	8	18	6	6	5	3	30	4	6	2	1	5	26	26					
		5.51%	4.71%	0.00%	8.41%	2.88%	7.54%	6.01%	7.44%	5.78%	6.67%	5.87%	4.55%	4.23%	2.68%	8.09%	5.06%	5.11%	4.28%	6.13%	2.58%	4.20%	3.08%	4.92%	4.03%	2.94%	3.05%	2.03%	8.57%	3.45%	1.47%	2.18%	5.59%	5.43%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
