Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Пикалевская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728					
39	"22. ""Развитие предпринимательства"""	62	11	6	2	8	9	11	9	6					
		0.52%	0.72%	0.42%	0.12%	0.50%	0.61%	0.83%	0.57%	0.40%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	726	94	109	137	64	102	79	61	80					
		6.09%	6.23%	7.73%	8.55%	4.02%	6.98%	5.98%	3.91%	5.46%					
															
41	Против всех	462	58	40	54	78	56	49	65	62					
		3.87%	3.84%	2.83%	3.37%	4.90%	3.83%	3.71%	4.16%	4.23%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
