Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Новочеркасская городская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №2621									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1687	20	30	20	20	20	20	20	20	25	20	20	20	20	20	150	30	20	20	20	30	20	20	20	20	20	100	20	20	20	20	20	20	20	30	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	30	20	20	20	20	20	50	2	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1072	14	25	12	9	18	0	20	19	25	8	12	8	20	8	118	23	17	12	11	20	13	10	18	9	10	36	20	10	11	2	17	20	12	20	6	1	20	20	30	20	13	15	9	4	8	8	8	14	17	15	15	16	11	19	18	16	6	13	15	25	22	11	17	6	12	1	29	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	799	10	14	2	5	10	3	28	11	3	3	31	5	6	5	25	10	9	10	13	85	23	1	6	64	20	10	20	12	8	12	4	20	12	8	10	0	1	3	11	7	8	4	11	9	6	6	1	2	10	5	13	3	4	8	4	5	3	6	7	3	8	2	5	15	7	79	20	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	615	6	5	8	11	2	20	0	1	0	12	8	12	0	12	32	7	3	8	9	10	7	10	2	11	10	64	0	10	9	18	3	0	8	10	14	19	0	0	0	0	7	5	11	16	12	12	12	6	3	5	5	4	9	1	2	4	14	7	15	5	8	9	3	14	8	19	21	2	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	6	2	0	1	0	0	0	3	0	0	2	3	2	0	14	0	6	0	2	7	4	3	1	2	1	0	1	0	1	0	2	2	2	1	0	0	2	0	0	1	0	1	1	1	1	2	0	0	0	1	0	2	0	1	1	0	0	0	21	3	0	0	0	0	0	0	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2045	64	72	24	30	35	5	36	52	35	36	26	22	36	17	62	46	49	33	29	25	8	33	18	67	15	30	23	43	14	18	37	18	22	27	18	5	24	40	42	54	18	24	40	48	26	26	24	30	30	38	23	11	24	31	36	9	5	14	20	51	34	26	42	30	35	5	37	7	11									
		4.26%	6.30%	6.11%	4.04%	5.34%	6.27%	3.03%	4.25%	5.96%	3.77%	9.33%	5.08%	4.48%	3.75%	5.88%	4.34%	4.73%	6.27%	7.17%	3.67%	3.62%	2.66%	6.85%	3.50%	10.14%	5.49%	4.01%	3.40%	9.91%	4.02%	3.34%	4.67%	2.86%	4.13%	4.15%	4.42%	3.52%	3.04%	3.88%	4.50%	4.99%	2.79%	3.90%	5.81%	6.35%	3.83%	3.39%	2.88%	4.61%	4.21%	4.67%	2.16%	2.03%	3.33%	4.03%	4.28%	2.82%	3.23%	2.90%	4.58%	5.66%	2.80%	3.10%	3.92%	2.98%	3.81%	0.84%	3.55%	0.56%	4.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1414	20	38	19	18	18	6	19	20	32	10	13	13	36	8	40	36	15	11	27	16	5	15	15	25	10	26	24	12	6	11	28	4	18	14	14	3	23	31	34	36	24	17	21	24	13	27	22	14	24	29	20	27	13	24	28	15	9	17	20	30	47	40	32	34	30	14	26	1	3									
		2.94%	1.97%	3.23%	3.20%	3.20%	3.23%	3.64%	2.24%	2.29%	3.44%	2.59%	2.54%	2.65%	3.75%	2.77%	2.80%	3.70%	1.92%	2.39%	3.41%	2.32%	1.66%	3.11%	2.91%	3.78%	3.66%	3.48%	3.55%	2.76%	1.72%	2.04%	3.54%	0.64%	3.38%	2.15%	3.44%	2.11%	2.91%	3.00%	3.64%	3.33%	3.72%	2.76%	3.05%	3.17%	1.91%	3.52%	2.64%	2.15%	3.37%	3.57%	1.88%	4.97%	1.80%	3.12%	3.33%	4.70%	5.81%	3.53%	4.58%	3.33%	3.87%	4.77%	2.99%	3.37%	3.27%	2.36%	2.50%	0.08%	1.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1217	30	38	15	22	19	6	20	22	28	19	10	14	28	8	22	36	26	15	22	17	10	14	18	16	5	13	12	13	18	10	16	13	14	13	10	1	34	30	20	23	21	27	22	19	10	11	37	13	15	32	12	10	19	16	16	11	1	11	13	11	20	26	19	28	34	13	17	4	9									
		2.53%	2.95%	3.23%	2.53%	3.91%	3.41%	3.64%	2.36%	2.52%	3.01%	4.92%	1.95%	2.85%	2.91%	2.77%	1.54%	3.70%	3.33%	3.26%	2.78%	2.46%	3.32%	2.90%	3.50%	2.42%	1.83%	1.74%	1.77%	2.99%	5.17%	1.86%	2.02%	2.07%	2.63%	2.00%	2.46%	0.70%	4.30%	2.91%	2.14%	2.13%	3.26%	4.38%	3.20%	2.51%	1.47%	1.44%	4.44%	1.99%	2.10%	3.94%	1.13%	1.84%	2.64%	2.08%	1.90%	3.45%	0.65%	2.28%	2.97%	1.22%	1.64%	3.10%	1.77%	2.78%	3.70%	2.19%	1.63%	0.32%	3.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18282	373	384	163	188	177	74	255	279	297	135	221	160	324	118	696	319	227	142	256	257	110	160	182	234	123	321	288	114	89	256	264	293	193	223	178	69	287	398	333	398	236	215	217	281	251	243	262	242	241	263	488	179	226	293	303	106	45	181	147	319	535	280	415	411	376	451	434	1000	84									
		38.06%	36.71%	32.60%	27.44%	33.45%	31.72%	44.85%	30.11%	31.96%	31.97%	34.97%	43.16%	32.59%	33.71%	40.83%	48.77%	32.82%	29.07%	30.87%	32.36%	37.19%	36.54%	33.20%	35.34%	35.40%	45.05%	42.91%	42.54%	26.27%	25.57%	47.50%	33.33%	46.58%	36.21%	34.31%	43.73%	48.59%	36.33%	38.57%	35.65%	36.78%	36.59%	34.90%	31.54%	37.17%	36.97%	31.72%	31.45%	37.17%	33.80%	32.35%	45.78%	32.97%	31.35%	38.10%	36.03%	33.23%	29.03%	37.55%	33.64%	35.41%	43.99%	33.37%	38.75%	40.77%	40.96%	75.93%	41.69%	80.52%	32.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	437	7	13	6	3	9	0	9	11	8	5	5	5	8	4	16	10	8	2	10	7	0	2	9	5	0	4	2	2	5	6	10	5	2	13	1	2	6	11	10	3	4	9	6	9	8	7	13	5	7	6	5	8	4	8	9	3	0	3	6	12	7	8	6	12	4	2	16	4	2									
		0.91%	0.69%	1.10%	1.01%	0.53%	1.61%	0.00%	1.06%	1.26%	0.86%	1.30%	0.98%	1.02%	0.83%	1.38%	1.12%	1.03%	1.02%	0.43%	1.26%	1.01%	0.00%	0.41%	1.75%	0.76%	0.00%	0.53%	0.30%	0.46%	1.44%	1.11%	1.26%	0.79%	0.38%	2.00%	0.25%	1.41%	0.76%	1.07%	1.07%	0.28%	0.62%	1.46%	0.87%	1.19%	1.18%	0.91%	1.56%	0.77%	0.98%	0.74%	0.47%	1.47%	0.55%	1.04%	1.07%	0.94%	0.00%	0.62%	1.37%	1.33%	0.58%	0.95%	0.56%	1.19%	0.44%	0.34%	1.54%	0.32%	0.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	93	1	1	0	2	0	0	0	2	0	2	1	1	4	1	5	3	2	0	4	1	0	1	1	2	0	1	1	2	1	2	1	0	1	3	2	1	1	1	2	0	1	2	1	1	2	1	2	1	1	1	1	0	0	1	1	0	0	1	0	0	6	1	0	0	2	5	5	3	1									
		0.19%	0.10%	0.08%	0.00%	0.36%	0.00%	0.00%	0.00%	0.23%	0.00%	0.52%	0.20%	0.20%	0.42%	0.35%	0.35%	0.31%	0.26%	0.00%	0.51%	0.14%	0.00%	0.21%	0.19%	0.30%	0.00%	0.13%	0.15%	0.46%	0.29%	0.37%	0.13%	0.00%	0.19%	0.46%	0.49%	0.70%	0.13%	0.10%	0.21%	0.00%	0.16%	0.32%	0.15%	0.13%	0.29%	0.13%	0.24%	0.15%	0.14%	0.12%	0.09%	0.00%	0.00%	0.13%	0.12%	0.00%	0.00%	0.21%	0.00%	0.00%	0.49%	0.12%	0.00%	0.00%	0.22%	0.84%	0.48%	0.24%	0.39%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8399	176	181	100	86	83	35	116	127	130	45	83	73	186	35	263	144	125	109	158	143	66	75	119	119	44	130	98	78	51	78	126	119	99	130	65	24	152	190	176	234	105	105	117	114	116	137	184	107	125	156	236	103	149	130	163	61	39	97	89	150	307	151	185	163	121	37	201	149	31									
		17.49%	17.32%	15.37%	16.84%	15.30%	14.87%	21.21%	13.70%	14.55%	13.99%	11.66%	16.21%	14.87%	19.35%	12.11%	18.43%	14.81%	16.01%	23.70%	19.97%	20.69%	21.93%	15.56%	23.11%	18.00%	16.12%	17.38%	14.48%	17.97%	14.66%	14.47%	15.91%	18.92%	18.57%	20.00%	15.97%	16.90%	19.24%	18.41%	18.84%	21.63%	16.28%	17.05%	17.01%	15.08%	17.08%	17.89%	22.09%	16.44%	17.53%	19.19%	22.14%	18.97%	20.67%	16.91%	19.38%	19.12%	25.16%	20.12%	20.37%	16.65%	25.25%	17.99%	17.27%	16.17%	13.18%	6.23%	19.31%	11.99%	12.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	505	19	25	6	7	8	4	14	13	15	6	3	10	11	1	15	16	15	4	13	14	6	1	2	10	2	5	9	12	7	5	5	11	8	5	1	0	5	8	12	11	6	5	3	7	7	5	2	7	3	6	5	2	8	10	7	3	2	4	2	10	5	5	5	6	7	2	18	4	5									
		1.05%	1.87%	2.12%	1.01%	1.25%	1.43%	2.42%	1.65%	1.49%	1.61%	1.55%	0.59%	2.04%	1.14%	0.35%	1.05%	1.65%	1.92%	0.87%	1.64%	2.03%	1.99%	0.21%	0.39%	1.51%	0.73%	0.67%	1.33%	2.76%	2.01%	0.93%	0.63%	1.75%	1.50%	0.77%	0.25%	0.00%	0.63%	0.78%	1.28%	1.02%	0.93%	0.81%	0.44%	0.93%	1.03%	0.65%	0.24%	1.08%	0.42%	0.74%	0.47%	0.37%	1.11%	1.30%	0.83%	0.94%	1.29%	0.83%	0.46%	1.11%	0.41%	0.60%	0.47%	0.60%	0.76%	0.34%	1.73%	0.32%	1.94%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	663	30	33	8	9	8	0	23	13	13	6	14	13	20	5	14	24	21	4	21	7	9	8	3	9	1	5	4	11	10	12	12	5	12	22	9	0	7	12	12	6	8	6	7	9	3	9	8	5	8	12	8	4	11	14	9	5	1	4	3	9	7	5	13	10	9	1	12	5	3									
		1.38%	2.95%	2.80%	1.35%	1.60%	1.43%	0.00%	2.72%	1.49%	1.40%	1.55%	2.73%	2.65%	2.08%	1.73%	0.98%	2.47%	2.69%	0.87%	2.65%	1.01%	2.99%	1.66%	0.58%	1.36%	0.37%	0.67%	0.59%	2.53%	2.87%	2.23%	1.52%	0.79%	2.25%	3.38%	2.21%	0.00%	0.89%	1.16%	1.28%	0.55%	1.24%	0.97%	1.02%	1.19%	0.44%	1.17%	0.96%	0.77%	1.12%	1.48%	0.75%	0.74%	1.53%	1.82%	1.07%	1.57%	0.65%	0.83%	0.69%	0.99%	0.58%	0.60%	1.21%	0.99%	0.98%	0.17%	1.15%	0.40%	1.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	2	1	0	1	1	0	1	0	1	0	0	0	1	0	2	0	2	1	0	2	2	1	1	0	0	2	0	0	0	0	1	2	1	0	0	0	1	2	1	1	0	1	2	0	0	1	2	1	0	1	1	1	2	2	0	0	1	1	0	0	3	3	1	1	1	0	2	2	0									
		0.12%	0.20%	0.08%	0.00%	0.18%	0.18%	0.00%	0.12%	0.00%	0.11%	0.00%	0.00%	0.00%	0.10%	0.00%	0.14%	0.00%	0.26%	0.22%	0.00%	0.29%	0.66%	0.21%	0.19%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.13%	0.32%	0.19%	0.00%	0.00%	0.00%	0.13%	0.19%	0.11%	0.09%	0.00%	0.16%	0.29%	0.00%	0.00%	0.13%	0.24%	0.15%	0.00%	0.12%	0.09%	0.18%	0.28%	0.26%	0.00%	0.00%	0.65%	0.21%	0.00%	0.00%	0.25%	0.36%	0.09%	0.10%	0.11%	0.00%	0.19%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	969	23	35	12	14	14	4	21	34	28	13	13	24	26	9	25	33	35	8	14	15	7	6	14	9	0	6	8	10	14	22	25	17	19	23	6	0	9	19	8	12	15	16	12	13	17	8	17	12	5	10	17	6	18	13	15	0	0	2	11	27	10	9	12	12	6	3	31	7	11									
		2.02%	2.26%	2.97%	2.02%	2.49%	2.51%	2.42%	2.48%	3.89%	3.01%	3.37%	2.54%	4.89%	2.71%	3.11%	1.75%	3.40%	4.48%	1.74%	1.77%	2.17%	2.33%	1.24%	2.72%	1.36%	0.00%	0.80%	1.18%	2.30%	4.02%	4.08%	3.16%	2.70%	3.56%	3.54%	1.47%	0.00%	1.14%	1.84%	0.86%	1.11%	2.33%	2.60%	1.74%	1.72%	2.50%	1.04%	2.04%	1.84%	0.70%	1.23%	1.59%	1.10%	2.50%	1.69%	1.78%	0.00%	0.00%	0.41%	2.52%	2.99%	0.82%	1.07%	1.12%	1.19%	0.65%	0.51%	2.98%	0.56%	4.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9293	200	245	188	132	143	21	218	201	235	81	90	121	197	53	167	208	177	94	166	120	54	109	89	104	51	146	154	93	96	73	176	82	106	116	75	24	145	175	198	195	138	119	148	133	149	174	154	156	165	174	144	131	161	153	194	73	39	92	85	176	143	203	212	209	191	13	162	15	69									
		19.35%	19.69%	20.80%	31.65%	23.49%	25.63%	12.73%	25.74%	23.02%	25.30%	20.98%	17.58%	24.64%	20.50%	18.34%	11.70%	21.40%	22.66%	20.43%	20.99%	17.37%	17.94%	22.61%	17.28%	15.73%	18.68%	19.52%	22.75%	21.43%	27.59%	13.54%	22.22%	13.04%	19.89%	17.85%	18.43%	16.90%	18.35%	16.96%	21.20%	18.02%	21.40%	19.32%	21.51%	17.59%	21.94%	22.72%	18.49%	23.96%	23.14%	21.40%	13.51%	24.13%	22.33%	19.90%	23.07%	22.88%	25.16%	19.09%	19.45%	19.53%	11.76%	24.20%	19.79%	20.73%	20.81%	2.19%	15.56%	1.21%	26.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	322	3	11	1	2	4	0	8	3	4	4	2	2	8	3	14	8	5	3	4	4	1	6	2	3	0	3	6	4	5	6	3	3	3	6	0	2	5	7	7	6	4	4	7	7	2	9	3	8	9	11	1	3	4	3	2	7	2	5	4	7	13	3	6	6	9	0	9	0	3									
		0.67%	0.30%	0.93%	0.17%	0.36%	0.72%	0.00%	0.94%	0.34%	0.43%	1.04%	0.39%	0.41%	0.83%	1.04%	0.98%	0.82%	0.64%	0.65%	0.51%	0.58%	0.33%	1.24%	0.39%	0.45%	0.00%	0.40%	0.89%	0.92%	1.44%	1.11%	0.38%	0.48%	0.56%	0.92%	0.00%	1.41%	0.63%	0.68%	0.75%	0.55%	0.62%	0.65%	1.02%	0.93%	0.29%	1.17%	0.36%	1.23%	1.26%	1.35%	0.09%	0.55%	0.55%	0.39%	0.24%	2.19%	1.29%	1.04%	0.92%	0.78%	1.07%	0.36%	0.56%	0.60%	0.98%	0.00%	0.86%	0.00%	1.16%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3108	51	81	40	36	24	4	94	83	81	20	23	26	48	18	58	66	49	26	47	39	14	31	27	38	17	31	29	32	26	27	70	36	23	40	17	4	70	79	60	79	52	53	71	68	55	89	70	31	61	54	87	46	66	52	44	20	6	29	28	77	43	39	90	66	64	11	44	8	20									
		6.47%	5.02%	6.88%	6.73%	6.41%	4.30%	2.42%	11.10%	9.51%	8.72%	5.18%	4.49%	5.30%	4.99%	6.23%	4.06%	6.79%	6.27%	5.65%	5.94%	5.64%	4.65%	6.43%	5.24%	5.75%	6.23%	4.14%	4.28%	7.37%	7.47%	5.01%	8.84%	5.72%	4.32%	6.15%	4.18%	2.82%	8.86%	7.66%	6.42%	7.30%	8.06%	8.60%	10.32%	8.99%	8.10%	11.62%	8.40%	4.76%	8.56%	6.64%	8.16%	8.47%	9.15%	6.76%	5.23%	6.27%	3.87%	6.02%	6.41%	8.55%	3.54%	4.65%	8.40%	6.55%	6.97%	1.85%	4.23%	0.64%	7.75%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
