Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Сургутская - 222																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №536	УИК №539	УИК №694									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2290	70	70	70	70	70	70	70	70	70	70	70	70	70	25	25	25	25	25	25	25	25	25	60	60	60	60	60	60	35	35	70	70	70	40	40	40	20	20	30	15	15	30	40	10	15	10	60	70	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	313	5	7	4	9	2	6	4	9	1	9	2	2	5	0	6	3	8	4	6	4	0	1	13	13	12	8	12	2	2	7	15	15	11	16	15	9	3	0	1	4	7	14	10	3	0	0	4	11	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	325	1	0	0	1	0	0	0	22	0	0	0	0	4	1	6	3	4	2	3	16	0	2	4	1	1	4	2	11	4	0	11	2	18	5	2	3	13	61	3	6	70	11	4	6	7	1	0	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	1977	65	63	66	61	68	64	66	61	69	61	68	68	65	25	19	22	17	21	19	21	25	24	47	47	48	52	48	58	33	28	55	55	59	24	25	31	17	20	29	11	8	16	30	7	15	10	56	59	51									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	6	1	2	0	0	0	0	0	0	1	0	1	0	2	1	0	0	3	2	3	0	0	0	1	1	0	2	0	0	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	335	4	5	12	13	15	3	3	9	5	5	5	8	7	4	3	7	6	6	7	2	4	9	5	10	8	5	1	12	10	10	16	4	14	17	11	3	5	2	4	1	9	14	6	2	1	1	3	17	2									
		1.23%	1.01%	0.59%	1.52%	1.99%	2.51%	0.91%	0.51%	1.59%	0.92%	0.80%	1.06%	1.31%	1.10%	1.70%	0.66%	1.44%	1.07%	1.14%	1.87%	0.60%	1.36%	2.62%	0.53%	1.25%	1.42%	1.16%	0.16%	2.03%	1.32%	2.20%	1.54%	0.49%	1.23%	2.18%	1.63%	0.50%	2.11%	1.43%	1.19%	0.33%	1.20%	1.47%	0.97%	3.03%	0.52%	1.00%	0.67%	1.56%	0.34%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	705	11	15	20	8	18	18	22	16	8	14	10	19	16	2	13	13	14	18	13	10	10	5	23	16	11	11	19	25	21	16	24	31	26	22	19	24	3	0	10	3	13	9	23	0	5	0	8	21	29									
		2.58%	2.78%	1.77%	2.53%	1.23%	3.02%	5.45%	3.75%	2.83%	1.48%	2.23%	2.13%	3.10%	2.51%	0.85%	2.86%	2.67%	2.50%	3.42%	3.48%	3.01%	3.39%	1.45%	2.42%	1.99%	1.95%	2.55%	3.10%	4.23%	2.77%	3.52%	2.30%	3.82%	2.28%	2.82%	2.81%	4.00%	1.27%	0.00%	2.98%	0.98%	1.74%	0.94%	3.71%	0.00%	2.58%	0.00%	1.79%	1.92%	4.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	550	6	17	17	20	13	7	17	9	7	10	10	16	20	4	0	11	12	11	11	5	9	10	26	20	5	10	4	9	17	12	15	15	17	11	9	13	5	6	7	8	15	28	20	0	5	1	8	11	11									
		2.01%	1.52%	2.01%	2.15%	3.07%	2.18%	2.12%	2.90%	1.59%	1.29%	1.59%	2.13%	2.61%	3.13%	1.70%	0.00%	2.26%	2.14%	2.09%	2.94%	1.51%	3.05%	2.91%	2.73%	2.49%	0.89%	2.32%	0.65%	1.52%	2.25%	2.64%	1.44%	1.85%	1.49%	1.41%	1.33%	2.17%	2.11%	4.29%	2.08%	2.62%	2.01%	2.94%	3.23%	0.00%	2.58%	1.00%	1.79%	1.01%	1.86%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12295	151	357	334	250	227	138	238	223	239	254	202	271	270	111	217	231	267	278	156	161	140	166	436	344	237	189	277	249	342	192	513	362	515	320	313	282	118	53	161	162	379	596	270	30	109	46	187	496	236									
		45.03%	38.23%	42.15%	42.33%	38.40%	38.02%	41.82%	40.61%	39.40%	44.10%	40.51%	42.98%	44.21%	42.32%	47.23%	47.80%	47.43%	47.59%	52.75%	41.71%	48.49%	47.46%	48.26%	45.85%	42.89%	42.02%	43.85%	45.19%	42.13%	45.18%	42.20%	49.23%	44.58%	45.10%	41.08%	46.30%	47.00%	49.79%	37.86%	47.92%	53.11%	50.67%	62.54%	43.55%	45.45%	56.19%	46.00%	41.83%	45.38%	39.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	140	5	5	1	5	4	2	5	3	3	4	2	3	3	3	4	2	5	2	0	3	0	1	3	3	3	4	3	0	2	3	9	6	5	3	4	1	2	0	2	6	4	3	1	0	1	0	4	3	0									
		0.51%	1.27%	0.59%	0.13%	0.77%	0.67%	0.61%	0.85%	0.53%	0.55%	0.64%	0.43%	0.49%	0.47%	1.28%	0.88%	0.41%	0.89%	0.38%	0.00%	0.90%	0.00%	0.29%	0.32%	0.37%	0.53%	0.93%	0.49%	0.00%	0.26%	0.66%	0.86%	0.74%	0.44%	0.39%	0.59%	0.17%	0.84%	0.00%	0.60%	1.97%	0.53%	0.31%	0.16%	0.00%	0.52%	0.00%	0.89%	0.27%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	75	0	2	3	1	1	1	1	0	1	2	1	1	1	0	7	1	1	1	0	0	0	0	2	1	1	25	0	0	0	2	1	5	0	2	1	1	0	0	1	0	1	0	0	0	0	0	3	4	0									
		0.27%	0.00%	0.24%	0.38%	0.15%	0.17%	0.30%	0.17%	0.00%	0.18%	0.32%	0.21%	0.16%	0.16%	0.00%	1.54%	0.21%	0.18%	0.19%	0.00%	0.00%	0.00%	0.00%	0.21%	0.12%	0.18%	5.80%	0.00%	0.00%	0.00%	0.44%	0.10%	0.62%	0.00%	0.26%	0.15%	0.17%	0.00%	0.00%	0.30%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.37%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7035	121	254	193	180	184	87	154	175	166	187	150	164	179	57	99	97	134	115	92	87	59	80	256	230	146	105	157	149	203	104	267	218	326	203	138	122	46	39	86	64	160	143	175	15	42	27	127	325	148									
		25.76%	30.63%	29.99%	24.46%	27.65%	30.82%	26.36%	26.28%	30.92%	30.63%	29.82%	31.91%	26.75%	28.06%	24.26%	21.81%	19.92%	23.89%	21.82%	24.60%	26.20%	20.00%	23.26%	26.92%	28.68%	25.89%	24.36%	25.61%	25.21%	26.82%	22.86%	25.62%	26.85%	28.55%	26.06%	20.41%	20.33%	19.41%	27.86%	25.60%	20.98%	21.39%	15.01%	28.23%	22.73%	21.65%	27.00%	28.41%	29.73%	25.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	171	4	16	2	16	2	2	3	1	4	2	5	4	3	1	2	7	1	1	4	2	1	6	7	4	3	2	2	0	1	0	2	5	7	9	12	6	0	0	0	0	2	1	0	0	1	0	2	14	2									
		0.63%	1.01%	1.89%	0.25%	2.46%	0.34%	0.61%	0.51%	0.18%	0.74%	0.32%	1.06%	0.65%	0.47%	0.43%	0.44%	1.44%	0.18%	0.19%	1.07%	0.60%	0.34%	1.74%	0.74%	0.50%	0.53%	0.46%	0.33%	0.00%	0.13%	0.00%	0.19%	0.62%	0.61%	1.16%	1.78%	1.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.10%	0.00%	0.00%	0.52%	0.00%	0.45%	1.28%	0.34%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	193	4	7	10	6	6	4	3	3	2	2	2	2	7	5	2	5	2	5	5	3	2	3	4	7	9	5	4	2	4	5	9	6	8	3	2	2	0	3	2	3	4	3	3	0	2	0	4	4	5									
		0.71%	1.01%	0.83%	1.27%	0.92%	1.01%	1.21%	0.51%	0.53%	0.37%	0.32%	0.43%	0.33%	1.10%	2.13%	0.44%	1.03%	0.36%	0.95%	1.34%	0.90%	0.68%	0.87%	0.42%	0.87%	1.60%	1.16%	0.65%	0.34%	0.53%	1.10%	0.86%	0.74%	0.70%	0.39%	0.30%	0.33%	0.00%	2.14%	0.60%	0.98%	0.53%	0.31%	0.48%	0.00%	1.03%	0.00%	0.89%	0.37%	0.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	53	2	2	5	0	2	2	1	2	1	1	0	2	1	0	0	1	2	1	0	0	1	0	2	0	1	0	4	1	1	1	1	2	2	0	1	0	0	0	0	0	5	2	0	0	1	0	0	3	0									
		0.19%	0.51%	0.24%	0.63%	0.00%	0.34%	0.61%	0.17%	0.35%	0.18%	0.16%	0.00%	0.33%	0.16%	0.00%	0.00%	0.21%	0.36%	0.19%	0.00%	0.00%	0.34%	0.00%	0.21%	0.00%	0.18%	0.00%	0.65%	0.17%	0.13%	0.22%	0.10%	0.25%	0.18%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.21%	0.00%	0.00%	0.52%	0.00%	0.00%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	209	5	7	6	3	7	3	1	6	5	7	1	5	6	5	4	3	9	6	2	4	2	3	6	5	8	0	2	3	3	2	10	8	3	5	10	3	4	0	2	0	5	9	1	0	1	1	7	9	2									
		0.77%	1.27%	0.83%	0.76%	0.46%	1.17%	0.91%	0.17%	1.06%	0.92%	1.12%	0.21%	0.82%	0.94%	2.13%	0.88%	0.62%	1.60%	1.14%	0.53%	1.20%	0.68%	0.87%	0.63%	0.62%	1.42%	0.00%	0.33%	0.51%	0.40%	0.44%	0.96%	0.99%	0.26%	0.64%	1.48%	0.50%	1.69%	0.00%	0.60%	0.00%	0.67%	0.94%	0.16%	0.00%	0.52%	1.00%	1.57%	0.82%	0.34%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3004	61	96	113	82	74	36	69	73	58	86	51	74	50	23	57	64	54	49	47	36	35	27	91	90	81	36	78	89	87	45	100	85	99	87	79	63	31	20	31	21	95	43	68	6	14	4	62	84	100									
		11.00%	15.44%	11.33%	14.32%	12.60%	12.40%	10.91%	11.77%	12.90%	10.70%	13.72%	10.85%	12.07%	7.84%	9.79%	12.56%	13.14%	9.63%	9.30%	12.57%	10.84%	11.86%	7.85%	9.57%	11.22%	14.36%	8.35%	12.72%	15.06%	11.49%	9.89%	9.60%	10.47%	8.67%	11.17%	11.69%	10.50%	13.08%	14.29%	9.23%	6.89%	12.70%	4.51%	10.97%	9.09%	7.22%	4.00%	13.87%	7.69%	16.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	140	1	4	6	5	1	0	5	2	4	1	3	0	2	0	0	4	4	3	2	1	2	2	3	5	4	1	2	2	7	4	10	10	9	3	2	1	0	1	1	0	8	2	0	1	2	0	0	8	2									
		0.51%	0.25%	0.47%	0.76%	0.77%	0.17%	0.00%	0.85%	0.35%	0.74%	0.16%	0.64%	0.00%	0.31%	0.00%	0.00%	0.82%	0.71%	0.57%	0.53%	0.30%	0.68%	0.58%	0.32%	0.62%	0.71%	0.23%	0.33%	0.34%	0.92%	0.88%	0.96%	1.23%	0.79%	0.39%	0.30%	0.17%	0.00%	0.71%	0.30%	0.00%	1.07%	0.21%	0.00%	1.52%	1.03%	0.00%	0.00%	0.73%	0.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1311	16	45	42	37	22	14	35	22	26	24	14	29	54	15	27	26	36	21	18	13	18	17	50	42	25	11	36	28	29	27	26	25	44	66	47	54	15	11	12	8	28	35	24	6	5	2	19	37	28									
		4.80%	4.05%	5.31%	5.32%	5.68%	3.69%	4.24%	5.97%	3.89%	4.80%	3.83%	2.98%	4.73%	8.46%	6.38%	5.95%	5.34%	6.42%	3.98%	4.81%	3.92%	6.10%	4.94%	5.26%	5.24%	4.43%	2.55%	5.87%	4.74%	3.83%	5.93%	2.50%	3.08%	3.85%	8.47%	6.95%	9.00%	6.33%	7.86%	3.57%	2.62%	3.74%	3.67%	3.87%	9.09%	2.58%	2.00%	4.25%	3.39%	4.74%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
