Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №20																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3616	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	45	75	50	50	50	50	50	50	100	100	60	50	50	5	50	50	50	5	45	30	30	30	30	30	50	50	50	50	50	31	30	30	30	50	100	50	50	50	50	50	30	100	100	50	50	50	50	50	50	50	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1951	18	19	37	15	41	27	36	24	47	35	15	32	34	32	32	21	22	31	34	39	46	39	69	33	26	19	27	33	44	43	54	52	25	17	1	26	28	14	0	32	25	22	13	10	5	24	24	21	6	20	27	18	18	20	43	57	30	38	26	30	18	15	28	26	32	16	40	11	25	21	12	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1734	28	18	22	21	11	32	12	8	11	23	4	17	57	18	19	16	20	23	28	18	22	35	11	136	18	39	32	13	37	18	34	25	14	10	17	38	24	26	7	9	47	8	11	22	10	12	25	7	5	16	23	7	2	22	17	32	10	21	18	41	108	20	40	20	36	45	16	27	40	33	8	14	0									
14	Число погашенных неиспользованных открепительных удостоверений	1665	32	31	13	35	9	23	14	26	3	15	35	18	16	18	18	29	28	19	16	11	54	6	6	17	24	31	23	17	6	57	46	8	25	33	4	24	22	36	5	13	5	8	17	20	25	26	26	29	44	30	4	12	12	10	7	43	20	12	24	20	32	15	72	74	18	34	10	39	25	29	38	19	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	273	3	4	6	1	6	8	4	2	4	8	1	7	8	3	5	3	5	2	5	3	9	2	6	4	7	1	3	3	3	9	13	8	3	1	0	3	1	0	0	4	2	0	0	1	2	2	1	5	2	0	1	2	1	0	5	8	7	6	1	3	1	5	13	5	5	3	9	2	3	5	3	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1519	22	14	28	14	30	27	23	9	47	32	12	28	49	24	20	17	17	24	34	16	24	19	32	29	23	29	14	32	29	16	37	33	21	16	8	36	24	9	5	16	9	11	10	20	10	19	22	30	5	27	20	16	18	19	20	23	35	18	9	14	17	20	23	30	30	18	14	22	18	8	7	15	3									
		2.80%	2.46%	1.39%	3.17%	2.15%	2.95%	2.83%	2.87%	1.84%	4.58%	3.54%	2.30%	2.72%	4.55%	2.65%	1.92%	2.83%	2.37%	2.50%	4.28%	1.54%	2.19%	2.90%	4.01%	3.75%	2.83%	3.67%	2.88%	2.39%	2.66%	1.60%	3.63%	5.08%	3.75%	2.37%	4.44%	3.80%	3.17%	1.41%	1.63%	2.41%	1.42%	2.37%	2.43%	2.81%	2.49%	2.77%	3.54%	4.12%	1.34%	4.15%	3.16%	2.17%	2.65%	3.57%	2.67%	2.45%	3.66%	1.83%	1.27%	1.62%	2.02%	3.01%	3.02%	3.99%	3.75%	2.37%	2.11%	4.30%	2.80%	1.13%	2.05%	2.53%	1.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	698	10	7	11	10	13	13	15	6	10	1	9	14	14	13	14	5	10	10	13	9	11	7	9	11	6	25	4	16	5	10	23	10	7	12	3	10	10	12	11	7	4	6	4	8	7	13	9	8	6	3	9	15	2	5	12	12	17	8	12	10	17	14	5	11	11	9	10	6	8	2	4	11	4									
		1.29%	1.12%	0.70%	1.24%	1.54%	1.28%	1.36%	1.87%	1.23%	0.97%	0.11%	1.73%	1.36%	1.30%	1.43%	1.34%	0.83%	1.40%	1.04%	1.64%	0.87%	1.01%	1.07%	1.13%	1.42%	0.74%	3.16%	0.82%	1.19%	0.46%	1.00%	2.25%	1.54%	1.25%	1.78%	1.67%	1.05%	1.32%	1.88%	3.59%	1.06%	0.63%	1.29%	0.97%	1.12%	1.74%	1.90%	1.45%	1.10%	1.61%	0.46%	1.42%	2.03%	0.29%	0.94%	1.60%	1.28%	1.78%	0.81%	1.69%	1.16%	2.02%	2.11%	0.66%	1.46%	1.38%	1.18%	1.51%	1.17%	1.24%	0.28%	1.17%	1.85%	2.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1190	31	28	18	16	32	26	13	6	34	25	24	34	24	21	31	11	16	27	20	24	35	7	27	12	10	27	5	9	13	21	15	20	21	17	1	18	12	17	12	14	13	11	16	13	7	18	7	22	13	14	19	10	20	9	15	12	19	17	12	9	20	18	11	13	11	20	12	5	7	7	6	9	1									
		2.20%	3.47%	2.78%	2.04%	2.46%	3.15%	2.72%	1.62%	1.23%	3.31%	2.76%	4.61%	3.31%	2.23%	2.32%	2.98%	1.83%	2.23%	2.82%	2.52%	2.31%	3.20%	1.07%	3.38%	1.55%	1.23%	3.41%	1.03%	0.67%	1.19%	2.10%	1.47%	3.08%	3.75%	2.51%	0.56%	1.90%	1.58%	2.67%	3.92%	2.11%	2.05%	2.37%	3.89%	1.82%	1.74%	2.63%	1.13%	3.02%	3.49%	2.15%	3.00%	1.35%	2.94%	1.69%	2.00%	1.28%	1.99%	1.73%	1.69%	1.04%	2.37%	2.71%	1.44%	1.73%	1.38%	2.63%	1.81%	0.98%	1.09%	0.99%	1.75%	1.52%	0.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23720	325	395	385	267	403	406	341	198	389	334	228	375	381	327	375	247	270	329	298	441	540	286	339	370	316	312	204	804	696	449	451	228	214	335	97	423	307	284	187	304	307	217	214	314	200	281	258	290	213	254	244	365	255	233	318	411	420	590	408	484	391	286	292	300	327	315	285	213	286	443	177	205	64									
		43.76%	36.35%	39.26%	43.55%	41.08%	39.67%	42.51%	42.57%	40.57%	37.91%	36.91%	43.76%	36.48%	35.34%	36.09%	36.02%	41.17%	37.71%	34.31%	37.53%	42.44%	49.36%	43.66%	42.43%	47.80%	38.87%	39.44%	41.98%	60.04%	63.85%	44.90%	44.22%	35.13%	38.21%	49.56%	53.89%	44.62%	40.50%	44.58%	61.11%	45.85%	48.50%	46.77%	52.07%	44.04%	49.75%	41.02%	41.48%	39.84%	57.10%	39.08%	38.55%	49.39%	37.50%	43.80%	42.46%	43.82%	43.98%	60.08%	57.55%	56.15%	46.38%	43.07%	38.32%	39.95%	40.93%	41.45%	42.92%	41.60%	44.41%	62.39%	51.75%	34.57%	41.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	751	19	16	12	11	20	10	10	10	16	14	7	19	10	20	17	7	10	19	14	11	10	9	8	17	9	10	5	14	6	10	12	12	11	5	3	9	16	15	1	8	17	7	4	7	3	11	11	13	1	12	12	8	13	8	14	12	18	2	6	13	6	13	11	7	7	12	10	4	7	2	5	8	5									
		1.39%	2.13%	1.59%	1.36%	1.69%	1.97%	1.05%	1.25%	2.05%	1.56%	1.55%	1.34%	1.85%	0.93%	2.21%	1.63%	1.17%	1.40%	1.98%	1.76%	1.06%	0.91%	1.37%	1.00%	2.20%	1.11%	1.26%	1.03%	1.05%	0.55%	1.00%	1.18%	1.85%	1.96%	0.74%	1.67%	0.95%	2.11%	2.35%	0.33%	1.21%	2.69%	1.51%	0.97%	0.98%	0.75%	1.61%	1.77%	1.79%	0.27%	1.85%	1.90%	1.08%	1.91%	1.50%	1.87%	1.28%	1.88%	0.20%	0.85%	1.51%	0.71%	1.96%	1.44%	0.93%	0.88%	1.58%	1.51%	0.78%	1.09%	0.28%	1.46%	1.35%	3.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	175	3	2	3	0	2	3	5	1	2	3	1	3	4	1	0	1	2	2	2	0	2	3	4	0	3	1	1	7	2	3	1	2	1	0	2	1	2	2	0	0	2	0	1	4	2	2	8	2	1	3	2	4	4	3	5	0	4	3	6	2	3	15	2	3	3	2	3	2	2	2	2	1	0									
		0.32%	0.34%	0.20%	0.34%	0.00%	0.20%	0.31%	0.62%	0.20%	0.19%	0.33%	0.19%	0.29%	0.37%	0.11%	0.00%	0.17%	0.28%	0.21%	0.25%	0.00%	0.18%	0.46%	0.50%	0.00%	0.37%	0.13%	0.21%	0.52%	0.18%	0.30%	0.10%	0.31%	0.18%	0.00%	1.11%	0.11%	0.26%	0.31%	0.00%	0.00%	0.32%	0.00%	0.24%	0.56%	0.50%	0.29%	1.29%	0.27%	0.27%	0.46%	0.32%	0.54%	0.59%	0.56%	0.67%	0.00%	0.42%	0.31%	0.85%	0.23%	0.36%	2.26%	0.26%	0.40%	0.38%	0.26%	0.45%	0.39%	0.31%	0.28%	0.58%	0.17%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6947	106	104	85	67	105	106	80	63	103	100	49	95	99	90	101	58	74	126	85	106	119	63	112	84	113	88	60	172	91	129	172	95	60	93	13	92	75	65	23	74	87	57	59	81	42	94	102	121	46	70	82	99	112	76	138	161	171	122	80	118	111	62	175	148	177	153	84	120	127	134	37	74	32									
		12.82%	11.86%	10.34%	9.62%	10.31%	10.33%	11.10%	9.99%	12.91%	10.04%	11.05%	9.40%	9.24%	9.18%	9.93%	9.70%	9.67%	10.34%	13.14%	10.71%	10.20%	10.88%	9.62%	14.02%	10.85%	13.90%	11.13%	12.35%	12.85%	8.35%	12.90%	16.86%	14.64%	10.71%	13.76%	7.22%	9.70%	9.89%	10.20%	7.52%	11.16%	13.74%	12.28%	14.36%	11.36%	10.45%	13.72%	16.40%	16.62%	12.33%	10.77%	12.95%	13.40%	16.47%	14.29%	18.42%	17.16%	17.91%	12.42%	11.28%	13.69%	13.17%	9.34%	22.97%	19.71%	22.15%	20.13%	12.65%	23.44%	19.72%	18.87%	10.82%	12.48%	20.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	785	15	21	17	13	17	11	15	9	19	15	8	10	20	17	9	8	13	20	11	11	12	14	10	6	14	17	4	23	6	15	8	11	5	5	2	13	13	11	1	13	8	0	3	16	5	11	12	13	2	24	8	13	10	16	14	13	8	3	6	11	11	11	9	10	5	13	9	3	7	7	9	10	3									
		1.45%	1.68%	2.09%	1.92%	2.00%	1.67%	1.15%	1.87%	1.84%	1.85%	1.66%	1.54%	0.97%	1.86%	1.88%	0.86%	1.33%	1.82%	2.09%	1.39%	1.06%	1.10%	2.14%	1.25%	0.78%	1.72%	2.15%	0.82%	1.72%	0.55%	1.50%	0.78%	1.69%	0.89%	0.74%	1.11%	1.37%	1.72%	1.73%	0.33%	1.96%	1.26%	0.00%	0.73%	2.24%	1.24%	1.61%	1.93%	1.79%	0.54%	3.69%	1.26%	1.76%	1.47%	3.01%	1.87%	1.39%	0.84%	0.31%	0.85%	1.28%	1.30%	1.66%	1.18%	1.33%	0.63%	1.71%	1.36%	0.59%	1.09%	0.99%	2.63%	1.69%	1.95%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3859	77	106	72	52	83	71	69	49	94	80	46	103	115	89	100	58	75	76	77	106	87	56	65	58	67	58	38	38	44	58	55	36	45	45	3	83	56	47	12	57	28	38	17	42	33	37	39	48	12	52	49	40	58	65	39	47	51	50	35	43	47	34	36	40	25	40	68	16	28	18	21	52	5									
		7.12%	8.61%	10.54%	8.14%	8.00%	8.17%	7.43%	8.61%	10.04%	9.16%	8.84%	8.83%	10.02%	10.67%	9.82%	9.61%	9.67%	10.47%	7.92%	9.70%	10.20%	7.95%	8.55%	8.14%	7.49%	8.24%	7.33%	7.82%	2.84%	4.04%	5.80%	5.39%	5.55%	8.04%	6.66%	1.67%	8.76%	7.39%	7.38%	3.92%	8.60%	4.42%	8.19%	4.14%	5.89%	8.21%	5.40%	6.27%	6.59%	3.22%	8.00%	7.74%	5.41%	8.53%	12.22%	5.21%	5.01%	5.34%	5.09%	4.94%	4.99%	5.58%	5.12%	4.72%	5.33%	3.13%	5.26%	10.24%	3.13%	4.35%	2.54%	6.14%	8.77%	3.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	150	3	3	2	0	4	2	4	1	3	3	2	6	4	2	4	2	1	1	1	2	4	1	2	2	0	0	1	3	1	3	2	0	0	1	2	1	2	2	0	2	0	1	1	1	0	1	4	7	0	0	3	4	2	3	2	1	0	1	2	1	4	20	0	2	0	0	3	1	1	1	2	2	1									
		0.28%	0.34%	0.30%	0.23%	0.00%	0.39%	0.21%	0.50%	0.20%	0.29%	0.33%	0.38%	0.58%	0.37%	0.22%	0.38%	0.33%	0.14%	0.10%	0.13%	0.19%	0.37%	0.15%	0.25%	0.26%	0.00%	0.00%	0.21%	0.22%	0.09%	0.30%	0.20%	0.00%	0.00%	0.15%	1.11%	0.11%	0.26%	0.31%	0.00%	0.30%	0.00%	0.22%	0.24%	0.14%	0.00%	0.15%	0.64%	0.96%	0.00%	0.00%	0.47%	0.54%	0.29%	0.56%	0.27%	0.11%	0.00%	0.10%	0.28%	0.12%	0.47%	3.01%	0.00%	0.27%	0.00%	0.00%	0.45%	0.20%	0.16%	0.14%	0.58%	0.34%	0.65%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3201	60	76	46	36	73	69	42	44	80	90	36	101	75	72	82	51	81	114	62	106	79	70	36	46	59	59	42	45	51	44	34	37	23	30	7	70	71	46	11	50	43	17	14	58	38	39	22	25	5	37	32	22	39	28	27	36	26	22	16	24	36	42	26	13	20	31	37	23	17	7	17	43	13									
		5.91%	6.71%	7.55%	5.20%	5.54%	7.19%	7.23%	5.24%	9.02%	7.80%	9.94%	6.91%	9.82%	6.96%	7.95%	7.88%	8.50%	11.31%	11.89%	7.81%	10.20%	7.22%	10.69%	4.51%	5.94%	7.26%	7.46%	8.64%	3.36%	4.68%	4.40%	3.33%	5.70%	4.11%	4.44%	3.89%	7.38%	9.37%	7.22%	3.59%	7.54%	6.79%	3.66%	3.41%	8.13%	9.45%	5.69%	3.54%	3.43%	1.34%	5.69%	5.06%	2.98%	5.74%	5.26%	3.60%	3.84%	2.72%	2.24%	2.26%	2.78%	4.27%	6.33%	3.41%	1.73%	2.50%	4.08%	5.57%	4.49%	2.64%	0.99%	4.97%	7.25%	8.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6758	129	141	113	111	147	134	103	54	128	113	51	115	156	132	180	77	93	139	97	127	106	70	104	90	105	83	62	109	88	181	115	119	89	58	20	116	102	85	32	76	74	54	51	90	33	110	65	84	35	92	100	88	78	49	102	133	125	108	71	96	115	73	97	89	102	88	88	57	87	43	26	88	17									
		12.47%	14.43%	14.02%	12.78%	17.08%	14.47%	14.03%	12.86%	11.07%	12.48%	12.49%	9.79%	11.19%	14.47%	14.57%	17.29%	12.83%	12.99%	14.49%	12.22%	12.22%	9.69%	10.69%	13.02%	11.63%	12.92%	10.49%	12.76%	8.14%	8.07%	18.10%	11.27%	18.34%	15.89%	8.58%	11.11%	12.24%	13.46%	13.34%	10.46%	11.46%	11.69%	11.64%	12.41%	12.62%	8.21%	16.06%	10.45%	11.54%	9.38%	14.15%	15.80%	11.91%	11.47%	9.21%	13.62%	14.18%	13.09%	10.99%	10.01%	11.14%	13.64%	10.99%	12.73%	11.85%	12.77%	11.58%	13.25%	11.13%	13.51%	6.06%	7.60%	14.84%	11.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	302	2	16	6	1	2	5	8	2	1	1	2	4	4	3	5	5	6	6	8	6	4	3	9	3	2	3	2	4	3	11	5	2	2	5	1	3	6	1	1	4	4	3	1	1	5	1	7	6	1	6	2	1	4	2	6	7	5	8	1	3	4	18	2	6	12	3	3	3	3	2	1	4	0									
		0.56%	0.22%	1.59%	0.68%	0.15%	0.20%	0.52%	0.99%	0.41%	0.10%	0.11%	0.38%	0.39%	0.37%	0.33%	0.48%	0.83%	0.84%	0.63%	1.01%	0.58%	0.37%	0.46%	1.13%	0.39%	0.25%	0.38%	0.41%	0.30%	0.28%	1.10%	0.49%	0.31%	0.36%	0.74%	0.56%	0.32%	0.79%	0.16%	0.33%	0.60%	0.63%	0.65%	0.24%	0.14%	1.24%	0.15%	1.13%	0.82%	0.27%	0.92%	0.32%	0.14%	0.59%	0.38%	0.80%	0.75%	0.52%	0.81%	0.14%	0.35%	0.47%	2.71%	0.26%	0.80%	1.50%	0.39%	0.45%	0.59%	0.47%	0.28%	0.29%	0.67%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3118	74	57	66	35	71	57	52	26	78	81	35	96	96	76	75	34	32	52	52	61	42	31	36	40	66	59	29	44	49	38	54	37	38	34	8	55	40	26	6	25	37	28	9	46	14	34	41	42	17	39	40	33	53	11	32	53	40	21	32	34	48	32	57	63	58	45	33	30	31	32	14	54	2									
		5.75%	8.28%	5.67%	7.47%	5.38%	6.99%	5.97%	6.49%	5.33%	7.60%	8.95%	6.72%	9.34%	8.91%	8.39%	7.20%	5.67%	4.47%	5.42%	6.55%	5.87%	3.84%	4.73%	4.51%	5.17%	8.12%	7.46%	5.97%	3.29%	4.50%	3.80%	5.29%	5.70%	6.79%	5.03%	4.44%	5.80%	5.28%	4.08%	1.96%	3.77%	5.85%	6.03%	2.19%	6.45%	3.48%	4.96%	6.59%	5.77%	4.56%	6.00%	6.32%	4.47%	7.79%	2.07%	4.27%	5.65%	4.19%	2.14%	4.51%	3.94%	5.69%	4.82%	7.48%	8.39%	7.26%	5.92%	4.97%	5.86%	4.81%	4.51%	4.09%	9.11%	1.30%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
