Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Адмиралтейская N 1																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3630	50	50	50	50	50	50	50	50	80	50	50	50	50	50	50	50	50	50	50	50	50	50	31	50	50	50	50	50	50	50	50	50	69	100	50	80	50	40	50	30	50	50	50	50	50	50	50	50	50	50	50	50	150	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1922	19	22	27	22	29	21	16	22	60	21	12	23	32	28	24	37	19	26	35	16	33	21	25	20	16	22	41	31	22	19	15	19	49	69	48	61	23	33	9	21	23	26	26	19	22	30	36	26	25	17	31	14	145	27	17	10	35	28	9	26	26	43	20	31	17	27	21	23	14	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3169	27	40	6	15	13	31	22	88	10	29	19	53	20	6	50	44	88	73	23	44	34	22	51	28	44	49	27	24	16	19	33	26	33	29	40	73	43	32	189	25	13	12	18	46	31	17	154	30	33	49	46	16	23	17	130	12	45	46	38	60	83	19	9	46	19	23	26	54	62	20	16	45	32	5	336	0					
14	Число погашенных неиспользованных открепительных удостоверений	1708	31	28	23	28	21	29	34	28	20	29	38	27	18	22	26	13	31	24	15	34	17	29	6	30	34	28	9	19	28	31	35	31	20	31	2	19	27	7	41	9	27	24	24	31	28	20	14	24	25	33	19	36	5	23	33	40	15	22	41	24	24	7	30	19	33	23	29	27	36	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	367	4	4	5	1	7	3	4	5	3	1	3	2	4	4	2	4	6	9	9	4	3	1	2	2	3	4	8	7	0	0	2	2	3	82	2	26	3	5	5	5	3	3	3	2	7	0	0	12	7	3	3	6	7	2	6	2	9	5	4	2	2	3	5	9	1	3	4	3	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
18	1.Политическая партия «Аграрная партия России»	1407	19	25	23	23	25	18	17	30	20	28	20	25	13	26	20	37	23	18	12	19	15	11	17	13	22	31	27	20	16	17	14	27	15	19	23	15	24	19	20	27	17	24	19	15	23	21	20	25	13	11	21	18	17	11	19	13	30	18	7	29	18	22	24	15	15	11	21	23	12	11	0	2	4	8	8	9					
		2.16%	1.97%	2.47%	2.26%	2.82%	2.51%	1.98%	1.97%	2.76%	1.73%	2.81%	2.17%	2.48%	1.17%	2.64%	2.91%	3.36%	3.26%	1.66%	1.24%	2.38%	1.50%	1.32%	1.99%	1.54%	2.48%	3.24%	2.40%	2.11%	1.96%	3.11%	1.77%	3.02%	2.08%	1.80%	1.98%	1.67%	2.78%	1.99%	2.03%	3.03%	2.63%	2.32%	1.94%	1.45%	2.56%	2.01%	1.53%	2.33%	1.49%	1.61%	2.25%	2.37%	2.49%	1.28%	1.99%	2.52%	2.27%	1.83%	1.39%	1.96%	2.09%	2.20%	2.85%	1.42%	2.00%	1.53%	2.37%	3.10%	1.48%	3.04%	0.00%	1.06%	3.67%	3.51%	2.38%	2.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1673	29	25	24	17	23	28	28	51	30	28	28	29	30	40	17	32	17	33	23	20	34	27	11	32	29	19	34	33	27	24	22	30	15	27	24	16	18	24	23	26	15	28	31	21	25	25	16	19	25	17	18	21	18	18	27	17	34	28	8	26	20	12	22	16	13	26	22	17	12	0	0	1	0	9	7	12					
		2.57%	3.00%	2.47%	2.36%	2.09%	2.31%	3.08%	3.24%	4.70%	2.60%	2.81%	3.04%	2.88%	2.69%	4.06%	2.47%	2.91%	2.41%	3.05%	2.37%	2.51%	3.40%	3.25%	1.29%	3.79%	3.27%	1.99%	3.02%	3.48%	3.30%	4.39%	2.78%	3.35%	2.08%	2.56%	2.07%	1.79%	2.09%	2.51%	2.33%	2.92%	2.32%	2.71%	3.17%	2.03%	2.78%	2.39%	1.23%	1.77%	2.86%	2.49%	1.93%	2.76%	2.64%	2.09%	2.83%	3.29%	2.57%	2.84%	1.59%	1.76%	2.32%	1.20%	2.61%	1.51%	1.74%	3.63%	2.48%	2.29%	1.48%	0.00%	0.00%	0.53%	0.00%	3.95%	2.08%	3.56%					
20	3.Политическая партия «Демократическая партия России»	105	1	2	2	5	2	1	1	0	2	2	3	1	0	1	0	4	1	0	3	2	1	1	1	2	1	1	1	1	0	0	1	4	1	0	1	2	0	0	4	1	0	0	2	0	2	0	0	10	0	1	3	3	2	0	3	1	1	1	0	2	0	1	1	1	1	1	2	0	1	5	0	1	1	0	1	2					
		0.16%	0.10%	0.20%	0.20%	0.61%	0.20%	0.11%	0.12%	0.00%	0.17%	0.20%	0.33%	0.10%	0.00%	0.10%	0.00%	0.36%	0.14%	0.00%	0.31%	0.25%	0.10%	0.12%	0.12%	0.24%	0.11%	0.10%	0.09%	0.11%	0.00%	0.00%	0.13%	0.45%	0.14%	0.00%	0.09%	0.22%	0.00%	0.00%	0.41%	0.11%	0.00%	0.00%	0.20%	0.00%	0.22%	0.00%	0.00%	0.93%	0.00%	0.15%	0.32%	0.39%	0.29%	0.00%	0.31%	0.19%	0.08%	0.10%	0.00%	0.14%	0.00%	0.10%	0.12%	0.09%	0.13%	0.14%	0.23%	0.00%	0.12%	1.38%	0.00%	0.53%	0.92%	0.00%	0.30%	0.59%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6986	119	119	133	89	113	86	87	125	116	102	97	95	125	107	67	93	70	109	112	78	97	90	101	83	108	94	125	108	63	47	91	107	76	97	93	94	107	105	130	95	84	106	110	105	102	115	88	119	88	92	95	108	82	95	103	60	140	123	51	177	80	105	91	132	68	64	101	76	89	39	15	27	19	17	24	43					
		10.72%	12.32%	11.76%	13.08%	10.92%	11.35%	9.47%	10.06%	11.52%	10.05%	10.23%	10.54%	9.42%	11.21%	10.86%	9.74%	8.45%	9.93%	10.06%	11.53%	9.77%	9.71%	10.83%	11.87%	9.83%	12.16%	9.83%	11.11%	11.39%	7.70%	8.59%	11.52%	11.96%	10.54%	9.19%	8.02%	10.49%	12.40%	10.97%	13.17%	10.67%	12.98%	10.25%	11.26%	10.13%	11.35%	10.98%	6.75%	11.09%	10.06%	13.49%	10.18%	14.21%	12.02%	11.03%	10.80%	11.63%	10.58%	12.49%	10.14%	11.99%	9.28%	10.52%	10.79%	12.46%	9.08%	8.93%	11.39%	10.26%	10.99%	10.77%	9.09%	14.36%	17.43%	7.46%	7.14%	12.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2293	40	42	40	25	27	53	41	44	49	40	23	21	36	34	32	47	29	43	46	31	34	40	41	40	41	36	48	49	40	17	36	45	38	35	24	28	43	38	30	29	38	36	27	34	31	40	35	43	26	23	43	22	26	13	29	12	50	45	12	35	9	14	20	21	17	19	19	22	9	7	0	1	1	4	3	32					
		3.52%	4.14%	4.15%	3.93%	3.07%	2.71%	5.84%	4.74%	4.06%	4.25%	4.01%	2.50%	2.08%	3.23%	3.45%	4.65%	4.27%	4.11%	3.97%	4.74%	3.88%	3.40%	4.81%	4.82%	4.74%	4.62%	3.77%	4.27%	5.17%	4.89%	3.11%	4.56%	5.03%	5.27%	3.31%	2.07%	3.13%	4.98%	3.97%	3.04%	3.26%	5.87%	3.48%	2.76%	3.28%	3.45%	3.82%	2.69%	4.01%	2.97%	3.37%	4.61%	2.89%	3.81%	1.51%	3.04%	2.33%	3.78%	4.57%	2.39%	2.37%	1.04%	1.40%	2.37%	1.98%	2.27%	2.65%	2.14%	2.97%	1.11%	1.93%	0.00%	0.53%	0.92%	1.75%	0.89%	9.50%					
23	6.Политическая партия «Партия социальной справедливости»	186	1	3	4	6	4	3	2	4	3	2	2	3	3	2	0	1	1	8	3	1	3	1	1	3	1	0	2	1	1	0	2	3	1	3	9	4	1	1	4	4	2	4	3	4	2	2	2	6	3	0	4	1	7	2	1	2	6	1	1	1	3	0	2	1	2	3	3	3	3	7	1	0	0	2	0	1					
		0.29%	0.10%	0.30%	0.39%	0.74%	0.40%	0.33%	0.23%	0.37%	0.26%	0.20%	0.22%	0.30%	0.27%	0.20%	0.00%	0.09%	0.14%	0.74%	0.31%	0.13%	0.30%	0.12%	0.12%	0.36%	0.11%	0.00%	0.18%	0.11%	0.12%	0.00%	0.25%	0.34%	0.14%	0.28%	0.78%	0.45%	0.12%	0.10%	0.41%	0.45%	0.31%	0.39%	0.31%	0.39%	0.22%	0.19%	0.15%	0.56%	0.34%	0.00%	0.43%	0.13%	1.03%	0.23%	0.10%	0.39%	0.45%	0.10%	0.20%	0.07%	0.35%	0.00%	0.24%	0.09%	0.27%	0.42%	0.34%	0.40%	0.37%	1.93%	0.61%	0.00%	0.00%	0.88%	0.00%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	5037	81	65	77	50	85	63	43	76	101	62	81	87	90	83	45	94	45	84	57	57	76	36	54	56	51	60	78	67	61	44	60	61	60	109	188	93	55	77	54	87	40	72	76	78	60	59	106	62	90	53	49	42	56	59	67	36	87	73	33	160	82	97	70	100	67	53	54	63	79	38	9	31	5	33	19	26					
		7.73%	8.39%	6.42%	7.57%	6.13%	8.53%	6.94%	4.97%	7.00%	8.75%	6.22%	8.80%	8.63%	8.07%	8.43%	6.54%	8.54%	6.38%	7.76%	5.87%	7.14%	7.61%	4.33%	6.35%	6.64%	5.74%	6.28%	6.93%	7.07%	7.46%	8.04%	7.59%	6.82%	8.32%	10.32%	16.21%	10.38%	6.37%	8.05%	5.47%	9.78%	6.18%	6.96%	7.78%	7.52%	6.67%	5.64%	8.14%	5.78%	10.29%	7.77%	5.25%	5.53%	8.21%	6.85%	7.02%	6.98%	6.58%	7.41%	6.56%	10.84%	9.51%	9.72%	8.30%	9.44%	8.95%	7.39%	6.09%	8.50%	9.75%	10.50%	5.45%	16.49%	4.59%	14.47%	5.65%	7.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10047	154	165	174	144	150	147	150	193	205	137	140	168	177	166	117	161	126	163	169	167	199	182	184	157	174	173	174	159	158	82	123	147	84	168	146	111	121	153	123	96	105	130	122	164	144	148	145	152	131	121	133	95	96	158	141	84	232	156	68	198	120	136	124	123	97	100	148	128	113	32	17	13	12	18	34	22					
		15.42%	15.94%	16.30%	17.11%	17.67%	15.06%	16.19%	17.34%	17.79%	17.76%	13.74%	15.22%	16.67%	15.87%	16.85%	17.01%	14.62%	17.87%	15.05%	17.40%	20.93%	19.92%	21.90%	21.62%	18.60%	19.59%	18.10%	15.47%	16.77%	19.32%	14.99%	15.57%	16.42%	11.65%	15.91%	12.59%	12.39%	14.02%	15.99%	12.46%	10.79%	16.23%	12.57%	12.49%	15.81%	16.02%	14.14%	11.13%	14.17%	14.97%	17.74%	14.26%	12.50%	14.08%	18.35%	14.78%	16.28%	17.54%	15.84%	13.52%	13.41%	13.92%	13.63%	14.71%	11.61%	12.95%	13.95%	16.69%	17.27%	13.95%	8.84%	10.30%	6.91%	11.01%	7.89%	10.12%	6.53%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	678	9	11	9	11	8	4	7	10	9	5	14	11	15	9	5	7	12	14	18	10	17	4	12	9	8	17	12	7	3	6	5	5	5	11	12	7	9	7	5	6	3	15	11	10	5	10	8	14	13	9	15	18	11	8	8	10	15	25	8	15	8	15	4	8	3	6	10	8	4	3	2	1	1	2	4	3					
		1.04%	0.93%	1.09%	0.88%	1.35%	0.80%	0.44%	0.81%	0.92%	0.78%	0.50%	1.52%	1.09%	1.35%	0.91%	0.73%	0.64%	1.70%	1.29%	1.85%	1.25%	1.70%	0.48%	1.41%	1.07%	0.90%	1.78%	1.07%	0.74%	0.37%	1.10%	0.63%	0.56%	0.69%	1.04%	1.03%	0.78%	1.04%	0.73%	0.51%	0.67%	0.46%	1.45%	1.13%	0.96%	0.56%	0.96%	0.61%	1.30%	1.49%	1.32%	1.61%	2.37%	1.61%	0.93%	0.84%	1.94%	1.13%	2.54%	1.59%	1.02%	0.93%	1.50%	0.47%	0.76%	0.40%	0.84%	1.13%	1.08%	0.49%	0.83%	1.21%	0.53%	0.92%	0.88%	1.19%	0.89%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	32286	439	487	466	379	491	434	431	462	527	520	461	506	549	443	345	540	330	522	446	354	439	357	358	371	365	451	523	446	377	263	393	395	363	516	590	476	409	485	532	449	278	568	477	546	441	529	818	553	433	311	471	370	319	439	505	259	667	436	294	756	482	551	434	599	440	394	458	351	451	198	117	106	63	121	225	136					
		49.54%	45.45%	48.12%	45.82%	46.50%	49.30%	47.80%	49.83%	42.58%	45.67%	52.16%	50.11%	50.20%	49.24%	44.97%	50.15%	49.05%	46.81%	48.20%	45.93%	44.36%	43.94%	42.96%	42.07%	43.96%	41.10%	47.18%	46.49%	47.05%	46.09%	48.08%	49.75%	44.13%	50.35%	48.86%	50.86%	53.13%	47.39%	50.68%	53.90%	50.45%	42.97%	54.93%	48.82%	52.65%	49.05%	50.53%	62.78%	51.54%	49.49%	45.60%	50.48%	48.68%	46.77%	50.99%	52.94%	50.19%	50.42%	44.26%	58.45%	51.22%	55.92%	55.21%	51.48%	56.56%	58.74%	54.95%	51.63%	47.37%	55.68%	54.70%	70.91%	56.38%	57.80%	53.07%	66.96%	40.36%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3817	68	58	57	56	62	66	50	75	84	58	46	54	67	65	37	71	46	79	67	52	77	69	65	60	76	64	86	53	69	39	35	60	50	62	32	42	68	43	53	62	58	43	89	44	56	87	51	59	45	38	71	58	40	50	43	19	53	68	20	51	26	37	43	32	20	33	41	45	35	12	3	0	1	9	10	44					
		5.86%	7.04%	5.73%	5.60%	6.87%	6.22%	7.27%	5.78%	6.91%	7.28%	5.82%	5.00%	5.36%	6.01%	6.60%	5.38%	6.45%	6.52%	7.29%	6.90%	6.52%	7.71%	8.30%	7.64%	7.11%	8.56%	6.69%	7.64%	5.59%	8.44%	7.13%	4.43%	6.70%	6.93%	5.87%	2.76%	4.69%	7.88%	4.49%	5.37%	6.97%	8.96%	4.16%	9.11%	4.24%	6.23%	8.31%	3.91%	5.50%	5.14%	5.57%	7.61%	7.63%	5.87%	5.81%	4.51%	3.68%	4.01%	6.90%	3.98%	3.46%	3.02%	3.71%	5.10%	3.02%	2.67%	4.60%	4.62%	6.07%	4.32%	3.31%	1.82%	0.00%	0.92%	3.95%	2.98%	13.06%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
