Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Челябинск, Ленинская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030					
		3.96%	3.08%	3.05%	4.25%	3.53%	3.80%	3.74%	4.48%	5.26%	3.28%	3.83%	3.76%	4.36%	4.03%	4.61%	4.19%	3.80%	3.19%	4.30%	4.54%	2.62%	2.82%	2.05%	4.21%	3.45%	3.22%	5.79%	4.03%	3.14%	3.66%	4.64%	4.26%	3.86%	3.84%	5.05%	2.84%	6.20%	4.36%	4.16%	4.86%	4.21%	3.29%	4.74%	4.24%	2.93%	3.76%	3.97%	4.48%	4.24%	3.53%	4.06%	4.51%	4.61%	4.63%	3.05%	5.00%	3.95%	3.50%	2.63%	3.52%	2.75%	3.10%	5.82%	2.55%	2.96%	3.29%	4.69%	4.96%	4.90%					
19	. Малышкин Олег Александрович	2145	25	27	29	40	40	15	33	27	38	49	48	59	27	26	22	28	35	32	35	37	26	50	29	44	25	45	31	23	51	31	12	31	27	34	27	19	24	25	27	43	26	18	34	26	20	29	32	26	38	24	28	49	37	36	24	34	24	31	33	27	31	14	36	18	41	29	43	41					
		2.44%	1.92%	2.57%	2.16%	2.95%	2.58%	1.34%	2.14%	2.22%	2.49%	2.54%	3.53%	3.78%	2.02%	2.44%	1.62%	2.36%	2.48%	2.46%	2.84%	2.77%	2.62%	3.67%	2.11%	3.37%	1.91%	2.93%	2.84%	3.28%	3.45%	1.92%	1.35%	2.78%	1.88%	2.49%	2.07%	1.84%	1.72%	1.76%	1.90%	4.53%	2.37%	2.51%	2.29%	2.54%	2.35%	1.86%	2.20%	2.00%	2.58%	1.68%	1.83%	2.83%	2.14%	2.81%	2.40%	2.74%	2.15%	2.55%	2.58%	2.40%	3.43%	1.25%	2.78%	1.77%	2.60%	2.12%	2.96%	2.95%					
20	. Миронов Сергей Михайлович	838	18	8	11	21	16	10	22	14	17	10	20	22	17	7	17	15	11	20	6	16	20	11	13	21	12	11	18	5	15	17	3	6	9	17	10	5	13	14	14	7	11	11	9	9	7	18	15	9	8	18	17	22	9	4	7	9	4	9	4	10	11	12	8	10	5	29	8	6					
		0.95%	1.39%	0.76%	0.82%	1.55%	1.03%	0.89%	1.43%	1.15%	1.12%	0.52%	1.47%	1.41%	1.27%	0.66%	1.25%	1.27%	0.78%	1.54%	0.49%	1.20%	2.02%	0.81%	0.94%	1.61%	0.92%	0.72%	1.65%	0.71%	1.02%	1.05%	0.34%	0.54%	0.63%	1.25%	0.77%	0.48%	0.93%	0.99%	0.99%	0.74%	1.00%	1.53%	0.61%	0.88%	0.82%	1.15%	1.03%	0.69%	0.54%	1.26%	1.11%	1.27%	0.52%	0.31%	0.70%	0.73%	0.36%	0.74%	0.31%	0.89%	1.22%	1.08%	0.62%	0.99%	0.32%	2.12%	0.55%	0.43%					
21	. Путин Владимир Владимирович	59668	848	743	916	948	1092	791	1031	803	1120	1380	944	1057	893	712	972	796	1013	815	854	907	704	945	926	912	887	1000	749	473	989	1059	639	771	980	870	875	705	925	950	920	603	724	463	1083	729	576	1022	933	872	977	980	988	1121	1130	943	662	839	756	867	930	754	626	770	948	643	1041	940	963	871					
		67.86%	65.28%	70.83%	68.26%	69.81%	70.32%	70.50%	66.99%	65.98%	73.49%	71.47%	69.51%	67.80%	66.69%	66.92%	71.42%	67.17%	71.89%	62.60%	69.26%	67.94%	70.97%	69.28%	67.25%	69.94%	67.92%	65.06%	68.53%	67.48%	66.96%	65.53%	71.72%	69.15%	68.39%	63.74%	67.15%	68.25%	66.12%	66.95%	64.79%	63.54%	66.12%	64.48%	72.83%	71.19%	67.69%	65.39%	64.26%	67.18%	66.24%	68.53%	64.58%	64.65%	65.47%	73.67%	66.13%	67.72%	67.86%	71.36%	72.71%	66.90%	69.25%	69.00%	73.20%	63.35%	65.93%	68.86%	66.28%	62.71%					
22	. Хакамада Ирина Муцуовна	4841	126	71	77	94	94	76	118	79	87	92	77	100	70	49	65	56	67	81	65	77	48	70	98	57	64	80	47	41	76	94	51	60	84	87	83	63	80	90	82	60	47	43	81	48	37	90	61	63	88	69	79	86	108	63	56	84	60	40	53	57	42	46	43	33	78	94	71	85					
		5.51%	9.70%	6.77%	5.74%	6.92%	6.05%	6.77%	7.67%	6.49%	5.71%	4.76%	5.67%	6.41%	5.23%	4.61%	4.78%	4.73%	4.76%	6.22%	5.27%	5.77%	4.84%	5.13%	7.12%	4.37%	4.90%	5.20%	4.30%	5.85%	5.15%	5.82%	5.72%	5.38%	5.86%	6.37%	6.37%	6.10%	5.72%	6.34%	5.77%	6.32%	4.29%	5.99%	5.45%	4.69%	4.35%	5.76%	4.20%	4.85%	5.97%	4.83%	5.16%	4.96%	6.26%	4.92%	5.59%	6.78%	5.39%	3.29%	4.14%	5.06%	4.65%	4.12%	3.32%	3.25%	4.94%	6.89%	4.89%	6.12%					
23	. Харитонов Николай Михайлович	12066	152	111	199	137	167	122	169	148	120	255	134	168	210	158	169	184	175	218	168	188	125	193	181	167	198	229	137	97	215	259	99	158	185	194	205	129	220	198	215	150	185	114	119	121	128	258	259	194	222	204	272	277	249	114	151	149	190	165	155	187	109	152	148	218	250	142	204	224					
		13.72%	11.70%	10.58%	14.83%	10.09%	10.75%	10.87%	10.98%	12.16%	7.87%	13.21%	9.87%	10.78%	15.68%	14.85%	12.42%	15.53%	12.42%	16.74%	13.63%	14.08%	12.60%	14.15%	13.14%	12.81%	15.16%	14.90%	12.53%	13.84%	14.56%	16.03%	11.11%	14.17%	12.91%	14.21%	15.73%	12.49%	15.73%	13.95%	15.14%	15.81%	16.89%	15.88%	8.00%	11.82%	15.04%	16.51%	17.84%	14.95%	15.05%	14.27%	17.78%	15.97%	14.43%	8.91%	15.08%	12.03%	17.06%	13.58%	12.12%	16.59%	12.06%	13.62%	11.43%	21.48%	15.83%	10.40%	14.04%	16.13%					
																																																																											
24	Против всех	4243	86	47	47	60	72	59	84	65	87	58	69	83	66	58	52	51	51	63	44	66	34	49	61	44	63	75	52	35	74	68	42	43	84	85	59	39	71	79	82	40	51	28	88	51	46	73	76	69	90	60	72	83	102	75	50	67	39	51	54	47	40	50	68	50	92	58	90	76					
		4.83%	6.62%	4.48%	3.50%	4.42%	4.64%	5.26%	5.46%	5.34%	5.71%	3.00%	5.08%	5.32%	4.93%	5.45%	3.82%	4.30%	3.62%	4.84%	3.57%	4.94%	3.43%	3.59%	4.43%	3.37%	4.82%	4.88%	4.76%	4.99%	5.01%	4.21%	4.71%	3.86%	5.86%	6.23%	4.53%	3.78%	5.08%	5.57%	5.77%	4.21%	4.66%	3.90%	5.92%	4.98%	5.41%	4.67%	5.23%	5.32%	6.10%	4.20%	4.71%	4.79%	5.91%	5.86%	5.00%	5.41%	3.50%	4.20%	4.22%	4.17%	4.42%	4.48%	5.25%	4.93%	5.83%	4.25%	6.19%	5.47%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
